# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_D12_090   -               27     940      17     929       2     929    1474    +           0 1122.5  24.5  -
Ferrimonadaceae           -          LKAP-GutHK_D12_090   -               22     940      14     929       2     929    1475    +    8.1e-304 1006.1  24.7  -
Enterobacteriaceae        -          LKAP-GutHK_D12_090   -               27     930      17     929       2     929    1465    +    1.4e-297  985.7  24.1  -
Erwiniaceae               -          LKAP-GutHK_D12_090   -               60     925      63     929      40     929    1483    +    3.6e-297  984.4  22.4  -
Aeromonadaceae            -          LKAP-GutHK_D12_090   -               39     944      17     929       2     929    1496    +    5.7e-296  980.1  24.0  -
Yersiniaceae              -          LKAP-GutHK_D12_090   -               27     930      17     929       2     929    1473    +    1.5e-295  978.9  24.2  -
Pectobacteriaceae         -          LKAP-GutHK_D12_090   -               24     927      17     929       2     929    1477    +    9.5e-294  972.9  24.1  -
Alteromonadales           -          LKAP-GutHK_D12_090   -               29     931      19     929       2     929    1468    +      6e-293  970.0  24.0  -
Gammaproteobacteria       -          LKAP-GutHK_D12_090   -               27     929      17     929       2     929    1481    +    2.1e-292  968.3  24.1  -
Hafniaceae                -          LKAP-GutHK_D12_090   -               20     924      16     929       2     929    1459    +    3.7e-292  967.6  24.1  -
Shewanellaceae            -          LKAP-GutHK_D12_090   -               27     932      17     929       2     929    1483    +    8.9e-292  966.4  23.9  -
Morganellaceae            -          LKAP-GutHK_D12_090   -               30     933      17     929       2     929    1487    +    2.3e-291  965.2  24.4  -
Pseudoalteromonadaceae    -          LKAP-GutHK_D12_090   -               27     926      17     929       2     929    1469    +    5.4e-289  957.1  23.2  -
Alteromonadaceae          -          LKAP-GutHK_D12_090   -               27     929      17     929       2     929    1468    +    1.9e-288  955.3  24.2  -
Moritellaceae             -          LKAP-GutHK_D12_090   -               31     947       9     929       1     929    1501    +    8.8e-286  946.5  24.7  -
Budviciaceae              -          LKAP-GutHK_D12_090   -               18     920      18     929       4     929    1483    +    7.7e-284  940.1  23.7  -
Psychromonadaceae         -          LKAP-GutHK_D12_090   -               27     930      17     929       1     929    1467    +    6.1e-282  933.9  24.5  -
Colwelliaceae             -          LKAP-GutHK_D12_090   -               27     931      17     929       1     929    1467    +    7.1e-281  930.4  24.4  -
Idiomarinaceae            -          LKAP-GutHK_D12_090   -               26     931      16     929       1     929    1466    +    9.5e-280  926.4  24.4  -
Oceanospirillaceae        -          LKAP-GutHK_D12_090   -               27     931      17     929       2     929    1467    +    1.9e-278  922.2  24.3  -
Cellvibrionaceae          -          LKAP-GutHK_D12_090   -               27     929      17     929       2     929    1472    +      3e-276  915.0  24.3  -
Oceanospirillales         -          LKAP-GutHK_D12_090   -               33     935      17     929       2     929    1489    +    8.4e-276  913.3  24.6  -
Chromatiaceae             -          LKAP-GutHK_D12_090   -               27     919      17     929       3     929    1455    +    1.2e-274  909.7  24.3  -
Pseudomonadaceae          -          LKAP-GutHK_D12_090   -               34     934      17     929       2     929    1491    +    4.9e-272  901.0  24.3  -
Thorselliaceae            -          LKAP-GutHK_D12_090   -               34     899      63     929      39     929    1419    +    1.4e-271  899.4  22.4  -
Alcanivoracaceae          -          LKAP-GutHK_D12_090   -               47     949      17     929       2     929    1504    +    1.4e-270  896.0  24.1  -
Piscirickettsiaceae       -          LKAP-GutHK_D12_090   -               30     933      18     929       2     929    1466    +    1.9e-269  892.3  23.9  -
Pasteurellaceae           -          LKAP-GutHK_D12_090   -               27     931      17     929       2     929    1422    +    5.2e-268  887.7  24.0  -
Hahellaceae               -          LKAP-GutHK_D12_090   -               21     928      13     929       1     929    1473    +    1.4e-265  879.7  24.6  -
Methylococcaceae          -          LKAP-GutHK_D12_090   -               41     937      17     929       3     929    1481    +    5.8e-265  877.5  24.3  -
Halieaceae                -          LKAP-GutHK_D12_090   -               35     930      17     929       2     929    1484    +    1.8e-264  875.9  24.5  -
Orbaceae                  -          LKAP-GutHK_D12_090   -               91     954      66     929      40     929    1539    +      1e-263  873.3  22.4  -
Celerinatantimonadaceae   -          LKAP-GutHK_D12_090   -               22     937      17     929       2     929    1433    +    1.2e-263  873.3  24.2  -
Succinivibrionaceae       -          LKAP-GutHK_D12_090   -               31     907      18     929       3     929    1473    +    3.2e-262  868.5  23.9  -
Spongiibacteraceae        -          LKAP-GutHK_D12_090   -               29     927      16     929       1     929    1462    +    1.1e-261  866.6  24.4  -
Moraxellaceae             -          LKAP-GutHK_D12_090   -               24     921      17     929       1     929    1468    +    6.4e-260  861.0  24.7  -
Litoricolaceae            -          LKAP-GutHK_D12_090   -               35     936      17     929       2     929    1474    +    2.5e-259  859.1  24.5  -
Halothiobacillaceae       -          LKAP-GutHK_D12_090   -               44     948      17     929       3     929    1500    +    2.7e-259  858.8  24.1  -
Lysobacteraceae           -          LKAP-GutHK_D12_090   -               28     932      17     929       2     929    1484    +      2e-258  856.0  24.4  -
Microbulbiferaceae        -          LKAP-GutHK_D12_090   -               27     923      17     929       1     929    1480    +    2.3e-258  855.9  24.6  -
Ectothiorhodospiraceae    -          LKAP-GutHK_D12_090   -               34     936      17     929       3     929    1463    +    2.5e-258  855.7  24.1  -
Thermoleophilaceae        -          LKAP-GutHK_D12_090   -               20     931      17     929       2     929    1494    +    3.4e-258  855.1  24.1  -
Thioalkalispiraceae       -          LKAP-GutHK_D12_090   -               45     948      22     929       3     929    1479    +    4.6e-258  854.6  23.6  -
Halomonadaceae            -          LKAP-GutHK_D12_090   -               27     929      17     929       2     929    1466    +    1.4e-257  853.0  24.3  -
Saccharospirillaceae      -          LKAP-GutHK_D12_090   -               29     923      17     929       1     929    1468    +    2.1e-255  845.9  23.9  -
Kangiellaceae             -          LKAP-GutHK_D12_090   -               36     942      17     929       3     929    1479    +    8.9e-253  837.1  23.7  -
Chromobacteriaceae        -          LKAP-GutHK_D12_090   -               26     922      17     929       2     929    1460    +    1.1e-252  837.0  23.9  -
Thiotrichaceae            -          LKAP-GutHK_D12_090   -               27     886      17     929       2     929    1421    +    2.2e-247  819.3  23.1  -
Cardiobacteriaceae        -          LKAP-GutHK_D12_090   -               35     934      17     929       3     929    1464    +    1.3e-246  817.1  23.5  -
Nevskiaceae               -          LKAP-GutHK_D12_090   -               66     924      69     929      47     929    1470    +    2.2e-246  816.3  22.3  -
Rhodocyclaceae            -          LKAP-GutHK_D12_090   -               27     927      17     929       3     929    1484    +    5.1e-245  811.5  24.3  -
Rhodanobacteraceae        -          LKAP-GutHK_D12_090   -               28     932      17     929       2     929    1473    +    6.5e-243  804.6  24.3  -
Coxiellaceae              -          LKAP-GutHK_D12_090   -               27     937      17     929       3     929    1475    +    3.1e-242  802.3  23.9  -
Rhodospirillaceae         -          LKAP-GutHK_D12_090   -               41     878      57     929      37     929    1429    +      4e-242  802.0  21.9  -
Granulosicoccaceae        -          LKAP-GutHK_D12_090   -               65     931      63     929      40     929    1471    +    1.7e-241  799.9  22.6  -
Legionellaceae            -          LKAP-GutHK_D12_090   -               60     928      62     929      39     929    1446    +    4.4e-241  798.6  22.2  -
Neisseriaceae             -          LKAP-GutHK_D12_090   -               77     944      61     929      40     929    1477    +    1.7e-239  793.2  22.4  -
Burkholderiaceae          -          LKAP-GutHK_D12_090   -               56     923      60     929      35     929    1482    +    2.4e-239  792.8  22.6  -
Alcaligenaceae            -          LKAP-GutHK_D12_090   -               28     926      18     929       3     929    1467    +    1.5e-238  790.2  23.7  -
Arenicellaceae            -          LKAP-GutHK_D12_090   -               32     924      26     929       5     929    1488    +    7.8e-237  784.5  23.8  -
Thiotrichales             -          LKAP-GutHK_D12_090   -               47     949      17     929       3     929    1519    +      2e-236  782.8  23.4  -
Sulfuricellaceae          -          LKAP-GutHK_D12_090   -               64     928      65     929      43     929    1463    +    1.4e-235  780.3  22.4  -
Oxalobacteraceae          -          LKAP-GutHK_D12_090   -               49     925      51     929      25     929    1459    +    8.8e-235  777.7  22.6  -
