# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillales_Exiguobacterium                       -          LKAP-GUTHK2_A08_064_2017_1 -               22     898       4     877       1     879    1526    +           0 1054.9  23.8  -
Bacillaceae_Salinibacillus                       -          LKAP-GUTHK2_A08_064_2017_1 -                6     887       3     877       1     879    1471    +    2.4e-260  865.0  24.1  -
Bacillaceae_Pontibacillus                        -          LKAP-GUTHK2_A08_064_2017_1 -               12     871      19     877      11     879    1469    +    4.6e-260  864.0  23.4  -
Bacillaceae_Virgibacillus                        -          LKAP-GUTHK2_A08_064_2017_1 -               10     891       5     877       1     879    1519    +    3.1e-258  858.0  24.0  -
Bacillaceae_Aquibacillus                         -          LKAP-GUTHK2_A08_064_2017_1 -               26     906       4     877       1     879    1524    +    2.3e-257  854.9  23.9  -
Bacillaceae_Anoxybacillus                        -          LKAP-GUTHK2_A08_064_2017_1 -               10     876       4     877       1     878    1495    +    1.4e-256  852.4  22.3  -
Bacillaceae_Oceanobacillus                       -          LKAP-GUTHK2_A08_064_2017_1 -                9     889       4     877       1     879    1508    +      4e-256  850.9  24.0  -
Planococcaceae_Kurthia                           -          LKAP-GUTHK2_A08_064_2017_1 -                9     875       4     877       1     878    1479    +    5.6e-256  850.2  22.7  -
Bacillaceae_Scopulibacillus                      -          LKAP-GUTHK2_A08_064_2017_1 -               28     906       3     877       1     878    1555    +    1.8e-255  848.6  24.0  -
Sporolactobacillaceae_Pullulanibacillus          -          LKAP-GUTHK2_A08_064_2017_1 -               28     904       3     877       2     879    1553    +    3.3e-255  847.9  24.6  -
Bacillaceae_Gracilibacillus                      -          LKAP-GUTHK2_A08_064_2017_1 -               13     891       6     877       1     879    1511    +    6.4e-253  840.3  23.9  -
Bacillaceae_Thalassobacillus                     -          LKAP-GUTHK2_A08_064_2017_1 -               16     898       4     877       2     879    1506    +    5.7e-252  837.2  24.2  -
Bacillaceae_Lentibacillus                        -          LKAP-GUTHK2_A08_064_2017_1 -                6     881       8     877       3     879    1470    +    2.7e-251  835.1  24.1  -
Bacillaceae_Sediminibacillus                     -          LKAP-GUTHK2_A08_064_2017_1 -                4     873      15     877      12     879    1478    +    5.9e-251  833.8  23.3  -
Bacillaceae_Domibacillus                         -          LKAP-GUTHK2_A08_064_2017_1 -               24     874      16     877       2     879    1476    +    6.4e-251  833.6  22.7  -
Bacillaceae_Ornithinibacillus                    -          LKAP-GUTHK2_A08_064_2017_1 -               24     887      16     877       1     879    1482    +    8.8e-251  833.2  23.9  -
Planococcaceae_Ureibacillus                      -          LKAP-GUTHK2_A08_064_2017_1 -               15     883       3     877       1     879    1497    +    3.7e-250  831.0  22.4  -
Bacillales_Rummeliibacillus                      -          LKAP-GUTHK2_A08_064_2017_1 -               10     871       5     877       1     878    1473    +    1.3e-249  829.2  22.1  -
Bacillaceae_Amphibacillus                        -          LKAP-GUTHK2_A08_064_2017_1 -                9     891       4     877       1     879    1490    +    4.2e-249  827.6  23.9  -
Bacillaceae_Terribacillus                        -          LKAP-GUTHK2_A08_064_2017_1 -               13     880      13     877       2     879    1472    +    6.1e-249  827.2  23.8  -
Bacillaceae_Lysinibacillus                       -          LKAP-GUTHK2_A08_064_2017_1 -               18     877      10     877       1     879    1476    +    3.4e-248  824.4  22.4  -
Planococcaceae_Jeotgalibacillus                  -          LKAP-GUTHK2_A08_064_2017_1 -               13     875       5     877       1     879    1507    +    4.5e-248  824.1  22.4  -
Bacillaceae_Salipaludibacillus                   -          LKAP-GUTHK2_A08_064_2017_1 -               10     872      19     877      13     879    1480    +    6.1e-248  823.8  23.4  -
Bacillaceae_Halobacillus                         -          LKAP-GUTHK2_A08_064_2017_1 -               15     891       7     877       1     879    1520    +    1.7e-247  822.3  23.9  -
Bacillaceae_Alkalicoccus                         -          LKAP-GUTHK2_A08_064_2017_1 -               28     917       3     877       1     879    1558    +    2.6e-247  821.7  24.0  -
