# target name                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Listeriaceae                     -          LKAP-TSA1KG_H08_050_2018_1 -                6    1000      13    1009       8    1010    1448    +           0 1110.8  21.1  -
Aerococcaceae                    -          LKAP-TSA1KG_H08_050_2018_1 -               11    1015       5    1007       2    1009    1474    +           0 1083.0  22.4  -
Sporolactobacillaceae            -          LKAP-TSA1KG_H08_050_2018_1 -               11    1010       5    1008       2    1010    1503    +           0 1080.1  22.2  -
Heliobacteriaceae                -          LKAP-TSA1KG_H08_050_2018_1 -               28    1002       5    1008       2    1010    1502    +      4e-268  887.3  22.6  -
Deferribacteraceae               -          LKAP-TSA1KG_H08_050_2018_1 -               19    1004       6     999       3    1008    1514    +    2.2e-257  851.5  23.2  -
Geobacteraceae                   -          LKAP-TSA1KG_H08_050_2018_1 -               19     995       5     977       2     997    1485    +    2.8e-256  847.9  23.6  -
Entomoplasmataceae               -          LKAP-TSA1KG_H08_050_2018_1 -               18     968       5     975       2     995    1498    +    5.6e-256  847.2  24.2  -
Natranaerobiaceae                -          LKAP-TSA1KG_H08_050_2018_1 -                6     977      20    1007      15    1009    1426    +    2.6e-254  841.4  21.9  -
Acidaminococcaceae               -          LKAP-TSA1KG_H08_050_2018_1 -               50    1025      44    1009      22    1010    1506    +    1.1e-253  839.3  21.9  -
Desulfuromonadaceae              -          LKAP-TSA1KG_H08_050_2018_1 -               29    1006       5     977       2     997    1519    +    4.3e-253  837.4  23.5  -
Thermoleophilaceae               -          LKAP-TSA1KG_H08_050_2018_1 -                7     979       8     984       3    1005    1486    +    4.4e-253  837.3  23.7  -
Unclassified_Deltaproteobacteria -          LKAP-TSA1KG_H08_050_2018_1 -               27    1007       5     978       2     999    1518    +    2.1e-251  831.9  23.7  -
Syntrophaceae                    -          LKAP-TSA1KG_H08_050_2018_1 -               29    1011       6     983       2    1003    1556    +    4.5e-249  824.1  23.5  -
Thermolithobacteraceae           -          LKAP-TSA1KG_H08_050_2018_1 -               31    1050       5    1009       2    1010    1546    +    2.8e-247  817.9  22.5  -
Unclassified_Acidobacteria       -          LKAP-TSA1KG_H08_050_2018_1 -               31    1030       5    1005       2    1009    1505    +    1.9e-245  812.6  23.0  -
Chrysiogenaceae                  -          LKAP-TSA1KG_H08_050_2018_1 -               72    1003      63    1009      40    1010    1513    +    3.6e-245  811.2  22.0  -
Rubrobacteraceae                 -          LKAP-TSA1KG_H08_050_2018_1 -               29     984      21     984       3    1004    1494    +    4.3e-245  810.9  23.5  -
Symbiobacteriaceae               -          LKAP-TSA1KG_H08_050_2018_1 -                5     982       8     981       4    1000    1487    +    9.2e-245  810.1  22.9  -
Desulfohalobiaceae               -          LKAP-TSA1KG_H08_050_2018_1 -               15    1017       5     995       2    1009    1510    +    4.6e-244  807.4  23.3  -
Halanaerobiaceae                 -          LKAP-TSA1KG_H08_050_2018_1 -               25    1012       8     983       2    1003    1506    +      2e-243  805.2  22.7  -
Anaeroplasmataceae               -          LKAP-TSA1KG_H08_050_2018_1 -               38     988       5     996       2    1002    1453    +    2.6e-243  805.1  24.4  -
Halothiobacillaceae              -          LKAP-TSA1KG_H08_050_2018_1 -               31    1020       8    1007       2    1009    1501    +    4.2e-242  800.9  22.7  -
Unclassified_Alphaproteobacteria -          LKAP-TSA1KG_H08_050_2018_1 -               18     946      12    1004       3    1009    1412    +    1.9e-240  795.8  23.4  -
Bdellovibrionaceae               -          LKAP-TSA1KG_H08_050_2018_1 -                7     941       5     975       2     999    1430    +    2.2e-240  795.3  24.1  -
Nitrospiraceae                   -          LKAP-TSA1KG_H08_050_2018_1 -               17     959       5     977       2     997    1480    +    2.3e-239  792.0  23.7  -
Kangiellaceae                    -          LKAP-TSA1KG_H08_050_2018_1 -               21     985       6     976       2     996    1479    +      4e-239  791.0  23.5  -
Caldicoprobacteraceae            -          LKAP-TSA1KG_H08_050_2018_1 -               27     986       5     980       2    1000    1531    +    3.4e-238  788.0  23.6  -
Defluviitaleaceae                -          LKAP-TSA1KG_H08_050_2018_1 -               17     950      20     984       6    1004    1413    +    5.7e-238  787.4  22.7  -
Unclassified_Oceanospirillales   -          LKAP-TSA1KG_H08_050_2018_1 -               25    1002      14    1008       3    1009    1483    +    6.6e-238  786.8  23.0  -
Hyphomonadaceae                  -          LKAP-TSA1KG_H08_050_2018_1 -               28     934      20     995       3    1009    1399    +    1.9e-237  785.8  23.5  -
Desulfobulbaceae                 -          LKAP-TSA1KG_H08_050_2018_1 -               27     987      20     977       3     996    1482    +    7.4e-237  783.5  23.5  -
Unclassified_Thiotrichales       -          LKAP-TSA1KG_H08_050_2018_1 -               50    1018      21    1006       3    1009    1517    +    2.6e-235  778.4  22.5  -
