# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillales                -          LKAP-GUTHK2_B03_029_2017_1 -               35    1053      20    1040       3    1040    1503    +           0 1143.0  29.9  -
Planococcaceae            -          LKAP-GUTHK2_B03_029_2017_1 -               69    1041      72    1040      49    1040    1491    +           0 1036.0  27.6  -
Bacillaceae               -          LKAP-GUTHK2_B03_029_2017_1 -               23    1047      18    1040       1    1040    1493    +           0 1032.8  30.4  -
Staphylococcaceae         -          LKAP-GUTHK2_B03_029_2017_1 -               31    1040      21    1040       3    1040    1479    +    2.6e-304 1008.2  29.4  -
Sporolactobacillaceae     -          LKAP-GUTHK2_B03_029_2017_1 -               28    1037      20    1040       3    1040    1503    +    1.1e-303 1006.1  29.8  -
Carnobacteriaceae         -          LKAP-GUTHK2_B03_029_2017_1 -               69    1041      70    1040      48    1040    1496    +    3.5e-301  997.9  28.0  -
Enterococcaceae           -          LKAP-GUTHK2_B03_029_2017_1 -               77    1046      72    1040      49    1040    1498    +    4.7e-299  990.9  28.1  -
Aerococcaceae             -          LKAP-GUTHK2_B03_029_2017_1 -               72    1040      72    1040      44    1040    1473    +    5.4e-296  980.7  28.0  -
Paenibacillaceae          -          LKAP-GUTHK2_B03_029_2017_1 -               29    1044      20    1040       2    1040    1493    +    4.1e-294  974.5  29.5  -
Listeriaceae              -          LKAP-GUTHK2_B03_029_2017_1 -               57    1024      74    1040      54    1040    1448    +    1.2e-293  973.0  27.9  -
Thermoactinomycetaceae    -          LKAP-GUTHK2_B03_029_2017_1 -               37    1040      21    1040       3    1040    1495    +    2.3e-292  968.8  29.8  -
Lactobacillaceae          -          LKAP-GUTHK2_B03_029_2017_1 -               95    1069      69    1040      45    1040    1522    +    1.4e-289  959.5  28.4  -
Alicyclobacillaceae       -          LKAP-GUTHK2_B03_029_2017_1 -               24    1044      28    1040       9    1040    1512    +    2.1e-281  932.6  30.2  -
Peptococcaceae            -          LKAP-GUTHK2_B03_029_2017_1 -               36    1020      21    1040       3    1040    1479    +    1.5e-280  929.3  28.5  -
Clostridiaceae            -          LKAP-GUTHK2_B03_029_2017_1 -               42    1021      20    1040       3    1040    1485    +      4e-276  914.6  28.5  -
Eubacteriaceae            -          LKAP-GUTHK2_B03_029_2017_1 -               42    1030      20    1040       4    1040    1485    +    1.3e-275  913.1  29.7  -
Clostridiales             -          LKAP-GUTHK2_B03_029_2017_1 -               35    1024      20    1040       4    1040    1470    +    5.2e-274  907.8  29.2  -
Leuconostocaceae          -          LKAP-GUTHK2_B03_029_2017_1 -               71    1042      68    1040      39    1040    1479    +    3.8e-273  905.0  28.3  -
Erysipelotrichaceae       -          LKAP-GUTHK2_B03_029_2017_1 -               39    1018      25    1040       5    1040    1466    +    3.2e-271  898.7  29.6  -
