# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Ferrimonadaceae                  -          LKAP-GutHK_D06_042   -               10    1019       7    1014       3    1017    1475    +           0 1105.8  26.4  -
Aeromonadaceae                   -          LKAP-GutHK_D06_042   -               22    1023       7    1014       3    1017    1496    +           0 1082.3  25.4  -
Hafniaceae                       -          LKAP-GutHK_D06_042   -                8    1003      11    1014       3    1017    1459    +           0 1075.4  25.0  -
Unclassified_Alteromonadales     -          LKAP-GutHK_D06_042   -               11    1009       8    1014       3    1017    1467    +           0 1075.1  25.1  -
Budviciaceae                     -          LKAP-GutHK_D06_042   -                2     999       9    1014       8    1018    1483    +           0 1060.9  25.1  -
Colwelliaceae                    -          LKAP-GutHK_D06_042   -               10    1008       7    1014       3    1017    1465    +           0 1034.9  25.1  -
Idiomarinaceae                   -          LKAP-GutHK_D06_042   -               10    1010       7    1014       2    1017    1466    +           0 1027.8  25.3  -
Moritellaceae                    -          LKAP-GutHK_D06_042   -               26    1026       8    1014       3    1017    1501    +           0 1025.7  24.8  -
Psychromonadaceae                -          LKAP-GutHK_D06_042   -               10    1009       7    1014       3    1017    1467    +    1.9e-302 1001.0  24.9  -
Thorselliaceae                   -          LKAP-GutHK_D06_042   -               39     978      74    1014      54    1017    1419    +    2.2e-300  994.1  24.3  -
Unclassified_Oceanospirillales   -          LKAP-GutHK_D06_042   -               15    1008       7    1014       3    1017    1483    +    3.1e-300  993.4  26.0  -
Orbaceae                         -          LKAP-GutHK_D06_042   -               38    1032       8    1014       3    1017    1538    +      2e-292  967.7  25.2  -
Alcanivoracaceae                 -          LKAP-GutHK_D06_042   -               30    1028       7    1014       3    1017    1504    +    2.1e-291  964.2  25.3  -
Succinivibrionaceae              -          LKAP-GutHK_D06_042   -               13     986       7    1014       3    1018    1474    +    1.6e-286  948.1  25.4  -
Celerinatantimonadaceae          -          LKAP-GutHK_D06_042   -                5    1016       7    1014       4    1017    1433    +    1.9e-285  944.7  25.0  -
Halothiobacillaceae              -          LKAP-GutHK_D06_042   -               44    1028      20    1015       4    1018    1501    +    4.8e-285  943.2  25.1  -
Litoricolaceae                   -          LKAP-GutHK_D06_042   -               18    1015       7    1014       3    1017    1474    +    1.3e-283  938.6  25.4  -
Thioalkalispiraceae              -          LKAP-GutHK_D06_042   -               40    1026      20    1014       3    1017    1478    +    9.7e-283  935.5  25.5  -
Halieaceae                       -          LKAP-GutHK_D06_042   -               18    1009       7    1014       3    1017    1484    +    2.6e-281  930.9  25.7  -
Spongiibacteraceae               -          LKAP-GutHK_D06_042   -               15    1006       9    1014       3    1017    1462    +      5e-280  926.5  25.2  -
Microbulbiferaceae               -          LKAP-GutHK_D06_042   -               10    1002       7    1014       3    1017    1478    +    6.4e-279  923.1  25.4  -
Saccharospirillaceae             -          LKAP-GutHK_D06_042   -               35    1002      26    1014       5    1017    1468    +    6.3e-278  919.6  25.3  -
Kangiellaceae                    -          LKAP-GutHK_D06_042   -               36    1021      20    1014       4    1017    1479    +    7.2e-273  902.8  24.7  -
Cardiobacteriaceae               -          LKAP-GutHK_D06_042   -               35    1011      20    1014       4    1017    1462    +      2e-270  895.1  25.6  -
Thermoleophilaceae               -          LKAP-GutHK_D06_042   -               20    1005      20    1012       6    1017    1486    +    4.3e-269  890.3  24.6  -
Coxiellaceae                     -          LKAP-GutHK_D06_042   -               11    1015       8    1014       3    1017    1473    +    2.5e-267  884.6  25.7  -
Arenicellaceae                   -          LKAP-GutHK_D06_042   -               66    1001      77    1012      56    1015    1488    +    1.2e-264  875.7  24.1  -
Nevskiaceae                      -          LKAP-GutHK_D06_042   -               66    1004      75    1015      53    1018    1470    +    1.4e-264  875.8  24.4  -
Unclassified_Thiotrichales       -          LKAP-GutHK_D06_042   -               91    1026      75    1014      53    1017    1517    +    2.2e-264  874.8  23.8  -
Granulosicoccaceae               -          LKAP-GutHK_D06_042   -               27    1010      20    1014       4    1017    1471    +    6.1e-264  873.4  25.2  -
Salinisphaeraceae                -          LKAP-GutHK_D06_042   -               14     996      18    1014       6    1017    1432    +    9.6e-258  852.9  25.0  -
Hydrogenophilaceae               -          LKAP-GutHK_D06_042   -               27    1008      20    1015       4    1018    1462    +    8.2e-256  846.6  25.8  -
Sulfuricellaceae                 -          LKAP-GutHK_D06_042   -               27     996      20    1002       5    1016    1462    +    4.6e-254  840.7  25.3  -
Acidiferrobacteraceae            -          LKAP-GutHK_D06_042   -               64    1004      77    1016      57    1018    1456    +    9.4e-250  826.4  24.1  -
Azonexaceae                      -          LKAP-GutHK_D06_042   -               28    1000      20    1006       3    1016    1474    +    2.3e-249  825.2  25.8  -
Sutterellaceae                   -          LKAP-GutHK_D06_042   -               27    1000      20    1008       4    1017    1487    +      5e-249  823.7  25.1  -
Methylophilaceae                 -          LKAP-GutHK_D06_042   -               47     984      71    1005      49    1017    1430    +    2.5e-248  821.6  24.4  -
Nitrosomonadaceae                -          LKAP-GutHK_D06_042   -               27     999      20    1006       4    1015    1463    +    5.1e-248  820.8  25.7  -
Geobacteraceae                   -          LKAP-GutHK_D06_042   -               72    1033      74    1016      50    1018    1485    +    5.3e-247  817.2  24.5  -
Francisellaceae                  -          LKAP-GutHK_D06_042   -               72    1010      74    1014      52    1017    1509    +    2.7e-246  814.9  24.0  -
Thiobacilliaceae                 -          LKAP-GutHK_D06_042   -               46    1015      20    1006       5    1016    1517    +    1.9e-245  812.2  25.0  -
Unclassified_Deltaproteobacteria -          LKAP-GutHK_D06_042   -               61    1043      46    1012      24    1017    1518    +    4.2e-245  811.0  24.3  -
Methylothermaceae                -          LKAP-GutHK_D06_042   -               48    1031      20    1013       3    1016    1491    +    1.1e-244  809.5  25.7  -
Desulfohalobiaceae               -          LKAP-GutHK_D06_042   -               31    1040      20    1017       4    1018    1510    +    4.9e-244  807.3  24.9  -
Thermithiobacillaceae            -          LKAP-GutHK_D06_042   -               12     991      20    1016      15    1018    1419    +    7.5e-243  803.5  24.8  -
Wenzhouxiangellaceae             -          LKAP-GutHK_D06_042   -               70    1014      74    1014      60    1017    1472    +    2.9e-242  801.4  23.9  -
Desulfobulbaceae                 -          LKAP-GutHK_D06_042   -               67    1018      77    1010      56    1017    1482    +    5.6e-242  800.5  23.7  -
Syntrophaceae                    -          LKAP-GutHK_D06_042   -               86    1035      78    1009      57    1018    1556    +    1.3e-240  796.0  23.6  -
Unclassified_Alphaproteobacteria -          LKAP-GutHK_D06_042   -               27     950      20    1009       3    1018    1412    +    3.5e-240  794.9  24.7  -
