# target name             accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Shewanellaceae            -          F0502_LKAP-FHGF1_A07_063 -               27    1137       7    1097       3    1100    1483    +           0 1201.4  12.2  -
Aeromonadaceae            -          F0502_LKAP-FHGF1_A07_063 -               39    1149       7    1097       3    1100    1496    +           0 1080.3  12.2  -
Ferrimonadaceae           -          F0502_LKAP-FHGF1_A07_063 -               27    1145       7    1097       2    1100    1475    +           0 1073.9  12.3  -
Alteromonadales           -          F0502_LKAP-FHGF1_A07_063 -               28    1136       8    1097       3    1100    1468    +           0 1055.4  12.3  -
Moritellaceae             -          F0502_LKAP-FHGF1_A07_063 -               42    1152       7    1097       4    1100    1501    +           0 1050.8  12.3  -
Alteromonadaceae          -          F0502_LKAP-FHGF1_A07_063 -               27    1133       7    1097       3    1100    1468    +           0 1044.1  12.3  -
Gammaproteobacteria       -          F0502_LKAP-FHGF1_A07_063 -               27    1134       7    1097       3    1100    1481    +           0 1042.7  12.1  -
Vibrionaceae              -          F0502_LKAP-FHGF1_A07_063 -               27    1145       7    1097       3    1100    1474    +           0 1042.1  12.3  -
Pseudoalteromonadaceae    -          F0502_LKAP-FHGF1_A07_063 -               27    1131       7    1097       3    1100    1469    +           0 1029.1  11.6  -
Oceanospirillaceae        -          F0502_LKAP-FHGF1_A07_063 -               28    1136       8    1097       3    1100    1467    +           0 1023.0  12.1  -
Pectobacteriaceae         -          F0502_LKAP-FHGF1_A07_063 -               24    1132       7    1097       3    1100    1477    +    6.2e-304 1006.9  12.3  -
Yersiniaceae              -          F0502_LKAP-FHGF1_A07_063 -               27    1135       7    1097       3    1100    1473    +    5.8e-303 1003.7  12.3  -
Colwelliaceae             -          F0502_LKAP-FHGF1_A07_063 -               27    1136       7    1097       4    1100    1467    +    2.4e-301  998.5  12.3  -
