# target name                    accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Ferrimonadaceae                  -          LKAP.g-Gut1_F02_006.seq -               23    1043       4    1018       1    1025    1475    +           0 1059.3  18.3  -
Unclassified_Alteromonadales     -          LKAP.g-Gut1_F02_006.seq -               24    1033       5    1018       1    1025    1467    +           0 1035.7  17.9  -
Hafniaceae                       -          LKAP.g-Gut1_F02_006.seq -               17    1027       4    1018       1    1026    1459    +           0 1023.3  18.4  -
Aeromonadaceae                   -          LKAP.g-Gut1_F02_006.seq -               35    1047       4    1018       1    1025    1496    +    2.9e-307 1016.7  18.2  -
Budviciaceae                     -          LKAP.g-Gut1_F02_006.seq -               13    1023       4    1018       1    1026    1483    +    1.1e-301  998.4  18.2  -
Colwelliaceae                    -          LKAP.g-Gut1_F02_006.seq -               24    1032       5    1018       1    1025    1465    +    6.7e-300  992.6  18.3  -
Moritellaceae                    -          LKAP.g-Gut1_F02_006.seq -               39    1050       5    1018       1    1026    1501    +    1.9e-299  990.9  18.1  -
Idiomarinaceae                   -          LKAP.g-Gut1_F02_006.seq -               23    1034       4    1018       1    1025    1466    +    3.9e-299  989.8  18.1  -
Psychromonadaceae                -          LKAP.g-Gut1_F02_006.seq -               24    1033       5    1018       1    1026    1467    +      1e-298  988.6  18.0  -
Thorselliaceae                   -          LKAP.g-Gut1_F02_006.seq -                1    1002       9    1018       9    1026    1419    +    1.6e-290  961.3  19.0  -
Unclassified_Oceanospirillales   -          LKAP.g-Gut1_F02_006.seq -               28    1031       4    1017       1    1025    1483    +    1.8e-289  957.8  18.4  -
Orbaceae                         -          LKAP.g-Gut1_F02_006.seq -               51    1056       5    1018       1    1025    1538    +    4.3e-288  953.3  18.8  -
Celerinatantimonadaceae          -          LKAP.g-Gut1_F02_006.seq -               19    1040       5    1018       1    1026    1433    +      8e-285  942.6  18.2  -
Alcanivoracaceae                 -          LKAP.g-Gut1_F02_006.seq -               43    1051       4    1017       1    1025    1504    +    1.6e-282  934.8  18.4  -
Halieaceae                       -          LKAP.g-Gut1_F02_006.seq -               32    1033       5    1018       1    1025    1484    +    2.3e-282  934.4  18.3  -
Thioalkalispiraceae              -          LKAP.g-Gut1_F02_006.seq -               36    1050       4    1018       1    1025    1478    +    1.3e-278  921.8  18.0  -
Litoricolaceae                   -          LKAP.g-Gut1_F02_006.seq -               31    1039       4    1018       1    1025    1474    +    1.6e-276  915.2  18.4  -
Succinivibrionaceae              -          LKAP.g-Gut1_F02_006.seq -               27    1010       5    1018       1    1025    1474    +    5.4e-276  913.3  18.2  -
Spongiibacteraceae               -          LKAP.g-Gut1_F02_006.seq -               26    1030       4    1018       1    1025    1462    +    6.5e-276  912.9  18.3  -
Halothiobacillaceae              -          LKAP.g-Gut1_F02_006.seq -               40    1051       4    1018       1    1025    1501    +    8.5e-275  909.3  18.2  -
Microbulbiferaceae               -          LKAP.g-Gut1_F02_006.seq -               23    1026       4    1018       1    1026    1478    +    3.4e-273  904.2  17.7  -
Kangiellaceae                    -          LKAP.g-Gut1_F02_006.seq -               33    1045       5    1018       1    1025    1479    +    2.8e-272  900.9  18.0  -
Saccharospirillaceae             -          LKAP.g-Gut1_F02_006.seq -               24    1026       4    1018       1    1025    1468    +    2.3e-269  891.3  18.7  -
Thermoleophilaceae               -          LKAP.g-Gut1_F02_006.seq -               15    1031       4    1018       1    1025    1486    +    1.1e-265  879.1  17.9  -
Nevskiaceae                      -          LKAP.g-Gut1_F02_006.seq -               31    1027       4    1018       1    1025    1470    +    7.6e-265  876.7  18.1  -
Coxiellaceae                     -          LKAP.g-Gut1_F02_006.seq -               24    1039       5    1018       1    1025    1473    +    1.2e-264  875.7  18.5  -
Cardiobacteriaceae               -          LKAP.g-Gut1_F02_006.seq -               32    1035       5    1018       1    1025    1462    +      1e-263  872.9  18.3  -
