# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae_Planococcus                       -          LKAP-TSAKG2_C04_028_2018_2 -               39     845      21     826       4     828    1492    +           0 1042.7  20.5  -
Planococcaceae_Planomicrobium                    -          LKAP-TSAKG2_C04_028_2018_2 -               18     835      13     826       4     828    1485    +    9.5e-308 1022.0  20.6  -
Planococcaceae_Sporosarcina                      -          LKAP-TSAKG2_C04_028_2018_2 -               29     835      21     826       4     828    1504    +    1.5e-289  961.6  20.5  -
Planococcaceae_Jeotgalibacillus                  -          LKAP-TSAKG2_C04_028_2018_2 -               14     837       9     826       3     828    1507    +    2.1e-282  937.8  20.8  -
Planococcaceae_Chryseomicrobium                  -          LKAP-TSAKG2_C04_028_2018_2 -               28     837      20     826       3     828    1483    +    2.7e-280  930.8  20.7  -
Bacillaceae_Lysinibacillus                       -          LKAP-TSAKG2_C04_028_2018_2 -               28     839      20     826       3     828    1476    +    7.1e-279  926.0  20.6  -
Bacillaceae_Psychrobacillus                      -          LKAP-TSAKG2_C04_028_2018_2 -               36     845      21     826       4     828    1503    +    9.5e-279  925.6  20.2  -
Planococcaceae_Bhargavaea                        -          LKAP-TSAKG2_C04_028_2018_2 -               49     854      21     826       3     828    1544    +    2.6e-278  924.3  20.5  -
Planococcaceae_Paenisporosarcina                 -          LKAP-TSAKG2_C04_028_2018_2 -               19     830      20     826       5     828    1481    +      5e-275  913.3  20.5  -
Bacillaceae_Domibacillus                         -          LKAP-TSAKG2_C04_028_2018_2 -               28     836      20     826       3     828    1476    +    8.3e-275  912.7  20.7  -
Bacillaceae_Anoxybacillus                        -          LKAP-TSAKG2_C04_028_2018_2 -               29     838      20     826       4     828    1495    +      1e-272  905.8  20.8  -
Bacillales_Rummeliibacillus                      -          LKAP-TSAKG2_C04_028_2018_2 -               24     833      19     826       3     828    1473    +      5e-269  893.5  20.7  -
Bacillaceae_Oceanobacillus                       -          LKAP-TSAKG2_C04_028_2018_2 -               28     851      20     826       3     828    1508    +    1.8e-268  891.8  20.5  -
Bacillaceae_Viridibacillus                       -          LKAP-TSAKG2_C04_028_2018_2 -               28     837      20     826       4     828    1505    +    1.6e-267  888.4  20.4  -
Bacillaceae_Fictibacillus                        -          LKAP-TSAKG2_C04_028_2018_2 -               10     804      21     814      16     826    1439    +      5e-267  886.8  20.3  -
Listeriaceae_Listeria                            -          LKAP-TSAKG2_C04_028_2018_2 -               13     822      21     826      13     828    1458    +    7.9e-267  886.4  19.6  -
Bacillaceae_Virgibacillus                        -          LKAP-TSAKG2_C04_028_2018_2 -               15     853      10     826       3     828    1519    +    8.9e-267  886.2  20.7  -
Planococcaceae_Kurthia                           -          LKAP-TSAKG2_C04_028_2018_2 -               17     837      12     826       3     828    1479    +      2e-265  881.4  20.8  -
Bacillaceae_Pontibacillus                        -          LKAP-TSAKG2_C04_028_2018_2 -               13     833      21     826      15     828    1469    +    2.8e-264  877.9  19.6  -
Planococcaceae_Caryophanon                       -          LKAP-TSAKG2_C04_028_2018_2 -               55     868      20     826       4     828    1492    +    5.7e-263  873.3  20.7  -
Staphylococcaceae_Salinicoccus                   -          LKAP-TSAKG2_C04_028_2018_2 -               20     829      20     826       5     828    1476    +    3.4e-261  867.6  20.6  -
Staphylococcaceae_Macrococcus                    -          LKAP-TSAKG2_C04_028_2018_2 -               48     858      20     826       4     828    1547    +    6.3e-261  866.6  20.9  -
Bacillaceae_Ornithinibacillus                    -          LKAP-TSAKG2_C04_028_2018_2 -               29     849      21     826       4     828    1482    +    2.8e-260  864.6  20.2  -
Planococcaceae_Ureibacillus                      -          LKAP-TSAKG2_C04_028_2018_2 -               35     845      20     826       4     828    1497    +    3.9e-260  864.0  20.8  -
Bacillales_Solibacillus                          -          LKAP-TSAKG2_C04_028_2018_2 -               31     844      20     826       3     828    1525    +    5.1e-260  863.6  20.4  -
Bacillaceae_Terribacillus                        -          LKAP-TSAKG2_C04_028_2018_2 -               21     842      20     826       3     828    1472    +    4.3e-259  860.7  20.7  -
Bacillaceae_Lentibacillus                        -          LKAP-TSAKG2_C04_028_2018_2 -               18     843      20     826       6     828    1470    +    5.8e-259  860.4  20.4  -
Staphylococcaceae_Staphylococcus                 -          LKAP-TSAKG2_C04_028_2018_2 -               37     845      20     826       4     828    1484    +    8.6e-258  856.2  20.3  -
Bacillaceae_Salinibacillus                       -          LKAP-TSAKG2_C04_028_2018_2 -               13     849      10     826       3     828    1471    +    8.7e-258  856.4  20.7  -
Bacillaceae_Aquibacillus                         -          LKAP-TSAKG2_C04_028_2018_2 -               46     868      21     826       3     828    1524    +    9.8e-258  856.1  20.5  -
Enterococcaceae_Vagococcus                       -          LKAP-TSAKG2_C04_028_2018_2 -               16     846      11     825       3     827    1472    +      1e-255  849.5  20.8  -
Enterococcaceae_Enterococcus                     -          LKAP-TSAKG2_C04_028_2018_2 -               28     845      20     825       3     827    1502    +    1.8e-254  845.3  20.5  -
Bacillaceae_Anaerobacillus                       -          LKAP-TSAKG2_C04_028_2018_2 -               35     852      11     822       4     827    1512    +      3e-254  844.4  20.8  -
Bacillaceae_Gracilibacillus                      -          LKAP-TSAKG2_C04_028_2018_2 -               30     853      20     826       3     828    1511    +    1.7e-253  842.1  20.5  -
Sporolactobacillaceae_Pullulanibacillus          -          LKAP-TSAKG2_C04_028_2018_2 -               49     864      21     824       4     827    1553    +    4.8e-253  840.6  21.2  -
Carnobacteriaceae_Carnobacterium                 -          LKAP-TSAKG2_C04_028_2018_2 -               48     865      21     825       4     827    1520    +    5.5e-253  840.5  20.4  -
Bacillaceae_Geobacillus                          -          LKAP-TSAKG2_C04_028_2018_2 -               42     853      20     826       3     828    1527    +    2.2e-252  838.5  20.8  -
Bacillaceae_Sediminibacillus                     -          LKAP-TSAKG2_C04_028_2018_2 -               10     835      21     826      16     828    1478    +    3.3e-252  837.8  19.6  -
Carnobacteriaceae_Jeotgalibaca                   -          LKAP-TSAKG2_C04_028_2018_2 -               19     829      20     825       5     827    1453    +    2.2e-251  835.0  20.5  -
Bacillaceae_Amphibacillus                        -          LKAP-TSAKG2_C04_028_2018_2 -               29     853      21     826       4     828    1490    +    5.3e-251  833.8  20.5  -
Bacillales_Geomicrobium                          -          LKAP-TSAKG2_C04_028_2018_2 -               40     835      21     812       5     825    1537    +    3.5e-250  831.1  21.1  -
Bacillaceae_Thalassobacillus                     -          LKAP-TSAKG2_C04_028_2018_2 -               35     860      20     826       4     828    1506    +    8.5e-250  829.9  20.6  -
Bacillaceae_Halobacillus                         -          LKAP-TSAKG2_C04_028_2018_2 -               15     853      10     826       2     828    1520    +    2.3e-249  828.4  20.8  -
Staphylococcaceae_Jeotgalicoccus                 -          LKAP-TSAKG2_C04_028_2018_2 -               15     823      21     826      10     828    1443    +    1.1e-247  822.8  20.0  -
Aerococcaceae_Facklamia                          -          LKAP-TSAKG2_C04_028_2018_2 -               29     839      21     826       4     828    1501    +    1.3e-247  822.7  20.7  -
Carnobacteriaceae_Granulicatella                 -          LKAP-TSAKG2_C04_028_2018_2 -               48     856      20     825       3     827    1407    +    1.5e-247  822.3  20.8  -
Paenibacillaceae_Aneurinibacillus                -          LKAP-TSAKG2_C04_028_2018_2 -               31     827      21     825       5     827    1483    +    2.8e-247  821.4  20.6  -
Bacillaceae_Scopulibacillus                      -          LKAP-TSAKG2_C04_028_2018_2 -               49     868      21     826       5     828    1555    +    4.2e-247  820.8  20.4  -
Paenibacillaceae_Brevibacillus                   -          LKAP-TSAKG2_C04_028_2018_2 -               15     818      11     822       3     827    1486    +    4.3e-247  820.9  21.7  -
Bacillaceae_Salipaludibacillus                   -          LKAP-TSAKG2_C04_028_2018_2 -               12     831      22     823      16     827    1480    +    5.9e-247  820.4  19.8  -
Bacillaceae_Paraliobacillus                      -          LKAP-TSAKG2_C04_028_2018_2 -               29     854      21     826       4     828    1511    +    7.1e-247  820.2  20.5  -
Aerococcaceae_Aerococcus                         -          LKAP-TSAKG2_C04_028_2018_2 -               19     825      20     824       5     827    1461    +    7.6e-247  819.9  20.5  -
Carnobacteriaceae_Trichococcus                   -          LKAP-TSAKG2_C04_028_2018_2 -               30     846      20     825       4     827    1513    +    1.7e-246  818.7  20.7  -
Sporolactobacillaceae_Sporolactobacillus         -          LKAP-TSAKG2_C04_028_2018_2 -               28     835      20     826       3     828    1503    +    2.1e-245  815.2  20.7  -
Bacillaceae_Alkalibacillus                       -          LKAP-TSAKG2_C04_028_2018_2 -               20     841      21     825       5     827    1492    +    3.5e-245  814.6  20.9  -
Bacillaceae_Tepidibacillus                       -          LKAP-TSAKG2_C04_028_2018_2 -               35     837      21     822       3     827    1493    +    3.1e-244  811.0  20.8  -
Bacillaceae_Halolactibacillus                    -          LKAP-TSAKG2_C04_028_2018_2 -               16     840      21     826       9     828    1491    +    3.2e-244  811.2  19.8  -
Bacillales_Exiguobacterium                       -          LKAP-TSAKG2_C04_028_2018_2 -               42     860      21     826       4     828    1526    +    1.6e-243  809.0  20.9  -
Listeriaceae_Brochothrix                         -          LKAP-TSAKG2_C04_028_2018_2 -               16     823      21     826       9     828    1421    +    5.5e-243  807.5  20.2  -
Bacillaceae_Alteribacillus                       -          LKAP-TSAKG2_C04_028_2018_2 -               53     821      60     823      30     827    1440    +    3.5e-242  804.7  19.7  -
Paenibacillaceae_Cohnella                        -          LKAP-TSAKG2_C04_028_2018_2 -               32     833      20     819       3     826    1482    +    4.3e-242  804.4  20.9  -
Bacillaceae_Alkalicoccus                         -          LKAP-TSAKG2_C04_028_2018_2 -               49     876      21     823       3     827    1558    +    5.6e-241  800.6  20.8  -
Bacillaceae_Piscibacillus                        -          LKAP-TSAKG2_C04_028_2018_2 -                8     826      21     823      16     827    1520    +    1.9e-240  798.9  20.0  -
Bacillaceae_Salsuginibacillus                    -          LKAP-TSAKG2_C04_028_2018_2 -               53     875      21     823       4     827    1505    +    1.9e-239  795.5  20.5  -
Bacillaceae_Salimicrobium                        -          LKAP-TSAKG2_C04_028_2018_2 -               29     854      21     826       4     828    1500    +    3.8e-238  791.3  20.5  -
Paenibacillaceae_Fontibacillus                   -          LKAP-TSAKG2_C04_028_2018_2 -               34     829      21     812       3     826    1487    +    9.4e-237  786.6  21.0  -
Carnobacteriaceae_Alkalibacterium                -          LKAP-TSAKG2_C04_028_2018_2 -               53     824      55     825      25     827    1494    +    4.7e-236  784.3  19.8  -
Bacillaceae_Pelagirhabdus                        -          LKAP-TSAKG2_C04_028_2018_2 -               53     824      61     826      41     828    1462    +      1e-235  783.0  19.9  -
Enterococcaceae_Tetragenococcus                  -          LKAP-TSAKG2_C04_028_2018_2 -               33     846      20     825       3     827    1518    +    1.4e-235  782.7  20.7  -
Bacillales_Gemella                               -          LKAP-TSAKG2_C04_028_2018_2 -               31     821      20     806       4     814    1511    +    4.5e-234  777.8  21.4  -
Bacillaceae_Thermolongibacillus                  -          LKAP-TSAKG2_C04_028_2018_2 -                2     810      26     825      25     828    1432    +    3.1e-233  774.8  20.0  -
Thermoactinomycetaceae_Kroppenstedtia            -          LKAP-TSAKG2_C04_028_2018_2 -               28     846      20     821       4     827    1486    +    7.5e-233  773.6  21.1  -
Carnobacteriaceae_Marinilactibacillus            -          LKAP-TSAKG2_C04_028_2018_2 -               17     824      21     825      15     828    1511    +    4.5e-232  770.9  19.6  -
Paenibacillaceae_Ammoniphilus                    -          LKAP-TSAKG2_C04_028_2018_2 -               30     814      20     814       4     826    1497    +      8e-232  770.4  22.0  -
Staphylococcaceae_Nosocomiicoccus                -          LKAP-TSAKG2_C04_028_2018_2 -               50     868      21     826       3     828    1546    +    4.8e-231  767.6  20.4  -
Thermoactinomycetaceae_Melghirimyces             -          LKAP-TSAKG2_C04_028_2018_2 -               36     852      20     820       3     827    1506    +      1e-230  766.7  21.3  -
Paenibacillaceae_Saccharibacillus                -          LKAP-TSAKG2_C04_028_2018_2 -               32     827      21     812       3     822    1498    +    1.1e-229  763.6  21.1  -
Bacillaceae_Salibacterium                        -          LKAP-TSAKG2_C04_028_2018_2 -               64     830      60     823      32     827    1485    +    3.6e-229  761.5  19.8  -
Bacillaceae_Caldalkalibacillus                   -          LKAP-TSAKG2_C04_028_2018_2 -                7     825      21     818      17     826    1488    +    3.1e-228  758.3  20.3  -
Bacillaceae_Salisediminibacterium                -          LKAP-TSAKG2_C04_028_2018_2 -               59     825      62     823      40     827    1449    +    3.1e-228  758.4  20.0  -
Planococcaceae_Filibacter                        -          LKAP-TSAKG2_C04_028_2018_2 -               38     845      20     826       3     828    1517    +    7.9e-227  753.3  20.6  -
Lactobacillaceae_Pediococcus                     -          LKAP-TSAKG2_C04_028_2018_2 -              106     872      60     825      40     827    1526    +    3.6e-226  751.6  19.8  -
Thermoactinomycetaceae_Desmospora                -          LKAP-TSAKG2_C04_028_2018_2 -               47     853      20     821       4     827    1548    +    6.5e-226  750.9  21.1  -
Peptococcaceae_Desulfotomaculum                  -          LKAP-TSAKG2_C04_028_2018_2 -               27     824       9     820       3     826    1493    +    2.5e-225  748.6  22.9  -
Thermoactinomycetaceae_Marininema                -          LKAP-TSAKG2_C04_028_2018_2 -               47     849      20     820       4     827    1553    +    3.5e-225  748.2  21.4  -
Thermoactinomycetaceae_Thermoactinomyces         -          LKAP-TSAKG2_C04_028_2018_2 -               48     854      20     825       4     827    1510    +    1.2e-224  746.6  21.2  -
Thermoactinomycetaceae_Mechercharimyces          -          LKAP-TSAKG2_C04_028_2018_2 -               38     831      20     813       4     825    1439    +    4.9e-224  744.4  21.9  -
Bacillales_Desulfuribacillus                     -          LKAP-TSAKG2_C04_028_2018_2 -               37     833      20     813       3     823    1495    +    7.6e-224  743.7  21.6  -
Bacillales_Chungangia                            -          LKAP-TSAKG2_C04_028_2018_2 -               36     842      20     826       3     828    1440    +    3.7e-223  741.1  20.7  -
Eubacteriaceae_Eubacterium                       -          LKAP-TSAKG2_C04_028_2018_2 -               37     823      12     811       5     824    1476    +    1.6e-220  732.8  22.8  -
Thermoactinomycetaceae_Planifilum                -          LKAP-TSAKG2_C04_028_2018_2 -               48     846      20     813       4     826    1517    +    1.6e-220  732.9  21.5  -
Alicyclobacillaceae_Effusibacillus               -          LKAP-TSAKG2_C04_028_2018_2 -               24     819      20     814       4     826    1466    +    2.5e-220  732.2  21.3  -
Paenibacillaceae_Thermobacillus                  -          LKAP-TSAKG2_C04_028_2018_2 -               48     869      20     822       4     827    1599    +    1.8e-219  729.3  21.3  -
Alicyclobacillaceae_Tumebacillus                 -          LKAP-TSAKG2_C04_028_2018_2 -               36     830      20     823       4     827    1489    +    8.8e-219  727.2  22.0  -
Bacillaceae_Marinococcus                         -          LKAP-TSAKG2_C04_028_2018_2 -               73     832      61     812      39     825    1503    +    2.7e-218  725.5  20.4  -
Alicyclobacillaceae_Alicyclobacillus             -          LKAP-TSAKG2_C04_028_2018_2 -               48     833      20     816       4     826    1509    +      1e-217  723.7  21.7  -
Planococcaceae_Savagea                           -          LKAP-TSAKG2_C04_028_2018_2 -               49     857      20     826       3     828    1547    +    5.7e-217  720.6  20.6  -
Peptococcaceae_Desulfosporosinus                 -          LKAP-TSAKG2_C04_028_2018_2 -               20     850       9     823       3     828    1523    +    1.6e-216  719.4  21.3  -
Thermoactinomycetaceae_Laceyella                 -          LKAP-TSAKG2_C04_028_2018_2 -               29     780      21     812       4     822    1428    +    1.8e-215  716.1  23.6  -
Thermoactinomycetaceae_Risungbinella             -          LKAP-TSAKG2_C04_028_2018_2 -               49     812      20     825       3     827    1464    +    2.2e-215  716.0  22.0  -
Bacillaceae_Calditerricola                       -          LKAP-TSAKG2_C04_028_2018_2 -               49     863      21     819       4     826    1535    +    9.8e-215  713.6  21.4  -
Bacillaceae_Falsibacillus                        -          LKAP-TSAKG2_C04_028_2018_2 -                2     808      21     826      20     828    1413    +    2.4e-214  711.9  19.7  -
Leuconostocaceae_Weissella                       -          LKAP-TSAKG2_C04_028_2018_2 -               27     860      22     826       3     828    1485    +    2.7e-212  705.5  20.5  -
Streptococcaceae_Lactococcus                     -          LKAP-TSAKG2_C04_028_2018_2 -               34     834      20     817       3     826    1492    +    1.1e-211  703.3  21.3  -
Peptococcaceae_Desulfitobacterium                -          LKAP-TSAKG2_C04_028_2018_2 -               14     857       9     823       4     828    1521    +    9.2e-210  696.6  21.3  -
Streptococcaceae_Streptococcus                   -          LKAP-TSAKG2_C04_028_2018_2 -               33     846      20     826       4     827    1497    +    9.6e-210  697.1  20.4  -
Bacillaceae_Paucisalibacillus                    -          LKAP-TSAKG2_C04_028_2018_2 -               44     864      21     826       3     828    1441    +      5e-209  694.3  20.5  -
Bacillaceae_Compostibacillus                     -          LKAP-TSAKG2_C04_028_2018_2 -              148     920      55     826      35     828    1555    +    4.9e-207  687.8  19.2  -
Bacillaceae_Fermentibacillus                     -          LKAP-TSAKG2_C04_028_2018_2 -               47     852      20     824       3     827    1530    +    4.1e-206  684.6  20.6  -
Brevibacteriaceae_Brevibacterium                 -          LKAP-TSAKG2_C04_028_2018_2 -               25     817      10     821       4     825    1485    +    1.3e-205  683.1  22.4  -
Bacillaceae_Aeribacillus                         -          LKAP-TSAKG2_C04_028_2018_2 -               33     842      20     826       3     828    1516    +    4.8e-205  681.3  20.7  -
Bacillaceae_Saccharococcus                       -          LKAP-TSAKG2_C04_028_2018_2 -               48     841      20     815       3     827    1538    +    9.7e-205  680.2  20.9  -
Bacillaceae_Salirhabdus                          -          LKAP-TSAKG2_C04_028_2018_2 -               43     863      21     826       3     828    1546    +    4.8e-204  678.0  20.5  -
Bacillaceae_Polygonibacillus                     -          LKAP-TSAKG2_C04_028_2018_2 -                2     801      27     823      26     827    1480    +    2.3e-203  675.5  20.0  -
