# target name           accession  query name            accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#   ------------------- ----------  -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moritellaceae           -          LKAP-Gut2_A10_080.seq -               69     631      27     552       7     556    1501    +     1.1e-13   42.9   8.5  -
Idiomarinaceae          -          LKAP-Gut2_A10_080.seq -               57     604      30     541       9     556    1466    +       3e-12   38.1   8.6  -
Aeromonadaceae          -          LKAP-Gut2_A10_080.seq -               65     616      25     539       5     556    1496    +     3.5e-12   37.8   8.4  -
Colwelliaceae           -          LKAP-Gut2_A10_080.seq -              253     610     216     549     180     556    1465    +     5.9e-11   34.1   5.2  -
Celerinatantimonadaceae -          LKAP-Gut2_A10_080.seq -              252     606     216     538     195     556    1433    +     9.1e-11   33.5   5.0  -
Thorselliaceae          -          LKAP-Gut2_A10_080.seq -              190     414     186     401     127     442    1419    +       4e-10   31.2   3.2  -
Ferrimonadaceae         -          LKAP-Gut2_A10_080.seq -               80     609      44     536      20     556    1475    +     5.9e-10   30.4   7.2  -
Halieaceae              -          LKAP-Gut2_A10_080.seq -              191     597     157     534     136     553    1484    +     9.1e-10   30.0   4.4  -
Saccharospirillaceae    -          LKAP-Gut2_A10_080.seq -              177     435     150     392     130     414    1468    +     1.2e-09   29.6   3.6  -
Geobacteraceae          -          LKAP-Gut2_A10_080.seq -              200     448     147     383     127     502    1485    +     3.8e-09   27.9   3.1  -
Orbaceae                -          LKAP-Gut2_A10_080.seq -              260     460     200     388     180     409    1538    +     4.2e-09   27.7   3.0  -
Microbulbiferaceae      -          LKAP-Gut2_A10_080.seq -              191     594     164     538     143     556    1478    +     5.1e-09   27.7   4.7  -
Solirubrobacteraceae    -          LKAP-Gut2_A10_080.seq -              163     400     122     365     102     385    1443    +     9.6e-09   26.6   3.9  -
Acidiferrobacteraceae   -          LKAP-Gut2_A10_080.seq -              190     592     165     539     144     553    1456    +     1.6e-08   26.0   4.4  -
Thermoleophilaceae      -          LKAP-Gut2_A10_080.seq -              175     433     145     388     119     409    1486    +     2.1e-08   25.4   3.4  -
Cardiobacteriaceae      -          LKAP-Gut2_A10_080.seq -              259     525     217     464     196     554    1462    +     2.1e-08   25.8   4.7  -
Acidithiobacillaceae    -          LKAP-Gut2_A10_080.seq -              241     407     212     368     143     422    1457    +     2.3e-08   25.3   3.1  -
Thermithiobacillaceae   -          LKAP-Gut2_A10_080.seq -              169     395     156     368     135     406    1419    +     7.5e-08   23.8   3.1  -
Litoricolaceae          -          LKAP-Gut2_A10_080.seq -              193     603     153     534     133     554    1474    +     8.1e-08   23.7   4.4  -
Hafniaceae              -          LKAP-Gut2_A10_080.seq -               50     445      30     404       8     425    1459    +       1e-07   23.2   7.5  -
Cryptosporangiaceae     -          LKAP-Gut2_A10_080.seq -              178     408     153     369     133     389    1470    +     2.1e-07   22.3   3.8  -
Patulibacteraceae       -          LKAP-Gut2_A10_080.seq -              201     422     158     365     137     385    1494    +     3.5e-07   21.3   3.8  -
Thioalkalispiraceae     -          LKAP-Gut2_A10_080.seq -              203     431     154     368     134     395    1478    +     4.6e-07   20.9   3.2  -
Succinivibrionaceae     -          LKAP-Gut2_A10_080.seq -              221     414     189     369     166     395    1474    +     5.6e-07   20.7   3.1  -
Frankiaceae             -          LKAP-Gut2_A10_080.seq -              196     424     155     369     135     389    1499    +     8.5e-07   20.4   3.8  -
Conexibacteraceae       -          LKAP-Gut2_A10_080.seq -              215     437     157     365     132     385    1536    +     8.7e-07   19.9   3.7  -
Granulosicoccaceae      -          LKAP-Gut2_A10_080.seq -              254     436     216     386     180     411    1471    +     9.4e-07   20.1   3.2  -
Actinospicaceae         -          LKAP-Gut2_A10_080.seq -              157     388     154     371     122     391    1424    +       2e-06   19.0   3.9  -
Ruaniaceae              -          LKAP-Gut2_A10_080.seq -              211     446     154     377     134     397    1531    +     2.7e-06   18.3   3.9  -
Methylothermaceae       -          LKAP-Gut2_A10_080.seq -              216     434     163     367     142     387    1491    +     5.4e-06   17.5   3.8  -
Halothiobacillaceae     -          LKAP-Gut2_A10_080.seq -               81     459      38     392      15     412    1501    +       6e-06   17.3   6.8  -
Wenzhouxiangellaceae    -          LKAP-Gut2_A10_080.seq -              257     424     217     372     195     396    1472    +     8.2e-05   13.5   3.1  -
Thermotogaceae          -          LKAP-Gut2_A10_080.seq -              206     430     150     362     129     382    1544    +       0.026    5.4   4.0  -
Conexibacteraceae       -          LKAP-Gut2_A10_080.seq -              603     626     516     539     496     547    1536    +           2   -1.2   0.0  -
Patulibacteraceae       -          LKAP-Gut2_A10_080.seq -              588     611     516     539     497     549    1494    +           4   -2.1   0.0  -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-Gut2_A10_080.seq.fa
# Target file:     /root/Github/Project_Mendel/Data/Family_Database
# Option settings: nhmmscan --tblout /root/Github/Project_Mendel/Data/MSA_Scans_From_nhmmerscan/LKAP-Gut2_A10_080.seq.txt --noali /root/Github/Project_Mendel/Data/Family_Database /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-Gut2_A10_080.seq.fa 
# Current dir:     /root/Github/Project_Mendel/source_code
# Date:            Wed Jun 10 10:49:30 2020
# [ok]
