# target name                                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae_Vibrio                              -          LKAP-GutHK_A01_015   -               27     994      16     981       2     983    1466    +           0 1204.9  19.4  -
Vibrionaceae_Photobacterium                      -          LKAP-GutHK_A01_015   -               27     991      16     978       2     983    1487    +           0 1149.8  19.4  -
Vibrionaceae_Aliivibrio                          -          LKAP-GutHK_A01_015   -               51    1005      16     978       2     981    1474    +           0 1140.9  19.3  -
Vibrionaceae_Enterovibrio                        -          LKAP-GutHK_A01_015   -               27     985      16     978       3     982    1499    +           0 1072.3  19.3  -
Vibrionaceae_Grimontia                           -          LKAP-GutHK_A01_015   -               27     991      16     978       3     982    1493    +           0 1066.7  19.3  -
Ferrimonadaceae_Ferrimonas                       -          LKAP-GutHK_A01_015   -               20     990      11     977       1     983    1475    +           0 1048.3  19.7  -
Shewanellaceae_Shewanella                        -          LKAP-GutHK_A01_015   -               27     983      16     978       2     983    1483    +    1.8e-307 1021.2  19.5  -
Yersiniaceae_Serratia                            -          LKAP-GutHK_A01_015   -               31     984      16     977       3     982    1491    +    3.8e-306 1016.7  19.5  -
Erwiniaceae_Erwinia                              -          LKAP-GutHK_A01_015   -               63     984      60     981      38     983    1495    +    2.6e-304 1010.8  19.2  -
Enterobacteriaceae_Enterobacter                  -          LKAP-GutHK_A01_015   -               25     976      16     977       3     983    1476    +    9.9e-304 1008.8  19.5  -
Enterobacteriaceae_Cronobacter                   -          LKAP-GutHK_A01_015   -               10     961      21     981      14     983    1422    +    1.3e-303 1008.4  19.3  -
Erwiniaceae_Tatumella                            -          LKAP-GutHK_A01_015   -               64     980      61     977      38     983    1490    +    6.9e-303 1006.0  19.4  -
Enterobacteriaceae_Escherichia                   -          LKAP-GutHK_A01_015   -               27     979      16     976       4     982    1480    +    3.5e-302 1003.7  19.0  -
Hafniaceae_Hafnia                                -          LKAP-GutHK_A01_015   -               19     981       6     978       1     983    1463    +    4.4e-302 1003.2  19.9  -
Pectobacteriaceae_Pectobacterium                 -          LKAP-GutHK_A01_015   -               35     989      16     978       3     983    1499    +    5.3e-302 1003.1  19.4  -
Vibrionaceae_Salinivibrio                        -          LKAP-GutHK_A01_015   -               46    1012      16     977       3     981    1502    +    1.9e-301 1000.7  19.1  -
Enterobacteriaceae_Salmonella                    -          LKAP-GutHK_A01_015   -               30     977      22     978       4     983    1457    +    4.5e-301 1000.1  18.9  -
Enterobacteriaceae_Citrobacter                   -          LKAP-GutHK_A01_015   -               43     999      17     981       4     983    1517    +    1.3e-300  998.5  19.1  -
Erwiniaceae_Pantoea                              -          LKAP-GutHK_A01_015   -                4     921      64     981      61     983    1416    +    4.8e-300  996.6  19.5  -
Enterobacteriaceae_Klebsiella                    -          LKAP-GutHK_A01_015   -               39     990      16     977       3     983    1436    +    1.1e-299  995.4  19.6  -
Pectobacteriaceae_Brenneria                      -          LKAP-GutHK_A01_015   -                7     960      18     979      13     983    1457    +    1.4e-299  994.9  19.5  -
Colwelliaceae_Thalassotalea                      -          LKAP-GutHK_A01_015   -               27     978      16     977       5     980    1463    +    8.2e-299  992.6  19.6  -
Enterobacteriaceae_Raoultella                    -          LKAP-GutHK_A01_015   -               26     980      17     981       4     983    1452    +    4.7e-298  990.1  19.3  -
Enterobacteriaceae_Pluralibacter                 -          LKAP-GutHK_A01_015   -               49    1007      18     981       6     983    1532    +    6.3e-298  989.5  19.1  -
Enterobacteriaceae_Buttiauxella                  -          LKAP-GutHK_A01_015   -               33     986      16     979       4     983    1503    +    1.4e-297  988.5  20.1  -
Enterobacteriaceae_Kluyvera                      -          LKAP-GutHK_A01_015   -               48     970      59     981      36     983    1455    +    9.4e-297  985.6  19.3  -
Enterobacteriaceae_Trabulsiella                  -          LKAP-GutHK_A01_015   -               62     975      66     978      43     983    1471    +      1e-296  985.7  19.0  -
Psychromonadaceae_Psychromonas                   -          LKAP-GutHK_A01_015   -               27     980      16     977       4     981    1467    +    2.1e-296  984.5  19.2  -
Pectobacteriaceae_Dickeya                        -          LKAP-GutHK_A01_015   -               24     981      16     981       3     983    1421    +    2.1e-296  984.5  19.5  -
Morganellaceae_Xenorhabdus                       -          LKAP-GutHK_A01_015   -               30     985      17     980       5     983    1493    +    8.9e-296  982.5  19.4  -
Yersiniaceae_Rouxiella                           -          LKAP-GutHK_A01_015   -               57    1009      17     977       5     980    1551    +    1.7e-295  981.4  19.9  -
Enterobacteriaceae_Shigella                      -          LKAP-GutHK_A01_015   -               35     987      16     976       4     981    1488    +    1.4e-294  978.5  18.9  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          LKAP-GutHK_A01_015   -               27     973      16     976       3     981    1461    +    1.5e-294  978.2  18.7  -
Alteromonadaceae_Agarivorans                     -          LKAP-GutHK_A01_015   -               34     987      16     977       6     982    1454    +    1.5e-294  978.4  19.4  -
Morganellaceae_Morganella                        -          LKAP-GutHK_A01_015   -               17     931      67     981      55     983    1356    +    1.8e-294  978.2  19.3  -
Yersiniaceae_Yersinia                            -          LKAP-GutHK_A01_015   -               67     984      64     981      42     983    1461    +      2e-294  977.9  19.2  -
Enterobacteriaceae_Mangrovibacter                -          LKAP-GutHK_A01_015   -               14     931      64     981      53     983    1368    +    2.8e-294  977.4  19.3  -
Enterobacteriaceae_Shimwellia                    -          LKAP-GutHK_A01_015   -                6     957      17     976      14     983    1422    +      3e-294  977.4  19.4  -
Gammaproteobacteria_Gallaecimonas                -          LKAP-GutHK_A01_015   -               47     999      16     976       2     981    1506    +    6.7e-294  976.1  19.2  -
Enterobacteriaceae_Siccibacter                   -          LKAP-GutHK_A01_015   -               97    1010      67     980      44     983    1451    +    8.4e-294  976.0  19.1  -
Enterobacteriaceae_Kosakonia                     -          LKAP-GutHK_A01_015   -               40     959      59     978      36     983    1422    +      1e-293  975.2  19.3  -
Enterobacteriaceae_Lelliottia                    -          LKAP-GutHK_A01_015   -               22     977      16     981       3     983    1449    +    1.1e-293  975.5  19.6  -
Enterobacteriaceae_Pseudocitrobacter             -          LKAP-GutHK_A01_015   -               25     981      17     981       3     983    1459    +    1.6e-293  974.9  19.0  -
Enterobacteriaceae_Franconibacter                -          LKAP-GutHK_A01_015   -               39     983      21     976       2     981    1325    +    1.6e-293  975.2  19.3  -
Idiomarinaceae_Idiomarina                        -          LKAP-GutHK_A01_015   -               31     986      15     977       2     981    1471    +    4.4e-293  973.3  19.1  -
Enterobacteriaceae_Cedecea                       -          LKAP-GutHK_A01_015   -                1     901      76     976      76     981    1403    +    7.2e-293  972.8  18.3  -
Chromatiaceae_Rheinheimera                       -          LKAP-GutHK_A01_015   -               42     971      49     979      29     983    1472    +    7.8e-293  972.7  19.2  -
Colwelliaceae_Colwellia                          -          LKAP-GutHK_A01_015   -               27     981      16     978       4     982    1485    +    1.5e-292  971.8  19.3  -
Aeromonadaceae_Oceanisphaera                     -          LKAP-GutHK_A01_015   -               21     978      12     976       2     982    1464    +    3.5e-292  970.3  19.3  -
Enterobacteriaceae_Gibbsiella                    -          LKAP-GutHK_A01_015   -               27     941      62     976      45     982    1396    +    3.8e-292  970.4  19.3  -
Pectobacteriaceae_Sodalis                        -          LKAP-GutHK_A01_015   -               23     975      16     976       4     983    1511    +    7.3e-292  969.4  19.2  -
