# target name                    accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Unclassified_Alteromonadales     -          A0118_LKAP-FHGF1_C01_011 -               27     823       7     807       3     809    1467    +    2.2e-256  847.7  20.2  -
Ferrimonadaceae                  -          A0118_LKAP-FHGF1_C01_011 -               27     834       7     808       2     809    1475    +    7.2e-255  842.7  20.4  -
Aeromonadaceae                   -          A0118_LKAP-FHGF1_C01_011 -               39     837       7     807       3     809    1496    +    1.5e-254  841.7  20.3  -
Idiomarinaceae                   -          A0118_LKAP-FHGF1_C01_011 -               26     802       6     785       2     803    1466    +    4.2e-251  830.2  20.2  -
Hafniaceae                       -          A0118_LKAP-FHGF1_C01_011 -               21     817       7     807       2     809    1459    +    1.5e-250  828.6  20.5  -
Budviciaceae                     -          A0118_LKAP-FHGF1_C01_011 -               17     814       7     808       3     809    1483    +    9.3e-247  816.0  20.3  -
Moritellaceae                    -          A0118_LKAP-FHGF1_C01_011 -               42     837       7     804       4     809    1501    +    9.2e-242  799.4  20.4  -
Colwelliaceae                    -          A0118_LKAP-FHGF1_C01_011 -               27     823       7     808       3     809    1465    +    3.7e-241  797.6  20.2  -
Psychromonadaceae                -          A0118_LKAP-FHGF1_C01_011 -               27     817       7     801       3     809    1467    +    3.4e-240  794.3  20.7  -
Thorselliaceae                   -          A0118_LKAP-FHGF1_C01_011 -                1     793       8     808       8     809    1419    +    8.5e-237  783.0  20.7  -
Unclassified_Oceanospirillales   -          A0118_LKAP-FHGF1_C01_011 -               32     811       7     797       3     808    1483    +    1.6e-235  778.6  19.7  -
Alcanivoracaceae                 -          A0118_LKAP-FHGF1_C01_011 -               47     820       7     785       3     805    1504    +    1.9e-232  768.4  20.2  -
Celerinatantimonadaceae          -          A0118_LKAP-FHGF1_C01_011 -               22     829       7     808       3     809    1433    +    4.8e-229  757.4  20.0  -
Thioalkalispiraceae              -          A0118_LKAP-FHGF1_C01_011 -               40     817       7     785       3     805    1478    +    1.1e-228  756.0  20.1  -
Succinivibrionaceae              -          A0118_LKAP-FHGF1_C01_011 -               30     793       7     797       4     807    1474    +    6.8e-228  753.5  20.5  -
Orbaceae                         -          A0118_LKAP-FHGF1_C01_011 -               54     848       7     809       4     809    1538    +    1.2e-227  752.6  20.2  -
Halothiobacillaceae              -          A0118_LKAP-FHGF1_C01_011 -               44     819       7     785       3     806    1501    +    1.4e-224  742.5  20.1  -
Halieaceae                       -          A0118_LKAP-FHGF1_C01_011 -               35     818       7     802       3     809    1484    +    9.1e-223  736.5  19.9  -
Microbulbiferaceae               -          A0118_LKAP-FHGF1_C01_011 -               27     801       7     789       3     808    1478    +      1e-220  729.9  19.7  -
Spongiibacteraceae               -          A0118_LKAP-FHGF1_C01_011 -               30     819       7     806       3     809    1462    +    1.4e-219  725.9  19.9  -
Kangiellaceae                    -          A0118_LKAP-FHGF1_C01_011 -               36     813       7     785       3     803    1479    +    6.3e-219  723.7  20.2  -
Litoricolaceae                   -          A0118_LKAP-FHGF1_C01_011 -               35     808       7     785       3     805    1474    +    9.3e-219  723.4  20.2  -
Saccharospirillaceae             -          A0118_LKAP-FHGF1_C01_011 -               28     795       7     785       3     805    1468    +    2.3e-216  715.3  20.4  -
Cardiobacteriaceae               -          A0118_LKAP-FHGF1_C01_011 -               35     807       7     787       4     807    1462    +    5.6e-216  714.3  20.4  -
Thermoleophilaceae               -          A0118_LKAP-FHGF1_C01_011 -               20     799       7     786       3     806    1486    +    1.9e-214  708.9  19.9  -
Nevskiaceae                      -          A0118_LKAP-FHGF1_C01_011 -               36     796       7     785       3     805    1470    +    5.1e-213  704.6  20.0  -
Granulosicoccaceae               -          A0118_LKAP-FHGF1_C01_011 -               27     802       7     785       3     801    1471    +    6.4e-213  704.0  20.2  -
Coxiellaceae                     -          A0118_LKAP-FHGF1_C01_011 -               27     808       7     784       3     804    1473    +    7.4e-212  700.4  20.5  -
Sulfuricellaceae                 -          A0118_LKAP-FHGF1_C01_011 -               27     798       7     785       3     805    1462    +    2.3e-208  688.9  20.1  -
Hydrogenophilaceae               -          A0118_LKAP-FHGF1_C01_011 -               27     796       7     785       3     805    1462    +    1.1e-205  680.2  20.3  -
Arenicellaceae                   -          A0118_LKAP-FHGF1_C01_011 -               27     797       7     785       3     800    1488    +    3.7e-205  678.2  19.7  -
Methylophilaceae                 -          A0118_LKAP-FHGF1_C01_011 -                6     782       6     785       3     799    1430    +    1.5e-204  676.1  20.2  -
Unclassified_Thiotrichales       -          A0118_LKAP-FHGF1_C01_011 -               49     816       8     785       3     805    1517    +    3.5e-203  671.5  19.7  -
Sutterellaceae                   -          A0118_LKAP-FHGF1_C01_011 -               27     800       7     785       3     805    1487    +    6.8e-203  670.5  20.2  -
Acidiferrobacteraceae            -          A0118_LKAP-FHGF1_C01_011 -               27     792       7     785       3     805    1456    +    3.5e-200  661.8  20.3  -
Nitrosomonadaceae                -          A0118_LKAP-FHGF1_C01_011 -               27     799       7     785       3     803    1463    +      4e-200  661.7  20.2  -
Azonexaceae                      -          A0118_LKAP-FHGF1_C01_011 -               28     800       7     785       3     799    1474    +    4.2e-200  661.6  20.4  -
Salinisphaeraceae                -          A0118_LKAP-FHGF1_C01_011 -               14     788       6     784       2     800    1432    +    3.1e-199  658.6  20.4  -
Zoogloeaceae                     -          A0118_LKAP-FHGF1_C01_011 -               34     803       7     785       3     797    1474    +    9.1e-198  653.7  20.5  -
Francisellaceae                  -          A0118_LKAP-FHGF1_C01_011 -               37     799       7     784       3     800    1509    +    2.3e-195  645.8  19.8  -
Thiobacilliaceae                 -          A0118_LKAP-FHGF1_C01_011 -               46     815       7     785       3     800    1517    +    3.8e-195  645.1  20.0  -
Geobacteraceae                   -          A0118_LKAP-FHGF1_C01_011 -               35     841       7     805       3     808    1485    +    1.3e-194  643.2  19.7  -
Thermithiobacillaceae            -          A0118_LKAP-FHGF1_C01_011 -               12     783       7     787       3     804    1419    +    1.5e-193  639.8  20.3  -
Unclassified_Deltaproteobacteria -          A0118_LKAP-FHGF1_C01_011 -               43     835       7     787       3     806    1518    +    7.8e-192  634.1  19.7  -
Acidithiobacillaceae             -          A0118_LKAP-FHGF1_C01_011 -               26     806       7     799       3     806    1457    +    1.1e-190  630.2  20.4  -
Desulfuromonadaceae              -          A0118_LKAP-FHGF1_C01_011 -               45     834       7     786       3     806    1519    +    3.1e-189  625.4  19.9  -
Unclassified_Alphaproteobacteria -          A0118_LKAP-FHGF1_C01_011 -               27     746       7     784       3     805    1412    +    3.5e-189  625.6  19.7  -
Syntrophaceae                    -          A0118_LKAP-FHGF1_C01_011 -               44     852       7     806       3     808    1556    +    4.7e-189  624.8  19.5  -
