# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               18     923      14     917       8     918    1468    +           0 1050.4  18.3  -
Oceanospirillaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               27     932      18     916       8     918    1467    +    5.6e-289  957.1  17.8  -
Gammaproteobacteria       -          LKAP-TSAKG2_E06_040_2018_2 -               27     930      18     916       8     918    1481    +      2e-285  945.2  17.9  -
Alteromonadaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               27     930      18     916       8     918    1468    +    6.3e-285  943.6  17.8  -
Oceanospirillales         -          LKAP-TSAKG2_E06_040_2018_2 -               33     936      18     916       9     918    1489    +    5.9e-284  940.3  17.9  -
Hahellaceae               -          LKAP-TSAKG2_E06_040_2018_2 -               21     929      14     916       8     918    1473    +    2.1e-282  935.4  17.8  -
Halomonadaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               27     931      18     917       7     918    1466    +    7.7e-282  933.4  17.8  -
Cellvibrionaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               27     930      18     916       9     918    1472    +    2.3e-277  918.6  17.8  -
Methylococcaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               41     938      18     916       9     918    1481    +    3.4e-276  914.8  18.1  -
Kangiellaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               36     943      18     916       9     918    1479    +    5.2e-276  914.1  17.9  -
Pseudomonadaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               34     935      18     916       8     918    1491    +      5e-275  910.9  17.5  -
Alcanivoracaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               47     950      18     916       8     918    1504    +      5e-275  910.8  17.9  -
Piscirickettsiaceae       -          LKAP-TSAKG2_E06_040_2018_2 -               29     934      18     916       9     918    1466    +      8e-274  906.8  17.8  -
Chromatiaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               27     920      18     916       8     918    1455    +    1.4e-271  899.6  18.1  -
Ectothiorhodospiraceae    -          LKAP-TSAKG2_E06_040_2018_2 -               34     937      18     916       9     918    1463    +    3.3e-271  898.4  18.1  -
Saccharospirillaceae      -          LKAP-TSAKG2_E06_040_2018_2 -               28     924      18     916       7     918    1468    +    2.6e-270  895.2  18.0  -
Spongiibacteraceae        -          LKAP-TSAKG2_E06_040_2018_2 -               29     928      17     916       7     918    1462    +      3e-270  895.0  17.8  -
Thioalkalispiraceae       -          LKAP-TSAKG2_E06_040_2018_2 -               40     949      19     916      10     918    1479    +    2.8e-269  891.8  17.8  -
Thiotrichaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               20     887      13     916       6     918    1421    +    4.6e-268  887.8  18.8  -
Litoricolaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               35     937      18     916       9     918    1474    +    4.9e-266  881.2  17.8  -
Halieaceae                -          LKAP-TSAKG2_E06_040_2018_2 -               35     931      18     916      10     918    1484    +    6.6e-266  880.6  17.8  -
Microbulbiferaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               27     924      18     916       9     918    1480    +    4.4e-265  878.1  18.0  -
Granulosicoccaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               27     932      18     916       9     918    1471    +    1.1e-264  876.8  17.9  -
Alteromonadales           -          LKAP-TSAKG2_E06_040_2018_2 -               27     932      18     916       8     918    1468    +    2.7e-260  861.8  17.9  -
Halothiobacillaceae       -          LKAP-TSAKG2_E06_040_2018_2 -               44     949      18     916       9     918    1500    +    3.1e-259  858.6  17.9  -
Wenzhouxiangellaceae      -          LKAP-TSAKG2_E06_040_2018_2 -               27     936      18     916       7     918    1472    +      1e-258  856.8  17.8  -
Cardiobacteriaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               29     935      14     916       8     918    1464    +    1.4e-257  853.4  17.9  -
Chromobacteriaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               25     923      17     916       6     918    1460    +      2e-255  846.1  18.0  -
Shewanellaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               27     933      18     916       7     918    1483    +    2.3e-255  845.7  17.9  -
Idiomarinaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               26     932      17     916       7     918    1466    +    2.4e-255  845.5  17.9  -
Pseudoalteromonadaceae    -          LKAP-TSAKG2_E06_040_2018_2 -               27     927      18     916       8     918    1469    +    6.2e-254  840.9  17.8  -
Nevskiaceae               -          LKAP-TSAKG2_E06_040_2018_2 -               37     925      19     916      10     918    1470    +    2.8e-252  835.8  17.8  -
Lysobacteraceae           -          LKAP-TSAKG2_E06_040_2018_2 -               28     933      18     916       7     918    1484    +    4.2e-252  835.0  17.9  -
Ferrimonadaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               27     941      18     916       8     918    1475    +    4.2e-252  834.7  17.9  -
Coxiellaceae              -          LKAP-TSAKG2_E06_040_2018_2 -               27     938      18     916      10     918    1475    +    1.5e-251  833.1  17.9  -
Arenicellaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               27     925      18     916       8     918    1488    +    3.6e-251  832.0  17.7  -
Legionellaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               23     929      18     916       8     918    1446    +    5.6e-251  831.3  17.9  -
Colwelliaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               27     932      18     916       9     918    1467    +    8.1e-251  830.7  17.9  -
Moritellaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               42     948      18     916       9     918    1501    +    2.1e-250  829.2  17.9  -
Thermoleophilaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               20     932      18     916       8     918    1494    +    1.2e-249  826.7  18.0  -
Alcaligenaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               24     927      16     916       8     918    1467    +    4.4e-249  825.0  17.8  -
Aeromonadaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               39     945      18     916       9     918    1496    +    1.1e-248  823.3  17.8  -
Burkholderiaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               22     923      14     915       9     918    1482    +    3.4e-248  822.1  17.7  -
Vibrionaceae              -          LKAP-TSAKG2_E06_040_2018_2 -               27     941      18     916       8     918    1474    +    2.5e-247  819.0  17.9  -
Thiotrichales             -          LKAP-TSAKG2_E06_040_2018_2 -               47     950      18     916       9     918    1519    +    4.2e-247  818.1  18.3  -
Acidiferrobacteraceae     -          LKAP-TSAKG2_E06_040_2018_2 -               64     922      62     916      40     918    1454    +    1.8e-246  816.4  17.6  -
Neisseriaceae             -          LKAP-TSAKG2_E06_040_2018_2 -               41     945      18     916      10     918    1477    +    1.1e-245  813.8  17.8  -
Succinivibrionaceae       -          LKAP-TSAKG2_E06_040_2018_2 -               30     908      18     916      10     918    1473    +    6.3e-243  804.5  18.3  -
Salinisphaeraceae         -          LKAP-TSAKG2_E06_040_2018_2 -               15     916      18     916       8     918    1429    +    3.6e-242  802.1  18.1  -
Rhodocyclaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               23     927      15     915       9     918    1484    +    4.5e-242  801.7  17.9  -
Burkholderiales           -          LKAP-TSAKG2_E06_040_2018_2 -               25     925      17     916       8     918    1463    +    4.9e-241  798.3  17.8  -
Oxalobacteraceae          -          LKAP-TSAKG2_E06_040_2018_2 -               25     925      17     915       7     918    1459    +    5.4e-239  791.6  18.0  -
Methylophilaceae          -          LKAP-TSAKG2_E06_040_2018_2 -                9     915      17     916      11     918    1431    +    9.5e-239  790.8  18.1  -
Rhodanobacteraceae        -          LKAP-TSAKG2_E06_040_2018_2 -               28     933      18     916       8     918    1473    +    1.8e-238  789.9  17.9  -
Enterobacteriaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               27     931      18     916       7     918    1465    +    2.2e-238  789.6  17.8  -
Sulfuricellaceae          -          LKAP-TSAKG2_E06_040_2018_2 -               28     929      18     916      10     918    1463    +    7.7e-238  787.7  18.0  -
Rhodospirillaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               29     879      18     916       8     918    1429    +    1.9e-236  783.3  17.9  -
Erwiniaceae               -          LKAP-TSAKG2_E06_040_2018_2 -               22     926      18     916       7     918    1483    +    1.8e-235  779.9  17.8  -
Pectobacteriaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               24     928      18     916       8     918    1477    +    1.3e-234  776.9  17.8  -
Pasteurellaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               27     932      18     916       9     918    1422    +    3.8e-234  775.4  17.7  -
Celerinatantimonadaceae   -          LKAP-TSAKG2_E06_040_2018_2 -               22     938      18     916       9     918    1433    +    8.6e-234  774.3  17.9  -
Psychromonadaceae         -          LKAP-TSAKG2_E06_040_2018_2 -               27     931      18     916       8     918    1467    +    1.8e-233  773.2  17.8  -
Francisellaceae           -          LKAP-TSAKG2_E06_040_2018_2 -               37     932      18     916       8     918    1508    +    1.9e-233  773.2  18.1  -
Yersiniaceae              -          LKAP-TSAKG2_E06_040_2018_2 -               27     931      18     916       9     918    1473    +    2.8e-233  772.5  17.8  -
Hafniaceae                -          LKAP-TSAKG2_E06_040_2018_2 -               20     925      17     916       7     918    1459    +      6e-232  768.0  17.8  -
Sutterellaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               27     927      18     915       9     918    1487    +    1.5e-231  766.7  17.9  -
Zoogloeaceae              -          LKAP-TSAKG2_E06_040_2018_2 -               34     933      18     916      10     918    1474    +    2.2e-231  766.2  18.5  -
Hydrogenophilaceae        -          LKAP-TSAKG2_E06_040_2018_2 -               22     926      14     916       9     918    1461    +    7.2e-231  764.8  17.7  -
Morganellaceae            -          LKAP-TSAKG2_E06_040_2018_2 -               30     934      18     916       9     918    1487    +    7.4e-230  761.3  17.8  -
Thermithiobacillaceae     -          LKAP-TSAKG2_E06_040_2018_2 -               13     910      19     916      12     918    1419    +    3.3e-229  759.1  17.9  -
