# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_D02_010   -               23    1009      14    1001       3    1002    1474    +           0 1194.4  25.0  -
Ferrimonadaceae           -          LKAP-GutHK_D02_010   -               23    1009      14    1001       2    1002    1475    +           0 1102.0  25.4  -
Pectobacteriaceae         -          LKAP-GutHK_D02_010   -               20     996      14    1001       2    1003    1477    +           0 1092.8  24.3  -
Enterobacteriaceae        -          LKAP-GutHK_D02_010   -               23     999      14    1001       2    1002    1465    +           0 1092.3  24.1  -
Yersiniaceae              -          LKAP-GutHK_D02_010   -               23     999      14    1001       3    1002    1473    +           0 1086.0  24.1  -
Erwiniaceae               -          LKAP-GutHK_D02_010   -               18     994      14    1001       3    1002    1483    +           0 1083.0  24.0  -
Aeromonadaceae            -          LKAP-GutHK_D02_010   -               36    1013      15    1001       3    1002    1496    +           0 1074.3  24.0  -
Shewanellaceae            -          LKAP-GutHK_D02_010   -               23    1001      14    1001       2    1002    1483    +           0 1073.4  24.1  -
Alteromonadales           -          LKAP-GutHK_D02_010   -               23    1000      14    1001       3    1002    1468    +           0 1070.6  23.6  -
Hafniaceae                -          LKAP-GutHK_D02_010   -               17     993      14    1001       2    1002    1459    +           0 1062.9  24.2  -
Budviciaceae              -          LKAP-GutHK_D02_010   -               14     989      15    1001       4    1002    1483    +           0 1060.4  23.9  -
Pseudoalteromonadaceae    -          LKAP-GutHK_D02_010   -               23     995      14    1001       2    1002    1469    +           0 1059.6  23.7  -
Morganellaceae            -          LKAP-GutHK_D02_010   -               27    1002      15    1001       3    1003    1487    +           0 1058.2  24.6  -
Gammaproteobacteria       -          LKAP-GutHK_D02_010   -               23     998      14    1001       2    1002    1481    +           0 1050.7  24.1  -
Alteromonadaceae          -          LKAP-GutHK_D02_010   -               23     998      14    1001       3    1002    1468    +           0 1049.1  24.0  -
Colwelliaceae             -          LKAP-GutHK_D02_010   -               24    1000      15    1001       3    1002    1467    +           0 1029.3  23.9  -
Moritellaceae             -          LKAP-GutHK_D02_010   -               39    1016      15    1001       4    1002    1501    +           0 1022.4  23.7  -
Idiomarinaceae            -          LKAP-GutHK_D02_010   -               23     999      14    1000       2    1002    1466    +    6.3e-306 1013.2  24.0  -
Oceanospirillaceae        -          LKAP-GutHK_D02_010   -               24    1000      15    1001       3    1002    1467    +    8.9e-302  999.6  24.0  -
Chromatiaceae             -          LKAP-GutHK_D02_010   -               23     988      14    1001       3    1002    1455    +    4.4e-301  997.5  24.5  -
Cellvibrionaceae          -          LKAP-GutHK_D02_010   -               23     998      14    1001       3    1002    1472    +    5.4e-301  997.1  24.4  -
Oceanospirillales         -          LKAP-GutHK_D02_010   -               29    1004      14    1001       3    1002    1489    +    2.8e-300  994.6  24.3  -
Psychromonadaceae         -          LKAP-GutHK_D02_010   -               24     990      15     992       3    1002    1467    +    2.9e-299  991.4  23.8  -
Piscirickettsiaceae       -          LKAP-GutHK_D02_010   -               26    1002      15    1001       3    1002    1466    +    2.7e-297  984.8  24.3  -
Thorselliaceae            -          LKAP-GutHK_D02_010   -               39     959      72     992      52    1002    1419    +    4.7e-297  983.9  23.8  -
Pseudomonadaceae          -          LKAP-GutHK_D02_010   -               30    1003      14    1001       3    1003    1491    +      2e-292  968.6  23.9  -
Methylococcaceae          -          LKAP-GutHK_D02_010   -               38    1006      15    1001       5    1002    1481    +    1.6e-290  962.4  24.5  -
Alcanivoracaceae          -          LKAP-GutHK_D02_010   -               44    1018      15    1001       3    1002    1504    +    1.7e-290  962.1  23.9  -
Pasteurellaceae           -          LKAP-GutHK_D02_010   -               24    1000      15    1001       4    1002    1422    +    1.8e-289  958.9  23.9  -
Orbaceae                  -          LKAP-GutHK_D02_010   -               51    1014      15     992       4    1001    1539    +    8.3e-289  956.7  24.3  -
Hahellaceae               -          LKAP-GutHK_D02_010   -               24     997      15    1001       3    1002    1473    +    1.2e-285  946.3  24.1  -
Celerinatantimonadaceae   -          LKAP-GutHK_D02_010   -               19    1006      15    1001       3    1002    1433    +    1.8e-285  945.8  23.6  -
Litoricolaceae            -          LKAP-GutHK_D02_010   -               31    1005      14    1001       3    1002    1474    +    8.8e-284  940.2  24.0  -
Halomonadaceae            -          LKAP-GutHK_D02_010   -               23     998      14    1001       2    1002    1466    +      1e-283  939.7  24.3  -
Halothiobacillaceae       -          LKAP-GutHK_D02_010   -               41    1017      15    1001       3    1002    1500    +    1.4e-282  936.1  24.6  -
Succinivibrionaceae       -          LKAP-GutHK_D02_010   -               27     968      15     993       4    1001    1473    +    1.6e-282  935.9  24.4  -
Ectothiorhodospiraceae    -          LKAP-GutHK_D02_010   -               30    1005      14    1001       2    1002    1463    +    1.7e-282  935.9  24.7  -
Moraxellaceae             -          LKAP-GutHK_D02_010   -               21     990      15    1001       3    1002    1468    +      2e-280  929.1  24.3  -
Halieaceae                -          LKAP-GutHK_D02_010   -               32     999      15    1001       3    1002    1484    +      4e-280  927.9  24.2  -
Spongiibacteraceae        -          LKAP-GutHK_D02_010   -               26     996      14    1001       2    1002    1462    +    7.8e-280  926.8  24.0  -
Saccharospirillaceae      -          LKAP-GutHK_D02_010   -               25     992      15    1001       3    1002    1468    +    7.1e-279  923.8  23.7  -
Lysobacteraceae           -          LKAP-GutHK_D02_010   -               24    1001      14    1001       2    1002    1484    +    3.5e-278  921.5  24.6  -
Thioalkalispiraceae       -          LKAP-GutHK_D02_010   -               36    1017      15    1001       2    1002    1479    +    2.5e-277  918.6  24.1  -
Microbulbiferaceae        -          LKAP-GutHK_D02_010   -               23     992      14    1001       3    1002    1480    +    2.8e-277  918.7  24.1  -
Thermoleophilaceae        -          LKAP-GutHK_D02_010   -               17     998      15     999       2    1002    1494    +    1.8e-272  902.5  23.9  -
Chromobacteriaceae        -          LKAP-GutHK_D02_010   -               22     991      14    1001       2    1003    1460    +    5.8e-272  901.0  25.0  -
Kangiellaceae             -          LKAP-GutHK_D02_010   -               33    1011      15    1001       5    1002    1479    +    2.7e-271  898.6  23.8  -
Thiotrichaceae            -          LKAP-GutHK_D02_010   -               24     955      15    1001       3    1002    1421    +    1.1e-270  896.6  24.0  -
Cardiobacteriaceae        -          LKAP-GutHK_D02_010   -               32    1003      15    1001       3    1002    1464    +    4.7e-268  888.2  24.0  -
Rhodocyclaceae            -          LKAP-GutHK_D02_010   -               23     996      14    1001       2    1003    1484    +    1.2e-267  886.6  25.5  -
Coxiellaceae              -          LKAP-GutHK_D02_010   -               24    1006      15    1001       3    1002    1475    +    1.4e-265  879.8  24.6  -
Alcaligenaceae            -          LKAP-GutHK_D02_010   -               23     993      14     999       2    1003    1467    +    2.6e-265  879.0  24.3  -
Granulosicoccaceae        -          LKAP-GutHK_D02_010   -               24    1000      15    1001       5    1002    1471    +    1.4e-264  876.5  24.2  -
Neisseriaceae             -          LKAP-GutHK_D02_010   -               37    1011      14     999       3    1002    1477    +    3.2e-264  875.3  24.0  -
Rhodanobacteraceae        -          LKAP-GutHK_D02_010   -               24     993      14     993       2    1002    1473    +      4e-264  875.0  25.0  -
Thiotrichales             -          LKAP-GutHK_D02_010   -               44    1018      15    1001       4    1003    1519    +    1.1e-262  869.9  23.4  -
Burkholderiaceae          -          LKAP-GutHK_D02_010   -               23     992      14    1001       2    1003    1482    +    1.2e-262  870.1  25.4  -
Arenicellaceae            -          LKAP-GutHK_D02_010   -               24     988      15     996       6    1003    1488    +    2.7e-262  869.0  24.2  -
Legionellaceae            -          LKAP-GutHK_D02_010   -               19     997      14    1001       3    1002    1446    +    1.4e-261  866.6  24.3  -
Oxalobacteraceae          -          LKAP-GutHK_D02_010   -               23     993      14    1000       2    1003    1459    +    6.4e-261  864.4  25.3  -
Rhodospirillaceae         -          LKAP-GutHK_D02_010   -               55     940      71     992      49    1001    1429    +    1.7e-260  863.0  23.8  -
Nevskiaceae               -          LKAP-GutHK_D02_010   -               33     986      15     994       2    1003    1470    +    5.5e-260  861.5  23.7  -
Hydrogenophilaceae        -          LKAP-GutHK_D02_010   -               23     994      14    1001       2    1003    1461    +    1.7e-257  853.1  24.9  -
Sulfuricellaceae          -          LKAP-GutHK_D02_010   -               24     997      14    1001       4    1003    1463    +    2.5e-256  849.1  25.0  -
Salinisphaeraceae         -          LKAP-GutHK_D02_010   -               10     984      13    1001       5    1003    1429    +    9.6e-256  847.2  24.4  -
Burkholderiales           -          LKAP-GutHK_D02_010   -               23     993      14    1001       2    1003    1463    +    7.4e-253  837.6  24.8  -
Sutterellaceae            -          LKAP-GutHK_D02_010   -               23     989      14     994       2    1002    1487    +    2.3e-250  829.2  24.6  -
Azonexaceae               -          LKAP-GutHK_D02_010   -               24     998      14    1001       2    1003    1474    +    3.9e-250  828.8  24.7  -
Desulfovibrionaceae       -          LKAP-GutHK_D02_010   -               39    1012      15     992       1    1002    1527    +    2.3e-249  826.0  24.4  -
Methylophilaceae          -          LKAP-GutHK_D02_010   -                6     979      14     997      11    1002    1431    +    4.6e-249  825.1  23.5  -
Nitrosomonadaceae         -          LKAP-GutHK_D02_010   -               23     988      14     994       3    1003    1461    +    2.3e-248  822.8  25.3  -
Thiobacilliaceae          -          LKAP-GutHK_D02_010   -               42    1012      14    1000       4    1002    1517    +    2.5e-248  822.7  24.8  -
Clostridiaceae            -          LKAP-GutHK_D02_010   -               37     967      14     980       1    1000    1485    +    3.1e-248  822.1  24.7  -
Acidiferrobacteraceae     -          LKAP-GutHK_D02_010   -               64     981      75     992      55    1002    1454    +      7e-248  821.2  23.7  -
Eubacteriaceae            -          LKAP-GutHK_D02_010   -               38     976      15     977       1     999    1485    +    9.4e-248  820.6  25.3  -
Hyphomicrobiaceae         -          LKAP-GutHK_D02_010   -               53     936      71     993      48    1001    1427    +    9.9e-248  820.7  23.5  -
Clostridiales             -          LKAP-GutHK_D02_010   -               30     968      14     977       1     998    1470    +    5.2e-247  818.2  24.4  -
Geobacteraceae            -          LKAP-GutHK_D02_010   -               32    1002      15     983       1    1001    1487    +    1.9e-246  816.3  24.3  -
Francisellaceae           -          LKAP-GutHK_D02_010   -               34    1000      15    1001       4    1003    1508    +    5.2e-246  814.9  24.2  -
Rhodobiaceae              -          LKAP-GutHK_D02_010   -               33     927      14     977       3     997    1440    +    2.2e-245  813.1  22.6  -
Deltaproteobacteria       -          LKAP-GutHK_D02_010   -               39    1021      14     991       1    1001    1514    +    3.9e-245  812.1  24.5  -
