# target name                                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae_Enterovibrio                        -          LKAP-GutHK_H11_081   -               12     948       7     948       3     948    1499    +           0 1137.8  27.1  -
Vibrionaceae_Grimontia                           -          LKAP-GutHK_H11_081   -               12     954       7     948       2     948    1493    +           0 1112.8  28.1  -
Vibrionaceae_Photobacterium                      -          LKAP-GutHK_H11_081   -               12     954       7     948       2     948    1487    +           0 1101.7  28.0  -
Vibrionaceae_Vibrio                              -          LKAP-GutHK_H11_081   -               13     954       8     948       2     948    1466    +           0 1098.1  28.1  -
Vibrionaceae_Aliivibrio                          -          LKAP-GutHK_H11_081   -               51     968      18     948       2     948    1474    +      2e-307 1021.2  25.9  -
Ferrimonadaceae_Ferrimonas                       -          LKAP-GutHK_H11_081   -               11     954       6     948       2     948    1475    +      2e-305 1014.1  28.2  -
Vibrionaceae_Salinivibrio                        -          LKAP-GutHK_H11_081   -               31     976       7     948       2     948    1502    +    6.2e-305 1012.2  27.8  -
Erwiniaceae_Erwinia                              -          LKAP-GutHK_H11_081   -               14     944       9     948       2     948    1495    +    1.6e-301 1001.5  26.7  -
Yersiniaceae_Serratia                            -          LKAP-GutHK_H11_081   -               16     948       7     948       3     948    1491    +    2.5e-300  997.4  27.2  -
Pectobacteriaceae_Pectobacterium                 -          LKAP-GutHK_H11_081   -               21     952       8     948       2     948    1499    +    3.3e-300  997.1  26.6  -
Enterobacteriaceae_Enterobacter                  -          LKAP-GutHK_H11_081   -               12     940       9     948       2     948    1476    +    2.3e-298  990.9  26.3  -
Shewanellaceae_Shewanella                        -          LKAP-GutHK_H11_081   -               26     946      17     948       2     948    1483    +    4.8e-298  989.9  26.5  -
Enterobacteriaceae_Gibbsiella                    -          LKAP-GutHK_H11_081   -               30     906      69     948      49     948    1396    +    1.2e-297  988.6  25.9  -
Enterobacteriaceae_Trabulsiella                  -          LKAP-GutHK_H11_081   -               17     938      15     948       1     948    1471    +    2.2e-297  987.8  27.6  -
Pectobacteriaceae_Brenneria                      -          LKAP-GutHK_H11_081   -                5     922      18     948      15     948    1457    +    2.3e-297  987.6  26.3  -
Erwiniaceae_Pantoea                              -          LKAP-GutHK_H11_081   -                5     881      69     948      65     948    1416    +    2.8e-297  987.4  25.4  -
Enterobacteriaceae_Citrobacter                   -          LKAP-GutHK_H11_081   -               28     959       8     948       2     948    1517    +    6.6e-297  986.1  26.1  -
Enterobacteriaceae_Salmonella                    -          LKAP-GutHK_H11_081   -               66     940      71     948      50     948    1457    +    4.3e-296  983.5  25.1  -
Pectobacteriaceae_Dickeya                        -          LKAP-GutHK_H11_081   -               10     941       8     948       2     948    1421    +    3.2e-295  980.5  27.8  -
Enterobacteriaceae_Klebsiella                    -          LKAP-GutHK_H11_081   -               24     954       7     948       2     948    1436    +    6.5e-295  979.5  26.6  -
Enterobacteriaceae_Cronobacter                   -          LKAP-GutHK_H11_081   -               46     921      70     948      48     948    1422    +    1.5e-294  978.3  25.6  -
Erwiniaceae_Tatumella                            -          LKAP-GutHK_H11_081   -               27     944      18     948       2     948    1490    +    1.8e-294  978.1  27.1  -
Yersiniaceae_Rouxiella                           -          LKAP-GutHK_H11_081   -               42     973       8     948       2     948    1551    +    2.3e-294  977.6  27.6  -
Yersiniaceae_Yersinia                            -          LKAP-GutHK_H11_081   -               12     944       7     948       2     948    1461    +    2.9e-294  977.3  26.1  -
Enterobacteriaceae_Pluralibacter                 -          LKAP-GutHK_H11_081   -               48     967      19     948       3     948    1532    +    2.9e-294  977.3  25.8  -
Enterobacteriaceae_Escherichia                   -          LKAP-GutHK_H11_081   -               13     944       8     948       3     948    1480    +    2.8e-293  974.1  26.4  -
Hafniaceae_Hafnia                                -          LKAP-GutHK_H11_081   -               26     944      17     948       2     948    1463    +    3.9e-292  970.2  26.7  -
Aeromonadaceae_Aeromonas                         -          LKAP-GutHK_H11_081   -               31     965       7     948       2     948    1503    +    3.9e-292  970.1  26.1  -
Enterobacteriaceae_Buttiauxella                  -          LKAP-GutHK_H11_081   -               18     948       7     948       2     948    1503    +    6.4e-292  969.6  27.6  -
Enterobacteriaceae_Siccibacter                   -          LKAP-GutHK_H11_081   -               98     971      72     948      51     948    1451    +      1e-291  969.0  25.2  -
Enterobacteriaceae_Pseudocitrobacter             -          LKAP-GutHK_H11_081   -               68     941      72     948      51     948    1459    +    1.3e-291  968.5  25.2  -
Enterobacteriaceae_Kluyvera                      -          LKAP-GutHK_H11_081   -               16     930      19     948       8     948    1455    +    1.7e-291  968.1  25.9  -
Enterobacteriaceae_Kosakonia                     -          LKAP-GutHK_H11_081   -               44     922      67     948      46     948    1422    +    5.6e-291  966.2  25.9  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          LKAP-GutHK_H11_081   -               26     938      17     948       2     948    1461    +    2.1e-290  964.4  26.2  -
Enterobacteriaceae_Raoultella                    -          LKAP-GutHK_H11_081   -               10     940       7     948       3     948    1452    +    7.5e-290  962.8  26.6  -
Pectobacteriaceae_Sodalis                        -          LKAP-GutHK_H11_081   -                8     940       7     948       3     948    1511    +    1.3e-289  961.9  26.5  -
Morganellaceae_Xenorhabdus                       -          LKAP-GutHK_H11_081   -               14     946       7     948       3     948    1493    +    2.5e-288  957.8  27.1  -
Enterobacteriaceae_Lelliottia                    -          LKAP-GutHK_H11_081   -                7     937       7     948       3     948    1449    +    3.9e-288  957.0  27.0  -
Colwelliaceae_Thalassomonas                      -          LKAP-GutHK_H11_081   -               13     942       8     948       3     948    1462    +    5.2e-288  956.6  25.9  -
Alteromonadaceae_Agarivorans                     -          LKAP-GutHK_H11_081   -               34     951      18     948       3     948    1454    +    1.5e-287  955.2  26.5  -
Budviciaceae_Budvicia                            -          LKAP-GutHK_H11_081   -               32     965       6     948       2     948    1536    +    2.4e-287  954.3  26.3  -
Enterobacteriaceae_Mangrovibacter                -          LKAP-GutHK_H11_081   -               16     891      70     948      62     948    1368    +      3e-287  954.1  25.5  -
Enterobacteriaceae_Shigella                      -          LKAP-GutHK_H11_081   -               79     952      72     948      51     948    1488    +    6.7e-287  952.9  25.3  -
Enterobacteriaceae_Shimwellia                    -          LKAP-GutHK_H11_081   -                5     922      18     948      16     948    1422    +      3e-286  950.8  25.6  -
Enterobacteriaceae_Franconibacter                -          LKAP-GutHK_H11_081   -               35     948      20     948       2     948    1325    +    9.3e-286  949.4  25.9  -
Enterobacteriaceae_Cedecea                       -          LKAP-GutHK_H11_081   -                1     866      80     948      80     948    1403    +    1.8e-285  948.3  23.2  -
Colwelliaceae_Colwellia                          -          LKAP-GutHK_H11_081   -               13     944       8     948       3     948    1485    +    4.1e-285  947.0  26.5  -
Idiomarinaceae_Idiomarina                        -          LKAP-GutHK_H11_081   -               18     950       8     948       2     948    1471    +    1.2e-283  941.9  26.6  -
Yersiniaceae_Rahnella                            -          LKAP-GutHK_H11_081   -                1     865      81     948      81     948    1345    +    1.3e-283  942.0  23.3  -
Colwelliaceae_Thalassotalea                      -          LKAP-GutHK_H11_081   -               13     942       8     948       3     948    1463    +    2.3e-283  941.3  26.6  -
Aeromonadaceae_Zobellella                        -          LKAP-GutHK_H11_081   -               19     951       7     948       3     948    1478    +    2.6e-283  940.8  26.3  -
Chromatiaceae_Rheinheimera                       -          LKAP-GutHK_H11_081   -               34     932      18     947       2     948    1472    +    1.1e-282  938.9  26.2  -
Hafniaceae_Edwardsiella                          -          LKAP-GutHK_H11_081   -               72     946      71     948      50     948    1466    +    4.9e-282  936.7  25.4  -
Aeromonadaceae_Pseudaeromonas                    -          LKAP-GutHK_H11_081   -               11     927      19     948      10     948    1491    +      8e-282  935.9  26.5  -
Aeromonadaceae_Oceanimonas                       -          LKAP-GutHK_H11_081   -               24     943      18     948       2     948    1483    +    1.1e-281  935.5  26.3  -
Gammaproteobacteria_Gallaecimonas                -          LKAP-GutHK_H11_081   -               46     964      17     948       2     948    1506    +    3.9e-281  933.7  26.5  -
