# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae            -          LKAP-TSAKG2_B09_077_2018_2 -                9     981       4     970       2     970    1491    +           0 1149.8  18.3  -
Bacillales                -          LKAP-TSAKG2_B09_077_2018_2 -               16     994       4     970       2     970    1503    +           0 1115.8  18.4  -
Bacillaceae               -          LKAP-TSAKG2_B09_077_2018_2 -                9     987       4     970       1     970    1493    +           0 1104.8  18.5  -
Staphylococcaceae         -          LKAP-TSAKG2_B09_077_2018_2 -               11     981       4     970       1     970    1479    +           0 1104.7  18.1  -
Carnobacteriaceae         -          LKAP-TSAKG2_B09_077_2018_2 -                9     984       4     970       1     970    1496    +           0 1088.5  18.4  -
Listeriaceae              -          LKAP-TSAKG2_B09_077_2018_2 -                2     967      10     970       9     970    1448    +           0 1088.4  18.2  -
Sporolactobacillaceae     -          LKAP-TSAKG2_B09_077_2018_2 -                9     978       4     970       1     970    1503    +           0 1069.4  18.3  -
Aerococcaceae             -          LKAP-TSAKG2_B09_077_2018_2 -                9     984       4     970       1     970    1473    +           0 1068.6  18.3  -
Enterococcaceae           -          LKAP-TSAKG2_B09_077_2018_2 -                9     989       4     970       1     970    1498    +           0 1064.8  18.3  -
Paenibacillaceae          -          LKAP-TSAKG2_B09_077_2018_2 -                9     986       3     970       1     970    1493    +           0 1041.6  18.2  -
Lactobacillaceae          -          LKAP-TSAKG2_B09_077_2018_2 -               12    1012       4     970       2     970    1522    +           0 1036.2  18.3  -
Thermoactinomycetaceae    -          LKAP-TSAKG2_B09_077_2018_2 -               17     983       4     970       2     970    1495    +           0 1022.5  18.4  -
Peptococcaceae            -          LKAP-TSAKG2_B09_077_2018_2 -               16     957       4     970       1     970    1479    +    1.7e-295  978.7  18.6  -
Leuconostocaceae          -          LKAP-TSAKG2_B09_077_2018_2 -                4     985       3     970       1     970    1479    +    5.3e-288  954.1  18.5  -
Clostridiaceae            -          LKAP-TSAKG2_B09_077_2018_2 -               23     959       4     969       1     970    1485    +    1.8e-287  952.1  18.4  -
Streptococcaceae          -          LKAP-TSAKG2_B09_077_2018_2 -               15     990       4     970       2     970    1497    +    9.5e-286  946.6  18.4  -
Eubacteriaceae            -          LKAP-TSAKG2_B09_077_2018_2 -               23     971       4     970       2     970    1485    +    1.4e-284  942.6  18.8  -
Alicyclobacillaceae       -          LKAP-TSAKG2_B09_077_2018_2 -               29     987       4     970       2     970    1512    +    1.2e-283  939.9  18.5  -
Erysipelotrichaceae       -          LKAP-TSAKG2_B09_077_2018_2 -               13     964       3     969       1     970    1466    +    1.9e-282  935.8  18.9  -
Clostridiales             -          LKAP-TSAKG2_B09_077_2018_2 -               16     964       4     970       2     970    1470    +      1e-280  929.9  18.7  -
Syntrophomonadaceae       -          LKAP-TSAKG2_B09_077_2018_2 -               26     997       4     970       2     970    1515    +    1.6e-279  925.7  18.1  -
Thermoanaerobacteraceae   -          LKAP-TSAKG2_B09_077_2018_2 -               15     967       4     969       2     970    1492    +    5.5e-279  924.0  18.5  -
Peptostreptococcaceae     -          LKAP-TSAKG2_B09_077_2018_2 -                8     945       3     970       1     970    1441    +    3.9e-269  891.3  18.9  -
Ruminococcaceae           -          LKAP-TSAKG2_B09_077_2018_2 -                9     962       4     970       2     970    1457    +    1.6e-268  889.3  18.4  -
Selenomonadaceae          -          LKAP-TSAKG2_B09_077_2018_2 -               28    1008       4     969       2     970    1531    +    9.8e-268  886.8  18.5  -
Sporomusaceae             -          LKAP-TSAKG2_B09_077_2018_2 -               27    1000       3     969       1     970    1535    +    4.9e-266  881.0  18.8  -
Thermoanaerobacterales    -          LKAP-TSAKG2_B09_077_2018_2 -               17     969       4     969       2     970    1472    +    1.9e-265  879.3  18.8  -
Heliobacteriaceae         -          LKAP-TSAKG2_B09_077_2018_2 -               26     967       4     970       2     970    1500    +    7.2e-263  870.8  18.8  -
Brevibacteriaceae         -          LKAP-TSAKG2_B09_077_2018_2 -               19     966       4     969       2     970    1487    +    5.7e-261  864.3  18.2  -
Halobacteroidaceae        -          LKAP-TSAKG2_B09_077_2018_2 -               17     972       4     970       1     970    1478    +    4.4e-260  861.3  17.8  -
Mycoplasmataceae          -          LKAP-TSAKG2_B09_077_2018_2 -                4     953       4     970       1     970    1467    +    1.1e-258  857.1  19.1  -
Veillonellaceae           -          LKAP-TSAKG2_B09_077_2018_2 -                7     969      23     969      18     970    1450    +    1.7e-258  856.1  19.1  -
Deferribacteraceae        -          LKAP-TSAKG2_B09_077_2018_2 -               16     981       4     970       2     970    1513    +    3.5e-256  848.5  18.4  -
Spiroplasmataceae         -          LKAP-TSAKG2_B09_077_2018_2 -               32     978       4     970       2     970    1516    +    6.7e-255  844.7  19.3  -
