# target name             accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP.g-Gut1_G04_020.seq -               27    1174       7    1135       3    1136    1474    +           0 1350.1  22.7  -
Enterobacteriaceae        -          LKAP.g-Gut1_G04_020.seq -               27    1156       7    1129       3    1136    1465    +           0 1210.2  22.8  -
Alteromonadales           -          LKAP.g-Gut1_G04_020.seq -               28    1165       8    1135       3    1136    1468    +           0 1208.9  22.8  -
Morganellaceae            -          LKAP.g-Gut1_G04_020.seq -               30    1160       7    1129       3    1136    1487    +           0 1208.5  22.7  -
Shewanellaceae            -          LKAP.g-Gut1_G04_020.seq -               27    1166       7    1135       3    1136    1483    +           0 1205.0  22.6  -
Erwiniaceae               -          LKAP.g-Gut1_G04_020.seq -               23    1151       8    1129       3    1136    1483    +           0 1204.6  22.7  -
Ferrimonadaceae           -          LKAP.g-Gut1_G04_020.seq -               27    1174       7    1135       2    1136    1475    +           0 1199.2  22.6  -
Pectobacteriaceae         -          LKAP.g-Gut1_G04_020.seq -               24    1154       7    1129       3    1136    1477    +           0 1198.9  22.7  -
Hafniaceae                -          LKAP.g-Gut1_G04_020.seq -               21    1150       7    1129       2    1136    1459    +           0 1198.2  22.7  -
Yersiniaceae              -          LKAP.g-Gut1_G04_020.seq -               27    1156       7    1129       3    1136    1473    +           0 1196.7  22.7  -
Aeromonadaceae            -          LKAP.g-Gut1_G04_020.seq -               39    1172       7    1130       3    1136    1496    +           0 1192.5  22.5  -
Gammaproteobacteria       -          LKAP.g-Gut1_G04_020.seq -               27    1160       7    1132       3    1136    1481    +           0 1188.6  22.5  -
Alteromonadaceae          -          LKAP.g-Gut1_G04_020.seq -               27    1159       7    1132       3    1136    1468    +           0 1180.5  22.7  -
Pseudoalteromonadaceae    -          LKAP.g-Gut1_G04_020.seq -               27    1160       7    1135       3    1136    1469    +           0 1172.3  21.8  -
Oceanospirillaceae        -          LKAP.g-Gut1_G04_020.seq -               28    1164       8    1134       3    1136    1467    +           0 1156.9  22.5  -
Psychromonadaceae         -          LKAP.g-Gut1_G04_020.seq -               27    1163       7    1134       3    1136    1467    +           0 1155.3  22.8  -
Budviciaceae              -          LKAP.g-Gut1_G04_020.seq -               17    1146       7    1129       3    1136    1483    +           0 1155.1  22.7  -
Idiomarinaceae            -          LKAP.g-Gut1_G04_020.seq -               27    1165       7    1135       3    1136    1466    +           0 1153.1  22.7  -
Colwelliaceae             -          LKAP.g-Gut1_G04_020.seq -               27    1164       7    1134       4    1136    1467    +           0 1143.1  22.9  -
Moritellaceae             -          LKAP.g-Gut1_G04_020.seq -               42    1180       7    1134       4    1136    1501    +           0 1137.2  22.8  -
Thorselliaceae            -          LKAP.g-Gut1_G04_020.seq -                6    1124      12    1129       8    1136    1419    +           0 1134.6  23.1  -
Pasteurellaceae           -          LKAP.g-Gut1_G04_020.seq -               27    1158       7    1129       4    1136    1422    +           0 1134.7  22.5  -
Oceanospirillales         -          LKAP.g-Gut1_G04_020.seq -               33    1166       7    1132       3    1136    1489    +           0 1121.4  22.6  -
Chromatiaceae             -          LKAP.g-Gut1_G04_020.seq -               27    1150       7    1132       3    1136    1455    +           0 1110.1  22.2  -
Cellvibrionaceae          -          LKAP.g-Gut1_G04_020.seq -               27    1161       7    1133       3    1136    1472    +           0 1104.6  22.5  -
Piscirickettsiaceae       -          LKAP.g-Gut1_G04_020.seq -               29    1163       7    1133       4    1136    1466    +           0 1098.4  22.8  -
Celerinatantimonadaceae   -          LKAP.g-Gut1_G04_020.seq -               22    1170       7    1134       3    1136    1433    +           0 1098.3  22.7  -
Pseudomonadaceae          -          LKAP.g-Gut1_G04_020.seq -               34    1162       7    1130       3    1136    1491    +           0 1096.8  22.5  -
Orbaceae                  -          LKAP.g-Gut1_G04_020.seq -               54    1183       7    1131       4    1136    1539    +           0 1093.7  22.9  -
