# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae_Planococcus                       -          LKAP-GUTHK2_A07_063_2017_1 -               32     898      18     882       4     882    1492    +           0 1085.4  21.4  -
Planococcaceae_Planomicrobium                    -          LKAP-GUTHK2_A07_063_2017_1 -               26     888      19     882       4     882    1485    +           0 1062.6  21.3  -
Planococcaceae_Sporosarcina                      -          LKAP-GUTHK2_A07_063_2017_1 -               27     888      19     882       5     882    1504    +    5.5e-303 1006.1  21.4  -
Planococcaceae_Jeotgalibacillus                  -          LKAP-GUTHK2_A07_063_2017_1 -               14     890      10     882       4     882    1507    +    8.9e-297  985.5  21.4  -
Planococcaceae_Chryseomicrobium                  -          LKAP-GUTHK2_A07_063_2017_1 -               24     890      17     882       4     882    1483    +      5e-294  976.4  21.4  -
Bacillaceae_Lysinibacillus                       -          LKAP-GUTHK2_A07_063_2017_1 -               22     892      18     882       3     882    1476    +    2.5e-293  974.0  21.4  -
Bacillaceae_Psychrobacillus                      -          LKAP-GUTHK2_A07_063_2017_1 -               34     898      19     882       4     882    1503    +    1.6e-292  971.4  21.2  -
Planococcaceae_Bhargavaea                        -          LKAP-GUTHK2_A07_063_2017_1 -               42     907      18     882       3     882    1544    +    5.1e-292  969.8  21.4  -
Bacillaceae_Domibacillus                         -          LKAP-GUTHK2_A07_063_2017_1 -               22     889      18     882       4     882    1476    +    2.2e-289  961.1  21.4  -
Planococcaceae_Paenisporosarcina                 -          LKAP-GUTHK2_A07_063_2017_1 -               18     883      19     882       6     882    1481    +    1.7e-288  958.1  21.3  -
Bacillaceae_Anoxybacillus                        -          LKAP-GUTHK2_A07_063_2017_1 -               28     891      19     882       4     882    1495    +    1.1e-284  945.6  21.4  -
Bacillaceae_Viridibacillus                       -          LKAP-GUTHK2_A07_063_2017_1 -               27     890      19     882       5     882    1505    +    8.3e-282  935.8  21.2  -
