# target name                                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae_Psychrobacter                      -          A1b_forward          -                2     900       2     900       1     900    1491    +           0 1155.7  18.8  -
Moraxellaceae_Moraxella                          -          A1b_forward          -                1     886       9     900       9     900    1446    +    1.3e-306 1018.3  18.9  -
Alteromonadaceae_Marinobacterium                 -          A1b_forward          -                3     904       3     900       1     900    1465    +    1.7e-282  938.2  18.8  -
Alteromonadaceae_Marinobacter                    -          A1b_forward          -                2     902       2     900       1     900    1478    +    2.9e-282  937.4  18.8  -
Halomonadaceae_Halomonas                         -          A1b_forward          -                2     903       2     900       1     900    1463    +    1.2e-280  932.1  18.7  -
Pseudomonadaceae_Pseudomonas                     -          A1b_forward          -                9     908       2     900       1     900    1502    +    1.3e-278  925.4  18.8  -
Halomonadaceae_Chromohalobacter                  -          A1b_forward          -                2     902       2     900       1     900    1480    +    2.2e-275  914.8  18.8  -
Moraxellaceae_Acinetobacter                      -          A1b_forward          -                1     896       5     900       5     900    1463    +    7.4e-275  913.1  18.8  -
Oceanospirillaceae_Marinomonas                   -          A1b_forward          -                3     904       3     900       1     900    1467    +    5.1e-274  909.9  19.1  -
Alcanivoracaceae_Pseudohongiella                 -          A1b_forward          -                3     902       3     900       1     900    1461    +    1.2e-273  908.9  18.9  -
Oceanospirillaceae_Amphritea                     -          A1b_forward          -                2     902       2     900       1     900    1463    +    1.2e-272  905.6  18.8  -
Oceanospirillaceae_Marinospirillum               -          A1b_forward          -                3     896       3     900       1     900    1451    +    1.2e-271  902.3  19.0  -
Methylococcaceae_Methylococcus                   -          A1b_forward          -               14     909       2     900       1     900    1482    +    6.4e-271  899.9  19.0  -
Halomonadaceae_Cobetia                           -          A1b_forward          -               14     914       2     900       1     900    1516    +    8.1e-271  899.5  18.8  -
Halomonadaceae_Salinicola                        -          A1b_forward          -                3     902       3     900       1     900    1471    +    7.3e-270  896.3  18.8  -
Microbulbiferaceae_Microbulbifer                 -          A1b_forward          -                3     897       3     900       1     900    1480    +      1e-269  896.0  19.0  -
Halomonadaceae_Kushneria                         -          A1b_forward          -                6     906       2     900       1     900    1461    +    5.8e-269  893.3  18.8  -
Oceanospirillaceae_Reinekea                      -          A1b_forward          -               12     906       2     900       1     900    1512    +      9e-269  892.7  19.0  -
Spongiibacteraceae_Sinobacterium                 -          A1b_forward          -               23     924       3     900       1     900    1504    +    2.1e-268  891.5  18.8  -
Oceanospirillaceae_Neptunomonas                  -          A1b_forward          -                2     904       2     900       1     900    1484    +    2.4e-268  891.3  18.8  -
Hahellaceae_Hahella                              -          A1b_forward          -               30     928       3     900       1     900    1539    +    1.5e-267  888.8  18.9  -
Hahellaceae_Endozoicomonas                       -          A1b_forward          -               22     925       2     900       1     900    1524    +    2.5e-267  888.0  18.8  -
Alcanivoracaceae_Alcanivorax                     -          A1b_forward          -               22     923       2     900       1     900    1505    +    8.3e-267  886.1  18.8  -
Kangiellaceae_Kangiella                          -          A1b_forward          -               10     915       2     900       1     900    1478    +    1.8e-266  885.1  18.8  -
Oceanospirillaceae_Oceanospirillum               -          A1b_forward          -                2     903       2     900       1     900    1462    +    4.1e-266  884.1  18.9  -
Cellvibrionaceae_Simiduia                        -          A1b_forward          -                3     902       3     900       1     900    1463    +    4.2e-266  883.9  18.8  -
Halomonadaceae_Larsenimonas                      -          A1b_forward          -               23     923       2     900       1     900    1495    +    4.9e-266  883.7  18.8  -
Saccharospirillaceae_Saccharospirillum           -          A1b_forward          -                4     897       3     900       1     900    1459    +    6.8e-265  880.0  19.0  -
Methylococcaceae_Methylomonas                    -          A1b_forward          -               21     914       2     900       1     900    1475    +    5.1e-264  877.0  18.8  -
Methylococcaceae_Methylomicrobium                -          A1b_forward          -               22     916       2     900       1     900    1467    +    7.5e-264  876.3  18.8  -
Wenzhouxiangellaceae_Wenzhouxiangella            -          A1b_forward          -                3     909       3     900       1     900    1472    +      3e-263  874.3  18.8  -
Methylococcaceae_Methylobacter                   -          A1b_forward          -               22     916       2     900       1     900    1500    +    1.3e-262  872.2  18.9  -
Halieaceae_Haliea                                -          A1b_forward          -               22     918       2     900       1     900    1500    +      3e-262  871.2  19.2  -
Gammaproteobacteria_Thiohalomonas                -          A1b_forward          -                2     899       9     900       8     900    1483    +    3.1e-261  867.5  18.9  -
Thiotrichaceae_Leucothrix                        -          A1b_forward          -                2     895       7     900       6     900    1445    +    4.3e-260  863.7  18.8  -
Oceanospirillaceae_Thalassolituus                -          A1b_forward          -               10     909       3     900       1     900    1476    +    1.1e-259  862.6  18.8  -
Oceanospirillaceae_Nitrincola                    -          A1b_forward          -               14     908       3     900       1     900    1477    +    2.5e-259  861.4  18.8  -
Pseudomonadaceae_Azotobacter                     -          A1b_forward          -                9     905       2     900       1     900    1473    +    3.6e-259  861.1  18.6  -
Cellvibrionaceae_Cellvibrio                      -          A1b_forward          -               23     917       3     900       1     900    1505    +    4.7e-259  860.6  18.7  -
Granulosicoccaceae_Granulosicoccus               -          A1b_forward          -                3     905       3     900       1     900    1471    +    5.5e-259  860.4  18.8  -
Shewanellaceae_Shewanella                        -          A1b_forward          -                3     906       3     900       1     900    1483    +    1.2e-258  859.2  18.8  -
Chromobacteriaceae_Aquaspirillum                 -          A1b_forward          -               22     917       2     900       1     900    1488    +    1.2e-258  859.3  18.8  -
Oceanospirillaceae_Neptuniibacter                -          A1b_forward          -               30     929       3     900       1     900    1541    +    1.9e-258  858.3  18.9  -
Spongiibacteraceae_Spongiibacter                 -          A1b_forward          -                5     899       2     900       1     900    1441    +    5.2e-258  856.9  18.7  -
Methylococcaceae_Methylosarcina                  -          A1b_forward          -               16     910       2     900       1     900    1515    +    1.9e-257  855.1  19.0  -
Idiomarinaceae_Idiomarina                        -          A1b_forward          -                8     910       3     900       1     900    1471    +    2.2e-256  851.5  18.8  -
Gammaproteobacteria_Sedimenticola                -          A1b_forward          -               17     923       3     900       1     900    1540    +    5.6e-256  850.3  18.8  -
Halieaceae_Parahaliea                            -          A1b_forward          -                3     897       3     900       1     900    1498    +    2.5e-255  848.2  19.0  -
Colwelliaceae_Thalassotalea                      -          A1b_forward          -                3     902       3     900       1     900    1463    +    2.6e-255  848.3  18.9  -
Gammaproteobacteria_Alkalimonas                  -          A1b_forward          -               20     920       2     900       1     900    1502    +    2.8e-255  848.0  18.7  -
Hahellaceae_Kistimonas                           -          A1b_forward          -               22     923       2     900       1     900    1506    +    3.2e-255  847.9  18.8  -
