# target name             accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          B0707_LKAP-FHGF1_C09_075 -               22     956       4     936       1     936    1474    +           0 1161.5  24.5  -
Ferrimonadaceae           -          B0707_LKAP-FHGF1_C09_075 -               23     956       5     936       1     936    1475    +           0 1021.7  24.6  -
Enterobacteriaceae        -          B0707_LKAP-FHGF1_C09_075 -               22     946       4     936       1     936    1465    +    2.7e-304 1008.0  24.2  -
Aeromonadaceae            -          B0707_LKAP-FHGF1_C09_075 -               35     960       5     936       1     936    1496    +    2.1e-303 1004.8  24.1  -
Erwiniaceae               -          B0707_LKAP-FHGF1_C09_075 -               18     941       5     936       1     936    1483    +    4.6e-303 1003.9  24.2  -
Alteromonadales           -          B0707_LKAP-FHGF1_C09_075 -               23     947       5     936       2     936    1468    +    1.6e-301  998.4  24.2  -
Gammaproteobacteria       -          B0707_LKAP-FHGF1_C09_075 -               23     945       5     936       2     936    1481    +    1.1e-300  995.8  24.2  -
Yersiniaceae              -          B0707_LKAP-FHGF1_C09_075 -               23     946       5     936       1     936    1473    +    1.6e-300  995.4  24.2  -
Shewanellaceae            -          B0707_LKAP-FHGF1_C09_075 -               22     948       4     936       1     936    1483    +    3.2e-300  994.4  24.1  -
Morganellaceae            -          B0707_LKAP-FHGF1_C09_075 -               26     949       5     936       1     936    1487    +    1.7e-299  992.2  24.5  -
Alteromonadaceae          -          B0707_LKAP-FHGF1_C09_075 -               23     945       5     936       1     936    1468    +    1.8e-298  988.6  24.2  -
Pectobacteriaceae         -          B0707_LKAP-FHGF1_C09_075 -               20     943       5     936       1     936    1477    +    3.1e-298  987.8  24.2  -
Hafniaceae                -          B0707_LKAP-FHGF1_C09_075 -               17     940       5     936       2     936    1459    +    1.4e-297  985.6  24.3  -
Pseudoalteromonadaceae    -          B0707_LKAP-FHGF1_C09_075 -               22     942       4     936       1     936    1469    +    1.2e-296  982.5  23.3  -
Idiomarinaceae            -          B0707_LKAP-FHGF1_C09_075 -               22     947       4     936       1     936    1466    +      9e-289  956.3  24.1  -
Colwelliaceae             -          B0707_LKAP-FHGF1_C09_075 -               24     947       6     936       2     936    1467    +      2e-288  955.4  24.1  -
Moritellaceae             -          B0707_LKAP-FHGF1_C09_075 -               39     963       6     936       2     936    1501    +    2.7e-288  954.8  24.2  -
Budviciaceae              -          B0707_LKAP-FHGF1_C09_075 -               11     936       4     936       1     936    1483    +    5.3e-288  953.9  24.1  -
Oceanospirillaceae        -          B0707_LKAP-FHGF1_C09_075 -               24     947       6     936       2     936    1467    +      7e-287  950.1  24.2  -
Psychromonadaceae         -          B0707_LKAP-FHGF1_C09_075 -               24     946       6     936       2     936    1467    +    1.1e-285  946.3  24.1  -
Cellvibrionaceae          -          B0707_LKAP-FHGF1_C09_075 -               23     945       5     936       1     936    1472    +    2.3e-284  941.9  24.3  -
Chromatiaceae             -          B0707_LKAP-FHGF1_C09_075 -               23     935       5     936       1     936    1455    +    3.5e-284  941.4  24.6  -
Oceanospirillales         -          B0707_LKAP-FHGF1_C09_075 -               29     951       5     936       1     936    1489    +    1.3e-283  939.2  24.4  -
Thorselliaceae            -          B0707_LKAP-FHGF1_C09_075 -                1     915      10     936      10     936    1419    +    2.3e-281  931.9  25.4  -
Pseudomonadaceae          -          B0707_LKAP-FHGF1_C09_075 -               29     950       4     936       1     936    1491    +    5.6e-281  930.6  23.9  -
Piscirickettsiaceae       -          B0707_LKAP-FHGF1_C09_075 -               24     949       5     936       1     936    1466    +    1.3e-277  919.5  24.3  -
Alcanivoracaceae          -          B0707_LKAP-FHGF1_C09_075 -               43     965       5     936       2     936    1504    +    1.7e-277  919.0  24.4  -
Pasteurellaceae           -          B0707_LKAP-FHGF1_C09_075 -               24     947       6     936       2     936    1422    +    3.9e-276  914.6  24.1  -
Orbaceae                  -          B0707_LKAP-FHGF1_C09_075 -               51     970       6     936       2     936    1539    +    4.2e-275  911.1  24.2  -
Methylococcaceae          -          B0707_LKAP-FHGF1_C09_075 -               38     953       6     936       2     936    1481    +    3.6e-274  908.0  24.6  -
Hahellaceae               -          B0707_LKAP-FHGF1_C09_075 -               22     944       5     936       1     936    1473    +    2.1e-272  902.3  24.3  -
Halieaceae                -          B0707_LKAP-FHGF1_C09_075 -               30     946       5     936       1     936    1484    +    3.4e-272  901.5  24.6  -
Celerinatantimonadaceae   -          B0707_LKAP-FHGF1_C09_075 -               19     953       6     936       2     936    1433    +    5.3e-271  897.7  24.2  -
Succinivibrionaceae       -          B0707_LKAP-FHGF1_C09_075 -               27     923       6     936       2     936    1473    +    4.7e-270  894.4  24.2  -
Moraxellaceae             -          B0707_LKAP-FHGF1_C09_075 -               21     937       6     936       2     936    1468    +    5.2e-269  891.2  24.4  -
Ectothiorhodospiraceae    -          B0707_LKAP-FHGF1_C09_075 -               30     952       5     936       2     936    1463    +    7.1e-269  890.7  24.5  -
Microbulbiferaceae        -          B0707_LKAP-FHGF1_C09_075 -               23     939       5     936       1     936    1480    +    1.3e-268  889.9  24.4  -
Spongiibacteraceae        -          B0707_LKAP-FHGF1_C09_075 -               26     943       5     936       1     936    1462    +    1.6e-268  889.2  24.0  -
Lysobacteraceae           -          B0707_LKAP-FHGF1_C09_075 -               24     948       5     936       1     936    1484    +    4.6e-268  887.9  24.4  -
Thermoleophilaceae        -          B0707_LKAP-FHGF1_C09_075 -               13     947       3     936       1     936    1494    +    1.6e-267  886.0  24.2  -
Halothiobacillaceae       -          B0707_LKAP-FHGF1_C09_075 -               38     964       4     936       1     936    1500    +    2.4e-267  885.5  24.3  -
Halomonadaceae            -          B0707_LKAP-FHGF1_C09_075 -               23     945       5     936       1     936    1466    +    3.8e-267  884.7  24.4  -
Litoricolaceae            -          B0707_LKAP-FHGF1_C09_075 -               31     952       5     936       2     936    1474    +    3.8e-266  881.6  24.3  -
Thioalkalispiraceae       -          B0707_LKAP-FHGF1_C09_075 -               35     964       5     936       2     936    1479    +    1.2e-265  879.8  24.2  -
Kangiellaceae             -          B0707_LKAP-FHGF1_C09_075 -               33     958       6     936       2     936    1479    +    4.9e-261  864.5  24.2  -
Chromobacteriaceae        -          B0707_LKAP-FHGF1_C09_075 -               22     938       5     936       2     936    1460    +    5.3e-261  864.6  24.2  -
Saccharospirillaceae      -          B0707_LKAP-FHGF1_C09_075 -               24     939       5     936       2     936    1468    +    3.8e-260  861.6  23.8  -
Thiotrichaceae            -          B0707_LKAP-FHGF1_C09_075 -               24     902       6     936       2     936    1421    +    1.4e-257  853.1  23.4  -
Nevskiaceae               -          B0707_LKAP-FHGF1_C09_075 -               30     940       4     936       1     936    1470    +    5.4e-255  844.8  24.3  -
Cardiobacteriaceae        -          B0707_LKAP-FHGF1_C09_075 -               32     950       6     936       2     936    1464    +    7.1e-255  844.5  23.9  -
Rhodanobacteraceae        -          B0707_LKAP-FHGF1_C09_075 -               24     948       5     936       1     936    1473    +    4.1e-253  838.4  24.6  -
Rhodocyclaceae            -          B0707_LKAP-FHGF1_C09_075 -               23     943       5     936       2     936    1484    +    4.7e-253  838.1  24.7  -
Rhodospirillaceae         -          B0707_LKAP-FHGF1_C09_075 -               24     894       5     936       1     936    1429    +    1.6e-252  836.5  23.2  -
