# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_C11_091   -               15     958      12     950       3     951    1474    +           0 1166.9  26.3  -
Ferrimonadaceae           -          LKAP-GutHK_C11_091   -               15     958      12     950       3     951    1475    +           0 1028.3  26.5  -
Enterobacteriaceae        -          LKAP-GutHK_C11_091   -               16     948      13     950       3     951    1465    +    4.1e-305 1010.8  25.9  -
Alteromonadales           -          LKAP-GutHK_C11_091   -               16     949      13     950       3     951    1468    +    6.5e-305 1009.7  25.7  -
Aeromonadaceae            -          LKAP-GutHK_C11_091   -               28     962      13     950       3     951    1496    +    7.9e-305 1009.5  25.8  -
Gammaproteobacteria       -          LKAP-GutHK_C11_091   -               26     947      20     950       3     951    1481    +    8.3e-304 1006.2  25.9  -
Erwiniaceae               -          LKAP-GutHK_C11_091   -               61     943      68     950      45     951    1483    +    2.1e-302 1001.8  24.5  -
Yersiniaceae              -          LKAP-GutHK_C11_091   -               15     948      12     950       3     951    1473    +    6.3e-302 1000.1  26.0  -
Alteromonadaceae          -          LKAP-GutHK_C11_091   -               14     947      11     950       3     951    1468    +    1.2e-301  999.1  26.0  -
Shewanellaceae            -          LKAP-GutHK_C11_091   -               26     950      20     950       3     951    1483    +    7.7e-301  996.5  25.8  -
Pectobacteriaceae         -          LKAP-GutHK_C11_091   -               14     945      14     950       3     951    1477    +    1.7e-300  995.3  25.9  -
Pseudoalteromonadaceae    -          LKAP-GutHK_C11_091   -               15     944      12     950       3     951    1469    +    1.2e-297  985.9  25.0  -
Hafniaceae                -          LKAP-GutHK_C11_091   -               10     942      13     950       4     951    1459    +    3.6e-296  980.9  26.0  -
Morganellaceae            -          LKAP-GutHK_C11_091   -               18     951      12     950       3     951    1487    +    1.2e-295  979.5  26.2  -
Colwelliaceae             -          LKAP-GutHK_C11_091   -               14     949      11     950       4     951    1467    +    2.9e-292  968.2  25.9  -
Budviciaceae              -          LKAP-GutHK_C11_091   -               17     938      21     950       7     951    1483    +    1.6e-291  965.6  25.7  -
Idiomarinaceae            -          LKAP-GutHK_C11_091   -               14     949      11     950       3     951    1466    +      2e-291  965.1  25.8  -
Oceanospirillaceae        -          LKAP-GutHK_C11_091   -               15     949      12     950       3     951    1467    +      1e-290  962.9  25.8  -
Moritellaceae             -          LKAP-GutHK_C11_091   -               29     965      11     950       3     951    1501    +    4.5e-286  947.4  25.7  -
Oceanospirillales         -          LKAP-GutHK_C11_091   -               20     953      11     950       3     951    1489    +    7.8e-286  946.6  26.1  -
Cellvibrionaceae          -          LKAP-GutHK_C11_091   -               15     947      12     950       3     951    1472    +    1.1e-285  946.3  26.1  -
Chromatiaceae             -          LKAP-GutHK_C11_091   -               23     937      19     950       3     951    1455    +      3e-285  944.9  26.2  -
Psychromonadaceae         -          LKAP-GutHK_C11_091   -               14     948      11     950       3     951    1467    +    3.2e-285  944.8  25.8  -
Pseudomonadaceae          -          LKAP-GutHK_C11_091   -               22     952      12     950       3     951    1491    +    5.7e-284  940.6  26.1  -
Thorselliaceae            -          LKAP-GutHK_C11_091   -               38     917      71     950      46     951    1419    +    8.2e-284  940.0  24.5  -
Piscirickettsiaceae       -          LKAP-GutHK_C11_091   -               29     951      21     950       4     951    1466    +    3.4e-281  931.3  25.9  -
Alcanivoracaceae          -          LKAP-GutHK_C11_091   -               35     967      12     950       3     951    1504    +    1.4e-280  929.3  26.1  -
Methylococcaceae          -          LKAP-GutHK_C11_091   -               41     955      21     950       4     951    1481    +    5.3e-276  914.2  25.9  -
Halieaceae                -          LKAP-GutHK_C11_091   -               22     948      11     950       4     951    1484    +    7.6e-276  913.6  26.2  -
Hahellaceae               -          LKAP-GutHK_C11_091   -               14     946      11     950       3     951    1473    +    1.6e-274  909.3  26.1  -
