# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Alcanivoracaceae                 -          B1g_reverse          -              520    1462     986      23    1006       5    1504    -    2.6e-247  818.3  13.8  -
Unclassified_Oceanospirillales   -          B1g_reverse          -              501    1442     986      24    1006       6    1483    -    3.9e-244  807.7  14.2  -
Microbulbiferaceae               -          B1g_reverse          -              495    1437     986      23    1006       5    1478    -    1.9e-240  795.8  14.3  -
Spongiibacteraceae               -          B1g_reverse          -              499    1441     986      23    1006       6    1462    -      4e-240  794.5  14.5  -
Thermoleophilaceae               -          B1g_reverse          -              498    1443     986      33    1007      15    1486    -    4.6e-240  794.4  15.0  -
Unclassified_Alteromonadales     -          B1g_reverse          -              502    1444     986      23    1006       5    1467    -      2e-239  792.1  14.0  -
Thioalkalispiraceae              -          B1g_reverse          -              517    1455     986      30    1006      10    1478    -    4.7e-238  787.6  14.6  -
Halieaceae                       -          B1g_reverse          -              502    1444     986      23    1006       5    1484    -    7.5e-235  777.1  14.5  -
Halothiobacillaceae              -          B1g_reverse          -              519    1473     986      11    1006       5    1501    -    1.8e-233  772.6  14.1  -
Kangiellaceae                    -          B1g_reverse          -              513    1443     986      36    1006      16    1479    -      5e-231  764.4  14.5  -
Litoricolaceae                   -          B1g_reverse          -              508    1449     986      23    1006       6    1474    -    1.3e-228  756.6  14.1  -
Colwelliaceae                    -          B1g_reverse          -              501    1444     986      22    1006       6    1465    -    5.8e-227  751.1  13.6  -
Saccharospirillaceae             -          B1g_reverse          -              495    1402     986      60    1006      40    1468    -    3.6e-225  745.0  14.3  -
Nevskiaceae                      -          B1g_reverse          -              496    1427     986      36    1007      16    1470    -    7.9e-222  734.3  14.7  -
Aeromonadaceae                   -          B1g_reverse          -              516    1471     986       9    1006       5    1496    -    8.7e-222  733.6  14.0  -
Idiomarinaceae                   -          B1g_reverse          -              502    1442     986      26    1006       6    1466    -    2.9e-221  731.9  14.2  -
Granulosicoccaceae               -          B1g_reverse          -              502    1446     986      23    1007      15    1471    -    6.8e-218  721.0  14.7  -
Ferrimonadaceae                  -          B1g_reverse          -              512    1455     986      22    1006       6    1475    -      2e-217  719.2  14.2  -
Cardiobacteriaceae               -          B1g_reverse          -              505    1442     986      24    1006       6    1462    -    9.8e-217  717.4  14.1  -
Acidiferrobacteraceae            -          B1g_reverse          -              492    1414     986      46    1007      26    1456    -    4.8e-216  714.9  14.5  -
Coxiellaceae                     -          B1g_reverse          -              509    1449     986      24    1007       5    1473    -      6e-216  714.5  14.3  -
Arenicellaceae                   -          B1g_reverse          -              497    1450     986       9    1006       4    1488    -    2.1e-215  712.8  14.2  -
Wenzhouxiangellaceae             -          B1g_reverse          -              505    1441     986      32    1006      11    1472    -    1.7e-213  706.2  14.7  -
Succinivibrionaceae              -          B1g_reverse          -              482    1422     986      24    1006      15    1474    -    3.5e-211  698.7  14.3  -
Desulfohalobiaceae               -          B1g_reverse          -              529    1441     986      57    1007      26    1510    -    6.1e-211  697.9  14.7  -
Methylothermaceae                -          B1g_reverse          -              522    1457     986      37    1007      16    1491    -    5.8e-209  691.3  15.1  -
Salinisphaeraceae                -          B1g_reverse          -              489    1423     986      32    1006      23    1432    -    7.9e-208  687.7  14.6  -
