# target name                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Alcanivoracaceae                 -          LKAP-TSAKG2_A03_031_2018_2 -               31     367       3     337       2     338    1504    +     3.9e-49  159.6   3.9  -
Saccharospirillaceae             -          LKAP-TSAKG2_A03_031_2018_2 -               12     342       3     337       1     338    1468    +     2.6e-45  147.1   4.0  -
Litoricolaceae                   -          LKAP-TSAKG2_A03_031_2018_2 -               19     355       3     337       2     338    1474    +     4.1e-44  143.3   3.9  -
Unclassified_Oceanospirillales   -          LKAP-TSAKG2_A03_031_2018_2 -               16     348       3     337       2     338    1483    +       1e-43  141.6   3.7  -
Wenzhouxiangellaceae             -          LKAP-TSAKG2_A03_031_2018_2 -               56     351      48     337      26     338    1472    +     4.8e-43  139.5   2.3  -
Thioalkalispiraceae              -          LKAP-TSAKG2_A03_031_2018_2 -               48     364      29     337       9     338    1478    +     6.2e-42  135.8   2.7  -
Kangiellaceae                    -          LKAP-TSAKG2_A03_031_2018_2 -               46     360      31     337       9     338    1479    +     1.4e-41  134.7   2.5  -
Salinisphaeraceae                -          LKAP-TSAKG2_A03_031_2018_2 -                7     335      11     337       5     338    1432    +       4e-41  133.4   3.0  -
Moritellaceae                    -          LKAP-TSAKG2_A03_031_2018_2 -               27     366       4     337       2     338    1501    +     1.1e-39  128.4   3.7  -
Nevskiaceae                      -          LKAP-TSAKG2_A03_031_2018_2 -               59     344      55     337      11     338    1470    +     1.3e-39  128.6   2.2  -
Spongiibacteraceae               -          LKAP-TSAKG2_A03_031_2018_2 -               14     346       3     337       1     338    1462    +     1.3e-39  128.1   3.9  -
Cardiobacteriaceae               -          LKAP-TSAKG2_A03_031_2018_2 -               46     353      32     337      12     338    1462    +     1.6e-39  128.2   2.3  -
Colwelliaceae                    -          LKAP-TSAKG2_A03_031_2018_2 -               12     348       4     337       2     338    1465    +     8.9e-39  125.6   3.8  -
Coxiellaceae                     -          LKAP-TSAKG2_A03_031_2018_2 -               35     356      29     337       9     338    1473    +     1.2e-38  125.1   2.3  -
Granulosicoccaceae               -          LKAP-TSAKG2_A03_031_2018_2 -               56     349      48     337      27     338    1471    +     9.1e-38  122.2   2.3  -
Microbulbiferaceae               -          LKAP-TSAKG2_A03_031_2018_2 -               11     342       3     337       1     338    1478    +     2.5e-37  120.9   3.8  -
Halieaceae                       -          LKAP-TSAKG2_A03_031_2018_2 -               20     349       4     337       2     338    1484    +     3.9e-37  120.0   3.5  -
Arenicellaceae                   -          LKAP-TSAKG2_A03_031_2018_2 -               61     344      59     337      36     338    1488    +     4.8e-37  119.8   2.0  -
Idiomarinaceae                   -          LKAP-TSAKG2_A03_031_2018_2 -               11     349       3     337       1     338    1466    +     5.5e-37  119.3   3.9  -
Halothiobacillaceae              -          LKAP-TSAKG2_A03_031_2018_2 -               33     366       8     337       2     338    1501    +     5.6e-37  119.4   3.4  -
Ferrimonadaceae                  -          LKAP-TSAKG2_A03_031_2018_2 -               68     359      49     337      10     338    1475    +     2.3e-36  117.2   2.5  -
Unclassified_Alteromonadales     -          LKAP-TSAKG2_A03_031_2018_2 -               12     349       4     337       2     338    1467    +     9.9e-36  115.2   3.6  -
Acidiferrobacteraceae            -          LKAP-TSAKG2_A03_031_2018_2 -               51     340      51     337      31     338    1456    +     8.6e-35  112.4   2.2  -
Aeromonadaceae                   -          LKAP-TSAKG2_A03_031_2018_2 -               23     363       3     337       2     338    1496    +     1.6e-34  111.1   3.8  -
Sulfuricellaceae                 -          LKAP-TSAKG2_A03_031_2018_2 -               15     345       7     337       2     338    1462    +     8.1e-34  109.1   3.3  -
Thermoleophilaceae               -          LKAP-TSAKG2_A03_031_2018_2 -                5     345       4     337       1     338    1486    +     9.4e-34  108.8   3.6  -
Aurantimonadaceae                -          LKAP-TSAKG2_A03_031_2018_2 -               67     333      60     337      39     338    1444    +     3.9e-33  107.1   1.5  -
Succinivibrionaceae              -          LKAP-TSAKG2_A03_031_2018_2 -               59     346      47     337      25     338    1474    +     5.2e-33  106.3   2.0  -
Sutterellaceae                   -          LKAP-TSAKG2_A03_031_2018_2 -               11     347       3     337       1     338    1487    +     6.1e-33  106.0   3.8  -
Unclassified_Thiotrichales       -          LKAP-TSAKG2_A03_031_2018_2 -               75     363      46     337      26     338    1517    +       1e-32  105.3   2.0  -
Thiobacilliaceae                 -          LKAP-TSAKG2_A03_031_2018_2 -               34     362       7     337       2     338    1517    +     3.2e-32  103.8   3.4  -
Psychromonadaceae                -          LKAP-TSAKG2_A03_031_2018_2 -               12     349       4     337       2     338    1467    +     4.3e-32  103.4   3.6  -
Methylophilaceae                 -          LKAP-TSAKG2_A03_031_2018_2 -               32     329      43     337      22     338    1430    +     6.5e-32  102.7   2.3  -
Francisellaceae                  -          LKAP-TSAKG2_A03_031_2018_2 -               72     347      61     337      38     338    1509    +     9.8e-32  102.1   2.0  -
Acidithiobacillaceae             -          LKAP-TSAKG2_A03_031_2018_2 -               61     340      61     337      40     338    1457    +     1.5e-31  101.4   2.0  -
Thermithiobacillaceae            -          LKAP-TSAKG2_A03_031_2018_2 -               49     328      61     337      40     338    1419    +     1.8e-31  101.4   1.8  -
Zoogloeaceae                     -          LKAP-TSAKG2_A03_031_2018_2 -               26     350      11     337       2     338    1474    +     2.8e-31  100.6   3.4  -
Unclassified_Rhizobiales         -          LKAP-TSAKG2_A03_031_2018_2 -               22     327       4     337       2     338    1437    +     1.5e-30   98.4   2.5  -
Hydrogenophilaceae               -          LKAP-TSAKG2_A03_031_2018_2 -               12     343       4     337       2     338    1462    +     1.6e-30   98.4   3.6  -
Brucellaceae                     -          LKAP-TSAKG2_A03_031_2018_2 -               57     320      63     337      42     338    1412    +     5.1e-30   96.8   1.3  -
Unclassified_Alphaproteobacteria -          LKAP-TSAKG2_A03_031_2018_2 -               55     319      62     337      39     338    1412    +       1e-29   95.8   1.4  -
Thorselliaceae                   -          LKAP-TSAKG2_A03_031_2018_2 -                8     318      29     337      24     338    1419    +     1.1e-29   95.3   2.3  -
Beijerinckiaceae                 -          LKAP-TSAKG2_A03_031_2018_2 -               25     330       4     337       2     338    1421    +     1.8e-29   94.8   2.3  -
Azonexaceae                      -          LKAP-TSAKG2_A03_031_2018_2 -               13     347       4     337       1     338    1474    +     3.9e-29   93.7   3.5  -
Chelatococcaceae                 -          LKAP-TSAKG2_A03_031_2018_2 -               23     328       4     337       2     338    1439    +     5.1e-29   93.5   2.3  -
Hyphomonadaceae                  -          LKAP-TSAKG2_A03_031_2018_2 -               12     317       4     337       2     338    1399    +     5.2e-29   93.5   2.5  -
Parvularculaceae                 -          LKAP-TSAKG2_A03_031_2018_2 -               54     337      33     337      10     338    1429    +       6e-29   93.4   1.6  -
Budviciaceae                     -          LKAP-TSAKG2_A03_031_2018_2 -                2     339       4     337       3     338    1483    +       7e-29   92.6   3.6  -
Nitrosomonadaceae                -          LKAP-TSAKG2_A03_031_2018_2 -               14     346       6     337       2     338    1463    +     2.5e-28   91.0   2.8  -
Bdellovibrionaceae               -          LKAP-TSAKG2_A03_031_2018_2 -               59     339      63     337      11     338    1430    +     5.6e-28   89.8   1.8  -
Kiloniellaceae                   -          LKAP-TSAKG2_A03_031_2018_2 -               84     346      64     337      11     338    1450    +     6.2e-28   89.4   1.2  -
Nautiliaceae                     -          LKAP-TSAKG2_A03_031_2018_2 -               53     342      45     337       9     338    1428    +     7.3e-28   89.7   1.8  -
Sneathiellaceae                  -          LKAP-TSAKG2_A03_031_2018_2 -               16     332       3     337       2     338    1427    +     7.3e-28   89.5   2.7  -
Phormidiaceae                    -          LKAP-TSAKG2_A03_031_2018_2 -               78     338      65     337      45     338    1483    +     9.1e-28   89.4   0.9  -
Orbaceae                         -          LKAP-TSAKG2_A03_031_2018_2 -               40     372       5     337       2     338    1538    +     9.2e-28   88.8   3.3  -
Celerinatantimonadaceae          -          LKAP-TSAKG2_A03_031_2018_2 -                7     348       4     337       2     338    1433    +     3.1e-27   87.4   3.6  -
Methylothermaceae                -          LKAP-TSAKG2_A03_031_2018_2 -               32     368       3     337       2     338    1491    +     3.3e-27   87.1   3.5  -
