# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GUTHK2_D09_073_2017_1 -               28    1042      20    1025       2    1033    1474    +           0 1199.0  21.1  -
Alteromonadales           -          LKAP-GUTHK2_D09_073_2017_1 -               26    1033      17    1025       2    1033    1468    +           0 1064.0  21.3  -
Enterobacteriaceae        -          LKAP-GUTHK2_D09_073_2017_1 -               28    1032      20    1025       2    1033    1465    +           0 1060.0  21.2  -
Ferrimonadaceae           -          LKAP-GUTHK2_D09_073_2017_1 -               21    1042      15    1025       2    1033    1475    +           0 1058.0  21.2  -
Shewanellaceae            -          LKAP-GUTHK2_D09_073_2017_1 -               28    1034      20    1025       2    1033    1483    +           0 1053.2  20.9  -
Erwiniaceae               -          LKAP-GUTHK2_D09_073_2017_1 -               22    1027      18    1025       2    1033    1483    +           0 1050.9  21.2  -
Aeromonadaceae            -          LKAP-GUTHK2_D09_073_2017_1 -               33    1046      15    1025       2    1033    1496    +           0 1045.2  21.2  -
Pectobacteriaceae         -          LKAP-GUTHK2_D09_073_2017_1 -               25    1029      20    1025       2    1033    1477    +           0 1041.5  21.1  -
Hafniaceae                -          LKAP-GUTHK2_D09_073_2017_1 -               20    1026      17    1025       2    1033    1459    +           0 1040.2  21.2  -
Gammaproteobacteria       -          LKAP-GUTHK2_D09_073_2017_1 -               28    1031      20    1025       2    1033    1481    +           0 1039.5  21.1  -
Yersiniaceae              -          LKAP-GUTHK2_D09_073_2017_1 -               28    1032      20    1025       3    1033    1473    +           0 1037.9  21.1  -
Morganellaceae            -          LKAP-GUTHK2_D09_073_2017_1 -               31    1035      20    1025       2    1033    1487    +           0 1037.0  21.1  -
Alteromonadaceae          -          LKAP-GUTHK2_D09_073_2017_1 -               26    1032      17    1026       2    1032    1468    +           0 1033.4  21.5  -
Pseudoalteromonadaceae    -          LKAP-GUTHK2_D09_073_2017_1 -               28    1028      20    1025       2    1033    1469    +           0 1030.2  20.3  -
Budviciaceae              -          LKAP-GUTHK2_D09_073_2017_1 -               18    1022      20    1025       6    1033    1483    +    1.4e-304 1009.0  21.0  -
Colwelliaceae             -          LKAP-GUTHK2_D09_073_2017_1 -               26    1033      17    1025       3    1033    1467    +    5.8e-304 1007.0  21.2  -
Oceanospirillaceae        -          LKAP-GUTHK2_D09_073_2017_1 -               26    1033      17    1025       2    1033    1467    +    1.2e-303 1005.8  21.0  -
Psychromonadaceae         -          LKAP-GUTHK2_D09_073_2017_1 -               28    1032      20    1025       3    1033    1467    +    3.1e-303 1004.6  21.2  -
Idiomarinaceae            -          LKAP-GUTHK2_D09_073_2017_1 -               27    1033      19    1025       2    1033    1466    +    3.2e-303 1004.3  21.3  -
Moritellaceae             -          LKAP-GUTHK2_D09_073_2017_1 -               43    1049      20    1025       3    1033    1501    +    6.3e-298  986.9  21.0  -
Thorselliaceae            -          LKAP-GUTHK2_D09_073_2017_1 -                6    1001      24    1025      20    1033    1419    +    2.6e-296  981.6  20.9  -
Chromatiaceae             -          LKAP-GUTHK2_D09_073_2017_1 -               18    1021      12    1025       2    1033    1455    +    3.3e-294  974.7  22.1  -
Pseudomonadaceae          -          LKAP-GUTHK2_D09_073_2017_1 -               29    1036      16    1025       2    1032    1491    +      4e-293  971.0  21.4  -
Cellvibrionaceae          -          LKAP-GUTHK2_D09_073_2017_1 -               28    1031      20    1025       3    1033    1472    +    6.2e-293  970.4  21.3  -
Oceanospirillales         -          LKAP-GUTHK2_D09_073_2017_1 -               34    1038      20    1026       3    1032    1489    +      4e-292  967.6  21.3  -
Pasteurellaceae           -          LKAP-GUTHK2_D09_073_2017_1 -               26    1033      17    1025       3    1033    1422    +    5.1e-292  967.4  20.8  -
