# target name                    accession  query name                accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------      -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Sporolactobacillaceae            -          A0623b_LKAP-FHGF1_F04_022 -               28     567       9     549       2     550    1503    +    3.5e-170  561.7  10.8  -
Listeriaceae                     -          A0623b_LKAP-FHGF1_F04_022 -               15     556       9     549       2     550    1448    +    1.9e-168  556.2  10.8  -
Aerococcaceae                    -          A0623b_LKAP-FHGF1_F04_022 -               28     573       9     549       3     550    1474    +    5.5e-162  534.6  10.7  -
Acidaminococcaceae               -          A0623b_LKAP-FHGF1_F04_022 -               72     580      50     547      13     550    1506    +    3.2e-131  432.5  10.5  -
Heliobacteriaceae                -          A0623b_LKAP-FHGF1_F04_022 -               45     557       9     548       4     550    1502    +    4.5e-131  432.2  11.0  -
Entomoplasmataceae               -          A0623b_LKAP-FHGF1_F04_022 -               35     562       9     549       3     550    1498    +    3.6e-129  426.0  10.6  -
Deferribacteraceae               -          A0623b_LKAP-FHGF1_F04_022 -               35     570       9     549       4     550    1514    +    2.1e-128  423.1  10.7  -
Halanaerobiaceae                 -          A0623b_LKAP-FHGF1_F04_022 -               95     593      51     548      31     550    1506    +    5.7e-124  408.5  10.4  -
Unclassified_Acidobacteria       -          A0623b_LKAP-FHGF1_F04_022 -               48     589       9     547       4     550    1505    +      7e-124  408.7  11.1  -
Thermolithobacteraceae           -          A0623b_LKAP-FHGF1_F04_022 -               48     603       9     547       3     550    1546    +    8.3e-124  407.8  10.8  -
Leptospiraceae                   -          A0623b_LKAP-FHGF1_F04_022 -               28     533       9     548       2     550    1433    +    3.4e-122  402.7  10.7  -
Thermoleophilaceae               -          A0623b_LKAP-FHGF1_F04_022 -               22     556      10     548       4     550    1486    +    3.6e-122  402.5  10.8  -
Anaeroplasmataceae               -          A0623b_LKAP-FHGF1_F04_022 -               55     561       9     547       3     550    1453    +    4.8e-121  399.0  10.2  -
Desulfohalobiaceae               -          A0623b_LKAP-FHGF1_F04_022 -               32     588       9     549       4     550    1510    +    1.2e-120  397.5  11.3  -
Acholeplasmataceae               -          A0623b_LKAP-FHGF1_F04_022 -               20     549       9     549       3     550    1440    +    1.7e-120  397.0  10.5  -
Kineosporiaceae                  -          A0623b_LKAP-FHGF1_F04_022 -               36     542       9     549       3     550    1463    +    1.9e-120  397.1  11.0  -
Dermatophilaceae                 -          A0623b_LKAP-FHGF1_F04_022 -               33     543       9     549       4     550    1481    +    1.4e-119  394.0  11.3  -
Solirubrobacteraceae             -          A0623b_LKAP-FHGF1_F04_022 -               12     548       9     549       3     550    1443    +    2.6e-119  393.1  10.8  -
Thermodesulfobacteriaceae        -          A0623b_LKAP-FHGF1_F04_022 -               28     571       9     547       3     550    1498    +    3.1e-119  393.1  11.0  -
Rubrobacteraceae                 -          A0623b_LKAP-FHGF1_F04_022 -               28     562       9     548       3     550    1494    +    3.3e-119  392.8  11.1  -
Symbiobacteriaceae               -          A0623b_LKAP-FHGF1_F04_022 -               14     563       4     548       2     550    1487    +    3.5e-119  393.0  10.5  -
Desulfuromonadaceae              -          A0623b_LKAP-FHGF1_F04_022 -               46     592       9     549       4     550    1519    +    1.1e-118  391.1  11.3  -
Acidimicrobiaceae                -          A0623b_LKAP-FHGF1_F04_022 -               48     556       9     549       5     550    1463    +    1.1e-118  391.2  10.9  -
Geobacteraceae                   -          A0623b_LKAP-FHGF1_F04_022 -               36     581       9     549       4     550    1485    +    2.7e-118  389.7  11.0  -
Thermodesulfobiaceae             -          A0623b_LKAP-FHGF1_F04_022 -               44     561       9     550       3     550    1524    +    9.4e-118  387.9  10.6  -
Sanguibacteraceae                -          A0623b_LKAP-FHGF1_F04_022 -               45     556       9     549       3     550    1483    +      1e-117  387.9  10.9  -
Bacteriovoracaceae               -          A0623b_LKAP-FHGF1_F04_022 -               28     566       9     547       3     550    1473    +    1.5e-117  387.2  11.2  -
Natranaerobiaceae                -          A0623b_LKAP-FHGF1_F04_022 -                7     533      10     548       4     550    1426    +    2.2e-117  386.7  10.8  -
Nakamurellaceae                  -          A0623b_LKAP-FHGF1_F04_022 -               28     535       9     549       4     550    1462    +    3.2e-117  386.2  10.9  -
Frankiaceae                      -          A0623b_LKAP-FHGF1_F04_022 -               49     547       9     548       3     550    1499    +    5.4e-117  385.6  11.0  -
Bogoriellaceae                   -          A0623b_LKAP-FHGF1_F04_022 -               28     546       9     549       2     550    1472    +      6e-117  385.3  11.0  -
Chrysiogenaceae                  -          A0623b_LKAP-FHGF1_F04_022 -               77     558      55     549      33     550    1513    +      1e-116  384.5  10.3  -
Thermotogaceae                   -          A0623b_LKAP-FHGF1_F04_022 -               46     580       9     548       4     550    1544    +    1.5e-116  384.1  11.0  -
Sporichthyaceae                  -          A0623b_LKAP-FHGF1_F04_022 -               28     533       9     548       3     550    1472    +    5.3e-116  382.3  10.9  -
Cryptosporangiaceae              -          A0623b_LKAP-FHGF1_F04_022 -               28     531       9     548       4     550    1470    +    5.5e-116  382.2  11.4  -
