# target name                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Sporolactobacillaceae            -          LKAP-GUTHK2_B06_046_2017_1 -               28    1168      21    1159       4    1179    1503    +           0 1063.9  26.3  -
Aerococcaceae                    -          LKAP-GUTHK2_B06_046_2017_1 -               72    1171      72    1159      47    1180    1474    +           0 1040.1  24.2  -
Listeriaceae                     -          LKAP-GUTHK2_B06_046_2017_1 -               57    1154      74    1159      53    1180    1448    +           0 1029.7  23.9  -
Geobacteraceae                   -          LKAP-GUTHK2_B06_046_2017_1 -               67    1182      67    1159      44    1177    1485    +    3.7e-267  884.2  24.7  -
Heliobacteriaceae                -          LKAP-GUTHK2_B06_046_2017_1 -               50    1160      25    1159       8    1180    1502    +    1.6e-265  878.9  23.6  -
Desulfuromonadaceae              -          LKAP-GUTHK2_B06_046_2017_1 -               85    1194      74    1159      52    1179    1519    +    6.7e-265  876.8  23.9  -
Unclassified_Deltaproteobacteria -          LKAP-GUTHK2_B06_046_2017_1 -               85    1196      74    1159      31    1179    1518    +    6.9e-262  866.9  24.9  -
Halanaerobiaceae                 -          LKAP-GUTHK2_B06_046_2017_1 -               39    1196      21    1159       4    1184    1506    +    7.1e-262  866.7  27.1  -
Natranaerobiaceae                -          LKAP-GUTHK2_B06_046_2017_1 -                3    1133      17    1159      15    1180    1426    +      5e-259  857.3  24.0  -
Deferribacteraceae               -          LKAP-GUTHK2_B06_046_2017_1 -               73    1178      76    1159      53    1179    1514    +    1.4e-257  852.4  24.4  -
Syntrophaceae                    -          LKAP-GUTHK2_B06_046_2017_1 -               83    1192      74    1159      50    1179    1556    +    4.4e-254  840.9  24.3  -
Desulfobulbaceae                 -          LKAP-GUTHK2_B06_046_2017_1 -               67    1177      75    1159      55    1179    1482    +    6.7e-253  837.0  23.9  -
Bdellovibrionaceae               -          LKAP-GUTHK2_B06_046_2017_1 -               26    1128      23    1159       6    1179    1430    +    8.2e-251  830.1  24.1  -
Acidaminococcaceae               -          LKAP-GUTHK2_B06_046_2017_1 -               75    1182      76    1159      55    1179    1506    +    1.8e-249  825.6  23.8  -
Symbiobacteriaceae               -          LKAP-GUTHK2_B06_046_2017_1 -               60    1170      75    1159      51    1180    1487    +    6.3e-249  824.2  24.0  -
Unclassified_Alphaproteobacteria -          LKAP-GUTHK2_B06_046_2017_1 -               48    1106      66    1159      45    1179    1412    +    7.2e-248  820.7  23.3  -
Hyphomonadaceae                  -          LKAP-GUTHK2_B06_046_2017_1 -               49    1107      69    1159      48    1177    1399    +    5.4e-247  817.7  22.7  -
Thermoleophilaceae               -          LKAP-GUTHK2_B06_046_2017_1 -               60    1167      75    1159      53    1179    1486    +    7.1e-247  817.0  24.1  -
Desulfohalobiaceae               -          LKAP-GUTHK2_B06_046_2017_1 -               37    1190      25    1159       7    1177    1510    +    1.1e-246  816.4  26.0  -
Anaeroplasmataceae               -          LKAP-GUTHK2_B06_046_2017_1 -               85    1164      77    1170      57    1192    1453    +    1.7e-246  815.9  21.7  -
Rubrobacteraceae                 -          LKAP-GUTHK2_B06_046_2017_1 -               29    1162      22    1160       4    1180    1494    +    2.3e-245  812.1  26.0  -
Chrysiogenaceae                  -          LKAP-GUTHK2_B06_046_2017_1 -               75    1158      76    1159      51    1180    1513    +    2.1e-244  808.9  22.9  -
Unclassified_Calditrichaeota     -          LKAP-GUTHK2_B06_046_2017_1 -               79    1177      78    1159      57    1179    1483    +    4.5e-244  808.0  23.6  -
Unclassified_Acidobacteria       -          LKAP-GUTHK2_B06_046_2017_1 -               85    1190      74    1159      47    1180    1505    +    3.8e-243  805.2  24.4  -
Halothiobacillaceae              -          LKAP-GUTHK2_B06_046_2017_1 -               88    1178      73    1159      52    1180    1501    +    3.8e-242  801.3  23.9  -
Kangiellaceae                    -          LKAP-GUTHK2_B06_046_2017_1 -               80    1171      73    1159      53    1179    1479    +    4.3e-242  801.1  23.5  -
Caulobacteraceae                 -          LKAP-GUTHK2_B06_046_2017_1 -               50    1101      70    1159      49    1179    1418    +    5.8e-242  800.9  22.4  -
Unclassified_Rhizobiales         -          LKAP-GUTHK2_B06_046_2017_1 -               60    1115      70    1159      49    1179    1437    +      6e-241  797.6  22.6  -
Thermolithobacteraceae           -          LKAP-GUTHK2_B06_046_2017_1 -               95    1216      75    1160      55    1182    1546    +    6.5e-241  797.1  23.4  -
Leptospiraceae                   -          LKAP-GUTHK2_B06_046_2017_1 -               54    1129      72    1160      52    1180    1433    +    7.2e-241  797.1  23.1  -
Unclassified_Oceanospirillales   -          LKAP-GUTHK2_B06_046_2017_1 -               38    1164      25    1161       7    1184    1483    +    1.7e-240  795.7  25.3  -
Glycomycetaceae                  -          LKAP-GUTHK2_B06_046_2017_1 -               74    1156      74    1159      53    1171    1497    +    1.9e-240  796.0  23.5  -
Erythrobacteraceae               -          LKAP-GUTHK2_B06_046_2017_1 -               40    1106      46    1159      26    1180    1433    +    7.5e-240  793.9  22.4  -
Caldicoprobacteraceae            -          LKAP-GUTHK2_B06_046_2017_1 -               80    1183      62    1159      42    1184    1531    +    1.2e-239  793.1  23.6  -
Entomoplasmataceae               -          LKAP-GUTHK2_B06_046_2017_1 -               65    1150      76    1159      56    1179    1498    +    1.3e-239  793.2  24.3  -
Thioalkalispiraceae              -          LKAP-GUTHK2_B06_046_2017_1 -               87    1177      74    1159      53    1178    1478    +    3.8e-239  791.3  23.7  -
Kineosporiaceae                  -          LKAP-GUTHK2_B06_046_2017_1 -               42    1142      26    1159       6    1179    1463    +    1.8e-238  789.4  24.6  -
Desulfonatronaceae               -          LKAP-GUTHK2_B06_046_2017_1 -               68    1173      75    1159      54    1180    1495    +    2.2e-237  785.5  24.6  -
Defluviitaleaceae                -          LKAP-GUTHK2_B06_046_2017_1 -               64    1130      75    1159      54    1180    1413    +    2.4e-237  785.6  22.5  -
Spongiibacteraceae               -          LKAP-GUTHK2_B06_046_2017_1 -               66    1158      71    1159      49    1179    1462    +    2.7e-236  781.8  23.9  -
Aurantimonadaceae                -          LKAP-GUTHK2_B06_046_2017_1 -               66    1118      70    1159      50    1179    1444    +    2.5e-235  779.0  22.4  -
Bogoriellaceae                   -          LKAP-GUTHK2_B06_046_2017_1 -               31    1146      23    1160       3    1180    1472    +    3.8e-235  778.2  25.4  -
Patulibacteraceae                -          LKAP-GUTHK2_B06_046_2017_1 -               25    1168      30    1159      14    1180    1494    +    5.1e-235  777.6  25.5  -
Brucellaceae                     -          LKAP-GUTHK2_B06_046_2017_1 -               55    1109      72    1159      51    1179    1412    +    5.7e-235  777.9  22.6  -
Coxiellaceae                     -          LKAP-GUTHK2_B06_046_2017_1 -               74    1167      74    1159      53    1179    1473    +      1e-234  776.7  24.1  -
Dermatophilaceae                 -          LKAP-GUTHK2_B06_046_2017_1 -               67    1142      70    1159      48    1179    1481    +    4.8e-234  774.5  23.7  -
Alcanivoracaceae                 -          LKAP-GUTHK2_B06_046_2017_1 -               90    1180      74    1160      53    1183    1504    +    8.7e-234  773.5  23.8  -
Acholeplasmataceae               -          LKAP-GUTHK2_B06_046_2017_1 -               48    1137      72    1159      51    1176    1440    +    1.1e-233  773.3  24.9  -
Dermacoccaceae                   -          LKAP-GUTHK2_B06_046_2017_1 -               60    1134      71    1159      49    1177    1454    +    1.4e-233  772.9  23.2  -
Unclassified_Thiotrichales       -          LKAP-GUTHK2_B06_046_2017_1 -               93    1176      75    1159      55    1178    1517    +    2.1e-233  772.3  23.4  -
Conexibacteraceae                -          LKAP-GUTHK2_B06_046_2017_1 -               88    1184      76    1160      56    1180    1536    +      3e-233  771.7  23.9  -
Nannocystaceae                   -          LKAP-GUTHK2_B06_046_2017_1 -               66    1167      66    1160      46    1180    1487    +    4.1e-233  771.6  24.5  -
Sneathiellaceae                  -          LKAP-GUTHK2_B06_046_2017_1 -               66    1121      69    1159      31    1180    1427    +    8.5e-233  770.5  22.9  -
Desulfarculaceae                 -          LKAP-GUTHK2_B06_046_2017_1 -               80    1186      76    1159      32    1179    1516    +    1.6e-232  769.5  24.6  -
Parvularculaceae                 -          LKAP-GUTHK2_B06_046_2017_1 -               69    1126      69    1160      27    1179    1429    +    7.8e-232  767.6  22.4  -
Beijerinckiaceae                 -          LKAP-GUTHK2_B06_046_2017_1 -               65    1119      72    1159      52    1179    1421    +    8.1e-232  767.2  22.5  -
Unclassified_Alteromonadales     -          LKAP-GUTHK2_B06_046_2017_1 -               71    1161      73    1159      53    1179    1467    +    8.2e-232  766.9  23.6  -
Cohaesibacteraceae               -          LKAP-GUTHK2_B06_046_2017_1 -               60    1125      46    1159      25    1179    1416    +    1.5e-231  766.4  22.8  -
Cellulomonadaceae                -          LKAP-GUTHK2_B06_046_2017_1 -               62    1141      66    1159      45    1177    1461    +    3.3e-231  765.2  23.7  -
Nautiliaceae                     -          LKAP-GUTHK2_B06_046_2017_1 -               29    1130      22    1159       5    1177    1428    +    4.3e-231  765.0  25.3  -
Acidimicrobiaceae                -          LKAP-GUTHK2_B06_046_2017_1 -               81    1157      66    1159      45    1179    1463    +      1e-230  763.6  23.2  -
Halieaceae                       -          LKAP-GUTHK2_B06_046_2017_1 -               37    1161      22    1159       7    1179    1484    +      6e-230  760.9  25.9  -
Parviterribacteraceae            -          LKAP-GUTHK2_B06_046_2017_1 -               67    1148      75    1159      54    1179    1456    +    7.1e-230  760.7  24.0  -
Solirubrobacteraceae             -          LKAP-GUTHK2_B06_046_2017_1 -               50    1146      74    1159      54    1180    1443    +    3.9e-229  758.2  24.0  -
Dermabacteraceae                 -          LKAP-GUTHK2_B06_046_2017_1 -               71    1145      71    1159      48    1179    1470    +    5.7e-229  757.6  23.4  -
Arenicellaceae                   -          LKAP-GUTHK2_B06_046_2017_1 -               66    1155      75    1160      54    1180    1488    +    7.5e-229  757.4  24.1  -
Desulfomicrobiaceae              -          LKAP-GUTHK2_B06_046_2017_1 -               76    1179      75    1160      54    1180    1495    +    1.1e-228  756.8  24.1  -
Nevskiaceae                      -          LKAP-GUTHK2_B06_046_2017_1 -               65    1153      72    1159      47    1179    1470    +    1.6e-228  756.5  24.1  -
Unclassified_Frankiales          -          LKAP-GUTHK2_B06_046_2017_1 -               35    1141      21    1160       4    1180    1425    +    1.6e-228  756.4  25.3  -
Acidiferrobacteraceae            -          LKAP-GUTHK2_B06_046_2017_1 -               63    1152      74    1159      53    1179    1456    +    3.2e-228  755.3  24.4  -
Litoricolaceae                   -          LKAP-GUTHK2_B06_046_2017_1 -               78    1166      74    1159      54    1179    1474    +    5.4e-228  754.6  23.8  -
Salinisphaeraceae                -          LKAP-GUTHK2_B06_046_2017_1 -               15    1147      19    1160       6    1180    1432    +    9.4e-228  753.7  26.0  -
Cryptosporangiaceae              -          LKAP-GUTHK2_B06_046_2017_1 -               29    1131      22    1160       4    1180    1470    +    1.1e-227  753.5  24.9  -
Holophagaceae                    -          LKAP-GUTHK2_B06_046_2017_1 -               76    1176      78    1159      58    1177    1502    +    1.9e-227  752.9  23.4  -
Sanguibacteraceae                -          LKAP-GUTHK2_B06_046_2017_1 -               84    1155      73    1159      53    1179    1483    +      2e-227  752.6  22.6  -
Nakamurellaceae                  -          LKAP-GUTHK2_B06_046_2017_1 -               65    1134      75    1159      53    1179    1462    +    2.4e-227  752.3  22.5  -
Thermodesulfobacteriaceae        -          LKAP-GUTHK2_B06_046_2017_1 -               66    1188      77    1159      56    1179    1498    +    2.5e-227  752.5  23.7  -
Jiangellaceae                    -          LKAP-GUTHK2_B06_046_2017_1 -               34    1145      21    1159       3    1179    1501    +    2.6e-227  752.2  25.3  -
Frankiaceae                      -          LKAP-GUTHK2_B06_046_2017_1 -               55    1147      26    1159       7    1179    1499    +    4.6e-227  751.6  24.5  -
