# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_B01_013   -               27     996      17     985       2     989    1474    +           0 1209.2  23.4  -
Ferrimonadaceae           -          LKAP-GutHK_B01_013   -               15     996       9     985       1     989    1475    +           0 1076.5  23.8  -
Enterobacteriaceae        -          LKAP-GutHK_B01_013   -               27     986      17     985       2     989    1465    +           0 1056.6  22.8  -
Erwiniaceae               -          LKAP-GutHK_B01_013   -               60     981      63     985      40     989    1483    +           0 1054.5  21.9  -
Yersiniaceae              -          LKAP-GutHK_B01_013   -               27     986      17     985       2     989    1473    +           0 1044.6  22.9  -
Pectobacteriaceae         -          LKAP-GutHK_B01_013   -               24     983      17     985       2     989    1477    +           0 1043.7  23.0  -
Alteromonadales           -          LKAP-GutHK_B01_013   -               70     987      68     985      46     989    1468    +           0 1036.5  21.4  -
Gammaproteobacteria       -          LKAP-GutHK_B01_013   -               27     985      17     985       2     989    1481    +           0 1035.3  22.6  -
Shewanellaceae            -          LKAP-GutHK_B01_013   -               27     988      17     985       2     989    1483    +           0 1033.6  22.6  -
Morganellaceae            -          LKAP-GutHK_B01_013   -               30     989      17     985       2     989    1487    +           0 1033.1  23.2  -
Hafniaceae                -          LKAP-GutHK_B01_013   -               20     980      16     985       1     989    1459    +           0 1031.9  23.1  -
Aeromonadaceae            -          LKAP-GutHK_B01_013   -               39    1000      17     985       2     989    1496    +           0 1030.3  22.7  -
Alteromonadaceae          -          LKAP-GutHK_B01_013   -               27     985      17     985       2     989    1468    +           0 1026.1  22.9  -
Pseudoalteromonadaceae    -          LKAP-GutHK_B01_013   -               27     982      17     985       2     989    1469    +    2.4e-308 1021.4  21.9  -
Moritellaceae             -          LKAP-GutHK_B01_013   -               42    1003      17     985       2     989    1501    +    9.4e-303 1002.8  22.4  -
Budviciaceae              -          LKAP-GutHK_B01_013   -               59     976      67     985      45     989    1483    +    5.8e-302 1000.3  21.7  -
Oceanospirillaceae        -          LKAP-GutHK_B01_013   -               27     987      17     985       2     989    1467    +    5.4e-300  993.7  22.7  -
Idiomarinaceae            -          LKAP-GutHK_B01_013   -               24     987      14     985       1     989    1466    +      9e-300  992.8  23.1  -
Colwelliaceae             -          LKAP-GutHK_B01_013   -               27     987      17     985       2     989    1467    +    5.5e-298  987.2  22.6  -
Cellvibrionaceae          -          LKAP-GutHK_B01_013   -               27     985      17     985       2     989    1472    +    3.6e-295  977.8  23.0  -
Oceanospirillales         -          LKAP-GutHK_B01_013   -               33     991      17     985       2     989    1489    +    3.9e-295  977.5  23.0  -
Psychromonadaceae         -          LKAP-GutHK_B01_013   -               70     985      68     984      44     989    1467    +      7e-295  976.9  21.6  -
Chromatiaceae             -          LKAP-GutHK_B01_013   -               27     975      17     985       2     989    1455    +      2e-293  972.1  23.1  -
Thorselliaceae            -          LKAP-GutHK_B01_013   -               39     952      68     982      47     989    1419    +    7.9e-293  969.9  21.7  -
Alcanivoracaceae          -          LKAP-GutHK_B01_013   -               47    1005      17     985       2     989    1504    +    1.1e-289  959.5  22.8  -
Pseudomonadaceae          -          LKAP-GutHK_B01_013   -               34     990      17     985       2     989    1491    +    1.5e-289  959.1  22.8  -
Pasteurellaceae           -          LKAP-GutHK_B01_013   -               69     987      65     985      38     989    1422    +    2.1e-289  958.7  21.5  -
Piscirickettsiaceae       -          LKAP-GutHK_B01_013   -               30     989      18     985       3     989    1466    +      7e-289  956.9  22.6  -
Orbaceae                  -          LKAP-GutHK_B01_013   -               93    1010      68     985      47     989    1539    +    7.4e-285  943.5  21.5  -
Methylococcaceae          -          LKAP-GutHK_B01_013   -               41     992      17     984       4     989    1481    +      6e-284  940.6  22.6  -
Hahellaceae               -          LKAP-GutHK_B01_013   -               22     984      14     985       2     989    1473    +    1.6e-282  935.9  23.0  -
Halieaceae                -          LKAP-GutHK_B01_013   -               35     986      17     985       2     989    1484    +    9.6e-282  933.2  23.0  -
Celerinatantimonadaceae   -          LKAP-GutHK_B01_013   -               23     993      18     985       2     989    1433    +    4.2e-279  924.6  22.5  -
Litoricolaceae            -          LKAP-GutHK_B01_013   -               35     992      17     985       1     989    1474    +    1.7e-278  922.7  23.1  -
Moraxellaceae             -          LKAP-GutHK_B01_013   -               24     977      17     985       2     989    1468    +    2.2e-278  922.3  22.9  -
Succinivibrionaceae       -          LKAP-GutHK_B01_013   -               71     960      64     982      38     989    1473    +    2.4e-278  922.0  21.0  -
Halothiobacillaceae       -          LKAP-GutHK_B01_013   -               44    1004      17     985       4     989    1500    +    4.1e-278  921.3  22.7  -
Ectothiorhodospiraceae    -          LKAP-GutHK_B01_013   -               34     992      17     985       2     989    1463    +    1.7e-277  919.3  23.0  -
Halomonadaceae            -          LKAP-GutHK_B01_013   -               27     985      17     985       1     989    1466    +    2.7e-277  918.4  23.1  -
Lysobacteraceae           -          LKAP-GutHK_B01_013   -               27     988      16     985       1     989    1484    +    5.1e-277  917.6  23.3  -
Thioalkalispiraceae       -          LKAP-GutHK_B01_013   -               82    1004      66     985      43     989    1479    +    9.5e-277  916.6  21.5  -
Spongiibacteraceae        -          LKAP-GutHK_B01_013   -               29     983      16     985       1     989    1462    +    1.7e-276  915.7  22.8  -
Microbulbiferaceae        -          LKAP-GutHK_B01_013   -               27     979      17     985       2     989    1480    +      6e-276  914.3  23.0  -
Thermoleophilaceae        -          LKAP-GutHK_B01_013   -               20     988      17     986       2     989    1494    +    3.3e-275  911.6  22.5  -
Saccharospirillaceae      -          LKAP-GutHK_B01_013   -               29     979      17     985       1     989    1468    +    2.3e-274  908.8  22.5  -
Kangiellaceae             -          LKAP-GutHK_B01_013   -               36     998      17     985       4     988    1479    +      1e-273  906.6  22.1  -
Chromobacteriaceae        -          LKAP-GutHK_B01_013   -               60     978      65     985      39     989    1460    +    9.9e-270  893.6  21.9  -
Thiotrichaceae            -          LKAP-GutHK_B01_013   -               27     942      17     985       3     989    1421    +    1.8e-267  885.9  21.0  -
Cardiobacteriaceae        -          LKAP-GutHK_B01_013   -               36     990      18     985       5     989    1464    +    3.7e-266  881.9  21.8  -
Rhodocyclaceae            -          LKAP-GutHK_B01_013   -               28     982      18     984       4     989    1484    +    6.1e-262  867.7  23.1  -
Nevskiaceae               -          LKAP-GutHK_B01_013   -               66     980      69     985      49     989    1470    +      1e-261  867.2  21.4  -
Legionellaceae            -          LKAP-GutHK_B01_013   -               63     984      65     985      43     989    1446    +    1.3e-261  866.7  21.7  -
Coxiellaceae              -          LKAP-GutHK_B01_013   -               27     990      17     982       4     989    1475    +    2.5e-260  862.3  23.1  -
Rhodospirillaceae         -          LKAP-GutHK_B01_013   -               55     928      67     979      45     989    1429    +    6.5e-259  857.8  21.1  -
Granulosicoccaceae        -          LKAP-GutHK_B01_013   -               69     987      67     985      44     989    1471    +    2.4e-258  855.8  21.9  -
Rhodanobacteraceae        -          LKAP-GutHK_B01_013   -               28     981      17     978       2     989    1473    +    4.7e-258  854.8  23.3  -
Neisseriaceae             -          LKAP-GutHK_B01_013   -               77    1000      61     985      38     989    1477    +    8.2e-257  850.7  21.8  -
Arenicellaceae            -          LKAP-GutHK_B01_013   -               44     976      41     981      19     989    1488    +    2.8e-256  849.0  22.2  -
Burkholderiaceae          -          LKAP-GutHK_B01_013   -               59     975      63     981      37     989    1482    +    4.6e-256  848.3  21.8  -
Thiotrichales             -          LKAP-GutHK_B01_013   -               47     996      17     976       4     989    1519    +    1.5e-255  846.2  22.2  -
Alcaligenaceae            -          LKAP-GutHK_B01_013   -               29     977      19     980       3     989    1467    +    1.5e-254  843.3  22.5  -
Hydrogenophilaceae        -          LKAP-GutHK_B01_013   -               28     980      18     984       4     989    1461    +    6.2e-254  841.3  22.8  -
Salinisphaeraceae         -          LKAP-GutHK_B01_013   -               15     971      17     985       4     989    1429    +    4.6e-253  838.3  22.9  -
Acidiferrobacteraceae     -          LKAP-GutHK_B01_013   -               61     977      68     985      48     989    1454    +    6.4e-253  837.8  21.4  -
Sulfuricellaceae          -          LKAP-GutHK_B01_013   -               64     984      65     985      44     989    1463    +    8.6e-252  834.1  21.4  -
Oxalobacteraceae          -          LKAP-GutHK_B01_013   -               42     978      44     982      21     989    1459    +    4.8e-251  831.7  22.2  -
Desulfovibrionaceae       -          LKAP-GutHK_B01_013   -               42    1008      17     985       3     989    1527    +    3.3e-250  828.8  22.4  -
Eubacteriaceae            -          LKAP-GutHK_B01_013   -               41     984      17     983       4     989    1485    +    3.2e-249  825.5  22.6  -
Geobacteraceae            -          LKAP-GutHK_B01_013   -               35    1008      17     986       2     989    1487    +    6.4e-249  824.5  22.6  -
Methylophilaceae          -          LKAP-GutHK_B01_013   -               11     969      18     984      11     988    1431    +    6.7e-249  824.6  21.7  -
Hyphomicrobiaceae         -          LKAP-GutHK_B01_013   -               55     933      69     988      47     989    1427    +    7.6e-249  824.4  20.9  -
Francisellaceae           -          LKAP-GutHK_B01_013   -               72     987      68     985      45     989    1508    +    8.7e-249  824.1  21.2  -
Burkholderiales           -          LKAP-GutHK_B01_013   -               60     980      64     985      39     989    1463    +    3.3e-248  822.2  21.9  -
Clostridiaceae            -          LKAP-GutHK_B01_013   -               41     972      17     982       2     989    1485    +      4e-248  821.8  22.2  -
Sutterellaceae            -          LKAP-GutHK_B01_013   -               64     978      64     979      42     988    1487    +    7.9e-248  820.8  21.7  -
Deltaproteobacteria       -          LKAP-GutHK_B01_013   -               44    1015      18     982       2     989    1514    +    5.3e-247  818.3  22.8  -
Clostridiales             -          LKAP-GutHK_B01_013   -               34     970      17     976       2     988    1470    +      7e-247  817.8  22.0  -
Rhodobiaceae              -          LKAP-GutHK_B01_013   -               44     927      23     974       3     988    1440    +    1.2e-246  817.3  21.2  -
Desulfobacteraceae        -          LKAP-GutHK_B01_013   -               80    1016      67     983      43     989    1516    +    3.3e-246  815.5  21.5  -
Desulfobulbaceae          -          LKAP-GutHK_B01_013   -               30     998      19     982       3     989    1483    +    3.5e-245  812.1  22.4  -
Syntrophaceae             -          LKAP-GutHK_B01_013   -               79    1016      65     985      44     989    1551    +      1e-244  810.6  21.8  -
Desulfuromonadaceae       -          LKAP-GutHK_B01_013   -               45    1015      18     981       3     988    1518    +    1.4e-244  810.2  22.4  -
Syntrophomonadaceae       -          LKAP-GutHK_B01_013   -               44    1008      17     981       2     988    1515    +    1.2e-243  806.9  22.9  -
Thermithiobacillaceae     -          LKAP-GutHK_B01_013   -               12     958      17     978      12     989    1419    +    1.7e-243  806.6  22.3  -
Thiobacilliaceae          -          LKAP-GutHK_B01_013   -               80    1000      65     985      44     989    1517    +    4.5e-243  805.2  22.0  -
Azonexaceae               -          LKAP-GutHK_B01_013   -               34     985      27     985       7     989    1474    +    1.4e-242  803.7  22.0  -
Desulfohalobiaceae        -          LKAP-GutHK_B01_013   -               33    1011      17     984       3     989    1509    +    6.9e-242  801.2  22.9  -
Acidithiobacillaceae      -          LKAP-GutHK_B01_013   -               61     975      68     983      45     988    1457    +    1.7e-241  799.8  21.5  -
Comamonadaceae            -          LKAP-GutHK_B01_013   -               27     979      17     985       2     989    1466    +    3.1e-241  798.8  22.8  -
Alphaproteobacteria       -          LKAP-GutHK_B01_013   -               53     920      69     977      47     988    1409    +    7.1e-241  798.1  21.3  -
Acetobacteraceae          -          LKAP-GutHK_B01_013   -               58     930      69     979      47     989    1438    +      9e-241  797.8  21.1  -
Nitrosomonadaceae         -          LKAP-GutHK_B01_013   -               63     977      65     980      42     989    1461    +    1.6e-240  796.8  21.9  -
Methylothermaceae         -          LKAP-GutHK_B01_013   -               48    1003      17     981       1     989    1491    +      4e-240  795.3  24.2  -
Methylocystaceae          -          LKAP-GutHK_B01_013   -               65     937      69     982      48     989    1424    +    5.4e-240  795.1  20.5  -
Hyphomonadaceae           -          LKAP-GutHK_B01_013   -               27     927      17     982       1     989    1400    +    8.7e-240  794.5  20.8  -
Bdellovibrionaceae        -          LKAP-GutHK_B01_013   -               24     948      18     978       3     986    1430    +    2.4e-239  792.8  21.3  -
Peptococcaceae            -          LKAP-GutHK_B01_013   -               34     971      17     984       2     989    1479    +    3.8e-239  792.0  22.6  -
Sphingomonadaceae         -          LKAP-GutHK_B01_013   -               60     927      69     976      48     989    1434    +    1.3e-238  790.7  19.8  -
Ruminococcaceae           -          LKAP-GutHK_B01_013   -               27     974      17     982       2     989    1457    +    5.8e-238  788.1  22.7  -
Wenzhouxiangellaceae      -          LKAP-GutHK_B01_013   -               70     991      68     985      48     989    1472    +    6.4e-237  784.6  21.0  -
Sneathiellaceae           -          LKAP-GutHK_B01_013   -               32     927      17     969       2     986    1427    +      9e-237  784.3  21.3  -
Lachnospiraceae           -          LKAP-GutHK_B01_013   -               27     965      17     974       2     986    1469    +    3.5e-236  782.3  22.6  -
Zoogloeaceae              -          LKAP-GutHK_B01_013   -               70     988      67     985      45     989    1474    +      5e-236  781.8  21.4  -
Rhodobacteraceae          -          LKAP-GutHK_B01_013   -               53     928      67     982      45     989    1402    +    2.6e-235  779.6  20.4  -
Rhizobiales               -          LKAP-GutHK_B01_013   -               37     931      17     978       2     989    1438    +    1.4e-234  777.2  22.1  -
Xanthobacteraceae         -          LKAP-GutHK_B01_013   -               52     919      70     978      50     989    1415    +    1.8e-234  776.8  20.5  -
Syntrophobacteraceae      -          LKAP-GutHK_B01_013   -               76    1006      68     982      45     988    1496    +      6e-234  775.1  21.7  -
Erythrobacteraceae        -          LKAP-GutHK_B01_013   -               44     919      45     974      22     989    1433    +    8.6e-234  774.6  19.9  -
Rhizobiaceae              -          LKAP-GutHK_B01_013   -               51     919      68     976      46     989    1422    +    1.7e-232  770.2  20.4  -
Phyllobacteriaceae        -          LKAP-GutHK_B01_013   -               51     915      68     973      47     986    1424    +    2.4e-232  769.8  20.2  -
Peptostreptococcaceae     -          LKAP-GutHK_B01_013   -               27     951      17     976       3     986    1441    +    2.6e-231  766.0  22.0  -
Bacillales                -          LKAP-GutHK_B01_013   -               34    1003      17     978       3     989    1503    +    6.4e-230  761.7  22.4  -
