# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Alcanivoracaceae                 -          B2a_reverse          -              500    1411     991      75    1013      56    1504    -    9.1e-250  826.4   5.4  -
Unclassified_Oceanospirillales   -          B2a_reverse          -              488    1393     984      74    1006      54    1483    -    6.1e-248  820.3   5.5  -
Microbulbiferaceae               -          B2a_reverse          -              481    1386     985      75    1006      57    1478    -    3.5e-245  811.6   5.4  -
Thioalkalispiraceae              -          B2a_reverse          -              504    1410     984      74    1004      53    1478    -      3e-243  804.8   5.8  -
Thermoleophilaceae               -          B2a_reverse          -              486    1401     983      74    1003      54    1486    -    3.8e-243  804.5   5.7  -
Spongiibacteraceae               -          B2a_reverse          -              486    1391     984      74    1006      54    1462    -    3.2e-242  801.4   5.6  -
Unclassified_Alteromonadales     -          B2a_reverse          -              489    1394     984      74    1007      55    1467    -      3e-240  794.8   5.7  -
Litoricolaceae                   -          B2a_reverse          -              488    1399     991      74    1025      54    1474    -    4.5e-237  784.6   5.1  -
Saccharospirillaceae             -          B2a_reverse          -              482    1386     984      75    1006      61    1468    -    5.3e-235  777.6   5.3  -
Halieaceae                       -          B2a_reverse          -              489    1393     984      75    1006      54    1484    -    7.7e-235  777.1   5.5  -
Halothiobacillaceae              -          B2a_reverse          -              507    1413     983      73    1004      52    1501    -      5e-234  774.3   5.6  -
Kangiellaceae                    -          B2a_reverse          -              500    1403     984      75    1005      55    1479    -    8.7e-234  773.5   5.4  -
Colwelliaceae                    -          B2a_reverse          -              483    1392     989      75    1026      60    1465    -    3.6e-229  758.4   5.1  -
Granulosicoccaceae               -          B2a_reverse          -              489    1397     984      73    1006      53    1471    -    1.1e-225  746.9   5.7  -
Nevskiaceae                      -          B2a_reverse          -              484    1392     983      70    1003      50    1470    -    6.5e-225  744.5   5.6  -
Cardiobacteriaceae               -          B2a_reverse          -              491    1398     985      71    1008      51    1462    -    8.9e-225  744.0   5.8  -
Idiomarinaceae                   -          B2a_reverse          -              457    1396    1016      73    1040      51    1466    -    2.2e-224  742.2   5.4  -
Ferrimonadaceae                  -          B2a_reverse          -              498    1404     985      74    1006      54    1475    -    1.6e-223  739.4   5.5  -
Aeromonadaceae                   -          B2a_reverse          -              499    1442     988      41    1012      19    1496    -    4.3e-221  731.3   6.5  -
Arenicellaceae                   -          B2a_reverse          -              484    1386     984      75    1005      54    1488    -    1.3e-220  730.1   5.7  -
Acidiferrobacteraceae            -          B2a_reverse          -              480    1385     983      74    1003      57    1456    -    2.5e-220  729.1   5.3  -
Coxiellaceae                     -          B2a_reverse          -              497    1398     983      76    1003      61    1473    -    3.1e-220  728.7   5.2  -
Wenzhouxiangellaceae             -          B2a_reverse          -              491    1407     985      67    1006      45    1472    -    4.6e-215  711.4   5.6  -
Desulfohalobiaceae               -          B2a_reverse          -              516    1417     984      80    1005      60    1510    -    1.9e-211  699.5   5.1  -
Methylothermaceae                -          B2a_reverse          -              507    1428     986      65    1006      46    1491    -      3e-211  698.9   5.9  -
Succinivibrionaceae              -          B2a_reverse          -              470    1369     983      76    1004      57    1474    -    3.3e-211  698.7   5.9  -
Moritellaceae                    -          B2a_reverse          -              504    1411     986      74    1008      53    1501    -      2e-209  692.7   5.6  -
Psychromonadaceae                -          B2a_reverse          -              487    1395     986      73    1027      51    1467    -    8.9e-207  684.1   5.4  -
Celerinatantimonadaceae          -          B2a_reverse          -              446    1404    1036      71    1057      54    1433    -    9.7e-205  677.4   5.0  -
