# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_C10_076   -               27     964      19     955       3     955    1474    +           0 1174.3  27.2  -
Ferrimonadaceae           -          LKAP-GutHK_C10_076   -               11     964       7     955       3     955    1475    +           0 1057.5  27.3  -
Enterobacteriaceae        -          LKAP-GutHK_C10_076   -               27     954      19     955       3     955    1465    +           0 1030.6  26.8  -
Erwiniaceae               -          LKAP-GutHK_C10_076   -               23     949      20     955       4     955    1483    +           0 1026.6  26.6  -
Aeromonadaceae            -          LKAP-GutHK_C10_076   -               34     968      16     955       3     955    1496    +           0 1023.6  26.7  -
Yersiniaceae              -          LKAP-GutHK_C10_076   -               27     954      19     955       3     955    1473    +    2.8e-308 1021.2  27.0  -
Pectobacteriaceae         -          LKAP-GutHK_C10_076   -               24     951      19     955       3     955    1477    +    3.2e-308 1020.9  26.9  -
Alteromonadales           -          LKAP-GutHK_C10_076   -               27     955      19     955       3     955    1468    +    2.3e-306 1014.5  26.1  -
Gammaproteobacteria       -          LKAP-GutHK_C10_076   -               27     953      19     955       4     955    1481    +    4.6e-304 1007.0  26.5  -
Morganellaceae            -          LKAP-GutHK_C10_076   -               30     957      19     955       3     955    1487    +    1.1e-302 1002.8  26.9  -
Hafniaceae                -          LKAP-GutHK_C10_076   -               20     948      18     955       4     955    1459    +    5.3e-302 1000.3  26.7  -
Shewanellaceae            -          LKAP-GutHK_C10_076   -               27     956      19     955       3     955    1483    +      7e-301  996.6  26.5  -
Alteromonadaceae          -          LKAP-GutHK_C10_076   -               27     953      19     955       3     955    1468    +    1.3e-300  995.7  26.6  -
Pseudoalteromonadaceae    -          LKAP-GutHK_C10_076   -               27     950      19     955       3     955    1469    +    1.1e-298  989.3  25.7  -
Budviciaceae              -          LKAP-GutHK_C10_076   -               17     944      19     955       7     955    1483    +    2.8e-298  988.0  26.8  -
Idiomarinaceae            -          LKAP-GutHK_C10_076   -               26     955      18     955       3     955    1466    +    1.5e-292  968.9  26.5  -
Moritellaceae             -          LKAP-GutHK_C10_076   -               42     971      19     955       3     955    1501    +    3.1e-292  967.9  27.0  -
Colwelliaceae             -          LKAP-GutHK_C10_076   -               27     955      19     955       3     955    1467    +    2.1e-291  965.3  26.5  -
Oceanospirillaceae        -          LKAP-GutHK_C10_076   -               27     955      19     955       3     955    1467    +    2.5e-290  961.6  26.7  -
