# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_E01_007   -               22     983      13     975       1     976    1474    +           0 1167.7  24.2  -
Ferrimonadaceae           -          LKAP-GutHK_E01_007   -               19     983      11     975       1     976    1475    +           0 1076.3  24.5  -
Enterobacteriaceae        -          LKAP-GutHK_E01_007   -               22     973      13     975       1     976    1465    +           0 1063.7  23.7  -
Pectobacteriaceae         -          LKAP-GutHK_E01_007   -               19     970      13     975       1     976    1477    +           0 1062.9  23.7  -
Yersiniaceae              -          LKAP-GutHK_E01_007   -               23     973      14     975       1     976    1473    +           0 1056.3  23.9  -
Erwiniaceae               -          LKAP-GutHK_E01_007   -               18     968      14     975       1     976    1483    +           0 1053.8  23.8  -
Aeromonadaceae            -          LKAP-GutHK_E01_007   -               35     984      14     972       1     975    1496    +           0 1051.1  23.8  -
Shewanellaceae            -          LKAP-GutHK_E01_007   -               22     975      13     975       1     976    1483    +           0 1044.5  23.5  -
Alteromonadales           -          LKAP-GutHK_E01_007   -               23     974      14     975       1     976    1468    +           0 1041.0  23.3  -
Hafniaceae                -          LKAP-GutHK_E01_007   -               16     967      13     975       1     976    1459    +           0 1035.4  23.7  -
Budviciaceae              -          LKAP-GutHK_E01_007   -               13     963      14     975       1     976    1483    +           0 1033.1  23.5  -
Morganellaceae            -          LKAP-GutHK_E01_007   -               26     976      14     975       1     976    1487    +           0 1032.6  24.1  -
Pseudoalteromonadaceae    -          LKAP-GutHK_E01_007   -               22     969      13     975       1     976    1469    +           0 1032.2  23.2  -
Gammaproteobacteria       -          LKAP-GutHK_E01_007   -               23     971      14     974       2     976    1481    +           0 1022.1  23.4  -
Alteromonadaceae          -          LKAP-GutHK_E01_007   -               23     972      14     975       1     976    1468    +      6e-308 1020.0  23.6  -
Colwelliaceae             -          LKAP-GutHK_E01_007   -               23     974      14     975       1     976    1467    +    5.2e-303 1003.8  23.3  -
Moritellaceae             -          LKAP-GutHK_E01_007   -               38     990      14     975       2     976    1501    +    1.9e-299  991.8  23.1  -
Idiomarinaceae            -          LKAP-GutHK_E01_007   -               22     974      13     975       1     976    1466    +    5.3e-299  990.2  23.5  -
Chromatiaceae             -          LKAP-GutHK_E01_007   -               23     961      14     974       2     976    1455    +    1.2e-293  972.8  23.5  -
Psychromonadaceae         -          LKAP-GutHK_E01_007   -               23     973      14     975       1     976    1467    +    3.2e-293  971.4  23.1  -
Cellvibrionaceae          -          LKAP-GutHK_E01_007   -               23     972      14     975       1     976    1472    +    5.6e-293  970.5  23.7  -
Oceanospirillaceae        -          LKAP-GutHK_E01_007   -               23     974      14     975       1     976    1467    +    8.1e-292  966.6  23.5  -
Oceanospirillales         -          LKAP-GutHK_E01_007   -               29     977      14     974       1     976    1489    +    1.5e-291  965.6  23.9  -
Thorselliaceae            -          LKAP-GutHK_E01_007   -               39     942      70     975      49     976    1419    +    2.2e-290  961.8  22.0  -
Piscirickettsiaceae       -          LKAP-GutHK_E01_007   -               26     975      15     974       2     976    1466    +    5.9e-289  957.1  23.5  -
Pseudomonadaceae          -          LKAP-GutHK_E01_007   -               29     977      13     975       1     976    1491    +    8.3e-285  943.4  23.6  -
Orbaceae                  -          LKAP-GutHK_E01_007   -               51     997      15     975       1     976    1539    +    4.1e-283  937.7  23.3  -
Methylococcaceae          -          LKAP-GutHK_E01_007   -               38     980      15     975       4     976    1481    +      5e-283  937.5  23.5  -
Alcanivoracaceae          -          LKAP-GutHK_E01_007   -               42     991      13     974       1     976    1504    +    2.1e-282  935.3  23.7  -
Pasteurellaceae           -          LKAP-GutHK_E01_007   -               23     974      14     975       1     976    1422    +    1.1e-281  933.1  23.3  -
Celerinatantimonadaceae   -          LKAP-GutHK_E01_007   -               18     980      14     975       1     976    1433    +    8.3e-279  923.6  23.5  -
Succinivibrionaceae       -          LKAP-GutHK_E01_007   -               27     948      15     973       1     976    1473    +    4.2e-278  921.1  23.8  -
Hahellaceae               -          LKAP-GutHK_E01_007   -               23     970      14     974       1     976    1473    +    5.7e-278  920.8  23.8  -
Ectothiorhodospiraceae    -          LKAP-GutHK_E01_007   -               30     978      14     974       2     976    1463    +    5.6e-276  914.3  23.8  -
Halothiobacillaceae       -          LKAP-GutHK_E01_007   -               41     990      15     974       3     976    1500    +    1.5e-275  912.7  23.7  -
Halomonadaceae            -          LKAP-GutHK_E01_007   -               22     971      13     974       1     976    1466    +    4.7e-275  911.0  23.8  -
