# target name                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Alcanivoracaceae                 -          LKAP-TSA1KG_E01_007_2018_1 -               30     318       5     287       2     287    1504    +     1.3e-69  227.3   7.3  -
Unclassified_Oceanospirillales   -          LKAP-TSA1KG_E01_007_2018_1 -               15     299       5     287       2     287    1483    +     6.9e-69  224.8   7.2  -
Litoricolaceae                   -          LKAP-TSA1KG_E01_007_2018_1 -               18     306       5     287       2     287    1474    +     1.8e-68  223.8   7.3  -
Saccharospirillaceae             -          LKAP-TSA1KG_E01_007_2018_1 -               11     293       5     287       2     287    1468    +     1.5e-66  217.2   7.5  -
Kangiellaceae                    -          LKAP-TSA1KG_E01_007_2018_1 -               19     311       5     287       2     287    1479    +     7.2e-65  211.6   7.3  -
Spongiibacteraceae               -          LKAP-TSA1KG_E01_007_2018_1 -               13     297       5     287       2     287    1462    +     1.6e-64  210.4   7.2  -
Thioalkalispiraceae              -          LKAP-TSA1KG_E01_007_2018_1 -               39     315      18     287       2     287    1478    +     2.8e-63  206.3   7.1  -
Moritellaceae                    -          LKAP-TSA1KG_E01_007_2018_1 -               25     317       5     287       2     287    1501    +     3.9e-63  205.8   7.3  -
Wenzhouxiangellaceae             -          LKAP-TSA1KG_E01_007_2018_1 -               21     302      15     287       2     287    1472    +     7.5e-63  204.9   7.1  -
Halieaceae                       -          LKAP-TSA1KG_E01_007_2018_1 -               18     300       5     287       2     287    1484    +     1.9e-62  203.6   7.2  -
Granulosicoccaceae               -          LKAP-TSA1KG_E01_007_2018_1 -               10     300       5     287       2     287    1471    +     4.4e-62  202.6   7.3  -
Microbulbiferaceae               -          LKAP-TSA1KG_E01_007_2018_1 -               10     293       5     287       2     287    1478    +     4.7e-61  199.2   7.1  -
Cardiobacteriaceae               -          LKAP-TSA1KG_E01_007_2018_1 -               18     304       5     287       2     287    1462    +     8.3e-60  195.2   7.3  -
Arenicellaceae                   -          LKAP-TSA1KG_E01_007_2018_1 -               20     295      14     287       4     287    1488    +     1.1e-58  191.3   6.9  -
Unclassified_Alteromonadales     -          LKAP-TSA1KG_E01_007_2018_1 -               10     300       5     287       2     287    1467    +     9.5e-58  187.9   7.3  -
Acidiferrobacteraceae            -          LKAP-TSA1KG_E01_007_2018_1 -               10     291       5     287       2     287    1456    +     1.2e-57  187.9   7.2  -
Ferrimonadaceae                  -          LKAP-TSA1KG_E01_007_2018_1 -               10     310       5     287       2     287    1475    +     4.3e-57  185.7   7.3  -
Nevskiaceae                      -          LKAP-TSA1KG_E01_007_2018_1 -               19     295       5     287       2     287    1470    +     1.8e-56  184.2   7.3  -
Salinisphaeraceae                -          LKAP-TSA1KG_E01_007_2018_1 -               12     286      16     287       6     287    1432    +     2.2e-56  183.7   7.0  -
Aeromonadaceae                   -          LKAP-TSA1KG_E01_007_2018_1 -               22     314       5     287       2     287    1496    +     2.9e-56  182.9   7.3  -
Colwelliaceae                    -          LKAP-TSA1KG_E01_007_2018_1 -               10     299       5     287       2     287    1465    +     6.2e-56  182.2   7.3  -
Succinivibrionaceae              -          LKAP-TSA1KG_E01_007_2018_1 -               13     297       5     287       2     287    1474    +     1.2e-55  181.0   7.6  -
Coxiellaceae                     -          LKAP-TSA1KG_E01_007_2018_1 -               10     307       5     287       2     287    1473    +     5.3e-55  179.0   7.3  -
Halothiobacillaceae              -          LKAP-TSA1KG_E01_007_2018_1 -               30     317       8     287       2     287    1501    +     7.1e-55  178.5   7.2  -
