# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae_Sporosarcina                      -          LKAP-TSAKG2_H09_065_2018_2 -               18     877      14     872       7     872    1504    +           0 1083.1  18.5  -
Planococcaceae_Paenisporosarcina                 -          LKAP-TSAKG2_H09_065_2018_2 -               10     872      15     872       8     872    1481    +    3.8e-305 1013.2  18.5  -
Bacillaceae_Lysinibacillus                       -          LKAP-TSAKG2_H09_065_2018_2 -               21     880      16     871       5     872    1476    +    3.2e-300  996.8  18.5  -
Planococcaceae_Planomicrobium                    -          LKAP-TSAKG2_H09_065_2018_2 -               20     877      16     872       7     872    1485    +    2.8e-299  994.0  18.3  -
Planococcaceae_Chryseomicrobium                  -          LKAP-TSAKG2_H09_065_2018_2 -               18     878      14     871       6     872    1483    +    5.4e-299  992.8  18.5  -
Bacillaceae_Psychrobacillus                      -          LKAP-TSAKG2_H09_065_2018_2 -               26     886      15     871       6     872    1503    +    1.8e-297  987.8  18.5  -
Planococcaceae_Bhargavaea                        -          LKAP-TSAKG2_H09_065_2018_2 -               39     896      15     872       5     872    1544    +    1.3e-296  985.1  18.5  -
Planococcaceae_Planococcus                       -          LKAP-TSAKG2_H09_065_2018_2 -               28     887      14     872       8     872    1492    +    1.6e-296  984.8  18.4  -
Planococcaceae_Jeotgalibacillus                  -          LKAP-TSAKG2_H09_065_2018_2 -               21     879      16     872       7     872    1507    +    5.4e-294  976.3  18.4  -
Bacillaceae_Viridibacillus                       -          LKAP-TSAKG2_H09_065_2018_2 -               18     879      14     872       8     872    1505    +    1.2e-292  971.6  18.6  -
Bacillaceae_Domibacillus                         -          LKAP-TSAKG2_H09_065_2018_2 -               19     878      15     872       6     872    1476    +    3.5e-292  970.4  18.5  -
Bacillaceae_Anoxybacillus                        -          LKAP-TSAKG2_H09_065_2018_2 -               19     877      14     869       7     872    1495    +    3.4e-290  963.8  18.4  -
Planococcaceae_Kurthia                           -          LKAP-TSAKG2_H09_065_2018_2 -               21     878      16     871       7     872    1479    +    1.3e-289  961.7  18.6  -
Bacillales_Rummeliibacillus                      -          LKAP-TSAKG2_H09_065_2018_2 -               21     874      16     871       6     872    1473    +    2.9e-289  960.6  18.3  -
Planococcaceae_Caryophanon                       -          LKAP-TSAKG2_H09_065_2018_2 -               45     909      14     871       8     872    1492    +    1.5e-286  951.5  18.5  -
Planococcaceae_Ureibacillus                      -          LKAP-TSAKG2_H09_065_2018_2 -               25     886      14     871       8     872    1497    +      1e-284  945.6  18.6  -
Bacillaceae_Fictibacillus                        -          LKAP-TSAKG2_H09_065_2018_2 -                3     856      17     872      15     872    1439    +    1.4e-283  941.8  18.9  -
Listeriaceae_Listeria                            -          LKAP-TSAKG2_H09_065_2018_2 -                7     863      18     871      13     872    1458    +    2.5e-283  941.2  18.4  -
Bacillales_Solibacillus                          -          LKAP-TSAKG2_H09_065_2018_2 -               21     885      14     871       6     872    1525    +    2.6e-283  940.9  18.5  -
Bacillaceae_Pontibacillus                        -          LKAP-TSAKG2_H09_065_2018_2 -                5     875      16     872      13     872    1469    +    5.1e-283  940.0  18.3  -
Bacillaceae_Oceanobacillus                       -          LKAP-TSAKG2_H09_065_2018_2 -               21     893      16     872       6     872    1508    +    4.8e-281  933.5  18.5  -
Staphylococcaceae_Macrococcus                    -          LKAP-TSAKG2_H09_065_2018_2 -               38     899      14     871       8     872    1547    +    5.1e-280  930.0  18.7  -
Staphylococcaceae_Staphylococcus                 -          LKAP-TSAKG2_H09_065_2018_2 -               27     887      14     872       7     872    1484    +    1.2e-277  922.1  18.2  -
Staphylococcaceae_Salinicoccus                   -          LKAP-TSAKG2_H09_065_2018_2 -               12     871      16     872       8     872    1476    +    4.7e-277  920.3  18.4  -
Bacillaceae_Virgibacillus                        -          LKAP-TSAKG2_H09_065_2018_2 -               21     895      16     872       7     872    1519    +    5.1e-276  917.0  18.5  -
Bacillaceae_Salinibacillus                       -          LKAP-TSAKG2_H09_065_2018_2 -               16     891      14     872       7     872    1471    +    1.4e-275  915.5  18.4  -
Bacillaceae_Ornithinibacillus                    -          LKAP-TSAKG2_H09_065_2018_2 -               20     891      16     872       6     872    1482    +    9.5e-275  912.6  18.5  -
Bacillaceae_Aquibacillus                         -          LKAP-TSAKG2_H09_065_2018_2 -               35     910      14     872       5     872    1524    +    3.4e-274  910.7  18.5  -
Bacillaceae_Terribacillus                        -          LKAP-TSAKG2_H09_065_2018_2 -               11     884      13     872       6     872    1472    +    5.4e-273  906.9  18.7  -
Enterococcaceae_Vagococcus                       -          LKAP-TSAKG2_H09_065_2018_2 -               21     889      16     872       7     872    1472    +    1.5e-272  905.4  18.5  -
Bacillaceae_Sediminibacillus                     -          LKAP-TSAKG2_H09_065_2018_2 -                3     877      17     872      15     872    1478    +      2e-272  904.9  18.6  -
Sporolactobacillaceae_Sporolactobacillus         -          LKAP-TSAKG2_H09_065_2018_2 -               19     876      15     871       6     872    1503    +    1.3e-269  895.5  18.5  -
Bacillaceae_Gracilibacillus                      -          LKAP-TSAKG2_H09_065_2018_2 -               23     895      16     872       6     872    1511    +    2.7e-269  894.6  18.4  -
Carnobacteriaceae_Carnobacterium                 -          LKAP-TSAKG2_H09_065_2018_2 -               37     908      14     872       6     872    1520    +    1.1e-268  892.6  18.5  -
Sporolactobacillaceae_Pullulanibacillus          -          LKAP-TSAKG2_H09_065_2018_2 -               38     908      14     872       8     872    1553    +    2.6e-268  891.3  18.8  -
Bacillaceae_Geobacillus                          -          LKAP-TSAKG2_H09_065_2018_2 -               32     895      14     872       7     872    1527    +      3e-268  891.1  18.7  -
Bacillaceae_Lentibacillus                        -          LKAP-TSAKG2_H09_065_2018_2 -               10     885      15     872       7     872    1470    +    6.6e-268  890.1  18.5  -
Enterococcaceae_Enterococcus                     -          LKAP-TSAKG2_H09_065_2018_2 -               19     888      15     872       7     872    1502    +    1.4e-267  888.7  18.3  -
Carnobacteriaceae_Jeotgalibaca                   -          LKAP-TSAKG2_H09_065_2018_2 -               11     872      15     872       7     872    1453    +      2e-267  888.2  18.5  -
Aerococcaceae_Facklamia                          -          LKAP-TSAKG2_H09_065_2018_2 -               18     881      14     872       8     872    1501    +    8.7e-267  886.3  18.5  -
Bacillaceae_Amphibacillus                        -          LKAP-TSAKG2_H09_065_2018_2 -               19     895      15     872       7     872    1490    +    2.7e-266  884.6  18.4  -
Paenibacillaceae_Aneurinibacillus                -          LKAP-TSAKG2_H09_065_2018_2 -               20     870      14     872       7     872    1483    +    2.5e-265  881.3  18.2  -
Bacillales_Exiguobacterium                       -          LKAP-TSAKG2_H09_065_2018_2 -               31     902      14     872       7     872    1526    +    4.6e-265  880.5  18.6  -
Bacillaceae_Halobacillus                         -          LKAP-TSAKG2_H09_065_2018_2 -               21     895      16     872       5     872    1520    +    5.4e-265  880.3  18.5  -
Staphylococcaceae_Jeotgalicoccus                 -          LKAP-TSAKG2_H09_065_2018_2 -                6     865      16     872      11     872    1443    +      2e-264  878.4  18.4  -
Bacillaceae_Thalassobacillus                     -          LKAP-TSAKG2_H09_065_2018_2 -               25     902      14     872       8     872    1506    +    2.3e-264  878.3  18.6  -
Bacillaceae_Paraliobacillus                      -          LKAP-TSAKG2_H09_065_2018_2 -               18     896      14     872       8     872    1511    +    4.8e-264  877.2  18.4  -
Aerococcaceae_Aerococcus                         -          LKAP-TSAKG2_H09_065_2018_2 -               11     869      16     872       8     872    1461    +    7.2e-264  876.4  18.6  -
Bacillaceae_Scopulibacillus                      -          LKAP-TSAKG2_H09_065_2018_2 -               39     909      16     871       4     872    1555    +    1.1e-263  875.8  18.6  -
Bacillaceae_Alkalibacillus                       -          LKAP-TSAKG2_H09_065_2018_2 -               12     884      16     872       8     872    1492    +    8.9e-263  873.0  18.9  -
Bacillaceae_Halolactibacillus                    -          LKAP-TSAKG2_H09_065_2018_2 -                5     882      14     872      11     872    1491    +    3.9e-262  870.7  18.4  -
Bacillales_Geomicrobium                          -          LKAP-TSAKG2_H09_065_2018_2 -               29     890      14     871       8     872    1537    +    4.8e-262  870.5  18.3  -
Carnobacteriaceae_Trichococcus                   -          LKAP-TSAKG2_H09_065_2018_2 -               20     889      14     872       7     872    1513    +    1.4e-260  865.4  18.5  -
Bacillaceae_Anaerobacillus                       -          LKAP-TSAKG2_H09_065_2018_2 -               37     897      14     871       8     872    1512    +    2.6e-260  864.6  18.4  -
Listeriaceae_Brochothrix                         -          LKAP-TSAKG2_H09_065_2018_2 -                6     864      15     871      12     872    1421    +    2.2e-259  861.9  18.7  -
Paenibacillaceae_Brevibacillus                   -          LKAP-TSAKG2_H09_065_2018_2 -               18     861      15     869       7     872    1486    +    5.8e-259  860.3  17.6  -
Carnobacteriaceae_Granulicatella                 -          LKAP-TSAKG2_H09_065_2018_2 -               38     898      14     871       7     872    1407    +    1.7e-258  858.7  18.4  -
Bacillaceae_Alteribacillus                       -          LKAP-TSAKG2_H09_065_2018_2 -               54     865      64     871      44     872    1440    +    1.7e-258  858.8  18.3  -
Paenibacillaceae_Cohnella                        -          LKAP-TSAKG2_H09_065_2018_2 -               23     881      15     871       6     872    1482    +    1.1e-257  856.2  18.2  -
Planococcaceae_Filibacter                        -          LKAP-TSAKG2_H09_065_2018_2 -               29     887      15     872       5     872    1517    +    4.6e-257  853.4  18.5  -
Bacillaceae_Tepidibacillus                       -          LKAP-TSAKG2_H09_065_2018_2 -               28     883      17     872       6     872    1493    +      8e-257  852.8  18.1  -
Bacillaceae_Piscibacillus                        -          LKAP-TSAKG2_H09_065_2018_2 -                2     871      17     872      16     872    1520    +    2.4e-255  848.4  18.9  -
Bacillaceae_Salipaludibacillus                   -          LKAP-TSAKG2_H09_065_2018_2 -                3     876      16     872      14     872    1480    +    6.5e-255  846.9  18.4  -
Carnobacteriaceae_Alkalibacterium                -          LKAP-TSAKG2_H09_065_2018_2 -                6     867      14     872      10     872    1494    +      2e-253  841.9  17.9  -
Bacillaceae_Salimicrobium                        -          LKAP-TSAKG2_H09_065_2018_2 -               18     896      14     872       8     872    1500    +    2.5e-252  838.3  18.6  -
Bacillaceae_Alkalicoccus                         -          LKAP-TSAKG2_H09_065_2018_2 -               38     921      14     872       7     872    1558    +      4e-252  837.6  18.5  -
Enterococcaceae_Tetragenococcus                  -          LKAP-TSAKG2_H09_065_2018_2 -               24     888      15     871       6     872    1518    +    7.5e-252  836.7  18.4  -
Paenibacillaceae_Fontibacillus                   -          LKAP-TSAKG2_H09_065_2018_2 -               23     884      14     871       6     872    1487    +    8.7e-252  836.5  18.2  -
Bacillales_Gemella                               -          LKAP-TSAKG2_H09_065_2018_2 -               22     880      15     871       8     872    1511    +    3.1e-251  834.8  18.2  -
Staphylococcaceae_Nosocomiicoccus                -          LKAP-TSAKG2_H09_065_2018_2 -               40     910      15     872       5     872    1546    +    1.8e-250  832.0  18.4  -
Carnobacteriaceae_Marinilactibacillus            -          LKAP-TSAKG2_H09_065_2018_2 -                7     867      15     872      12     872    1511    +    4.7e-250  830.5  18.1  -
Bacillaceae_Salsuginibacillus                    -          LKAP-TSAKG2_H09_065_2018_2 -               44     919      16     871       5     872    1505    +    8.9e-250  829.8  18.4  -
Paenibacillaceae_Saccharibacillus                -          LKAP-TSAKG2_H09_065_2018_2 -               22     882      15     871       6     872    1498    +    8.2e-249  827.1  18.3  -
Bacillaceae_Pelagirhabdus                        -          LKAP-TSAKG2_H09_065_2018_2 -               54     865      65     871      45     872    1462    +    9.2e-249  826.3  18.3  -
