# target name             accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP.g-Gut1_A08_064.seq -               27    1217       6    1191       2    1193    1474    +           0 1399.8  21.2  -
Ferrimonadaceae           -          LKAP.g-Gut1_A08_064.seq -               27    1216       6    1190       2    1193    1475    +           0 1244.9  21.2  -
Enterobacteriaceae        -          LKAP.g-Gut1_A08_064.seq -               29    1205       8    1190       3    1193    1465    +           0 1232.0  20.9  -
Alteromonadales           -          LKAP.g-Gut1_A08_064.seq -               71    1208      58    1191      37    1193    1468    +           0 1230.3  20.4  -
Shewanellaceae            -          LKAP.g-Gut1_A08_064.seq -               27    1209       6    1191       3    1193    1483    +           0 1225.5  21.0  -
Erwiniaceae               -          LKAP.g-Gut1_A08_064.seq -               61    1201      53    1191      33    1193    1483    +           0 1225.5  20.7  -
Gammaproteobacteria       -          LKAP.g-Gut1_A08_064.seq -               27    1207       6    1192       3    1193    1481    +           0 1222.7  21.0  -
Yersiniaceae              -          LKAP.g-Gut1_A08_064.seq -               28    1206       7    1190       3    1193    1473    +           0 1221.1  21.0  -
Alteromonadaceae          -          LKAP.g-Gut1_A08_064.seq -               27    1206       6    1192       2    1193    1468    +           0 1216.7  20.9  -
Pectobacteriaceae         -          LKAP.g-Gut1_A08_064.seq -               25    1203       7    1190       3    1193    1477    +           0 1212.9  21.0  -
Aeromonadaceae            -          LKAP.g-Gut1_A08_064.seq -               41    1221       8    1191       2    1193    1496    +           0 1205.9  20.7  -
Pseudoalteromonadaceae    -          LKAP.g-Gut1_A08_064.seq -               27    1202       6    1190       3    1193    1469    +           0 1203.6  20.3  -
Hafniaceae                -          LKAP.g-Gut1_A08_064.seq -               24    1200       9    1190       3    1193    1459    +           0 1198.5  20.9  -
Morganellaceae            -          LKAP.g-Gut1_A08_064.seq -               31    1209       7    1190       3    1193    1487    +           0 1196.5  21.2  -
Oceanospirillaceae        -          LKAP.g-Gut1_A08_064.seq -               28    1206       7    1189       3    1193    1467    +           0 1184.5  20.9  -
Budviciaceae              -          LKAP.g-Gut1_A08_064.seq -               58    1195      55    1189      34    1193    1483    +           0 1182.9  20.6  -
Colwelliaceae             -          LKAP.g-Gut1_A08_064.seq -               27    1204       6    1188       3    1193    1467    +           0 1180.8  20.9  -
Idiomarinaceae            -          LKAP.g-Gut1_A08_064.seq -               27    1204       6    1188       2    1193    1466    +           0 1174.7  20.9  -
Moritellaceae             -          LKAP.g-Gut1_A08_064.seq -               42    1223       6    1190       3    1193    1501    +           0 1167.5  20.9  -
Cellvibrionaceae          -          LKAP.g-Gut1_A08_064.seq -               27    1204       6    1189       3    1193    1472    +           0 1154.6  21.2  -
Psychromonadaceae         -          LKAP.g-Gut1_A08_064.seq -               28    1203       7    1188       3    1193    1467    +           0 1152.2  20.9  -
Oceanospirillales         -          LKAP.g-Gut1_A08_064.seq -               33    1212       6    1191       3    1193    1489    +           0 1150.5  21.2  -
Chromatiaceae             -          LKAP.g-Gut1_A08_064.seq -               27    1195       6    1190       2    1193    1455    +           0 1148.6  21.1  -
Thorselliaceae            -          LKAP.g-Gut1_A08_064.seq -               38    1174      56    1190      30    1193    1419    +           0 1143.5  20.5  -
Pseudomonadaceae          -          LKAP.g-Gut1_A08_064.seq -               34    1207       6    1188       2    1193    1491    +           0 1142.4  20.9  -
Alcanivoracaceae          -          LKAP.g-Gut1_A08_064.seq -               47    1223       6    1189       2    1193    1504    +           0 1130.8  20.8  -
Pasteurellaceae           -          LKAP.g-Gut1_A08_064.seq -               69    1207      54    1190      32    1193    1422    +           0 1124.0  20.4  -
Piscirickettsiaceae       -          LKAP.g-Gut1_A08_064.seq -               66    1208      53    1191      29    1193    1466    +           0 1122.5  20.5  -
Methylococcaceae          -          LKAP.g-Gut1_A08_064.seq -               41    1214       6    1191       3    1193    1481    +           0 1121.6  21.1  -
Hahellaceae               -          LKAP.g-Gut1_A08_064.seq -               27    1205       6    1191       2    1193    1473    +           0 1113.6  20.9  -
Halomonadaceae            -          LKAP.g-Gut1_A08_064.seq -               27    1205       6    1191       2    1193    1466    +           0 1110.5  21.0  -
Halieaceae                -          LKAP.g-Gut1_A08_064.seq -               36    1203       7    1188       3    1193    1484    +           0 1109.7  21.2  -
Moraxellaceae             -          LKAP.g-Gut1_A08_064.seq -               24    1198       6    1191       3    1193    1468    +           0 1104.3  21.0  -
Orbaceae                  -          LKAP.g-Gut1_A08_064.seq -               93    1226      57    1188      35    1193    1539    +           0 1103.1  20.6  -
Celerinatantimonadaceae   -          LKAP.g-Gut1_A08_064.seq -               66    1212      57    1189      33    1193    1433    +           0 1101.0  20.5  -
Thioalkalispiraceae       -          LKAP.g-Gut1_A08_064.seq -               80    1223      53    1190      31    1193    1479    +           0 1098.2  20.4  -
Saccharospirillaceae      -          LKAP.g-Gut1_A08_064.seq -               31    1199       8    1190       2    1193    1468    +           0 1097.5  20.6  -
Ectothiorhodospiraceae    -          LKAP.g-Gut1_A08_064.seq -               34    1212       6    1191       2    1193    1463    +           0 1095.2  21.0  -
Lysobacteraceae           -          LKAP.g-Gut1_A08_064.seq -               28    1205       6    1188       2    1193    1484    +           0 1094.2  21.0  -
Microbulbiferaceae        -          LKAP.g-Gut1_A08_064.seq -               27    1194       6    1186       3    1193    1480    +           0 1092.5  21.1  -
Spongiibacteraceae        -          LKAP.g-Gut1_A08_064.seq -               30    1179       6    1170       2    1190    1462    +           0 1088.4  20.8  -
Litoricolaceae            -          LKAP.g-Gut1_A08_064.seq -               35    1211       6    1190       3    1193    1474    +           0 1088.6  21.0  -
Halothiobacillaceae       -          LKAP.g-Gut1_A08_064.seq -               45    1220       7    1188       3    1193    1500    +           0 1078.5  20.9  -
Succinivibrionaceae       -          LKAP.g-Gut1_A08_064.seq -               75    1184      57    1191      35    1193    1473    +           0 1077.2  19.8  -
Kangiellaceae             -          LKAP.g-Gut1_A08_064.seq -               37    1213       7    1188       3    1193    1479    +           0 1073.4  20.6  -
Thermoleophilaceae        -          LKAP.g-Gut1_A08_064.seq -               20    1213       6    1188       2    1193    1494    +           0 1065.0  20.8  -
Thiotrichaceae            -          LKAP.g-Gut1_A08_064.seq -               27    1162       6    1190       3    1193    1421    +           0 1058.0  19.4  -
Cardiobacteriaceae        -          LKAP.g-Gut1_A08_064.seq -               37    1209       8    1190       4    1193    1464    +           0 1047.1  20.8  -
Legionellaceae            -          LKAP.g-Gut1_A08_064.seq -               62    1204      53    1190      31    1193    1446    +           0 1042.9  20.5  -
