# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae_Psychrobacter                      -          LKAP-TSAKG2_E06_040_2018_2 -               27     928      18     917       8     918    1491    +           0 1137.8  17.8  -
Moraxellaceae_Moraxella                          -          LKAP-TSAKG2_E06_040_2018_2 -               19     913      18     916       8     918    1446    +    2.5e-304 1010.7  18.0  -
Alteromonadaceae_Marinobacterium                 -          LKAP-TSAKG2_E06_040_2018_2 -               27     931      18     916       7     918    1465    +    2.6e-278  924.4  17.9  -
Halomonadaceae_Halomonas                         -          LKAP-TSAKG2_E06_040_2018_2 -               27     931      18     917       7     918    1463    +    2.8e-276  917.6  17.8  -
Alteromonadaceae_Marinobacter                    -          LKAP-TSAKG2_E06_040_2018_2 -               21     929      14     916       8     918    1478    +    5.9e-276  916.6  17.8  -
Pseudomonadaceae_Pseudomonas                     -          LKAP-TSAKG2_E06_040_2018_2 -               34     935      18     916       9     918    1502    +    1.1e-272  905.7  17.8  -
Moraxellaceae_Acinetobacter                      -          LKAP-TSAKG2_E06_040_2018_2 -               19     923      16     916       7     918    1463    +    2.3e-271  901.5  17.7  -
Halomonadaceae_Chromohalobacter                  -          LKAP-TSAKG2_E06_040_2018_2 -               27     929      18     916       9     918    1480    +    7.5e-271  899.7  17.9  -
Oceanospirillaceae_Marinomonas                   -          LKAP-TSAKG2_E06_040_2018_2 -               27     931      18     916       8     918    1467    +    3.4e-269  894.0  18.2  -
Alcanivoracaceae_Pseudohongiella                 -          LKAP-TSAKG2_E06_040_2018_2 -               27     929      18     916       7     918    1461    +      9e-267  886.2  17.9  -
Oceanospirillaceae_Amphritea                     -          LKAP-TSAKG2_E06_040_2018_2 -               27     929      18     916       9     918    1463    +    5.1e-266  883.6  17.9  -
Halomonadaceae_Cobetia                           -          LKAP-TSAKG2_E06_040_2018_2 -               30     941      11     916       6     918    1516    +    8.3e-266  882.9  17.7  -
Halomonadaceae_Salinicola                        -          LKAP-TSAKG2_E06_040_2018_2 -               27     929      18     916       8     918    1471    +    5.1e-265  880.3  17.8  -
Spongiibacteraceae_Sinobacterium                 -          LKAP-TSAKG2_E06_040_2018_2 -               39     951      12     916       5     918    1504    +    5.5e-265  880.2  17.7  -
Oceanospirillaceae_Marinospirillum               -          LKAP-TSAKG2_E06_040_2018_2 -               27     923      18     916       9     918    1451    +    1.7e-264  878.7  18.0  -
Microbulbiferaceae_Microbulbifer                 -          LKAP-TSAKG2_E06_040_2018_2 -               27     924      18     916       9     918    1480    +    2.7e-264  878.1  18.0  -
Methylococcaceae_Methylococcus                   -          LKAP-TSAKG2_E06_040_2018_2 -               39     936      18     916       9     918    1482    +    2.8e-264  877.9  18.0  -
Halomonadaceae_Kushneria                         -          LKAP-TSAKG2_E06_040_2018_2 -               31     933      18     916       9     918    1461    +    6.5e-263  873.2  17.8  -
Oceanospirillaceae_Reinekea                      -          LKAP-TSAKG2_E06_040_2018_2 -               37     933      18     916       9     918    1512    +    1.1e-262  872.6  18.0  -
Oceanospirillaceae_Neptunomonas                  -          LKAP-TSAKG2_E06_040_2018_2 -               27     931      18     916       9     918    1484    +    1.6e-262  872.0  17.8  -
Hahellaceae_Endozoicomonas                       -          LKAP-TSAKG2_E06_040_2018_2 -               47     952      18     916       9     918    1524    +    8.3e-262  869.8  17.9  -
Alcanivoracaceae_Alcanivorax                     -          LKAP-TSAKG2_E06_040_2018_2 -               47     950      18     916       8     918    1505    +    8.8e-262  869.5  17.9  -
Saccharospirillaceae_Saccharospirillum           -          LKAP-TSAKG2_E06_040_2018_2 -               28     924      18     916       6     918    1459    +    4.7e-261  867.3  18.1  -
Hahellaceae_Hahella                              -          LKAP-TSAKG2_E06_040_2018_2 -               54     955      18     916       9     918    1539    +    5.1e-261  867.1  17.9  -
Halomonadaceae_Larsenimonas                      -          LKAP-TSAKG2_E06_040_2018_2 -               48     950      18     916       9     918    1495    +    1.2e-260  865.8  17.9  -
Kangiellaceae_Kangiella                          -          LKAP-TSAKG2_E06_040_2018_2 -               35     942      18     916       9     918    1478    +    2.1e-260  865.0  17.8  -
Cellvibrionaceae_Simiduia                        -          LKAP-TSAKG2_E06_040_2018_2 -               27     929      18     916       9     918    1463    +    3.9e-260  864.1  17.9  -
