# target name                    accession  query name            accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------  -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Hafniaceae                       -          LKAP-Gut2_F10_070.seq -               20    1065       5    1055       1    1062    1459    +           0 1139.4  23.5  -
Unclassified_Alteromonadales     -          LKAP-Gut2_F10_070.seq -               28    1071       8    1055       3    1062    1467    +           0 1135.8  23.5  -
Ferrimonadaceae                  -          LKAP-Gut2_F10_070.seq -               26    1081       5    1055       2    1062    1475    +           0 1131.9  23.4  -
Aeromonadaceae                   -          LKAP-Gut2_F10_070.seq -               40    1085       8    1055       3    1062    1496    +           0 1127.8  23.4  -
Budviciaceae                     -          LKAP-Gut2_F10_070.seq -               17    1061       7    1055       3    1062    1483    +           0 1105.1  23.5  -
Idiomarinaceae                   -          LKAP-Gut2_F10_070.seq -               27    1072       7    1055       3    1062    1466    +           0 1098.9  23.4  -
Thorselliaceae                   -          LKAP-Gut2_F10_070.seq -                6    1040      12    1055       8    1062    1419    +           0 1078.9  23.8  -
Moritellaceae                    -          LKAP-Gut2_F10_070.seq -               42    1088       7    1055       4    1062    1501    +           0 1078.6  23.4  -
Colwelliaceae                    -          LKAP-Gut2_F10_070.seq -               28    1070       8    1055       4    1062    1465    +           0 1073.8  23.6  -
Psychromonadaceae                -          LKAP-Gut2_F10_070.seq -               27    1071       7    1055       3    1062    1467    +           0 1070.6  23.4  -
Orbaceae                         -          LKAP-Gut2_F10_070.seq -               54    1094       7    1055       4    1062    1538    +           0 1043.7  23.4  -
Unclassified_Oceanospirillales   -          LKAP-Gut2_F10_070.seq -               32    1070       7    1055       3    1062    1483    +           0 1043.5  23.2  -
Alcanivoracaceae                 -          LKAP-Gut2_F10_070.seq -               49    1090       9    1055       3    1062    1504    +           0 1024.0  23.4  -
Halothiobacillaceae              -          LKAP-Gut2_F10_070.seq -               44    1089       7    1055       4    1062    1501    +    3.5e-307 1016.7  23.5  -
Succinivibrionaceae              -          LKAP-Gut2_F10_070.seq -               30    1048       7    1055       4    1062    1474    +    8.4e-306 1012.1  23.6  -
Thioalkalispiraceae              -          LKAP-Gut2_F10_070.seq -               41    1088       8    1055       3    1062    1478    +      3e-305 1010.2  23.4  -
Celerinatantimonadaceae          -          LKAP-Gut2_F10_070.seq -               22    1078       7    1055       3    1062    1433    +    7.4e-301  995.8  23.5  -
Halieaceae                       -          LKAP-Gut2_F10_070.seq -               35    1071       7    1055       3    1062    1484    +    6.4e-300  992.6  23.3  -
Kangiellaceae                    -          LKAP-Gut2_F10_070.seq -               36    1083       7    1055       4    1062    1479    +    1.4e-299  991.5  23.4  -
Litoricolaceae                   -          LKAP-Gut2_F10_070.seq -               35    1077       7    1055       4    1062    1474    +    5.2e-297  983.1  23.5  -
Microbulbiferaceae               -          LKAP-Gut2_F10_070.seq -               31    1064      11    1055       3    1062    1478    +    6.9e-296  979.5  22.9  -
Spongiibacteraceae               -          LKAP-Gut2_F10_070.seq -               36    1068      12    1055       4    1062    1462    +    1.3e-295  978.2  23.3  -
Saccharospirillaceae             -          LKAP-Gut2_F10_070.seq -               34    1064      12    1055       4    1062    1468    +    1.6e-295  978.1  23.7  -
Thermoleophilaceae               -          LKAP-Gut2_F10_070.seq -               20    1069       7    1055       3    1062    1486    +    1.2e-292  968.5  23.0  -
Nevskiaceae                      -          LKAP-Gut2_F10_070.seq -               37    1065       8    1055       4    1062    1470    +    9.3e-292  965.9  23.1  -
Coxiellaceae                     -          LKAP-Gut2_F10_070.seq -               27    1077       7    1055       4    1062    1473    +    4.2e-289  956.8  23.5  -
Cardiobacteriaceae               -          LKAP-Gut2_F10_070.seq -               35    1073       7    1055       4    1062    1462    +    1.7e-287  951.7  23.5  -
Granulosicoccaceae               -          LKAP-Gut2_F10_070.seq -               27    1072       7    1055       4    1062    1471    +    1.4e-284  941.9  23.6  -
Arenicellaceae                   -          LKAP-Gut2_F10_070.seq -               43    1064      31    1055      10    1062    1488    +    1.6e-283  938.4  22.9  -
Unclassified_Thiotrichales       -          LKAP-Gut2_F10_070.seq -               69    1088      30    1055       9    1062    1517    +    1.5e-281  931.7  22.5  -
Hydrogenophilaceae               -          LKAP-Gut2_F10_070.seq -               27    1069       7    1055       3    1062    1462    +    1.3e-277  918.9  23.4  -
Acidiferrobacteraceae            -          LKAP-Gut2_F10_070.seq -               64    1064      52    1055      31    1062    1456    +    9.3e-277  916.0  22.5  -
Salinisphaeraceae                -          LKAP-Gut2_F10_070.seq -               16    1058       7    1055       2    1062    1432    +    5.5e-274  906.8  23.3  -
Sulfuricellaceae                 -          LKAP-Gut2_F10_070.seq -               27    1070       7    1055       3    1062    1462    +    1.7e-272  901.8  22.9  -
Geobacteraceae                   -          LKAP-Gut2_F10_070.seq -               38    1094      10    1055       4    1062    1485    +    4.5e-272  900.3  22.9  -
Unclassified_Deltaproteobacteria -          LKAP-Gut2_F10_070.seq -               50    1107      13    1055       4    1062    1518    +    1.4e-271  898.9  22.8  -
Nitrosomonadaceae                -          LKAP-Gut2_F10_070.seq -               27    1071       7    1055       3    1062    1463    +    4.4e-271  897.3  22.8  -
Syntrophaceae                    -          LKAP-Gut2_F10_070.seq -               58    1104      29    1055       9    1062    1556    +    2.6e-270  894.5  22.9  -
Sutterellaceae                   -          LKAP-Gut2_F10_070.seq -               28    1070       8    1055       4    1062    1487    +    3.1e-270  894.1  23.2  -
Thermithiobacillaceae            -          LKAP-Gut2_F10_070.seq -               12    1052       7    1055       3    1062    1419    +    9.6e-269  889.4  23.0  -
Acidithiobacillaceae             -          LKAP-Gut2_F10_070.seq -               26    1064       7    1055       3    1062    1457    +    4.6e-268  887.0  23.3  -
Methylophilaceae                 -          LKAP-Gut2_F10_070.seq -                8    1055       8    1055       3    1062    1430    +    6.1e-268  886.6  23.0  -
Azonexaceae                      -          LKAP-Gut2_F10_070.seq -               28    1072       7    1055       3    1062    1474    +    8.4e-268  886.4  23.2  -
Francisellaceae                  -          LKAP-Gut2_F10_070.seq -               39    1072       9    1055       4    1062    1509    +    1.2e-266  882.5  23.1  -
Desulfobulbaceae                 -          LKAP-Gut2_F10_070.seq -               64    1088      49    1055      25    1062    1482    +    6.9e-266  879.8  22.4  -
Thiobacilliaceae                 -          LKAP-Gut2_F10_070.seq -               46    1087       7    1055       3    1062    1517    +    1.2e-265  879.2  23.0  -
Desulfohalobiaceae               -          LKAP-Gut2_F10_070.seq -               31    1100       7    1055       3    1062    1510    +    2.2e-264  874.9  23.0  -
Methylothermaceae                -          LKAP-Gut2_F10_070.seq -               48    1094       7    1055       4    1062    1491    +    1.8e-261  865.2  23.5  -
Unclassified_Alphaproteobacteria -          LKAP-Gut2_F10_070.seq -               28    1018       8    1055       3    1062    1412    +    1.4e-260  862.6  23.2  -
Desulfuromonadaceae              -          LKAP-Gut2_F10_070.seq -               75    1106      41    1055      11    1062    1519    +    3.3e-259  857.7  22.8  -
Bdellovibrionaceae               -          LKAP-Gut2_F10_070.seq -               46    1040      41    1055      10    1062    1430    +    2.5e-258  854.8  22.6  -
Wenzhouxiangellaceae             -          LKAP-Gut2_F10_070.seq -               36    1076      15    1055       4    1062    1472    +    2.4e-257  851.4  22.9  -
Zoogloeaceae                     -          LKAP-Gut2_F10_070.seq -               34    1075       7    1055       3    1062    1474    +    1.5e-255  845.6  23.3  -
Unclassified_Rhizobiales         -          LKAP-Gut2_F10_070.seq -               58    1026      45    1055      23    1062    1437    +    1.3e-254  842.6  22.2  -
Sneathiellaceae                  -          LKAP-Gut2_F10_070.seq -               34    1032       9    1055       4    1062    1427    +    2.3e-253  838.5  21.8  -
Hyphomonadaceae                  -          LKAP-Gut2_F10_070.seq -               27    1017       7    1055       3    1062    1399    +    1.3e-252  836.2  22.0  -
Desulfomicrobiaceae              -          LKAP-Gut2_F10_070.seq -               52    1088      30    1055       9    1062    1495    +    3.2e-251  831.3  22.6  -
Erythrobacteraceae               -          LKAP-Gut2_F10_070.seq -               43    1018      38    1055      17    1062    1433    +    3.1e-250  828.1  21.1  -
Deferribacteraceae               -          LKAP-Gut2_F10_070.seq -               53    1088      35    1055      12    1062    1514    +    2.6e-249  824.8  22.6  -
Nautiliaceae                     -          LKAP-Gut2_F10_070.seq -               27    1042       7    1055       4    1062    1428    +    9.6e-249  823.3  23.8  -
