# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Hafniaceae                       -          B123_reverse         -              458    1449    1029      11    1049       5    1459    -    4.2e-292  966.6   7.6  -
Budviciaceae                     -          B123_reverse         -              454    1424    1029      34    1044      12    1483    -    1.5e-288  954.9   8.1  -
Aeromonadaceae                   -          B123_reverse         -              483    1469    1019      11    1040       5    1496    -    6.8e-265  876.3   7.8  -
Thorselliaceae                   -          B123_reverse         -              434    1405    1022      31    1043      18    1419    -    1.4e-260  862.1   8.2  -
Ferrimonadaceae                  -          B123_reverse         -              475    1447    1028      31    1038      10    1475    -    3.3e-255  844.2   7.8  -
Unclassified_Alteromonadales     -          B123_reverse         -              463    1434    1027      34    1044      14    1467    -    1.8e-253  838.5   8.0  -
Idiomarinaceae                   -          B123_reverse         -              443    1438    1046      31    1051      10    1466    -      9e-248  819.6   7.9  -
Colwelliaceae                    -          B123_reverse         -              464    1437    1028      30    1045       9    1465    -    6.6e-243  803.8   7.8  -
Orbaceae                         -          B123_reverse         -              494    1459    1017      31    1037       9    1538    -    3.1e-242  801.4   7.8  -
Moritellaceae                    -          B123_reverse         -              482    1452    1028      33    1044      13    1501    -    6.6e-242  800.2   8.0  -
Unclassified_Oceanospirillales   -          B123_reverse         -              459    1434    1030      33    1049      13    1483    -    3.5e-239  791.1   8.0  -
Celerinatantimonadaceae          -          B123_reverse         -              463    1431    1028      44    1044      42    1433    -    4.6e-239  791.0   7.5  -
Alcanivoracaceae                 -          B123_reverse         -              483    1472    1028      12    1045       5    1504    -    1.5e-237  785.7   7.7  -
Kangiellaceae                    -          B123_reverse         -              476    1442    1028      36    1048      16    1479    -    1.4e-232  769.4   7.8  -
Psychromonadaceae                -          B123_reverse         -              465    1434    1028      36    1041      15    1467    -    3.4e-232  768.2   7.9  -
Succinivibrionaceae              -          B123_reverse         -              446    1413    1027      34    1045      14    1474    -    1.8e-231  765.8   8.4  -
Thioalkalispiraceae              -          B123_reverse         -              479    1455    1026      29    1048       9    1478    -      3e-230  761.6   7.8  -
Saccharospirillaceae             -          B123_reverse         -              459    1419    1027      41    1047      19    1468    -    8.3e-229  756.9   7.8  -
Halothiobacillaceae              -          B123_reverse         -              490    1453    1015      33    1035      12    1501    -    1.8e-226  749.2   7.8  -
Spongiibacteraceae               -          B123_reverse         -              470    1436    1015      29    1043       9    1462    -    2.1e-226  748.8   7.9  -
Litoricolaceae                   -          B123_reverse         -              470    1440    1029      33    1046      13    1474    -    1.5e-224  743.0   8.1  -
Halieaceae                       -          B123_reverse         -              471    1439    1017      29    1037       8    1484    -    1.8e-223  739.2   7.8  -
Granulosicoccaceae               -          B123_reverse         -              471    1437    1017      33    1037      15    1471    -    2.2e-218  722.5   8.0  -
Coxiellaceae                     -          B123_reverse         -              459    1440    1037      34    1050      14    1473    -    2.1e-215  712.6   7.6  -
Cardiobacteriaceae               -          B123_reverse         -              465    1438    1028      31    1045      14    1462    -    2.7e-215  712.4   8.0  -
Wenzhouxiangellaceae             -          B123_reverse         -              474    1440    1017      33    1037      13    1472    -    2.8e-215  712.0   7.8  -
Arenicellaceae                   -          B123_reverse         -              468    1431    1015      30    1036       9    1488    -    4.2e-214  708.3   8.0  -
Thermoleophilaceae               -          B123_reverse         -              437    1441    1048      34    1051      20    1486    -    4.2e-212  701.5   8.1  -
Microbulbiferaceae               -          B123_reverse         -              434    1427    1048      34    1051      14    1478    -    1.9e-209  692.9   8.0  -
Desulfobulbaceae                 -          B123_reverse         -              462    1454    1039      34    1050      18    1482    -    3.6e-209  691.8   8.0  -
Nevskiaceae                      -          B123_reverse         -              443    1435    1040      30    1050      15    1470    -    1.3e-208  690.3   7.7  -
Unclassified_Thiotrichales       -          B123_reverse         -              474    1449    1030      34    1047      14    1517    -    9.8e-206  680.4   8.1  -
Acidiferrobacteraceae            -          B123_reverse         -              455    1433    1024      29    1044      15    1456    -    1.7e-205  679.8   7.8  -
Sulfuricellaceae                 -          B123_reverse         -              463    1432    1023      33    1039      12    1462    -    2.3e-205  679.3   7.9  -
Hydrogenophilaceae               -          B123_reverse         -              447    1430    1036      34    1049      14    1462    -    2.8e-204  675.9   8.0  -
Acidithiobacillaceae             -          B123_reverse         -              450    1428    1031      32    1047      12    1457    -    5.3e-204  674.6   8.1  -
Salinisphaeraceae                -          B123_reverse         -              451    1422    1029      33    1044      26    1432    -    2.4e-203  672.6   8.4  -
Unclassified_Deltaproteobacteria -          B123_reverse         -              476    1461    1044      42    1051      22    1518    -    8.6e-200  660.9   7.9  -
Desulfohalobiaceae               -          B123_reverse         -              479    1430    1037      67    1049      44    1510    -    2.5e-198  655.9   8.0  -
Deferribacteraceae               -          B123_reverse         -              462    1450    1036      37    1047      16    1514    -    4.7e-198  654.9   8.4  -
Thermithiobacillaceae            -          B123_reverse         -              431    1415    1037      34    1049      30    1419    -      7e-197  651.2   8.4  -
Methylothermaceae                -          B123_reverse         -              471    1459    1038      34    1049      14    1491    -      9e-197  650.7   8.5  -
Francisellaceae                  -          B123_reverse         -              463    1424    1022      43    1042      20    1509    -    1.1e-195  647.2   7.7  -
Nitrosomonadaceae                -          B123_reverse         -              459    1452    1027      12    1046       5    1463    -    2.1e-195  646.4   7.7  -
Syntrophaceae                    -          B123_reverse         -              482    1459    1037      40    1049      20    1556    -      6e-194  641.4   7.7  -
Zoogloeaceae                     -          B123_reverse         -              445    1437    1045      33    1051      13    1474    -    1.1e-193  640.6   7.9  -
Desulfuromonadaceae              -          B123_reverse         -              474    1465    1046      36    1051      16    1519    -    1.3e-193  640.3   7.9  -
Geobacteraceae                   -          B123_reverse         -              473    1448    1036      41    1049      21    1485    -    4.6e-192  635.1   7.8  -
Spirillaceae                     -          B123_reverse         -              481    1445    1017      35    1036      33    1447    -      7e-192  634.9   8.3  -
