# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillales_Exiguobacterium                       -          LKAP-TSAKG2_G09_067_2018_2 -               37     829      18     810       6     810    1526    +    6.8e-302 1002.5  25.6  -
Bacillaceae_Salinibacillus                       -          LKAP-TSAKG2_G09_067_2018_2 -               22     818      18     810       6     810    1471    +    1.9e-256  852.0  25.5  -
Bacillaceae_Oceanobacillus                       -          LKAP-TSAKG2_G09_067_2018_2 -               22     820      16     810       4     810    1508    +    1.1e-255  849.4  25.7  -
Bacillaceae_Virgibacillus                        -          LKAP-TSAKG2_G09_067_2018_2 -               23     822      17     810       5     810    1519    +    2.5e-253  841.6  25.5  -
Bacillaceae_Ornithinibacillus                    -          LKAP-TSAKG2_G09_067_2018_2 -               23     818      17     810       5     810    1482    +      4e-252  837.5  25.6  -
Bacillaceae_Scopulibacillus                      -          LKAP-TSAKG2_G09_067_2018_2 -               44     837      18     810       5     810    1555    +    9.9e-252  836.1  25.6  -
Planococcaceae_Kurthia                           -          LKAP-TSAKG2_G09_067_2018_2 -               22     806      16     810       5     810    1479    +    2.1e-251  834.9  23.9  -
Sporolactobacillaceae_Pullulanibacillus          -          LKAP-TSAKG2_G09_067_2018_2 -               44     837      18     810       6     810    1553    +    5.3e-251  833.9  25.5  -
Bacillaceae_Pontibacillus                        -          LKAP-TSAKG2_G09_067_2018_2 -                8     802      18     810      13     810    1469    +    2.4e-249  828.3  25.1  -
Bacillaceae_Domibacillus                         -          LKAP-TSAKG2_G09_067_2018_2 -               23     805      17     810       5     810    1476    +    1.6e-248  825.5  23.6  -
Bacillales_Rummeliibacillus                      -          LKAP-TSAKG2_G09_067_2018_2 -               22     802      16     810       4     810    1473    +    2.8e-247  821.3  23.3  -
Bacillaceae_Aquibacillus                         -          LKAP-TSAKG2_G09_067_2018_2 -               35     837      14     810       4     810    1524    +    5.2e-247  820.5  25.7  -
Planococcaceae_Sporosarcina                      -          LKAP-TSAKG2_G09_067_2018_2 -               24     804      18     810       6     810    1504    +    3.8e-246  817.6  23.6  -
Bacillaceae_Lentibacillus                        -          LKAP-TSAKG2_G09_067_2018_2 -               12     812      16     810       6     810    1470    +    6.9e-246  817.0  25.5  -
Bacillaceae_Terribacillus                        -          LKAP-TSAKG2_G09_067_2018_2 -               13     811      15     810       4     810    1472    +    2.6e-245  815.0  25.8  -
Planococcaceae_Paenisporosarcina                 -          LKAP-TSAKG2_G09_067_2018_2 -               15     799      18     810       7     810    1481    +    7.9e-245  813.2  22.9  -
Staphylococcaceae_Macrococcus                    -          LKAP-TSAKG2_G09_067_2018_2 -               44     827      18     810       6     810    1547    +    1.7e-242  805.6  23.5  -
Planococcaceae_Chryseomicrobium                  -          LKAP-TSAKG2_G09_067_2018_2 -               20     806      16     810       5     810    1483    +    1.1e-240  799.5  23.7  -
Bacillaceae_Sediminibacillus                     -          LKAP-TSAKG2_G09_067_2018_2 -                3     804      16     810      14     810    1478    +    2.4e-240  798.5  25.0  -
Bacillaceae_Amphibacillus                        -          LKAP-TSAKG2_G09_067_2018_2 -               24     822      18     810       5     810    1490    +    8.5e-240  796.6  25.5  -
Bacillaceae_Lysinibacillus                       -          LKAP-TSAKG2_G09_067_2018_2 -               23     808      17     810       4     810    1476    +    8.9e-240  796.4  23.8  -
Bacillaceae_Gracilibacillus                      -          LKAP-TSAKG2_G09_067_2018_2 -               25     822      17     810       4     810    1511    +    1.1e-239  796.3  25.5  -
Bacillaceae_Viridibacillus                       -          LKAP-TSAKG2_G09_067_2018_2 -               24     806      18     810       6     810    1505    +    1.3e-239  795.8  22.9  -
Planococcaceae_Ureibacillus                      -          LKAP-TSAKG2_G09_067_2018_2 -               31     814      18     810       6     810    1497    +    3.7e-239  794.4  23.9  -
Bacillaceae_Anoxybacillus                        -          LKAP-TSAKG2_G09_067_2018_2 -               25     807      18     810       5     810    1495    +    6.2e-239  793.8  23.7  -
Planococcaceae_Planomicrobium                    -          LKAP-TSAKG2_G09_067_2018_2 -               23     804      17     810       5     810    1485    +    1.3e-238  792.8  23.3  -
Bacillaceae_Alkalibacillus                       -          LKAP-TSAKG2_G09_067_2018_2 -               14     813      17     810       6     810    1492    +    5.1e-238  790.8  25.3  -
Paenibacillaceae_Aneurinibacillus                -          LKAP-TSAKG2_G09_067_2018_2 -               26     799      18     810       6     810    1483    +      9e-238  789.9  23.2  -
Planococcaceae_Jeotgalibacillus                  -          LKAP-TSAKG2_G09_067_2018_2 -               23     806      17     810       5     810    1507    +    9.8e-238  789.7  23.5  -
Bacillaceae_Fictibacillus                        -          LKAP-TSAKG2_G09_067_2018_2 -                5     785      18     810      15     810    1439    +    1.5e-237  789.1  23.0  -
Enterococcaceae_Vagococcus                       -          LKAP-TSAKG2_G09_067_2018_2 -               23     816      17     810       5     810    1472    +    2.4e-237  788.6  24.4  -
Enterococcaceae_Enterococcus                     -          LKAP-TSAKG2_G09_067_2018_2 -               23     815      17     810       5     810    1502    +    4.8e-237  787.5  24.3  -
Bacillaceae_Psychrobacillus                      -          LKAP-TSAKG2_G09_067_2018_2 -               31     814      18     810       5     810    1503    +    6.8e-237  786.9  23.1  -
Planococcaceae_Planococcus                       -          LKAP-TSAKG2_G09_067_2018_2 -               34     814      18     810       6     810    1492    +    7.4e-237  786.9  23.3  -
Listeriaceae_Listeria                            -          LKAP-TSAKG2_G09_067_2018_2 -                8     791      18     810      12     810    1458    +    9.8e-237  786.6  22.9  -
Bacillaceae_Paraliobacillus                      -          LKAP-TSAKG2_G09_067_2018_2 -               24     823      18     810       6     810    1511    +      2e-236  785.5  25.3  -
Bacillaceae_Thalassobacillus                     -          LKAP-TSAKG2_G09_067_2018_2 -               31     829      18     810       6     810    1506    +    4.2e-236  784.5  25.7  -
Bacillaceae_Halobacillus                         -          LKAP-TSAKG2_G09_067_2018_2 -               23     822      17     810       3     810    1520    +    9.7e-236  783.2  25.6  -
Staphylococcaceae_Staphylococcus                 -          LKAP-TSAKG2_G09_067_2018_2 -               33     814      18     810       5     810    1484    +    2.2e-235  781.9  23.4  -
Planococcaceae_Bhargavaea                        -          LKAP-TSAKG2_G09_067_2018_2 -               43     823      17     810       4     810    1544    +    1.2e-234  779.5  23.1  -
Sporolactobacillaceae_Sporolactobacillus         -          LKAP-TSAKG2_G09_067_2018_2 -               24     803      18     809       5     810    1503    +    1.5e-234  779.2  24.0  -
Bacillaceae_Salipaludibacillus                   -          LKAP-TSAKG2_G09_067_2018_2 -                6     803      18     810      14     810    1480    +    2.3e-234  778.6  25.0  -
Bacillaceae_Piscibacillus                        -          LKAP-TSAKG2_G09_067_2018_2 -                5     800      20     810      16     810    1520    +      3e-234  778.3  25.1  -
Bacillaceae_Halolactibacillus                    -          LKAP-TSAKG2_G09_067_2018_2 -               12     809      19     810      10     810    1491    +    3.1e-233  774.8  25.1  -
Staphylococcaceae_Salinicoccus                   -          LKAP-TSAKG2_G09_067_2018_2 -               16     798      18     810       6     810    1476    +    5.6e-233  774.1  24.0  -
Carnobacteriaceae_Carnobacterium                 -          LKAP-TSAKG2_G09_067_2018_2 -               43     835      18     810       5     810    1520    +    2.5e-231  768.7  24.7  -
Bacillales_Solibacillus                          -          LKAP-TSAKG2_G09_067_2018_2 -               27     813      18     810       5     810    1525    +    9.6e-231  766.5  23.6  -
Planococcaceae_Caryophanon                       -          LKAP-TSAKG2_G09_067_2018_2 -               51     837      18     810       6     810    1492    +    9.6e-230  763.1  23.6  -
