# target name                    accession  query name            accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------  -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Kiloniellaceae                   -          LKAP-Gut2_D10_074.seq -               44    1092       6    1056       1    1056    1450    +           0 1362.4  18.3  -
Hyphomonadaceae                  -          LKAP-Gut2_D10_074.seq -               25    1065       6    1056       2    1056    1399    +           0 1118.7  18.1  -
Kordiimonadaceae                 -          LKAP-Gut2_D10_074.seq -               25    1074       6    1056       2    1056    1423    +           0 1100.1  18.3  -
Unclassified_Alphaproteobacteria -          LKAP-Gut2_D10_074.seq -               25    1064       6    1056       2    1056    1412    +           0 1094.8  17.9  -
Sneathiellaceae                  -          LKAP-Gut2_D10_074.seq -               30    1079       6    1056       2    1056    1427    +           0 1086.7  18.3  -
Parvularculaceae                 -          LKAP-Gut2_D10_074.seq -               45    1083       6    1056       1    1056    1429    +           0 1082.4  17.9  -
Unclassified_Rhizobiales         -          LKAP-Gut2_D10_074.seq -               35    1072       6    1056       2    1056    1437    +           0 1079.7  17.9  -
Beijerinckiaceae                 -          LKAP-Gut2_D10_074.seq -               38    1076       6    1056       2    1056    1421    +           0 1051.1  18.1  -
Brucellaceae                     -          LKAP-Gut2_D10_074.seq -               30    1066       6    1056       2    1056    1412    +           0 1047.9  17.9  -
Erythrobacteraceae               -          LKAP-Gut2_D10_074.seq -               32    1064      12    1056       3    1056    1433    +           0 1038.8  18.0  -
Aurantimonadaceae                -          LKAP-Gut2_D10_074.seq -               42    1075       6    1056       2    1056    1444    +           0 1036.2  17.8  -
Cohaesibacteraceae               -          LKAP-Gut2_D10_074.seq -               65    1083      30    1056       7    1056    1416    +           0 1032.5  18.4  -
Chelatococcaceae                 -          LKAP-Gut2_D10_074.seq -               36    1073       6    1055       2    1056    1439    +           0 1031.4  18.0  -
Unclassified_Thiotrichales       -          LKAP-Gut2_D10_074.seq -               46    1134       6    1056       2    1056    1517    +           0 1028.8  18.5  -
