# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Shewanellaceae            -          B1a1_reverse         -              416    1459    1076       9    1096       1    1483    -           0 1145.2  11.5  -
Vibrionaceae              -          B1a1_reverse         -              431    1466    1069       9    1089       3    1474    -           0 1035.0  11.3  -
Moritellaceae             -          B1a1_reverse         -              431    1477    1076       8    1096       1    1501    -           0 1033.7  11.5  -
Ferrimonadaceae           -          B1a1_reverse         -              424    1466    1076      10    1096       3    1475    -           0 1027.5  11.6  -
Alteromonadales           -          B1a1_reverse         -              417    1457    1073      10    1094       2    1468    -           0 1024.1  11.7  -
Gammaproteobacteria       -          B1a1_reverse         -              413    1456    1076       9    1096       1    1481    -           0 1022.1  11.8  -
Alteromonadaceae          -          B1a1_reverse         -              417    1455    1072       9    1093       1    1468    -    6.1e-308 1020.2  11.7  -
Pseudoalteromonadaceae    -          B1a1_reverse         -              414    1451    1072      11    1099       1    1469    -    2.9e-305 1011.4  11.4  -
Oceanospirillaceae        -          B1a1_reverse         -              417    1458    1074      10    1095       3    1467    -    4.1e-301  997.6  11.6  -
Colwelliaceae             -          B1a1_reverse         -              417    1456    1074      11    1094       3    1467    -      7e-301  997.0  11.5  -
Aeromonadaceae            -          B1a1_reverse         -              428    1470    1076      10    1096       1    1496    -    4.6e-299  990.7  11.7  -
Pectobacteriaceae         -          B1a1_reverse         -              411    1452    1076      11    1096       2    1477    -    6.3e-299  990.4  11.7  -
Yersiniaceae              -          B1a1_reverse         -              415    1455    1075      11    1096       2    1473    -    3.7e-297  984.5  11.3  -
Morganellaceae            -          B1a1_reverse         -              417    1457    1076      12    1096       2    1487    -    2.3e-296  982.1  11.6  -
Oceanospirillales         -          B1a1_reverse         -              421    1462    1073       9    1094       1    1489    -    6.8e-295  976.9  11.9  -
Chromatiaceae             -          B1a1_reverse         -              403    1445    1075      10    1096       2    1455    -    3.2e-294  974.9  11.9  -
Cellvibrionaceae          -          B1a1_reverse         -              412    1456    1076       9    1096       1    1472    -      7e-294  973.7  11.6  -
Erwiniaceae               -          B1a1_reverse         -              409    1449    1076      11    1096       2    1483    -    1.5e-293  972.7  11.6  -
Hahellaceae               -          B1a1_reverse         -              412    1453    1076      11    1096       1    1473    -    8.9e-293  970.1  11.7  -
Methylococcaceae          -          B1a1_reverse         -              420    1463    1076      10    1096       1    1481    -    3.1e-292  968.2  11.7  -
Enterobacteriaceae        -          B1a1_reverse         -              414    1453    1076      12    1096       3    1465    -    3.8e-292  968.0  11.5  -
Hafniaceae                -          B1a1_reverse         -              445    1433    1034      29    1073       8    1459    -    7.5e-292  966.9  11.0  -
Idiomarinaceae            -          B1a1_reverse         -              421    1457    1069      10    1092       3    1466    -    1.1e-291  966.2  11.4  -
Spongiibacteraceae        -          B1a1_reverse         -              411    1453    1076      10    1097       3    1462    -    1.6e-291  965.7  11.5  -
Alcanivoracaceae          -          B1a1_reverse         -              437    1475    1071       9    1092       1    1504    -      2e-291  965.5  11.7  -
Budviciaceae              -          B1a1_reverse         -              404    1430    1076      28    1096       8    1483    -    2.7e-290  961.8  11.3  -
Psychromonadaceae         -          B1a1_reverse         -              414    1459    1076       9    1096       3    1467    -      2e-288  955.7  11.5  -
Piscirickettsiaceae       -          B1a1_reverse         -              416    1456    1076      11    1096       3    1466    -    2.2e-286  948.8  11.7  -
Halomonadaceae            -          B1a1_reverse         -              457    1454    1021       9    1049       2    1466    -    2.3e-286  948.7  11.2  -
Pseudomonadaceae          -          B1a1_reverse         -              411    1459    1086      11    1107       2    1491    -    5.3e-286  947.6  11.5  -
Thiotrichaceae            -          B1a1_reverse         -              408    1411    1028      11    1050       3    1421    -    8.4e-285  943.6  11.0  -
Halieaceae                -          B1a1_reverse         -              416    1455    1074      11    1104       2    1484    -    1.3e-283  939.6  11.6  -
Thioalkalispiraceae       -          B1a1_reverse         -              434    1473    1073      11    1093       6    1479    -    3.3e-283  938.3  11.7  -
Ectothiorhodospiraceae    -          B1a1_reverse         -              417    1456    1076      14    1104       8    1463    -      1e-282  936.8  11.6  -
