# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Ferrimonadaceae                  -          LKAP-GutHK_F09_069   -               13    1002       7     989       1     993    1475    +           0 1066.7  22.1  -
Unclassified_Alteromonadales     -          LKAP-GutHK_F09_069   -               27     991      17     988       2     993    1467    +           0 1043.7  21.6  -
Aeromonadaceae                   -          LKAP-GutHK_F09_069   -               25    1004       7     987       2     992    1496    +           0 1033.0  21.8  -
Hafniaceae                       -          LKAP-GutHK_F09_069   -               17     984      12     987       2     992    1459    +           0 1027.9  21.8  -
Budviciaceae                     -          LKAP-GutHK_F09_069   -               57     980      64     987      42     992    1483    +    8.7e-303 1002.0  21.3  -
Colwelliaceae                    -          LKAP-GutHK_F09_069   -               27     989      17     987       2     993    1465    +    1.9e-302 1001.0  21.9  -
Idiomarinaceae                   -          LKAP-GutHK_F09_069   -               14     992       8     988       1     993    1466    +      1e-301  998.2  21.9  -
Moritellaceae                    -          LKAP-GutHK_F09_069   -               42    1007      17     987       2     993    1501    +    1.2e-299  991.5  21.7  -
Psychromonadaceae                -          LKAP-GutHK_F09_069   -               27     983      17     979       2     991    1467    +      4e-299  989.9  21.6  -
Thorselliaceae                   -          LKAP-GutHK_F09_069   -               39     958      67     986      46     991    1419    +    7.7e-295  975.6  21.2  -
Unclassified_Oceanospirillales   -          LKAP-GutHK_F09_069   -               18     992       7     990       2     993    1483    +    2.1e-293  970.8  22.1  -
Alcanivoracaceae                 -          LKAP-GutHK_F09_069   -               47    1012      17     990       2     993    1504    +    3.2e-287  950.3  22.1  -
Orbaceae                         -          LKAP-GutHK_F09_069   -               54    1013      17     987       2     991    1538    +    4.3e-285  943.3  22.2  -
Celerinatantimonadaceae          -          LKAP-GutHK_F09_069   -                8     999       7     989       2     993    1433    +    1.2e-284  942.0  22.2  -
Halieaceae                       -          LKAP-GutHK_F09_069   -               21     992       7     989       2     993    1484    +      3e-284  940.6  22.0  -
Thioalkalispiraceae              -          LKAP-GutHK_F09_069   -               40    1010      17     990       2     993    1478    +    5.1e-282  933.1  21.7  -
Succinivibrionaceae              -          LKAP-GutHK_F09_069   -               16     961       7     980       2     991    1474    +    8.5e-280  925.8  21.3  -
Litoricolaceae                   -          LKAP-GutHK_F09_069   -               34     997      16     988       2     993    1474    +    1.5e-279  925.1  22.1  -
Spongiibacteraceae               -          LKAP-GutHK_F09_069   -               58     990      58     990      35     993    1462    +    6.3e-279  922.8  21.3  -
Microbulbiferaceae               -          LKAP-GutHK_F09_069   -               13     985       7     989       2     993    1478    +      3e-278  920.9  21.6  -
Halothiobacillaceae              -          LKAP-GutHK_F09_069   -               44    1011      17     990       2     993    1501    +    1.1e-277  918.8  21.8  -
Kangiellaceae                    -          LKAP-GutHK_F09_069   -               36    1004      17     989       2     993    1479    +    7.5e-275  909.4  21.5  -
Thermoleophilaceae               -          LKAP-GutHK_F09_069   -               20     976      17     974       2     989    1486    +    9.1e-275  909.1  20.8  -
Saccharospirillaceae             -          LKAP-GutHK_F09_069   -               59     986      57     990      33     993    1468    +    1.8e-274  908.2  21.6  -
Nevskiaceae                      -          LKAP-GutHK_F09_069   -               64     984      66     987      44     991    1470    +    3.9e-268  887.6  21.4  -
Coxiellaceae                     -          LKAP-GutHK_F09_069   -               27     995      17     986       1     991    1473    +    2.3e-266  881.4  22.1  -
Cardiobacteriaceae               -          LKAP-GutHK_F09_069   -               35     994      17     989       2     993    1462    +    9.6e-266  879.5  21.6  -
Arenicellaceae                   -          LKAP-GutHK_F09_069   -               62     983      66     986      44     990    1488    +    6.5e-265  876.6  21.2  -
Unclassified_Thiotrichales       -          LKAP-GutHK_F09_069   -               92     999      69     978      47     990    1517    +    1.4e-260  862.1  20.7  -
Granulosicoccaceae               -          LKAP-GutHK_F09_069   -               27     990      17     986       2     993    1471    +    3.6e-259  857.6  21.6  -
Acidiferrobacteraceae            -          LKAP-GutHK_F09_069   -               61     982      67     988      46     992    1456    +    1.6e-257  852.1  21.4  -
Salinisphaeraceae                -          LKAP-GutHK_F09_069   -               15     980      16     990       3     993    1432    +    2.3e-256  848.3  21.8  -
Sulfuricellaceae                 -          LKAP-GutHK_F09_069   -               28     992      18     992       6     993    1462    +    4.7e-251  830.7  21.9  -
Hydrogenophilaceae               -          LKAP-GutHK_F09_069   -               28     986      18     987       2     993    1462    +    1.3e-250  829.4  21.9  -
Geobacteraceae                   -          LKAP-GutHK_F09_069   -               39    1006      21     981       3     991    1485    +    6.7e-249  823.4  21.0  -
Acidithiobacillaceae             -          LKAP-GutHK_F09_069   -               26     981      17     987       1     991    1457    +    4.3e-248  820.7  21.5  -
Sutterellaceae                   -          LKAP-GutHK_F09_069   -               62     981      61     980      38     991    1487    +    8.5e-248  819.6  21.0  -
Francisellaceae                  -          LKAP-GutHK_F09_069   -               39     991      19     987       2     993    1509    +    1.7e-247  818.9  21.0  -
Methylophilaceae                 -          LKAP-GutHK_F09_069   -               41     971      58     987      34     992    1430    +    1.8e-247  818.7  20.4  -
Unclassified_Deltaproteobacteria -          LKAP-GutHK_F09_069   -               44    1026      18     989       4     992    1518    +    1.4e-245  812.6  21.3  -
Thermithiobacillaceae            -          LKAP-GutHK_F09_069   -               12     969      17     987      10     990    1419    +    1.9e-245  812.1  21.6  -
Desulfobulbaceae                 -          LKAP-GutHK_F09_069   -               62     996      65     979      42     990    1482    +    2.8e-244  808.1  20.7  -
Syntrophaceae                    -          LKAP-GutHK_F09_069   -               80    1013      65     978      44     991    1556    +    7.1e-244  806.8  20.7  -
Methylothermaceae                -          LKAP-GutHK_F09_069   -               48    1010      17     986       2     989    1491    +      3e-242  801.4  21.6  -
Nitrosomonadaceae                -          LKAP-GutHK_F09_069   -               29     981      19     979       3     991    1463    +    3.7e-242  801.3  21.2  -
Desulfohalobiaceae               -          LKAP-GutHK_F09_069   -               31    1016      17     986       3     992    1510    +    1.3e-241  799.3  21.6  -
Desulfuromonadaceae              -          LKAP-GutHK_F09_069   -               46    1007      18     971       3     989    1519    +    1.9e-241  798.8  20.8  -
Unclassified_Alphaproteobacteria -          LKAP-GutHK_F09_069   -               55     922      68     974      44     992    1412    +    3.2e-240  795.0  19.8  -
Hyphomonadaceae                  -          LKAP-GutHK_F09_069   -               27     936      17     989       2     992    1399    +      9e-240  793.5  20.1  -
Bdellovibrionaceae               -          LKAP-GutHK_F09_069   -               24     961      18     987       8     992    1430    +    1.5e-238  789.2  19.9  -
Wenzhouxiangellaceae             -          LKAP-GutHK_F09_069   -               70     997      67     989      46     993    1472    +    1.9e-238  788.7  20.9  -
Thiobacilliaceae                 -          LKAP-GutHK_F09_069   -               78    1005      62     988      24     992    1517    +    2.3e-238  788.6  21.4  -
Zoogloeaceae                     -          LKAP-GutHK_F09_069   -               34     996      17     991       1     993    1474    +    4.1e-237  784.4  22.0  -
Azonexaceae                      -          LKAP-GutHK_F09_069   -               29     989      18     987       2     993    1474    +    1.4e-236  782.8  21.8  -
Unclassified_Rhizobiales         -          LKAP-GutHK_F09_069   -               60     945      65     988      29     993    1437    +      7e-236  780.5  19.8  -
Erythrobacteraceae               -          LKAP-GutHK_F09_069   -               42     921      43     974      22     991    1433    +    6.6e-235  777.2  18.9  -
Sneathiellaceae                  -          LKAP-GutHK_F09_069   -               18     948       7     986       2     992    1427    +    6.7e-235  777.2  20.0  -
Anaplasmataceae                  -          LKAP-GutHK_F09_069   -               38     945      17     970       2     988    1438    +    6.6e-233  770.7  19.3  -
Aurantimonadaceae                -          LKAP-GutHK_F09_069   -               68     951      67     989      45     993    1444    +    1.5e-228  756.3  19.7  -
Unclassified_Acidobacteria       -          LKAP-GutHK_F09_069   -               48    1022      18     987       5     992    1505    +    1.6e-228  756.4  21.3  -
Holophagaceae                    -          LKAP-GutHK_F09_069   -               77    1007      74     987      54     991    1502    +    2.3e-228  755.6  20.9  -
Nautiliaceae                     -          LKAP-GutHK_F09_069   -               27     958      17     988       2     992    1428    +    6.1e-228  754.3  21.4  -
Desulfomicrobiaceae              -          LKAP-GutHK_F09_069   -               53    1005      39     987      12     991    1495    +    9.9e-228  753.3  21.0  -
Kordiimonadaceae                 -          LKAP-GutHK_F09_069   -               27     946      17     988       2     992    1423    +    7.3e-227  750.6  19.5  -
Deferribacteraceae               -          LKAP-GutHK_F09_069   -               35    1000      18     987       4     993    1514    +    2.2e-226  748.7  21.4  -
Brucellaceae                     -          LKAP-GutHK_F09_069   -               57     919      69     970      47     990    1412    +    4.1e-226  748.3  19.3  -
Beijerinckiaceae                 -          LKAP-GutHK_F09_069   -               67     949      69     989      47     992    1421    +    5.2e-226  747.7  19.8  -
Desulfarculaceae                 -          LKAP-GutHK_F09_069   -               36    1004      21     973       2     989    1516    +    1.8e-225  745.9  20.4  -
Caulobacteraceae                 -          LKAP-GutHK_F09_069   -               28     931      18     986       2     992    1418    +    5.1e-225  744.4  19.3  -
Kiloniellaceae                   -          LKAP-GutHK_F09_069   -               63     962      40     986      11     992    1450    +    2.4e-223  738.7  19.8  -
Halobacteriovoracaceae           -          LKAP-GutHK_F09_069   -               37     996      31     979       7     989    1480    +      3e-221  731.7  20.5  -
Bacteriovoracaceae               -          LKAP-GutHK_F09_069   -               62     990      68     978      47     992    1473    +      4e-219  724.7  20.5  -
Heliobacteriaceae                -          LKAP-GutHK_F09_069   -               44     990      17     989       1     993    1502    +    1.2e-218  723.3  21.6  -
Leptospiraceae                   -          LKAP-GutHK_F09_069   -               18     962      34     986      20     990    1433    +    5.8e-218  720.9  20.4  -
Haliangiaceae                    -          LKAP-GutHK_F09_069   -               44     989      18     955       6     976    1507    +    2.8e-217  718.8  21.8  -
Rubrobacteraceae                 -          LKAP-GutHK_F09_069   -               33     976      27     969       7     989    1494    +    3.8e-217  718.3  21.3  -
Parvularculaceae                 -          LKAP-GutHK_F09_069   -               73     953      68     986      25     992    1429    +      7e-217  717.8  19.4  -
Aerococcaceae                    -          LKAP-GutHK_F09_069   -               27     991      17     974       2     991    1474    +    1.3e-216  716.5  21.0  -
Patulibacteraceae                -          LKAP-GutHK_F09_069   -               82     980      65     966      42     980    1494    +    9.5e-216  713.4  20.1  -
Bartonellaceae                   -          LKAP-GutHK_F09_069   -               53     918      67     971      30     987    1410    +    2.1e-215  712.6  19.7  -
Halanaerobiaceae                 -          LKAP-GutHK_F09_069   -               38    1011      17     974       5     988    1506    +    5.4e-215  711.0  21.2  -
Desulfonatronaceae               -          LKAP-GutHK_F09_069   -               28     999      18     986       3     990    1495    +    1.4e-214  709.7  21.4  -
Chelatococcaceae                 -          LKAP-GutHK_F09_069   -               24     923       7     966       2     986    1439    +    1.8e-214  709.7  19.7  -
Cystobacteraceae                 -          LKAP-GutHK_F09_069   -               59     998      67     987      46     991    1491    +    3.9e-214  708.2  20.9  -
Cohaesibacteraceae               -          LKAP-GutHK_F09_069   -               75     936      70     970      48     989    1416    +    1.2e-213  706.8  18.9  -
Polyangiaceae                    -          LKAP-GutHK_F09_069   -               61     998      58     965      35     984    1550    +    2.2e-213  705.8  21.0  -
Rhodothermaceae                  -          LKAP-GutHK_F09_069   -               49     959      45     965      21     987    1457    +    2.7e-213  705.5  19.8  -
Myxococcaceae                    -          LKAP-GutHK_F09_069   -               75    1014      67     987      47     991    1517    +    3.7e-213  704.9  21.0  -
Spirillaceae                     -          LKAP-GutHK_F09_069   -               43    1009      17     987       1     991    1447    +    4.6e-213  705.0  21.1  -
Sporolactobacillaceae            -          LKAP-GutHK_F09_069   -               27     984      17     973       3     992    1503    +    4.8e-212  701.3  20.9  -
Salinibacteraceae                -          LKAP-GutHK_F09_069   -               93     993      67     969      46     989    1497    +    5.9e-212  701.1  20.8  -
Acidimicrobiaceae                -          LKAP-GutHK_F09_069   -               85     990      65     988      23     993    1463    +    4.8e-211  698.2  21.0  -
Rickettsiaceae                   -          LKAP-GutHK_F09_069   -               28     925      18     966       5     986    1430    +    1.1e-210  697.0  18.7  -
Oscillatoriales                  -          LKAP-GutHK_F09_069   -               55     928      70     978      48     990    1445    +    1.3e-210  696.8  19.9  -
Solirubrobacteraceae             -          LKAP-GutHK_F09_069   -               14     958      24     966      13     986    1443    +    2.8e-210  695.4  20.6  -
Nitrospiraceae                   -          LKAP-GutHK_F09_069   -               33     958      17     969       4     981    1480    +    1.1e-209  693.6  20.0  -
Thermolithobacteraceae           -          LKAP-GutHK_F09_069   -               95    1016      70     967      49     987    1546    +    1.3e-209  693.1  20.8  -
Listeriaceae                     -          LKAP-GutHK_F09_069   -               15     984      18     983       7     991    1448    +    5.3e-209  691.4  20.5  -
Unclassified_Calditrichaeota     -          LKAP-GutHK_F09_069   -               35    1007      18     986       4     992    1483    +    1.2e-207  687.0  21.7  -
Conexibacteraceae                -          LKAP-GutHK_F09_069   -               45     995      19     966       3     986    1536    +    1.6e-207  686.1  20.5  -
Nakamurellaceae                  -          LKAP-GutHK_F09_069   -               28     969      18     989       4     992    1462    +    4.6e-207  684.8  21.7  -
Puniceicoccaceae                 -          LKAP-GutHK_F09_069   -               37     999      17     981       2     992    1485    +    1.2e-206  683.4  21.1  -
Parviterribacteraceae            -          LKAP-GutHK_F09_069   -               31     960      25     966       5     983    1456    +    1.5e-206  683.1  20.3  -
Nannocystaceae                   -          LKAP-GutHK_F09_069   -               70     966      65     955      22     976    1487    +    8.6e-206  680.7  21.0  -
