# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Pseudomonadaceae          -          B1b2_2_forward       -              475    1448    1008      26    1031       7    1491    -           0 1113.8   7.8  -
Cellvibrionaceae          -          B1b2_2_forward       -              463    1429    1014      40    1047      19    1472    -           0 1064.8   7.6  -
Oceanospirillaceae        -          B1b2_2_forward       -              472    1427    1008      44    1035      24    1467    -           0 1045.9   7.7  -
Gammaproteobacteria       -          B1b2_2_forward       -              468    1426    1010      43    1034      23    1481    -           0 1034.0   7.8  -
Alteromonadaceae          -          B1b2_2_forward       -              468    1424    1010      44    1035      24    1468    -           0 1030.0   7.9  -
Oceanospirillales         -          B1b2_2_forward       -              469    1431    1014      44    1036      23    1489    -           0 1027.2   7.8  -
Alcanivoracaceae          -          B1b2_2_forward       -              487    1445    1010      43    1034      23    1504    -           0 1025.4   7.6  -
Hahellaceae               -          B1b2_2_forward       -              462    1441    1015      27    1047       7    1473    -           0 1024.1   7.7  -
Microbulbiferaceae        -          B1b2_2_forward       -              463    1422    1009      41    1033      20    1480    -    1.5e-305 1012.6   7.8  -
Spongiibacteraceae        -          B1b2_2_forward       -              434    1423    1048      44    1069      23    1462    -      2e-305 1011.9   7.4  -
Thermoleophilaceae        -          B1b2_2_forward       -              472    1439    1006      42    1030      22    1494    -    1.4e-303 1005.9   7.6  -
Alteromonadales           -          B1b2_2_forward       -              439    1427    1046      44    1066      24    1468    -    1.6e-303 1005.4   7.3  -
Thioalkalispiraceae       -          B1b2_2_forward       -              487    1445    1008      42    1030      22    1479    -    5.4e-303 1003.9   7.8  -
Thiotrichaceae            -          B1b2_2_forward       -              424    1386    1010      40    1030      19    1421    -    7.4e-302 1000.1   7.7  -
Methylococcaceae          -          B1b2_2_forward       -              475    1433    1010      44    1033      23    1481    -    6.5e-301  997.0   8.0  -
Chromatiaceae             -          B1b2_2_forward       -              457    1415    1010      44    1034      24    1455    -    1.8e-300  995.7   7.7  -
Piscirickettsiaceae       -          B1b2_2_forward       -              471    1427    1010      44    1035      23    1466    -      4e-299  991.0   7.8  -
Litoricolaceae            -          B1b2_2_forward       -              470    1431    1015      44    1059      24    1474    -    1.5e-297  986.1   7.3  -
Moraxellaceae             -          B1b2_2_forward       -              459    1419    1011      42    1035      21    1468    -    2.1e-296  982.3   7.7  -
Halieaceae                -          B1b2_2_forward       -              473    1427    1006      43    1030      22    1484    -      2e-295  978.8   7.9  -
Ectothiorhodospiraceae    -          B1b2_2_forward       -              475    1431    1008      45    1030      24    1463    -    3.7e-295  978.1   7.9  -
Halomonadaceae            -          B1b2_2_forward       -              479    1424     997      44    1028      23    1466    -    8.3e-295  976.7   8.0  -
Kangiellaceae             -          B1b2_2_forward       -              482    1434    1008      46    1030      25    1479    -    1.6e-294  975.8   7.8  -
Halothiobacillaceae       -          B1b2_2_forward       -              490    1445    1006      43    1026      22    1500    -    3.8e-294  974.7   7.5  -
Saccharospirillaceae      -          B1b2_2_forward       -              464    1405    1008      58    1030      35    1468    -    1.8e-293  972.4   7.9  -
Lysobacteraceae           -          B1b2_2_forward       -              474    1445    1006      28    1028       7    1484    -      8e-290  960.3   7.9  -
Colwelliaceae             -          B1b2_2_forward       -              440    1427    1046      44    1068      24    1467    -    3.1e-289  958.4   7.3  -
Nevskiaceae               -          B1b2_2_forward       -              463    1419    1010      45    1033      25    1470    -    3.8e-284  941.7   7.8  -
Granulosicoccaceae        -          B1b2_2_forward       -              471    1428    1008      44    1030      24    1471    -    1.2e-283  939.9   7.7  -
Idiomarinaceae            -          B1b2_2_forward       -              468    1427    1011      44    1050      24    1466    -    1.7e-283  939.1   7.5  -
Shewanellaceae            -          B1b2_2_forward       -              444    1428    1043      44    1067      24    1483    -    1.4e-282  936.3   7.4  -
Legionellaceae            -          B1b2_2_forward       -              454    1424    1027      44    1051      24    1446    -    3.7e-282  935.0   7.4  -
Cardiobacteriaceae        -          B1b2_2_forward       -              475    1417    1009      56    1030      34    1464    -    2.7e-280  929.0   7.9  -
Aeromonadaceae            -          B1b2_2_forward       -              450    1440    1049      44    1069      24    1496    -    3.4e-280  928.1   7.4  -
Pseudoalteromonadaceae    -          B1b2_2_forward       -              431    1422    1050      44    1071      24    1469    -    3.8e-280  928.1   7.3  -
Arenicellaceae            -          B1b2_2_forward       -              469    1419    1005      44    1026      24    1488    -    1.1e-279  926.9   7.8  -
Coxiellaceae              -          B1b2_2_forward       -              478    1433    1009      45    1034      25    1475    -    6.2e-279  924.2   7.9  -
Chromobacteriaceae        -          B1b2_2_forward       -              477    1418     993      44    1014      23    1460    -    6.8e-278  920.9   7.8  -
