# target name                    accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Ferrimonadaceae                  -          LKAP.g-Gut1_B01_013.seq -               26    1104       5    1086       2    1087    1475    +           0 1160.5  20.0  -
Unclassified_Alteromonadales     -          LKAP.g-Gut1_B01_013.seq -               33    1095      12    1087       4    1087    1467    +           0 1148.2  19.5  -
Hafniaceae                       -          LKAP.g-Gut1_B01_013.seq -               20    1089       5    1087       2    1087    1459    +           0 1121.1  19.5  -
Aeromonadaceae                   -          LKAP.g-Gut1_B01_013.seq -               40    1109       8    1087       3    1087    1496    +           0 1116.2  19.6  -
Idiomarinaceae                   -          LKAP.g-Gut1_B01_013.seq -               27    1096       7    1087       3    1087    1466    +           0 1098.2  19.5  -
Budviciaceae                     -          LKAP.g-Gut1_B01_013.seq -               58    1085      56    1087      35    1087    1483    +           0 1092.6  19.2  -
Colwelliaceae                    -          LKAP.g-Gut1_B01_013.seq -               28    1094       8    1087       4    1087    1465    +           0 1085.2  19.6  -
Moritellaceae                    -          LKAP.g-Gut1_B01_013.seq -               42    1112       7    1087       4    1087    1501    +           0 1083.8  19.5  -
Thorselliaceae                   -          LKAP.g-Gut1_B01_013.seq -               38    1064      57    1087      33    1087    1419    +           0 1069.6  19.3  -
Psychromonadaceae                -          LKAP.g-Gut1_B01_013.seq -               28    1095       8    1087       4    1087    1467    +           0 1067.2  19.4  -
Unclassified_Oceanospirillales   -          LKAP.g-Gut1_B01_013.seq -               32    1094       7    1087       3    1087    1483    +           0 1065.9  19.8  -
Alcanivoracaceae                 -          LKAP.g-Gut1_B01_013.seq -               52    1114      11    1087       3    1087    1504    +           0 1051.1  19.7  -
Orbaceae                         -          LKAP.g-Gut1_B01_013.seq -               93    1118      58    1087      37    1087    1538    +           0 1034.6  19.2  -
Thioalkalispiraceae              -          LKAP.g-Gut1_B01_013.seq -               42    1112       9    1087       3    1087    1478    +           0 1027.5  19.5  -
Halieaceae                       -          LKAP.g-Gut1_B01_013.seq -               36    1095       8    1087       4    1087    1484    +           0 1025.8  19.9  -
Microbulbiferaceae               -          LKAP.g-Gut1_B01_013.seq -               29    1088       9    1087       3    1087    1478    +    3.9e-306 1013.4  19.8  -
Celerinatantimonadaceae          -          LKAP.g-Gut1_B01_013.seq -               24    1102       9    1087       4    1087    1433    +    7.9e-306 1012.3  19.6  -
Saccharospirillaceae             -          LKAP.g-Gut1_B01_013.seq -               65    1088      54    1087      34    1087    1468    +    9.5e-306 1011.9  19.5  -
