# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae             -          LKAP-TSAKG2_A05_047_2018_2 -               25     994      20     987      12     987    1468    +           0 1138.0  18.8  -
Oceanospirillaceae        -          LKAP-TSAKG2_A05_047_2018_2 -               28    1004      20     987      11     987    1467    +           0 1032.1  18.6  -
Gammaproteobacteria       -          LKAP-TSAKG2_A05_047_2018_2 -               28    1002      20     987      11     987    1481    +           0 1028.5  18.5  -
Alteromonadaceae          -          LKAP-TSAKG2_A05_047_2018_2 -               28    1002      20     987      11     987    1468    +           0 1021.6  18.6  -
Oceanospirillales         -          LKAP-TSAKG2_A05_047_2018_2 -               35    1008      21     987      13     987    1489    +    1.8e-306 1015.1  18.6  -
Hahellaceae               -          LKAP-TSAKG2_A05_047_2018_2 -               28    1001      20     987      11     987    1473    +    1.3e-304 1009.1  18.5  -
Halomonadaceae            -          LKAP-TSAKG2_A05_047_2018_2 -               28    1002      20     987      10     987    1466    +    2.8e-304 1007.9  18.5  -
Cellvibrionaceae          -          LKAP-TSAKG2_A05_047_2018_2 -               28    1002      20     987      11     987    1472    +    2.9e-300  994.7  18.6  -
Methylococcaceae          -          LKAP-TSAKG2_A05_047_2018_2 -               42    1010      20     987      14     987    1481    +    6.7e-300  993.4  18.6  -
Kangiellaceae             -          LKAP-TSAKG2_A05_047_2018_2 -               37    1015      20     987      14     987    1479    +    1.7e-298  988.8  18.6  -
Alcanivoracaceae          -          LKAP-TSAKG2_A05_047_2018_2 -               48    1022      20     987      11     987    1504    +    9.6e-298  986.2  18.7  -
Pseudomonadaceae          -          LKAP-TSAKG2_A05_047_2018_2 -               35    1007      20     987      11     987    1491    +      2e-297  985.2  18.2  -
Piscirickettsiaceae       -          LKAP-TSAKG2_A05_047_2018_2 -               31    1006      21     987      14     987    1466    +    4.1e-296  980.8  18.5  -
Chromatiaceae             -          LKAP-TSAKG2_A05_047_2018_2 -               28     992      20     987      12     987    1455    +    6.3e-296  980.3  18.6  -
Ectothiorhodospiraceae    -          LKAP-TSAKG2_A05_047_2018_2 -               35    1009      20     987      12     987    1463    +    6.4e-295  977.1  18.7  -
Spongiibacteraceae        -          LKAP-TSAKG2_A05_047_2018_2 -               31    1000      20     987      10     987    1462    +    1.9e-292  968.6  18.5  -
Thiotrichaceae            -          LKAP-TSAKG2_A05_047_2018_2 -               28     959      20     987      13     987    1421    +    2.8e-292  968.1  19.4  -
Thioalkalispiraceae       -          LKAP-TSAKG2_A05_047_2018_2 -               40    1021      20     987      14     987    1479    +    3.7e-292  967.7  18.4  -
