# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae             -          A1d2_reverse         -              496    1437     960      20     960       6    1468    -           0 1037.6   5.1  -
Gammaproteobacteria       -          A1d2_reverse         -              504    1422     960      41     960      20    1481    -      3e-276  914.9   5.5  -
Thiotrichaceae            -          A1d2_reverse         -              460    1376     960      44     960      21    1421    -    1.2e-271  899.8   5.6  -
Oceanospirillaceae        -          A1d2_reverse         -              506    1445     960      23     960      10    1467    -    4.2e-271  897.9   5.3  -
Pseudomonadaceae          -          A1d2_reverse         -              509    1423     960      45     960      24    1491    -    1.8e-270  895.8   5.7  -
Alteromonadaceae          -          A1d2_reverse         -              504    1441     960      23     960       9    1468    -    2.1e-270  895.6   5.4  -
Methylococcaceae          -          A1d2_reverse         -              511    1426     960      45     960      31    1481    -    6.2e-268  887.4   5.9  -
Chromatiaceae             -          A1d2_reverse         -              493    1410     960      43     960      22    1455    -    8.9e-268  887.0   5.7  -
Cellvibrionaceae          -          A1d2_reverse         -              503    1420     960      43     960      22    1472    -    2.6e-267  885.4   5.6  -
Halieaceae                -          A1d2_reverse         -              505    1443     960      23     960      10    1484    -      7e-264  874.0   5.3  -
Oceanospirillales         -          A1d2_reverse         -              509    1448     960      23     960      12    1489    -    1.9e-263  872.4   5.4  -
Hahellaceae               -          A1d2_reverse         -              503    1442     960      22     960       7    1473    -    5.1e-263  871.2   5.3  -
Spongiibacteraceae        -          A1d2_reverse         -              502    1442     960      21     960       7    1462    -    1.2e-262  869.8   5.3  -
Alteromonadales           -          A1d2_reverse         -              505    1420     960      45     960      25    1468    -    2.2e-262  868.7   5.7  -
Halomonadaceae            -          A1d2_reverse         -              504    1443     960      20     960       5    1466    -    2.8e-262  868.7   5.1  -
Piscirickettsiaceae       -          A1d2_reverse         -              507    1423     960      42     960      21    1466    -    6.7e-262  867.4   5.5  -
Alcanivoracaceae          -          A1d2_reverse         -              528    1463     954      21     960       6    1504    -    1.1e-261  866.6   5.2  -
Kangiellaceae             -          A1d2_reverse         -              516    1434     960      40     960      20    1479    -    3.2e-260  861.9   5.3  -
Pseudoalteromonadaceae    -          A1d2_reverse         -              501    1439     960      23     960       7    1469    -    7.1e-259  857.4   5.4  -
Thioalkalispiraceae       -          A1d2_reverse         -              521    1438     960      43     960      22    1479    -    2.9e-258  855.3   5.6  -
Ectothiorhodospiraceae    -          A1d2_reverse         -              509    1450     960      20     960       9    1463    -    1.1e-257  853.7   5.1  -
Aeromonadaceae            -          A1d2_reverse         -              519    1436     960      42     960      21    1496    -    3.5e-257  851.6   5.6  -
Halothiobacillaceae       -          A1d2_reverse         -              522    1438     960      44     960      22    1500    -      8e-257  850.7   5.5  -
Shewanellaceae            -          A1d2_reverse         -              509    1447     958      21     960       7    1483    -    3.7e-256  848.4   5.3  -
Microbulbiferaceae        -          A1d2_reverse         -              498    1413     960      44     960      23    1480    -    6.3e-255  844.5   5.6  -
Nevskiaceae               -          A1d2_reverse         -              499    1413     960      45     960      25    1470    -      1e-254  843.9   5.5  -
Chromobacteriaceae        -          A1d2_reverse         -              500    1411     958      45     960      23    1460    -    3.6e-253  838.7   5.5  -
Lysobacteraceae           -          A1d2_reverse         -              507    1422     959      45     960      25    1484    -    4.8e-252  834.8   5.8  -
Legionellaceae            -          A1d2_reverse         -              502    1420     960      42     960      21    1446    -    1.3e-251  833.5   5.6  -
Granulosicoccaceae        -          A1d2_reverse         -              505    1444     960      24     960      16    1471    -    8.4e-251  830.8   5.5  -
Vibrionaceae              -          A1d2_reverse         -              515    1452     960      23     960       8    1474    -    2.2e-250  829.2   5.3  -
Succinivibrionaceae       -          A1d2_reverse         -              485    1397     960      44     960      22    1473    -    1.9e-249  826.2   5.5  -
Ferrimonadaceae           -          A1d2_reverse         -              516    1452     959      24     960      11    1475    -    1.1e-248  823.4   5.3  -
Litoricolaceae            -          A1d2_reverse         -              512    1427     959      42     960      22    1474    -    3.4e-248  822.2   5.5  -
Rhodanobacteraceae        -          A1d2_reverse         -              508    1422     958      45     960      34    1473    -    7.1e-248  821.1   6.0  -
Saccharospirillaceae      -          A1d2_reverse         -              498    1412     960      45     960      22    1468    -    2.7e-247  819.1   5.6  -
Arenicellaceae            -          A1d2_reverse         -              500    1413     960      44     960      22    1488    -    3.3e-247  818.9   5.6  -
Colwelliaceae             -          A1d2_reverse         -              511    1413     954      52     960      32    1467    -    3.6e-247  818.7   6.1  -
Acidiferrobacteraceae     -          A1d2_reverse         -              495    1408     960      45     960      34    1454    -    1.1e-246  817.1   5.6  -
Idiomarinaceae            -          A1d2_reverse         -              505    1447     960      20     960       6    1466    -    3.2e-246  815.3   5.2  -
Cardiobacteriaceae        -          A1d2_reverse         -              510    1447     960      20     960       9    1464    -    5.2e-246  815.1   5.1  -
Moritellaceae             -          A1d2_reverse         -              522    1435     960      46     960      25    1501    -    9.1e-246  813.9   5.7  -
Desulfobacteraceae        -          A1d2_reverse         -              538    1444     958      52     960      33    1516    -    1.6e-245  813.3   5.7  -
Enterobacteriaceae        -          A1d2_reverse         -              505    1410     960      50     960      30    1465    -    2.1e-245  812.8   6.0  -
Neisseriaceae             -          A1d2_reverse         -              527    1454     951      24     960      11    1477    -    2.5e-245  812.6   5.1  -
Coxiellaceae              -          A1d2_reverse         -              513    1425     960      47     960      25    1475    -    5.2e-245  811.5   5.8  -
Thermoleophilaceae        -          A1d2_reverse         -              504    1430     960      45     960      34    1494    -    9.3e-244  807.3   5.9  -
Desulfobulbaceae          -          A1d2_reverse         -              519    1429     960      55     960      34    1483    -    4.5e-242  801.7   5.7  -
Erwiniaceae               -          A1d2_reverse         -              500    1405     960      50     960      30    1483    -    8.2e-242  800.9   6.0  -
Acidithiobacillaceae      -          A1d2_reverse         -              501    1414     954      42     960      21    1457    -    1.6e-241  799.8   5.6  -
Hafniaceae                -          A1d2_reverse         -              499    1405     960      50     960      34    1459    -    1.3e-240  796.8   6.1  -
Pasteurellaceae           -          A1d2_reverse         -              509    1419     959      46     960      43    1422    -    1.5e-240  796.7   6.1  -
Psychromonadaceae         -          A1d2_reverse         -              505    1409     960      55     960      35    1467    -    1.1e-239  793.9   5.7  -
Celerinatantimonadaceae   -          A1d2_reverse         -              510    1426     960      45     960      38    1433    -    1.8e-239  793.2   6.1  -
Yersiniaceae              -          A1d2_reverse         -              505    1411     960      50     960      30    1473    -    1.9e-239  793.0   6.0  -
Rhodocyclaceae            -          A1d2_reverse         -              508    1417     952      44     960      22    1484    -      3e-239  792.4   5.5  -
Clostridiales             -          A1d2_reverse         -              509    1405     951      55     960      35    1470    -    6.1e-238  788.1   5.7  -
Pectobacteriaceae         -          A1d2_reverse         -              502    1408     960      50     960      30    1477    -    6.3e-238  787.9   6.0  -
Deltaproteobacteria       -          A1d2_reverse         -              537    1445     959      53     960      36    1514    -    4.9e-237  785.2   5.7  -
Morganellaceae            -          A1d2_reverse         -              508    1412     960      52     960      32    1487    -    6.3e-237  784.8   6.0  -
Desulfohalobiaceae        -          A1d2_reverse         -              531    1433     960      59     960      39    1509    -    6.2e-236  781.4   5.8  -
Thiotrichales             -          A1d2_reverse         -              522    1460     959      23     960      12    1519    -    1.4e-235  780.0   5.1  -
Syntrophaceae             -          A1d2_reverse         -              537    1441     958      54     960      35    1551    -    4.4e-235  778.6   5.6  -
Alcaligenaceae            -          A1d2_reverse         -              509    1412     952      43     960      22    1467    -    6.3e-235  778.2   5.5  -
Rhodospirillaceae         -          A1d2_reverse         -              453    1360     960      54     960      34    1429    -    3.9e-234  775.6   5.9  -
Eubacteriaceae            -          A1d2_reverse         -              509    1410     959      55     960      35    1485    -    4.3e-234  775.3   5.9  -
Wenzhouxiangellaceae      -          A1d2_reverse         -              508    1424     960      45     960      25    1472    -    5.5e-234  774.8   5.5  -
Burkholderiaceae          -          A1d2_reverse         -              506    1433     952      21     960       5    1482    -    6.2e-234  774.9   5.1  -
Orbaceae                  -          A1d2_reverse         -              529    1442     960      45     960      23    1539    -      1e-233  774.0   5.8  -
Desulfovibrionaceae       -          A1d2_reverse         -              529    1433     960      56     960      36    1527    -    1.4e-233  773.7   5.8  -
Clostridiaceae            -          A1d2_reverse         -              494    1402     959      55     960      35    1485    -    4.1e-233  772.0   5.8  -
