# target name                                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Pseudomonadaceae_Pseudomonas                     -          B2c_reverse          -              487    1448     990      24    1011      11    1502    -           0 1113.4   9.2  -
Pseudomonadaceae_Azomonas                        -          B2c_reverse          -              465    1425     990      25    1022      11    1453    -           0 1096.2   9.2  -
Pseudomonadaceae_Azotobacter                     -          B2c_reverse          -              484    1443     990      25    1011      13    1473    -           0 1084.6   9.5  -
Alteromonadaceae_Marinobacterium                 -          B2c_reverse          -              431    1443    1051      25    1068      11    1465    -    3.3e-305 1013.9   8.4  -
Microbulbiferaceae_Microbulbifer                 -          B2c_reverse          -              476    1423     990      38    1011      17    1480    -    1.6e-304 1011.8   9.8  -
Cellvibrionaceae_Cellvibrio                      -          B2c_reverse          -              486    1458    1002      23    1022      11    1505    -    3.9e-303 1007.1   9.0  -
Thermoleophilaceae_Thermoleophilum               -          B2c_reverse          -              482    1450     990      32    1010      21    1494    -    1.3e-302 1005.2   9.8  -
Alteromonadaceae_Marinobacter                    -          B2c_reverse          -              481    1428     990      38    1010      21    1478    -    8.5e-301  999.2  10.1  -
Cellvibrionaceae_Gilvimarinus                    -          B2c_reverse          -              472    1418     990      39    1011      19    1445    -      2e-300  997.9   9.8  -
Alcanivoracaceae_Alcanivorax                     -          B2c_reverse          -              501    1448     990      39    1010      18    1505    -    1.5e-297  988.4   9.7  -
Cellvibrionaceae_Pseudomaricurvus                -          B2c_reverse          -              418    1433    1055      26    1069      13    1490    -    1.2e-296  985.4   8.5  -
Cellvibrionaceae_Marinimicrobium                 -          B2c_reverse          -              474    1423     990      37    1010      19    1455    -    4.2e-296  983.6  10.0  -
Hahellaceae_Endozoicomonas                       -          B2c_reverse          -              454    1453    1049      37    1069      16    1524    -    7.4e-296  982.9   8.6  -
Cellvibrionaceae_Simiduia                        -          B2c_reverse          -              481    1440     990      26    1011      13    1463    -    3.1e-295  980.8   9.4  -
Oceanospirillaceae_Neptunomonas                  -          B2c_reverse          -              432    1433    1050      36    1068      17    1484    -    2.2e-294  977.9   8.6  -
Oceanospirillaceae_Neptuniibacter                -          B2c_reverse          -              453    1454    1054      39    1071      19    1541    -    4.3e-293  973.5   8.7  -
Cellvibrionaceae_Eionea                          -          B2c_reverse          -              423    1425    1054      39    1074      19    1469    -    4.6e-293  973.6   8.8  -
