# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae_Psychrobacter                      -          LKAP-TSAKG2_A11_095_2018_2 -               12     919       7     912       2     912    1491    +           0 1158.4  21.1  -
Moraxellaceae_Moraxella                          -          LKAP-TSAKG2_A11_095_2018_2 -                6     905       9     912       4     912    1446    +           0 1032.0  21.1  -
Alteromonadaceae_Marinobacterium                 -          LKAP-TSAKG2_A11_095_2018_2 -               14     923       9     912       3     912    1465    +    9.4e-285  945.7  21.0  -
Halomonadaceae_Halomonas                         -          LKAP-TSAKG2_A11_095_2018_2 -               16     922      11     912       2     912    1463    +    1.7e-282  938.2  20.9  -
Alteromonadaceae_Marinobacter                    -          LKAP-TSAKG2_A11_095_2018_2 -               13     921       8     912       3     912    1478    +    2.5e-282  937.7  21.1  -
Pseudomonadaceae_Pseudomonas                     -          LKAP-TSAKG2_A11_095_2018_2 -               23     927      11     912       3     912    1502    +    1.1e-278  925.6  20.9  -
Moraxellaceae_Acinetobacter                      -          LKAP-TSAKG2_A11_095_2018_2 -                8     915       7     912       2     912    1463    +    1.9e-277  921.7  21.0  -
Halomonadaceae_Chromohalobacter                  -          LKAP-TSAKG2_A11_095_2018_2 -               17     921      12     912       4     912    1480    +    9.5e-277  919.3  20.8  -
Oceanospirillaceae_Marinomonas                   -          LKAP-TSAKG2_A11_095_2018_2 -               12     923       7     912       2     912    1467    +    1.7e-275  914.8  21.4  -
Alcanivoracaceae_Pseudohongiella                 -          LKAP-TSAKG2_A11_095_2018_2 -               12     921       7     912       2     912    1461    +    4.5e-273  907.0  21.1  -
Oceanospirillaceae_Amphritea                     -          LKAP-TSAKG2_A11_095_2018_2 -               14     921       9     912       3     912    1463    +    2.4e-272  904.6  21.0  -
Halomonadaceae_Cobetia                           -          LKAP-TSAKG2_A11_095_2018_2 -               23     933       6     912       2     912    1516    +    2.9e-272  904.3  21.1  -
Spongiibacteraceae_Sinobacterium                 -          LKAP-TSAKG2_A11_095_2018_2 -               32     943       7     912       2     912    1504    +    1.6e-271  901.8  21.1  -
Halomonadaceae_Salinicola                        -          LKAP-TSAKG2_A11_095_2018_2 -               15     921      10     912       2     912    1471    +    3.8e-271  900.6  20.9  -
Oceanospirillaceae_Marinospirillum               -          LKAP-TSAKG2_A11_095_2018_2 -               15     915      10     912       3     912    1451    +    1.1e-270  899.2  21.1  -
Microbulbiferaceae_Microbulbifer                 -          LKAP-TSAKG2_A11_095_2018_2 -               15     916      10     912       3     912    1480    +    1.5e-270  898.9  21.1  -
Methylococcaceae_Methylococcus                   -          LKAP-TSAKG2_A11_095_2018_2 -               29     928      12     912       4     912    1482    +    2.9e-270  897.7  21.0  -
Oceanospirillaceae_Reinekea                      -          LKAP-TSAKG2_A11_095_2018_2 -               23     925       8     912       3     912    1512    +      3e-269  894.3  21.3  -
Halomonadaceae_Kushneria                         -          LKAP-TSAKG2_A11_095_2018_2 -               18     925       9     912       3     912    1461    +    3.8e-269  893.9  20.9  -
Oceanospirillaceae_Neptunomonas                  -          LKAP-TSAKG2_A11_095_2018_2 -               14     923       9     912       3     912    1484    +    6.7e-269  893.2  21.0  -
Hahellaceae_Endozoicomonas                       -          LKAP-TSAKG2_A11_095_2018_2 -               35     944      10     912       3     912    1524    +    5.5e-268  890.2  20.9  -
Alcanivoracaceae_Alcanivorax                     -          LKAP-TSAKG2_A11_095_2018_2 -               37     942      12     912       3     912    1505    +    7.8e-268  889.5  20.9  -
Hahellaceae_Hahella                              -          LKAP-TSAKG2_A11_095_2018_2 -               41     947       9     912       3     912    1539    +    1.5e-267  888.7  21.2  -
Saccharospirillaceae_Saccharospirillum           -          LKAP-TSAKG2_A11_095_2018_2 -               17     916      11     912       2     912    1459    +    5.2e-267  887.0  21.1  -
Halomonadaceae_Larsenimonas                      -          LKAP-TSAKG2_A11_095_2018_2 -               34     942       8     912       3     912    1495    +    6.8e-267  886.5  21.1  -
Cellvibrionaceae_Simiduia                        -          LKAP-TSAKG2_A11_095_2018_2 -               14     921       9     912       3     912    1463    +    2.1e-266  884.9  21.1  -
Kangiellaceae_Kangiella                          -          LKAP-TSAKG2_A11_095_2018_2 -               25     934      12     912       4     912    1478    +      3e-266  884.4  20.8  -
Oceanospirillaceae_Oceanospirillum               -          LKAP-TSAKG2_A11_095_2018_2 -               15     922      10     912       3     912    1462    +    3.5e-265  881.0  21.0  -
Oceanospirillaceae_Nitrincola                    -          LKAP-TSAKG2_A11_095_2018_2 -               29     927      13     912       2     912    1477    +    8.9e-265  879.5  20.8  -
Methylococcaceae_Methylomicrobium                -          LKAP-TSAKG2_A11_095_2018_2 -               37     935      12     912       3     912    1467    +    2.7e-264  877.8  20.9  -
Methylococcaceae_Methylomonas                    -          LKAP-TSAKG2_A11_095_2018_2 -               36     933      12     912       4     912    1475    +    4.5e-264  877.2  20.8  -
Wenzhouxiangellaceae_Wenzhouxiangella            -          LKAP-TSAKG2_A11_095_2018_2 -               27     928      20     912       3     912    1472    +      3e-263  874.4  20.6  -
Methylococcaceae_Methylobacter                   -          LKAP-TSAKG2_A11_095_2018_2 -               37     935      12     912       4     912    1500    +    3.5e-263  874.1  20.9  -
Gammaproteobacteria_Thiohalomonas                -          LKAP-TSAKG2_A11_095_2018_2 -                9     918      11     912       4     912    1483    +    1.8e-262  871.7  20.8  -
Thiotrichaceae_Leucothrix                        -          LKAP-TSAKG2_A11_095_2018_2 -               10     914      10     912       2     912    1445    +    2.4e-262  871.2  20.9  -
Oceanospirillaceae_Thalassolituus                -          LKAP-TSAKG2_A11_095_2018_2 -               19     928       7     912       2     912    1476    +    7.6e-262  869.7  21.1  -
Halieaceae_Haliea                                -          LKAP-TSAKG2_A11_095_2018_2 -               35     937      10     912       3     912    1500    +    1.3e-261  869.1  21.3  -
Oceanospirillaceae_Neptuniibacter                -          LKAP-TSAKG2_A11_095_2018_2 -               43     948      11     912       2     912    1541    +    1.6e-261  868.5  20.9  -
Granulosicoccaceae_Granulosicoccus               -          LKAP-TSAKG2_A11_095_2018_2 -               17     924      12     912       4     912    1471    +    2.6e-260  864.8  20.8  -
Pseudomonadaceae_Azotobacter                     -          LKAP-TSAKG2_A11_095_2018_2 -               23     924      11     912       3     912    1473    +    1.6e-259  862.3  20.7  -
Cellvibrionaceae_Cellvibrio                      -          LKAP-TSAKG2_A11_095_2018_2 -               35     936      10     912       3     912    1505    +    1.8e-259  862.0  20.9  -
Moraxellaceae_Alkanindiges                       -          LKAP-TSAKG2_A11_095_2018_2 -                4     905      12     912       9     912    1396    +    1.8e-259  862.0  20.3  -
Shewanellaceae_Shewanella                        -          LKAP-TSAKG2_A11_095_2018_2 -               18     925      13     912       3     912    1483    +    1.9e-259  861.9  20.8  -
Spongiibacteraceae_Spongiibacter                 -          LKAP-TSAKG2_A11_095_2018_2 -               19     918      11     912       3     912    1441    +    2.2e-259  861.5  20.9  -
Pseudomonadaceae_Azomonas                        -          LKAP-TSAKG2_A11_095_2018_2 -                8     905      19     912      13     912    1453    +    2.7e-259  861.4  19.9  -
Idiomarinaceae_Aliidiomarina                     -          LKAP-TSAKG2_A11_095_2018_2 -                3     897      21     912      19     912    1410    +    2.9e-259  861.1  20.2  -
Chromobacteriaceae_Aquaspirillum                 -          LKAP-TSAKG2_A11_095_2018_2 -               36     936      11     912       3     912    1488    +    5.7e-259  860.4  20.9  -
Gammaproteobacteria_Sedimenticola                -          LKAP-TSAKG2_A11_095_2018_2 -               32     942      13     912       2     912    1540    +      7e-259  860.0  20.7  -
Ectothiorhodospiraceae_Thiohalospira             -          LKAP-TSAKG2_A11_095_2018_2 -                2     884      33     912      32     912    1318    +    6.6e-258  856.9  19.7  -
Methylococcaceae_Methylosarcina                  -          LKAP-TSAKG2_A11_095_2018_2 -               32     929      13     912       4     912    1515    +    1.7e-257  855.3  20.8  -
Ectothiorhodospiraceae_Thioalkalivibrio          -          LKAP-TSAKG2_A11_095_2018_2 -               18     911      20     912       6     912    1438    +    5.1e-257  853.6  20.5  -
Idiomarinaceae_Idiomarina                        -          LKAP-TSAKG2_A11_095_2018_2 -               22     929      12     912       3     912    1471    +    1.1e-256  852.5  20.9  -
