# target name                    accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Idiomarinaceae                   -          C0901_LKAP-FHGF1_A04_032 -               27     349      10     334       1     349    1466    +     5.3e-42  136.0   0.4  -
Unclassified_Alteromonadales     -          C0901_LKAP-FHGF1_A04_032 -               28     359      11     344       2     350    1467    +     1.1e-40  131.7   0.7  -
Psychromonadaceae                -          C0901_LKAP-FHGF1_A04_032 -               27     359      10     344       1     350    1467    +     4.1e-40  130.0   0.5  -
Budviciaceae                     -          C0901_LKAP-FHGF1_A04_032 -               17     342      10     337       2     349    1483    +     1.1e-39  128.5   0.4  -
Aeromonadaceae                   -          C0901_LKAP-FHGF1_A04_032 -               40     362      11     333       2     343    1496    +     3.3e-39  126.7   0.4  -
Litoricolaceae                   -          C0901_LKAP-FHGF1_A04_032 -               35     368      10     347       2     351    1474    +     3.3e-39  127.1   0.4  -
Aerococcaceae                    -          C0901_LKAP-FHGF1_A04_032 -               27     377      10     350       2     351    1474    +     1.9e-38  124.5   0.4  -
Alcanivoracaceae                 -          C0901_LKAP-FHGF1_A04_032 -               48     367      11     334       2     348    1504    +     2.5e-38  123.8   0.3  -
Moritellaceae                    -          C0901_LKAP-FHGF1_A04_032 -               42     377      10     345       3     350    1501    +     3.2e-38  123.5   0.4  -
Thorselliaceae                   -          C0901_LKAP-FHGF1_A04_032 -                6     318      15     334      11     347    1419    +     2.3e-37  120.8   0.5  -
Celerinatantimonadaceae          -          C0901_LKAP-FHGF1_A04_032 -               22     348      10     334       1     346    1433    +     2.4e-37  120.9   0.4  -
Colwelliaceae                    -          C0901_LKAP-FHGF1_A04_032 -               27     355      10     341       1     350    1465    +       3e-37  120.6   0.5  -
Coxiellaceae                     -          C0901_LKAP-FHGF1_A04_032 -               27     356      10     334       4     342    1473    +     7.2e-37  119.2   0.3  -
Halothiobacillaceae              -          C0901_LKAP-FHGF1_A04_032 -               44     367      10     335       4     349    1501    +     1.2e-36  118.4   0.4  -
Sporolactobacillaceae            -          C0901_LKAP-FHGF1_A04_032 -               28     371      11     350       3     351    1503    +     1.6e-36  118.0   0.4  -
Hafniaceae                       -          C0901_LKAP-FHGF1_A04_032 -               18     353       6     344       1     350    1459    +     2.7e-36  117.2   0.5  -
Listeriaceae                     -          C0901_LKAP-FHGF1_A04_032 -               15     361      11     351       3     351    1448    +     2.9e-36  117.4   0.4  -
Thermoleophilaceae               -          C0901_LKAP-FHGF1_A04_032 -               20     358      10     347       3     351    1486    +     3.6e-36  116.8   0.4  -
Succinivibrionaceae              -          C0901_LKAP-FHGF1_A04_032 -               30     346      10     334       1     347    1474    +     2.9e-35  113.8   0.6  -
Thioalkalispiraceae              -          C0901_LKAP-FHGF1_A04_032 -               41     364      11     334       3     349    1478    +     3.9e-35  113.3   0.4  -
Francisellaceae                  -          C0901_LKAP-FHGF1_A04_032 -               38     347      11     334       3     348    1509    +     3.1e-34  110.5   0.3  -
Unclassified_Oceanospirillales   -          C0901_LKAP-FHGF1_A04_032 -               32     349      10     335       2     349    1483    +     3.3e-34  110.1   0.4  -
Saccharospirillaceae             -          C0901_LKAP-FHGF1_A04_032 -               30     342      12     334       2     344    1468    +     1.6e-33  108.0   0.4  -
Granulosicoccaceae               -          C0901_LKAP-FHGF1_A04_032 -               27     349      10     334       4     344    1471    +     4.6e-33  106.7   0.4  -
Wenzhouxiangellaceae             -          C0901_LKAP-FHGF1_A04_032 -               30     363      13     346       3     350    1472    +     5.7e-33  106.1   0.5  -
Ferrimonadaceae                  -          C0901_LKAP-FHGF1_A04_032 -               25     369       7     344       1     350    1475    +     9.2e-33  105.4   0.5  -
Spongiibacteraceae               -          C0901_LKAP-FHGF1_A04_032 -               33     360      13     348       2     351    1462    +     2.4e-32  104.1   0.4  -
Methylothermaceae                -          C0901_LKAP-FHGF1_A04_032 -               48     380      10     346       4     350    1491    +     2.4e-32  104.2   0.5  -
Heliobacteriaceae                -          C0901_LKAP-FHGF1_A04_032 -               44     384      10     349       4     351    1502    +     4.3e-32  103.4   0.5  -
Salinisphaeraceae                -          C0901_LKAP-FHGF1_A04_032 -               14     348       8     347       1     350    1432    +     7.2e-32  102.7   0.5  -
Kangiellaceae                    -          C0901_LKAP-FHGF1_A04_032 -               36     361      10     335       4     349    1479    +     7.3e-32  102.5   0.5  -
Cardiobacteriaceae               -          C0901_LKAP-FHGF1_A04_032 -               35     353      10     334       5     347    1462    +     2.1e-31  101.4   0.4  -
Microbulbiferaceae               -          C0901_LKAP-FHGF1_A04_032 -               29     343      12     335       2     350    1478    +     3.2e-31  100.6   0.3  -
Halieaceae                       -          C0901_LKAP-FHGF1_A04_032 -               35     361      10     346       2     350    1484    +     3.2e-31  100.4   0.4  -
Unclassified_Thiotrichales       -          C0901_LKAP-FHGF1_A04_032 -               58     363      19     334       4     343    1517    +     6.5e-31   99.3   0.5  -
Sutterellaceae                   -          C0901_LKAP-FHGF1_A04_032 -               28     351      11     338       5     350    1487    +     1.3e-30   98.3   0.4  -
Zoogloeaceae                     -          C0901_LKAP-FHGF1_A04_032 -               34     361      10     345       5     350    1474    +     1.5e-30   98.3   0.5  -
Persicobacteraceae               -          C0901_LKAP-FHGF1_A04_032 -               27     361      10     347       1     351    1448    +     9.5e-30   95.8   0.6  -
Nevskiaceae                      -          C0901_LKAP-FHGF1_A04_032 -               36     356      10     346       4     350    1470    +     4.2e-29   93.8   0.4  -
Bdellovibrionaceae               -          C0901_LKAP-FHGF1_A04_032 -               58     351      53     346      27     350    1430    +     4.5e-29   93.4   0.2  -
Rhodothermaceae                  -          C0901_LKAP-FHGF1_A04_032 -               61     360      50     347      28     351    1457    +     5.1e-29   93.2   0.2  -
Nautiliaceae                     -          C0901_LKAP-FHGF1_A04_032 -               27     356      10     348       4     351    1428    +     6.3e-29   93.2   0.4  -
Arenicellaceae                   -          C0901_LKAP-FHGF1_A04_032 -               50     357      44     347      21     351    1488    +     7.2e-29   92.8   0.3  -
Unclassified_Acidobacteria       -          C0901_LKAP-FHGF1_A04_032 -               47     392      10     348       4     351    1505    +     1.1e-28   92.5   0.4  -
Acidithiobacillaceae             -          C0901_LKAP-FHGF1_A04_032 -               26     340      10     334       3     347    1457    +     1.4e-28   91.7   0.5  -
Unclassified_Alphaproteobacteria -          C0901_LKAP-FHGF1_A04_032 -               28     327      11     342       2     350    1412    +       2e-28   91.6   0.3  -
Acidiferrobacteraceae            -          C0901_LKAP-FHGF1_A04_032 -               63     340      54     334      34     345    1456    +     2.6e-28   91.0   0.1  -
