# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Acidaminococcaceae               -          B1a1_forward         -                8     794       2     785       1     805    1506    +       1e-51  169.9  26.1  -
Halanaerobiaceae                 -          B1a1_forward         -               12     809       2     787       1     800    1506    +     1.3e-44  146.4  28.1  -
Phormidiaceae                    -          B1a1_forward         -               21     741       2     785       1     805    1483    +     8.6e-43  140.8  25.8  -
Myxococcaceae                    -          B1a1_forward         -               16     797       3     785       1     805    1517    +     2.6e-42  138.7  25.9  -
Heliobacteriaceae                -          B1a1_forward         -               18     771       2     785       1     800    1502    +     3.1e-42  138.6  25.9  -
Cystobacteraceae                 -          B1a1_forward         -                2     781       3     785       2     805    1491    +       5e-42  137.8  25.8  -
Oscillatoriales                  -          B1a1_forward         -                2     719       3     785       2     805    1445    +     8.2e-42  137.4  23.2  -
Desulfobulbaceae                 -          B1a1_forward         -                2     786       3     785       2     804    1482    +     1.6e-40  132.9  25.4  -
Deferribacteraceae               -          B1a1_forward         -                9     783       3     785       1     803    1514    +     3.8e-40  131.5  25.4  -
Stigonematales                   -          B1a1_forward         -               21     742       2     785       1     805    1450    +     1.1e-39  130.3  23.6  -
Sporolactobacillaceae            -          B1a1_forward         -                2     780       3     785       2     798    1503    +     4.3e-39  128.1  27.0  -
Aerococcaceae                    -          B1a1_forward         -                2     785       3     784       2     796    1474    +     2.2e-38  125.9  27.8  -
Unclassified_Deltaproteobacteria -          B1a1_forward         -               18     805       3     785       2     806    1518    +     2.8e-38  125.5  26.0  -
Chroococcales                    -          B1a1_forward         -               14     768       3     823       1     833    1444    +     4.3e-38  124.8  21.9  -
Nostocales                       -          B1a1_forward         -                2     718       3     785       2     806    1457    +     7.4e-38  124.2  24.0  -
Prochlorococcaceae               -          B1a1_forward         -                8     723       2     785       1     795    1465    +     1.4e-37  123.2  23.2  -
Desulfuromonadaceae              -          B1a1_forward         -               20     804       3     784       2     805    1519    +     1.5e-37  123.0  26.4  -
Halobacteriovoracaceae           -          B1a1_forward         -                2     786       3     785       2     803    1480    +     1.6e-37  122.9  25.2  -
Arenicellaceae                   -          B1a1_forward         -                4     769       5     785       3     805    1488    +     7.1e-37  120.9  25.1  -
Thermodesulfobiaceae             -          B1a1_forward         -               17     773       2     784       1     791    1524    +     1.7e-36  119.5  25.6  -
Spongiibacteraceae               -          B1a1_forward         -                7     771       5     785       2     805    1462    +     2.9e-36  118.6  25.1  -
Geobacteraceae                   -          B1a1_forward         -               10     793       3     784       2     805    1485    +     4.2e-36  118.2  26.2  -
Listeriaceae                     -          B1a1_forward         -                2     769      16     785      15     800    1448    +     5.1e-36  118.2  26.3  -
Halieaceae                       -          B1a1_forward         -               12     774       5     785       2     805    1484    +     1.2e-35  116.7  25.8  -
Bdellovibrionaceae               -          B1a1_forward         -                1     742       6     785       6     798    1430    +     4.5e-35  114.9  24.6  -
Caulobacteraceae                 -          B1a1_forward         -                3     717       4     785       3     804    1418    +     7.6e-35  114.3  22.3  -
Unclassified_Acidobacteria       -          B1a1_forward         -               24     804       5     785       2     805    1505    +     1.5e-34  113.6  26.2  -
Unclassified_Oceanospirillales   -          B1a1_forward         -                9     773       5     785       2     805    1483    +     2.6e-34  112.1  24.3  -
Entomoplasmataceae               -          B1a1_forward         -                8     774       2     785       1     805    1498    +     3.9e-34  112.0  24.4  -
Bacteriovoracaceae               -          B1a1_forward         -                2     781       3     785       2     800    1473    +       4e-34  111.7  26.1  -
Leptospiraceae                   -          B1a1_forward         -                2     747       3     785       2     801    1433    +     4.5e-34  111.6  25.3  -
Kineosporiaceae                  -          B1a1_forward         -                9     755       2     785       1     799    1463    +     4.6e-34  111.7  25.4  -
Desulfonatronaceae               -          B1a1_forward         -                3     788       4     786       2     806    1495    +       1e-33  110.3  26.1  -
Ruaniaceae                       -          B1a1_forward         -               25     784       2     785       1     806    1531    +     1.3e-33  109.8  25.3  -
Unclassified_Calditrichaeota     -          B1a1_forward         -                8     788       2     785       1     806    1483    +     2.3e-33  109.4  27.7  -
Parvularculaceae                 -          B1a1_forward         -               21     785       2     836       1     857    1429    +     2.7e-33  109.4  21.0  -
Hyphomonadaceae                  -          B1a1_forward         -                2     715       3     783       2     803    1399    +       3e-33  109.1  23.2  -
Kangiellaceae                    -          B1a1_forward         -               13     785       5     785       3     805    1479    +     3.7e-33  108.4  25.2  -
Acidiferrobacteraceae            -          B1a1_forward         -                4     796       5     820       3     842    1456    +       1e-32  107.1  24.0  -
Desulfomicrobiaceae              -          B1a1_forward         -               13     790       4     784       2     805    1495    +     1.1e-32  107.0  25.6  -
Litoricolaceae                   -          B1a1_forward         -               12     814       5     822       3     842    1474    +     1.6e-32  106.5  22.5  -
Thioalkalispiraceae              -          B1a1_forward         -               16     789       5     785       2     805    1478    +     1.6e-32  106.2  25.5  -
Rubrobacteraceae                 -          B1a1_forward         -                2     776       3     785       2     805    1494    +     1.8e-32  106.2  26.5  -
Beutenbergiaceae                 -          B1a1_forward         -                1     753       2     785       2     806    1473    +     2.4e-32  105.8  25.5  -
Caldicoprobacteraceae            -          B1a1_forward         -               17     782       2     785       1     805    1531    +     2.5e-32  105.7  26.1  -
Desulfohalobiaceae               -          B1a1_forward         -                7     801       4     785       2     806    1510    +     3.5e-32  105.2  26.4  -
Syntrophaceae                    -          B1a1_forward         -               19     803       3     784       2     799    1556    +     3.5e-32  105.2  26.4  -
Rhodothermaceae                  -          B1a1_forward         -                1     764       2     784       2     801    1457    +     4.8e-32  104.8  26.8  -
Parviterribacteraceae            -          B1a1_forward         -                1     759       2     781       2     802    1456    +     7.4e-32  104.2  26.3  -
Cellulomonadaceae                -          B1a1_forward         -                5     755       2     785       1     805    1461    +     9.9e-32  103.9  26.6  -
Anaeroplasmataceae               -          B1a1_forward         -               30     772       4     782       2     799    1453    +     9.9e-32  103.9  25.0  -
Thermolithobacteraceae           -          B1a1_forward         -               21     819       2     786       1     810    1546    +     1.2e-31  103.2  26.2  -
Desulfurellaceae                 -          B1a1_forward         -                8     793       3     785       2     806    1537    +     1.4e-31  103.2  25.1  -
Rickettsiaceae                   -          B1a1_forward         -                2     731       3     785       2     799    1430    +     1.5e-31  103.3  23.8  -
Thermoleophilaceae               -          B1a1_forward         -                1     770       9     785       9     806    1486    +     2.3e-31  102.4  26.2  -
Unclassified_Micrococcales       -          B1a1_forward         -                1     750       2     785       2     806    1475    +     2.4e-31  102.6  26.1  -
Balneolaceae                     -          B1a1_forward         -                2     770       3     770       2     790    1463    +     2.9e-31  102.2  26.4  -
Sanguibacteraceae                -          B1a1_forward         -               18     769       2     785       1     805    1483    +     3.6e-31  101.9  26.7  -
Unclassified_Alphaproteobacteria -          B1a1_forward         -                2     719       3     785       2     806    1412    +     4.4e-31  102.0  23.1  -
Bogoriellaceae                   -          B1a1_forward         -                2     759       3     785       2     805    1472    +     4.8e-31  101.5  25.9  -
Beijerinckiaceae                 -          B1a1_forward         -               15     730       3     785       2     805    1421    +     6.7e-31  101.1  22.7  -
Oscillospiraceae                 -          B1a1_forward         -                2     765       3     785       2     805    1453    +     7.5e-31  100.6  24.7  -
Halothiobacillaceae              -          B1a1_forward         -               21     791       5     785       2     805    1501    +       9e-31  100.5  26.8  -
Acidimicrobiaceae                -          B1a1_forward         -               21     770       2     785       1     805    1463    +     9.3e-31  100.7  25.0  -
Demequinaceae                    -          B1a1_forward         -                1     753       2     785       2     805    1480    +     9.3e-31  100.6  25.7  -
Kordiimonadaceae                 -          B1a1_forward         -                2     728       3     785       2     806    1423    +     1.6e-30  100.0  23.2  -
Patulibacteraceae                -          B1a1_forward         -               21     782       2     784       1     804    1494    +     2.3e-30   99.0  25.8  -
Polyangiaceae                    -          B1a1_forward         -               21     802       3     785       1     805    1550    +     2.6e-30   99.1  25.2  -
Unclassified_Alteromonadales     -          B1a1_forward         -                4     774       5     785       3     805    1467    +     2.7e-30   98.8  24.6  -
Sneathiellaceae                  -          B1a1_forward         -                7     732       3     785       2     804    1427    +     2.9e-30   99.1  23.3  -
Acidithiobacillaceae             -          B1a1_forward         -                3     765       5     785       3     804    1457    +     3.5e-30   98.5  24.5  -
Rarobacteraceae                  -          B1a1_forward         -                1     738      13     785      13     806    1464    +     3.9e-30   98.3  25.5  -
Frankiaceae                      -          B1a1_forward         -               22     761       2     785       1     841    1499    +     5.5e-30   98.2  23.8  -
Nitrospiraceae                   -          B1a1_forward         -                9     760       4     785       2     806    1480    +     5.9e-30   98.0  24.1  -
Thermodesulfobacteriaceae        -          B1a1_forward         -                3     783       4     782       2     803    1498    +       7e-30   97.9  25.6  -
Holophagaceae                    -          B1a1_forward         -               22     787       4     783       2     800    1502    +     7.1e-30   97.8  26.0  -
Succinivibrionaceae              -          B1a1_forward         -                7     754       5     785       3     802    1474    +     7.4e-30   97.5  25.4  -
Alcanivoracaceae                 -          B1a1_forward         -               24     792       5     785       2     805    1504    +     9.7e-30   96.9  25.2  -
Dermatophilaceae                 -          B1a1_forward         -                6     756       2     785       1     798    1481    +     1.3e-29   96.6  25.2  -
Chrysiogenaceae                  -          B1a1_forward         -               21     767       2     781       1     799    1513    +     1.5e-29   96.5  24.4  -
Dermabacteraceae                 -          B1a1_forward         -                7     759       2     785       1     805    1470    +     1.7e-29   96.3  26.3  -
Coxiellaceae                     -          B1a1_forward         -                4     782       5     786       3     836    1473    +     1.7e-29   96.4  24.0  -
Segniliparaceae                  -          B1a1_forward         -                5     749       2     785       1     805    1462    +       2e-29   96.3  25.0  -
Sporichthyaceae                  -          B1a1_forward         -                1     747       2     785       2     805    1472    +     2.2e-29   96.2  24.2  -
Bryobacteraceae                  -          B1a1_forward         -               24     751       6     785       2     804    1416    +     2.8e-29   95.9  24.8  -
Unclassified_Rhizobiales         -          B1a1_forward         -               12     727       3     785       2     806    1437    +     3.1e-29   95.7  22.3  -
Nevskiaceae                      -          B1a1_forward         -               13     767       5     784       2     804    1470    +     3.9e-29   95.5  25.6  -
Nakamurellaceae                  -          B1a1_forward         -                1     748       2     785       2     805    1462    +     5.4e-29   94.7  25.3  -
Conexibacteraceae                -          B1a1_forward         -               21     803       2     775       1     796    1536    +     5.7e-29   94.4  27.1  -
Unclassified_Actinomycetales     -          B1a1_forward         -               21     785       2     784       1     805    1533    +       1e-28   93.8  26.2  -
Nautiliaceae                     -          B1a1_forward         -                4     739       5     782       3     805    1428    +     1.1e-28   94.0  24.4  -
Microbulbiferaceae               -          B1a1_forward         -                4     767       5     785       3     805    1478    +     1.4e-28   93.5  24.7  -
Haliangiaceae                    -          B1a1_forward         -               19     803       4     785       2     802    1507    +     1.5e-28   93.3  25.9  -
Unclassified_Frankiales          -          B1a1_forward         -                8     755       2     785       1     805    1425    +     1.8e-28   93.2  24.7  -
Kiloniellaceae                   -          B1a1_forward         -               26     746       7     785       2     806    1450    +     2.1e-28   92.6  23.2  -
Pyrinomonadaceae                 -          B1a1_forward         -               25     809       6     785       2     796    1526    +     3.1e-28   92.0  25.6  -
Acidobacteriaceae                -          B1a1_forward         -               25     751       6     785       2     795    1463    +     6.2e-28   91.2  23.8  -
Chelatococcaceae                 -          B1a1_forward         -               14     728       4     785       2     805    1439    +     9.6e-28   90.9  21.8  -
Aeromonadaceae                   -          B1a1_forward         -               16     788       5     785       2     803    1496    +     9.6e-28   90.3  26.0  -
Anaerolineaceae                  -          B1a1_forward         -                2     748       3     785       2     805    1428    +     1.3e-27   90.7  25.2  -
Saccharospirillaceae             -          B1a1_forward         -                5     798       5     819       2     837    1468    +     1.4e-27   90.0  23.6  -
Brucellaceae                     -          B1a1_forward         -                7     720       3     785       2     799    1412    +     1.5e-27   90.3  22.6  -
Caldilineaceae                   -          B1a1_forward         -                8     754       2     785       1     803    1434    +     1.6e-27   89.9  25.3  -
Thermithiobacillaceae            -          B1a1_forward         -                3     751      19     783      17     805    1419    +     1.6e-27   89.9  25.4  -
Glycomycetaceae                  -          B1a1_forward         -                8     770       2     785       1     798    1497    +     1.7e-27   90.0  25.5  -
Nitrosomonadaceae                -          B1a1_forward         -                4     782       5     781       3     793    1463    +     1.9e-27   89.7  26.2  -
Erythrobacteraceae               -          B1a1_forward         -                2     717       3     785       2     802    1433    +     2.1e-27   89.6  23.3  -
Moritellaceae                    -          B1a1_forward         -               19     789       5     783       2     804    1501    +     4.1e-27   88.3  24.4  -
Desulfarculaceae                 -          B1a1_forward         -               11     800       3     785       2     805    1516    +     5.1e-27   88.2  25.1  -
Granulosicoccaceae               -          B1a1_forward         -                4     774       5     785       3     806    1471    +     5.3e-27   88.1  25.2  -
Cryptosporangiaceae              -          B1a1_forward         -                1     745       2     785       2     806    1470    +     6.2e-27   87.9  24.7  -
Blastocatellaceae                -          B1a1_forward         -               25     771       6     785       2     800    1485    +     1.1e-26   86.9  26.0  -
Atopobacteriaceae                -          B1a1_forward         -                5     756       2     785       1     805    1441    +     1.2e-26   87.2  25.2  -
Anaplasmataceae                  -          B1a1_forward         -               13     749       3     785       2     800    1438    +     1.8e-26   86.6  24.3  -
Desulfurobacteriaceae            -          B1a1_forward         -                3     798       4     784       2     804    1498    +     2.3e-26   86.3  26.5  -
Sulfuricellaceae                 -          B1a1_forward         -                4     779       5     779       2     794    1462    +     2.7e-26   85.8  25.8  -
Thiobacilliaceae                 -          B1a1_forward         -               23     796       5     779       2     790    1517    +     2.9e-26   85.7  26.0  -
Wenzhouxiangellaceae             -          B1a1_forward         -                4     777       5     785       3     804    1472    +     3.5e-26   85.3  24.1  -
Catenulisporaceae                -          B1a1_forward         -                1     747       2     785       2     806    1460    +     3.9e-26   85.3  24.6  -
Jiangellaceae                    -          B1a1_forward         -                7     758       2     785       1     803    1501    +     5.5e-26   84.7  24.8  -
Rubricoccaceae                   -          B1a1_forward         -                6     643       2     648       1     787    1451    +       8e-26   84.2  26.8  -
Eggerthellaceae                  -          B1a1_forward         -                8     753       2     785       1     822    1449    +     8.5e-26   84.3  27.0  -
Persicobacteraceae               -          B1a1_forward         -                2     774       3     777       2     788    1448    +       1e-25   84.0  26.3  -
Dehalococcoidaceae               -          B1a1_forward         -                2     739       3     785       2     806    1437    +     1.4e-25   83.9  24.4  -
Unclassified_Corynebacterineae   -          B1a1_forward         -                1     750       2     785       2     806    1475    +     3.8e-25   82.1  24.5  -
Salinisphaeraceae                -          B1a1_forward         -               53     761      67     785      27     805    1432    +     4.3e-25   81.9  23.5  -
Zoogloeaceae                     -          B1a1_forward         -               11     786       5     781       2     793    1474    +     4.7e-25   81.6  24.9  -
Bartonellaceae                   -          B1a1_forward         -                2     718       3     785       2     799    1410    +     6.3e-25   81.4  21.6  -
Nannocystaceae                   -          B1a1_forward         -               17     781       4     785       2     800    1487    +     7.6e-25   81.0  27.2  -
Actinopolysporaceae              -          B1a1_forward         -                2     782       2     793       1     814    1486    +     8.2e-25   80.9  25.7  -
Cardiobacteriaceae               -          B1a1_forward         -               12     773       5     781       2     800    1462    +     8.9e-25   81.0  26.0  -
Iamiaceae                        -          B1a1_forward         -                2     756       3     785       2     806    1480    +       1e-24   80.8  24.4  -
Lentisphaeraceae                 -          B1a1_forward         -               14     611       4     640       2     654    1465    +     1.1e-24   80.7  26.8  -
Dictyoglomaceae                  -          B1a1_forward         -               23     797       2     785       1     806    1541    +     2.1e-24   79.4  24.2  -
Symbiobacteriaceae               -          B1a1_forward         -                3     777      13     785      11     794    1487    +     3.4e-24   79.1  27.3  -
Francisellaceae                  -          B1a1_forward         -               14     772       5     785       2     805    1509    +     3.4e-24   78.8  26.1  -
Aurantimonadaceae                -          B1a1_forward         -               19     733       3     785       1     806    1444    +     5.3e-24   78.4  21.8  -
Microscillaceae                  -          B1a1_forward         -                2     753       3     785       2     805    1461    +     7.6e-24   77.7  23.7  -
Dermacoccaceae                   -          B1a1_forward         -                2     748       8     785       7     805    1454    +     1.2e-23   76.9  24.7  -
Unclassified_Cytophagales        -          B1a1_forward         -                2     735       3     753       2     801    1444    +     1.3e-23   76.9  25.4  -
Unclassified_Streptosporangineae -          B1a1_forward         -               52     731      78     792      55     842    1443    +     1.3e-23   76.8  18.3  -
Natranaerobiaceae                -          B1a1_forward         -               65     747      71     785      51     805    1426    +     1.4e-23   76.8  20.8  -
Thermotogaceae                   -          B1a1_forward         -               22     792       5     783       2     797    1544    +     2.2e-23   76.2  26.7  -
Parachlamydiaceae                -          B1a1_forward         -               17     790       5     786       3     800    1529    +     2.3e-23   76.1  23.6  -
Azonexaceae                      -          B1a1_forward         -                5     783       5     781       2     799    1474    +     2.4e-23   76.2  24.4  -
Tsukamurellaceae                 -          B1a1_forward         -               20     767       2     785       1     805    1495    +     3.3e-23   75.6  25.2  -
Hydrogenophilaceae               -          B1a1_forward         -                4     779       5     781       3     801    1462    +     3.4e-23   75.7  25.3  -
Jonesiaceae                      -          B1a1_forward         -               20     788       2     785       1     805    1513    +     3.4e-23   75.6  26.8  -
Sutterellaceae                   -          B1a1_forward         -                4     783       5     781       3     801    1487    +     5.3e-23   74.6  24.3  -
Fervidobacteriaceae              -          B1a1_forward         -               12     800       5     782       2     793    1515    +     5.6e-23   74.8  28.2  -
Unclassified_Thiotrichales       -          B1a1_forward         -               24     788       4     785       2     805    1517    +     7.1e-23   74.3  25.3  -
Gemmatimonadaceae                -          B1a1_forward         -               24     801       2     815       1     825    1525    +       8e-23   74.3  22.0  -
Hafniaceae                       -          B1a1_forward         -                2     768       9     785       8     804    1459    +     8.6e-23   74.0  24.0  -
Salinibacteraceae                -          B1a1_forward         -               26     651       2     639       1     659    1497    +     9.1e-23   74.1  28.6  -
Acholeplasmataceae               -          B1a1_forward         -                1     760      10     784      10     798    1440    +     9.4e-23   74.0  25.0  -
Mesoaciditogaceae                -          B1a1_forward         -                9     789       2     785       1     798    1517    +     1.4e-22   73.5  26.9  -
Bernardetiaceae                  -          B1a1_forward         -                2     766       3     781       2     801    1484    +     1.5e-22   73.3  23.6  -
Ferrimonadaceae                  -          B1a1_forward         -                4     639       5     639       3     660    1475    +     1.7e-22   72.9  27.9  -
Psychromonadaceae                -          B1a1_forward         -                4     774       5     785       3     806    1467    +     1.7e-22   73.2  25.4  -
Methylophilaceae                 -          B1a1_forward         -               87     764     102     780      81     792    1430    +     2.3e-22   72.7  18.1  -
Budviciaceae                     -          B1a1_forward         -                1     764      12     785      12     805    1483    +       3e-22   72.3  24.6  -
Chlamydiaceae                    -          B1a1_forward         -               27     806       5     786       2     809    1548    +     8.9e-22   70.6  25.2  -
Cryomorphaceae                   -          B1a1_forward         -                8     774       3     785       1     802    1452    +     5.4e-21   68.3  24.4  -
Colwelliaceae                    -          B1a1_forward         -                4     773       5     785       3     805    1465    +     6.6e-21   68.0  25.3  -
Idiomarinaceae                   -          B1a1_forward         -                4     774       5     785       3     801    1466    +     7.2e-21   67.5  26.0  -
Dietziaceae                      -          B1a1_forward         -                2     739      12     785      11     806    1453    +     7.4e-21   67.8  24.6  -
Defluviitaleaceae                -          B1a1_forward         -               68     745      73     785      53     801    1413    +     2.4e-20   66.2  21.8  -
Akkermansiaceae                  -          B1a1_forward         -                2     746       3     785       2     796    1441    +     2.8e-20   66.1  27.1  -
Solirubrobacteraceae             -          B1a1_forward         -              215     640     239     650     218     802    1443    +       5e-20   64.9  15.7  -
Cohaesibacteraceae               -          B1a1_forward         -               21     737       3     785       1     799    1416    +     7.8e-20   64.5  21.7  -
Sphaerobacteraceae               -          B1a1_forward         -               24     765       5     785       1     805    1531    +     2.3e-19   62.8  26.6  -
Methylothermaceae                -          B1a1_forward         -               25     790       5     781       2     803    1491    +     3.1e-19   62.3  25.8  -
