# target name                                    accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae_Vibrio                              -          A0224_LKAP-FHGF1_C07_059 -               21     881       6     858       1     860    1466    +           0 1052.1  20.8  -
Vibrionaceae_Photobacterium                      -          A0224_LKAP-FHGF1_C07_059 -               21     881       6     858       1     860    1487    +    4.7e-303 1006.2  20.8  -
Vibrionaceae_Aliivibrio                          -          A0224_LKAP-FHGF1_C07_059 -               45     895       6     858       1     860    1474    +    4.7e-297  986.7  20.8  -
Vibrionaceae_Enterovibrio                        -          A0224_LKAP-FHGF1_C07_059 -               21     875       6     858       1     860    1499    +    1.3e-289  961.5  20.9  -
Vibrionaceae_Grimontia                           -          A0224_LKAP-FHGF1_C07_059 -               21     881       6     858       1     861    1493    +    1.4e-285  948.3  20.9  -
Yersiniaceae_Serratia                            -          A0224_LKAP-FHGF1_C07_059 -               25     874       6     857       1     860    1491    +    9.7e-277  919.1  20.9  -
Erwiniaceae_Erwinia                              -          A0224_LKAP-FHGF1_C07_059 -               21     870       6     857       1     860    1495    +    1.9e-276  918.2  20.9  -
Pectobacteriaceae_Pectobacterium                 -          A0224_LKAP-FHGF1_C07_059 -               29     878       6     857       1     860    1499    +    8.1e-274  909.5  21.0  -
Erwiniaceae_Tatumella                            -          A0224_LKAP-FHGF1_C07_059 -               21     870       6     857       1     860    1490    +      6e-273  906.6  21.0  -
Enterobacteriaceae_Citrobacter                   -          A0224_LKAP-FHGF1_C07_059 -               36     885       6     857       1     860    1517    +    8.9e-272  902.7  20.9  -
Enterobacteriaceae_Enterobacter                  -          A0224_LKAP-FHGF1_C07_059 -               19     866       6     857       1     860    1476    +    5.3e-271  900.1  20.9  -
Yersiniaceae_Rouxiella                           -          A0224_LKAP-FHGF1_C07_059 -               50     899       6     857       1     860    1551    +    3.3e-270  897.4  21.0  -
Yersiniaceae_Yersinia                            -          A0224_LKAP-FHGF1_C07_059 -               21     870       6     857       1     860    1461    +    6.6e-269  893.2  21.0  -
Enterobacteriaceae_Klebsiella                    -          A0224_LKAP-FHGF1_C07_059 -               33     880       6     857       1     860    1436    +    7.5e-269  893.0  21.1  -
Enterobacteriaceae_Escherichia                   -          A0224_LKAP-FHGF1_C07_059 -               21     870       6     857       1     860    1480    +    1.6e-268  891.9  21.0  -
Hafniaceae_Hafnia                                -          A0224_LKAP-FHGF1_C07_059 -               21     870       6     857       1     860    1463    +    1.8e-268  891.6  21.0  -
Enterobacteriaceae_Salmonella                    -          A0224_LKAP-FHGF1_C07_059 -               17     866       6     857       1     860    1457    +    3.9e-268  890.7  20.8  -
Enterobacteriaceae_Cronobacter                   -          A0224_LKAP-FHGF1_C07_059 -                1     847       9     857       9     860    1422    +    4.5e-268  890.4  21.0  -
Enterobacteriaceae_Pluralibacter                 -          A0224_LKAP-FHGF1_C07_059 -               41     893       6     857       1     860    1532    +    1.3e-267  888.8  20.9  -
Enterobacteriaceae_Trabulsiella                  -          A0224_LKAP-FHGF1_C07_059 -               14     863       6     857       1     860    1471    +    1.4e-267  889.0  20.9  -
Ferrimonadaceae_Ferrimonas                       -          A0224_LKAP-FHGF1_C07_059 -               20     880       5     857       1     860    1475    +    2.1e-267  887.9  20.8  -
Shewanellaceae_Shewanella                        -          A0224_LKAP-FHGF1_C07_059 -               21     872       6     857       1     860    1483    +    4.5e-267  887.0  20.7  -
Enterobacteriaceae_Kluyvera                      -          A0224_LKAP-FHGF1_C07_059 -                9     856       6     857       1     860    1455    +    1.9e-266  885.0  21.0  -
Enterobacteriaceae_Pseudocitrobacter             -          A0224_LKAP-FHGF1_C07_059 -               18     867       6     857       1     860    1459    +    1.9e-266  885.0  20.9  -
Enterobacteriaceae_Buttiauxella                  -          A0224_LKAP-FHGF1_C07_059 -               27     874       6     857       1     860    1503    +      2e-266  885.0  21.0  -
Pectobacteriaceae_Brenneria                      -          A0224_LKAP-FHGF1_C07_059 -                1     848       8     857       8     860    1457    +    2.5e-266  884.5  21.0  -
Pectobacteriaceae_Dickeya                        -          A0224_LKAP-FHGF1_C07_059 -               18     867       6     857       1     860    1421    +    1.8e-265  881.7  20.9  -
Enterobacteriaceae_Raoultella                    -          A0224_LKAP-FHGF1_C07_059 -               19     866       6     857       1     860    1452    +      2e-264  878.4  21.0  -
Aeromonadaceae_Aeromonas                         -          A0224_LKAP-FHGF1_C07_059 -               40     891       6     857       1     860    1503    +    7.8e-264  876.1  20.7  -
Alteromonadaceae_Agarivorans                     -          A0224_LKAP-FHGF1_C07_059 -               29     877       7     857       1     860    1454    +    2.6e-263  874.7  20.6  -
Enterobacteriaceae_Kosakonia                     -          A0224_LKAP-FHGF1_C07_059 -                2     848       7     857       6     860    1422    +    2.9e-263  874.2  20.8  -
Idiomarinaceae_Idiomarina                        -          A0224_LKAP-FHGF1_C07_059 -               26     876       6     857       1     860    1471    +    4.5e-263  873.6  20.8  -
Enterobacteriaceae_Lelliottia                    -          A0224_LKAP-FHGF1_C07_059 -               16     863       6     857       1     860    1449    +    4.6e-263  873.8  21.1  -
Pectobacteriaceae_Sodalis                        -          A0224_LKAP-FHGF1_C07_059 -               17     866       6     857       1     860    1511    +      2e-262  871.6  20.8  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          A0224_LKAP-FHGF1_C07_059 -               21     864       6     857       1     860    1461    +    6.9e-261  866.4  19.8  -
Morganellaceae_Xenorhabdus                       -          A0224_LKAP-FHGF1_C07_059 -               23     873       6     858       1     860    1493    +      7e-261  866.7  20.8  -
Enterobacteriaceae_Siccibacter                   -          A0224_LKAP-FHGF1_C07_059 -               48     897       6     857       1     860    1451    +    1.9e-260  865.3  20.9  -
Enterobacteriaceae_Shigella                      -          A0224_LKAP-FHGF1_C07_059 -               29     878       6     857       1     860    1488    +    4.8e-260  863.8  21.0  -
Vibrionaceae_Salinivibrio                        -          A0224_LKAP-FHGF1_C07_059 -               40     902       6     857       1     860    1502    +      5e-260  863.2  20.5  -
Enterobacteriaceae_Shimwellia                    -          A0224_LKAP-FHGF1_C07_059 -                1     848       8     857       8     860    1422    +    6.9e-260  863.4  21.0  -
Erwiniaceae_Pantoea                              -          A0224_LKAP-FHGF1_C07_059 -                3     807      51     857      49     860    1416    +    1.2e-259  862.5  21.2  -
Aeromonadaceae_Oceanisphaera                     -          A0224_LKAP-FHGF1_C07_059 -               21     869       6     857       1     860    1464    +    1.3e-259  862.2  20.8  -
