# target name             accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Pseudoalteromonadaceae    -          LKAP.g-Gut1_E11_087.seq -               27    1022       6    1010       3    1011    1469    +           0 1032.0  11.3  -
Vibrionaceae              -          LKAP.g-Gut1_E11_087.seq -               27    1036       6    1010       2    1011    1474    +    8.4e-305 1009.6  12.0  -
Ferrimonadaceae           -          LKAP.g-Gut1_E11_087.seq -               27    1036       6    1010       2    1011    1475    +    1.9e-294  975.2  11.9  -
Alteromonadales           -          LKAP.g-Gut1_E11_087.seq -               33    1027      11    1010       3    1011    1468    +    4.1e-290  960.7  11.8  -
Shewanellaceae            -          LKAP.g-Gut1_E11_087.seq -               27    1028       6    1010       2    1011    1483    +      1e-288  956.4  11.9  -
Gammaproteobacteria       -          LKAP.g-Gut1_E11_087.seq -               28    1024       7    1009       3    1011    1481    +    9.7e-287  949.7  11.8  -
Alteromonadaceae          -          LKAP.g-Gut1_E11_087.seq -               27    1025       6    1010       2    1011    1468    +    2.1e-283  938.7  11.7  -
Aeromonadaceae            -          LKAP.g-Gut1_E11_087.seq -               39    1039       6    1009       2    1011    1496    +    2.7e-279  925.0  12.0  -
Colwelliaceae             -          LKAP.g-Gut1_E11_087.seq -               27    1027       6    1010       3    1011    1467    +    5.5e-279  924.2  11.9  -
Enterobacteriaceae        -          LKAP.g-Gut1_E11_087.seq -               28    1026       7    1010       3    1011    1465    +    5.2e-278  921.0  11.9  -
Yersiniaceae              -          LKAP.g-Gut1_E11_087.seq -               28    1026       7    1010       3    1011    1473    +    1.5e-277  919.4  12.0  -
Hafniaceae                -          LKAP.g-Gut1_E11_087.seq -               21    1020       6    1010       2    1011    1459    +    2.9e-277  918.3  11.9  -
Psychromonadaceae         -          LKAP.g-Gut1_E11_087.seq -               27    1026       6    1010       3    1011    1467    +    1.5e-276  916.2  11.9  -
Moritellaceae             -          LKAP.g-Gut1_E11_087.seq -               42    1043       6    1010       3    1011    1501    +    1.7e-276  915.8  11.9  -
Erwiniaceae               -          LKAP.g-Gut1_E11_087.seq -               56    1021      47    1010      24    1011    1483    +    1.3e-274  909.7  11.6  -
Pectobacteriaceae         -          LKAP.g-Gut1_E11_087.seq -               24    1023       6    1010       3    1011    1477    +    1.5e-274  909.4  11.9  -
Idiomarinaceae            -          LKAP.g-Gut1_E11_087.seq -               27    1027       6    1010       2    1011    1466    +      2e-273  905.6  11.8  -
Morganellaceae            -          LKAP.g-Gut1_E11_087.seq -               31    1029       7    1010       3    1011    1487    +    2.8e-271  898.8  12.0  -
Oceanospirillaceae        -          LKAP.g-Gut1_E11_087.seq -               28    1027       7    1010       3    1011    1467    +    1.2e-270  896.5  11.9  -
Chromatiaceae             -          LKAP.g-Gut1_E11_087.seq -               27    1014       6    1009       2    1011    1455    +    5.8e-270  894.3  12.1  -
Pseudomonadaceae          -          LKAP.g-Gut1_E11_087.seq -               34    1030       6    1010       2    1011    1491    +    1.3e-269  893.1  11.9  -
Cellvibrionaceae          -          LKAP.g-Gut1_E11_087.seq -               27    1025       6    1010       3    1011    1472    +    2.2e-269  892.3  11.9  -
Budviciaceae              -          LKAP.g-Gut1_E11_087.seq -               54    1016      50    1010      27    1011    1483    +    5.3e-267  884.4  11.5  -
Oceanospirillales         -          LKAP.g-Gut1_E11_087.seq -               33    1031       6    1010       3    1011    1489    +    6.7e-267  883.9  11.8  -
Piscirickettsiaceae       -          LKAP.g-Gut1_E11_087.seq -               30    1029       7    1010       3    1011    1466    +    1.4e-265  879.7  11.9  -
Halieaceae                -          LKAP.g-Gut1_E11_087.seq -               36    1026       7    1010       3    1011    1484    +    4.6e-265  878.0  12.0  -
Methylococcaceae          -          LKAP.g-Gut1_E11_087.seq -               41    1033       6    1010       3    1011    1481    +    3.2e-263  871.9  11.9  -
Celerinatantimonadaceae   -          LKAP.g-Gut1_E11_087.seq -               22    1033       6    1010       3    1011    1433    +    2.1e-262  869.3  12.2  -
Pasteurellaceae           -          LKAP.g-Gut1_E11_087.seq -               29    1027       8    1010       4    1011    1422    +    1.6e-260  863.0  11.9  -
Hahellaceae               -          LKAP.g-Gut1_E11_087.seq -               27    1024       6    1010       2    1011    1473    +    3.6e-260  861.9  11.8  -
Alcanivoracaceae          -          LKAP.g-Gut1_E11_087.seq -               47    1044       6    1009       2    1011    1504    +    1.1e-259  860.1  11.9  -
Moraxellaceae             -          LKAP.g-Gut1_E11_087.seq -               25    1017       7    1010       3    1011    1468    +    1.7e-259  859.8  12.0  -
Spongiibacteraceae        -          LKAP.g-Gut1_E11_087.seq -               30    1023       6    1010       2    1011    1462    +      6e-259  857.6  11.8  -
Halothiobacillaceae       -          LKAP.g-Gut1_E11_087.seq -               45    1040       7    1006       3    1011    1500    +    2.7e-257  852.3  12.2  -
Litoricolaceae            -          LKAP.g-Gut1_E11_087.seq -               35    1027       6    1005       3    1011    1474    +    3.8e-256  848.6  11.9  -
Ectothiorhodospiraceae    -          LKAP.g-Gut1_E11_087.seq -               34    1024       6    1002       2    1011    1463    +    1.3e-255  846.8  11.9  -
Succinivibrionaceae       -          LKAP.g-Gut1_E11_087.seq -               31    1003       7    1010       3    1011    1473    +      3e-255  845.5  11.7  -
Lysobacteraceae           -          LKAP.g-Gut1_E11_087.seq -               28    1028       6    1010       2    1011    1484    +    6.1e-255  844.5  11.9  -
Thioalkalispiraceae       -          LKAP.g-Gut1_E11_087.seq -               46    1041      12    1007       3    1011    1479    +    2.5e-253  839.1  11.9  -
Halomonadaceae            -          LKAP.g-Gut1_E11_087.seq -               27    1025       6    1010       2    1011    1466    +    5.8e-253  837.8  12.0  -
Cardiobacteriaceae        -          LKAP.g-Gut1_E11_087.seq -               36    1025       7    1005       4    1011    1464    +    7.8e-252  834.5  12.1  -
Thorselliaceae            -          LKAP.g-Gut1_E11_087.seq -               39     995      56    1010      34    1011    1419    +    3.2e-251  832.0  11.6  -
Microbulbiferaceae        -          LKAP.g-Gut1_E11_087.seq -               27    1019       6    1010       3    1011    1480    +    6.1e-251  831.4  11.8  -
