# target name             accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          A0519_LKAP-FHGF1_C11_091 -               27     963       9     936       3     936    1474    +           0 1142.1  22.9  -
Yersiniaceae              -          A0519_LKAP-FHGF1_C11_091 -               27     953       9     936       3     936    1473    +    4.4e-308 1020.5  23.0  -
Enterobacteriaceae        -          A0519_LKAP-FHGF1_C11_091 -               27     953       9     936       3     936    1465    +    5.7e-308 1020.2  23.0  -
Erwiniaceae               -          A0519_LKAP-FHGF1_C11_091 -               23     948      10     936       3     936    1483    +    2.4e-306 1014.8  22.9  -
Pectobacteriaceae         -          A0519_LKAP-FHGF1_C11_091 -               24     950       9     936       3     936    1477    +    4.5e-305 1010.5  23.0  -
Aeromonadaceae            -          A0519_LKAP-FHGF1_C11_091 -               39     967       9     936       3     936    1496    +    1.8e-304 1008.3  22.8  -
Alteromonadales           -          A0519_LKAP-FHGF1_C11_091 -               27     954       9     936       3     936    1468    +    5.5e-304 1006.6  22.9  -
Hafniaceae                -          A0519_LKAP-FHGF1_C11_091 -               21     947       9     936       3     936    1459    +    2.7e-301  997.9  22.9  -
Gammaproteobacteria       -          A0519_LKAP-FHGF1_C11_091 -               27     952       9     936       3     936    1481    +    1.5e-300  995.3  22.7  -
Ferrimonadaceae           -          A0519_LKAP-FHGF1_C11_091 -               24     963       8     936       2     936    1475    +      2e-300  994.9  22.7  -
Morganellaceae            -          A0519_LKAP-FHGF1_C11_091 -               30     956       9     936       3     936    1487    +    2.6e-299  991.6  22.9  -
Shewanellaceae            -          A0519_LKAP-FHGF1_C11_091 -               27     955       9     936       3     936    1483    +    2.7e-298  988.1  22.9  -
Alteromonadaceae          -          A0519_LKAP-FHGF1_C11_091 -               27     952       9     936       3     936    1468    +    1.8e-297  985.3  23.0  -
Pseudoalteromonadaceae    -          A0519_LKAP-FHGF1_C11_091 -               27     949       9     936       3     936    1469    +    1.5e-296  982.2  22.0  -
Idiomarinaceae            -          A0519_LKAP-FHGF1_C11_091 -               26     954       8     936       3     936    1466    +    1.4e-294  975.6  22.8  -
Budviciaceae              -          A0519_LKAP-FHGF1_C11_091 -               17     943       9     936       3     936    1483    +      9e-294  973.0  23.0  -
Oceanospirillaceae        -          A0519_LKAP-FHGF1_C11_091 -               27     954       9     936       3     936    1467    +    2.1e-287  951.9  22.6  -
Colwelliaceae             -          A0519_LKAP-FHGF1_C11_091 -               27     954       9     936       3     936    1467    +    2.7e-287  951.7  22.9  -
Psychromonadaceae         -          A0519_LKAP-FHGF1_C11_091 -               27     953       9     936       3     936    1467    +    2.5e-286  948.4  22.9  -
Moritellaceae             -          A0519_LKAP-FHGF1_C11_091 -               42     970       9     936       4     936    1501    +    1.1e-285  946.1  22.8  -
Thorselliaceae            -          A0519_LKAP-FHGF1_C11_091 -                6     922      14     936      10     936    1419    +    1.1e-284  942.9  23.3  -
Chromatiaceae             -          A0519_LKAP-FHGF1_C11_091 -               27     942       9     936       3     936    1455    +    1.4e-280  929.4  22.8  -
Oceanospirillales         -          A0519_LKAP-FHGF1_C11_091 -               33     958       9     936       3     936    1489    +    6.8e-280  926.9  22.9  -
Cellvibrionaceae          -          A0519_LKAP-FHGF1_C11_091 -               27     952       9     936       3     936    1472    +    4.5e-279  924.4  22.7  -
Pseudomonadaceae          -          A0519_LKAP-FHGF1_C11_091 -               34     957       9     936       3     936    1491    +    5.9e-279  923.9  22.5  -
Piscirickettsiaceae       -          A0519_LKAP-FHGF1_C11_091 -               29     956       9     936       3     936    1466    +    5.2e-277  917.4  22.8  -
Alcanivoracaceae          -          A0519_LKAP-FHGF1_C11_091 -               47     972       9     936       3     936    1504    +    8.1e-277  916.7  22.5  -
Pasteurellaceae           -          A0519_LKAP-FHGF1_C11_091 -               27     954       9     936       4     936    1422    +    9.3e-277  916.7  22.7  -
Celerinatantimonadaceae   -          A0519_LKAP-FHGF1_C11_091 -               22     960       9     936       3     936    1433    +    2.2e-273  905.6  23.0  -
Succinivibrionaceae       -          A0519_LKAP-FHGF1_C11_091 -               30     930       9     936       4     936    1473    +    1.1e-271  899.8  23.0  -
Orbaceae                  -          A0519_LKAP-FHGF1_C11_091 -               54     977       9     936       3     936    1539    +    5.3e-271  897.5  22.8  -
Lysobacteraceae           -          A0519_LKAP-FHGF1_C11_091 -               28     955       9     936       2     936    1484    +    6.8e-271  897.3  22.8  -
Methylococcaceae          -          A0519_LKAP-FHGF1_C11_091 -               41     960       9     936       4     936    1481    +    1.5e-270  896.1  22.6  -
Hahellaceae               -          A0519_LKAP-FHGF1_C11_091 -               23     951       7     936       2     936    1473    +    2.5e-269  892.1  22.8  -
Halothiobacillaceae       -          A0519_LKAP-FHGF1_C11_091 -               44     971       9     936       4     936    1500    +    2.7e-269  891.9  22.8  -
Thermoleophilaceae        -          A0519_LKAP-FHGF1_C11_091 -               20     954       9     936       3     936    1494    +    1.4e-267  886.2  22.6  -
Ectothiorhodospiraceae    -          A0519_LKAP-FHGF1_C11_091 -               34     959       9     936       3     936    1463    +      2e-266  882.5  22.7  -
Thioalkalispiraceae       -          A0519_LKAP-FHGF1_C11_091 -               40     971      10     936       3     936    1479    +    5.2e-266  881.0  22.8  -
Moraxellaceae             -          A0519_LKAP-FHGF1_C11_091 -               24     944       9     936       3     936    1468    +    2.3e-265  879.1  22.9  -
Halomonadaceae            -          A0519_LKAP-FHGF1_C11_091 -               27     952       9     936       3     936    1466    +    4.1e-265  878.0  22.8  -
Halieaceae                -          A0519_LKAP-FHGF1_C11_091 -               35     953       9     936       3     936    1484    +    8.3e-265  877.0  22.7  -
Spongiibacteraceae        -          A0519_LKAP-FHGF1_C11_091 -               29     950       8     936       2     936    1462    +    1.2e-263  873.1  22.4  -
