# target name                  accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#          ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Unclassified_Alteromonadales   -          LKAP.g-Gut1_F09_069.seq -               28     831       7     790       3     820    1467    +     2.6e-16   52.4   2.3  -
Idiomarinaceae                 -          LKAP.g-Gut1_F09_069.seq -               27     588       6     565       2     585    1466    +     3.7e-14   45.2   4.4  -
Colwelliaceae                  -          LKAP.g-Gut1_F09_069.seq -               29     586       8     564       4     585    1465    +     3.2e-13   42.4   4.8  -
Psychromonadaceae              -          LKAP.g-Gut1_F09_069.seq -               28     581       7     546       3     568    1467    +     4.7e-13   41.8   4.3  -
Unclassified_Oceanospirillales -          LKAP.g-Gut1_F09_069.seq -              186     576     174     554     149     579    1483    +     1.5e-12   39.9   2.1  -
Moritellaceae                  -          LKAP.g-Gut1_F09_069.seq -               43     603       7     563       4     584    1501    +     3.5e-12   38.8   4.4  -
Celerinatantimonadaceae        -          LKAP.g-Gut1_F09_069.seq -               23     585       7     545       4     579    1433    +     9.2e-12   37.6   4.6  -
Budviciaceae                   -          LKAP.g-Gut1_F09_069.seq -               18     579       7     566       4     586    1483    +     1.1e-11   37.2   5.2  -
Microbulbiferaceae             -          LKAP.g-Gut1_F09_069.seq -              224     557     209     538     186     558    1478    +     1.1e-10   34.1   4.1  -
Spongiibacteraceae             -          LKAP.g-Gut1_F09_069.seq -              213     578     200     546     175     567    1462    +     1.7e-10   33.2   3.5  -
Hafniaceae                     -          LKAP.g-Gut1_F09_069.seq -              291     582     278     565     254     585    1459    +     4.3e-10   31.9   1.4  -
Kangiellaceae                  -          LKAP.g-Gut1_F09_069.seq -               37     592       7     546       3     567    1479    +       5e-10   31.7   4.4  -
Alcanivoracaceae               -          LKAP.g-Gut1_F09_069.seq -              248     593     208     552     188     574    1504    +     6.3e-10   31.2   3.7  -
Granulosicoccaceae             -          LKAP.g-Gut1_F09_069.seq -               28     582       7     547       4     568    1471    +     8.2e-10   31.1   4.9  -
Halieaceae                     -          LKAP.g-Gut1_F09_069.seq -              231     579     209     556     189     584    1484    +     1.8e-09   29.9   3.4  -
Succinivibrionaceae            -          LKAP.g-Gut1_F09_069.seq -               31     567       7     564       3     586    1474    +     2.9e-09   29.2   5.2  -
Prolixibacteraceae             -          LKAP.g-Gut1_F09_069.seq -              149     573     131     546      21     566    1444    +     5.1e-09   28.4   3.8  -
Rubricoccaceae                 -          LKAP.g-Gut1_F09_069.seq -               32     557       6     523       2     544    1451    +     6.8e-09   28.1   4.6  -
Saccharospirillaceae           -          LKAP.g-Gut1_F09_069.seq -              227     556     212     537     190     568    1468    +     7.6e-09   27.8   4.2  -
Ferrimonadaceae                -          LKAP.g-Gut1_F09_069.seq -               28     596       7     563       2     584    1475    +       1e-08   27.2   4.5  -
Thorselliaceae                 -          LKAP.g-Gut1_F09_069.seq -              204     558     213     566     191     586    1419    +     1.4e-08   26.9   3.7  -
Persicobacteraceae             -          LKAP.g-Gut1_F09_069.seq -               28     577       7     549       3     631    1448    +     1.4e-08   27.1   5.1  -
Deferribacteraceae             -          LKAP.g-Gut1_F09_069.seq -              211     523     186     491     171     513    1514    +     1.6e-08   26.7   3.3  -
Thioalkalispiraceae            -          LKAP.g-Gut1_F09_069.seq -              245     581     208     540     184     561    1478    +     2.1e-08   26.2   4.0  -
Litoricolaceae                 -          LKAP.g-Gut1_F09_069.seq -              237     583     209     554     166     582    1474    +       3e-08   26.0   2.9  -
Crocinitomicaceae              -          LKAP.g-Gut1_F09_069.seq -              237     561     211     527     186     551    1465    +     3.1e-08   25.7   3.5  -
Haliscomenobacteraceae         -          LKAP.g-Gut1_F09_069.seq -              308     594     272     547     208     565    1484    +     3.3e-08   26.3   4.0  -
Arenicellaceae                 -          LKAP.g-Gut1_F09_069.seq -              279     582     265     564     211     585    1488    +       8e-08   24.5   3.5  -
Orbaceae                       -          LKAP.g-Gut1_F09_069.seq -              320     580     278     535     212     562    1538    +     1.1e-07   23.8   2.4  -
Nitrosomonadaceae              -          LKAP.g-Gut1_F09_069.seq -              239     579     220     547     197     584    1463    +     1.5e-07   23.8   3.9  -
Cryomorphaceae                 -          LKAP.g-Gut1_F09_069.seq -               35     685       8     650       4     660    1452    +     1.5e-07   23.7   3.6  -
Cardiobacteriaceae             -          LKAP.g-Gut1_F09_069.seq -              250     590     224     564     203     585    1462    +     2.7e-07   23.0   4.0  -
Sneathiellaceae                -          LKAP.g-Gut1_F09_069.seq -              233     602     232     617     210     633    1427    +     3.2e-07   22.6   5.0  -
Kordiimonadaceae               -          LKAP.g-Gut1_F09_069.seq -              212     599     211     618     189     637    1423    +     5.5e-07   22.0   4.2  -
Unclassified_Bacteroidales     -          LKAP.g-Gut1_F09_069.seq -               51     600       8     549       4     579    1485    +     5.6e-07   21.4   4.6  -
Saprospiraceae                 -          LKAP.g-Gut1_F09_069.seq -              307     587     278     547     253     567    1430    +     8.3e-07   21.6   1.4  -
Halobacteriovoracaceae         -          LKAP.g-Gut1_F09_069.seq -              276     657     243     618     201     638    1480    +     9.4e-07   20.8   3.3  -
Hyphomonadaceae                -          LKAP.g-Gut1_F09_069.seq -              184     526     200     548     179     599    1399    +     1.2e-06   21.0   3.8  -
Thermoleophilaceae             -          LKAP.g-Gut1_F09_069.seq -              230     566     212     547     191     585    1486    +     2.4e-06   19.5   4.0  -
Unclassified_Thiotrichales     -          LKAP.g-Gut1_F09_069.seq -              305     576     272     536     215     560    1517    +     2.8e-06   19.2   3.1  -
Balneolaceae                   -          LKAP.g-Gut1_F09_069.seq -              257     579     233     547     200     568    1463    +       3e-06   19.3   3.8  -
Odoribacteraceae               -          LKAP.g-Gut1_F09_069.seq -              264     702     230     652     209     669    1486    +     1.3e-05   17.0   2.9  -
Salinibacteraceae              -          LKAP.g-Gut1_F09_069.seq -              325     605     278     548     252     567    1497    +     1.3e-05   17.1   1.5  -
Thermithiobacillaceae          -          LKAP.g-Gut1_F09_069.seq -              224     543     223     538     196     558    1419    +     1.5e-05   17.1   4.1  -
Anaplasmataceae                -          LKAP.g-Gut1_F09_069.seq -              238     548     216     549     191     570    1438    +     2.3e-05   16.6   4.2  -
Bernardetiaceae                -          LKAP.g-Gut1_F09_069.seq -              297     644     278     612     216     634    1484    +     3.9e-05   15.5   3.0  -
Lewinellaceae                  -          LKAP.g-Gut1_F09_069.seq -              292     571     278     546     257     567    1446    +     4.1e-05   15.7   1.4  -
Unclassified_Calditrichaeota   -          LKAP.g-Gut1_F09_069.seq -              240     597     204     548     185     569    1483    +     9.4e-05   14.5   4.2  -
Salinisphaeraceae              -          LKAP.g-Gut1_F09_069.seq -              236     550     232     537     199     557    1432    +     0.00022   13.2   3.6  -
Microscillaceae                -          LKAP.g-Gut1_F09_069.seq -              285     562     281     548     258     628    1461    +     0.00056   11.7   1.4  -
Desulfobulbaceae               -          LKAP.g-Gut1_F09_069.seq -              340     593     310     546     261     566    1482    +     0.00063   11.5   0.9  -
Aerococcaceae                  -          LKAP.g-Gut1_F09_069.seq -              442     594     407     547     304     567    1474    +     0.00077   11.3   0.5  -
Desulfarculaceae               -          LKAP.g-Gut1_F09_069.seq -              383     609     337     548     305     568    1516    +      0.0042    8.8   0.7  -
Iamiaceae                      -          LKAP.g-Gut1_F09_069.seq -              300     563     276     547     249     568    1480    +      0.0044    9.0   2.7  -
Chroococcales                  -          LKAP.g-Gut1_F09_069.seq -              227     540     224     546     201     568    1444    +      0.0057    8.3   4.3  -
Acidobacteriaceae              -          LKAP.g-Gut1_F09_069.seq -              425     556     423     544     400     567    1463    +       0.011    7.4   0.8  -
Chloroflexaceae                -          LKAP.g-Gut1_F09_069.seq -              290     538     274     540     249     546    1474    +       0.028    6.5   3.4  -
Chrysiogenaceae                -          LKAP.g-Gut1_F09_069.seq -              438     559     418     527     209     549    1513    +       0.055    5.1   2.5  -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP.g-Gut1_F09_069.seq.fa
# Target file:     /root/Github/Project_Mendel/Data/Family_Database
# Option settings: nhmmscan --tblout /root/Github/Project_Mendel/Data/MSA_Scans_From_nhmmerscan/LKAP.g-Gut1_F09_069.seq.txt --noali /root/Github/Project_Mendel/Data/Family_Database /root/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP.g-Gut1_F09_069.seq.fa 
# Current dir:     /root/Github/Project_Mendel/source_code
# Date:            Wed Jun 10 11:17:16 2020
# [ok]
