# target name                    accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Sutterellaceae                   -          F0612_LKAP-FHGF1_E06_040 -               19     704       3     691       1     692    1487    +    3.7e-209  691.0  14.4  -
Methylophilaceae                 -          F0612_LKAP-FHGF1_E06_040 -                3     686       6     691       4     692    1430    +    2.3e-199  658.7  14.2  -
Sulfuricellaceae                 -          F0612_LKAP-FHGF1_E06_040 -               19     702       3     691       1     692    1462    +    3.7e-199  658.1  14.4  -
Thiobacilliaceae                 -          F0612_LKAP-FHGF1_E06_040 -               38     719       3     691       1     692    1517    +    3.6e-193  638.3  14.4  -
Nitrosomonadaceae                -          F0612_LKAP-FHGF1_E06_040 -               19     703       3     691       1     692    1463    +      6e-191  631.0  14.9  -
Zoogloeaceae                     -          F0612_LKAP-FHGF1_E06_040 -               26     707       3     691       2     692    1474    +    9.7e-191  630.2  14.3  -
Hydrogenophilaceae               -          F0612_LKAP-FHGF1_E06_040 -               22     700       6     691       2     692    1462    +    2.9e-190  628.9  14.2  -
Granulosicoccaceae               -          F0612_LKAP-FHGF1_E06_040 -               21     704       5     689       2     691    1471    +    2.2e-188  622.4  14.4  -
Azonexaceae                      -          F0612_LKAP-FHGF1_E06_040 -               21     704       4     691       2     692    1474    +    1.6e-187  619.7  14.4  -
Thioalkalispiraceae              -          F0612_LKAP-FHGF1_E06_040 -               40     719      10     689       2     691    1478    +    1.9e-185  612.5  14.3  -
Aeromonadaceae                   -          F0612_LKAP-FHGF1_E06_040 -               39     718      10     689       2     691    1496    +    2.4e-185  612.0  14.6  -
Unclassified_Oceanospirillales   -          F0612_LKAP-FHGF1_E06_040 -               29     703       8     689       2     691    1483    +    2.6e-184  608.6  14.0  -
Halothiobacillaceae              -          F0612_LKAP-FHGF1_E06_040 -               37     723       4     691       1     692    1501    +    8.2e-184  607.1  14.4  -
Ferrimonadaceae                  -          F0612_LKAP-FHGF1_E06_040 -               26     714       9     689       2     691    1475    +    8.1e-179  590.4  14.7  -
Kangiellaceae                    -          F0612_LKAP-FHGF1_E06_040 -               30     714       5     688       2     691    1479    +      5e-178  587.9  14.4  -
