# target name                                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Pseudomonadaceae_Pseudomonas                     -          B2a_forward          -               21    1100      17    1110       3    1118    1502    +           0 1182.1  21.8  -
Pseudomonadaceae_Azomonas                        -          B2a_forward          -                7    1078      27    1110      21    1118    1453    +           0 1140.3  20.8  -
Pseudomonadaceae_Azotobacter                     -          B2a_forward          -               21    1097      17    1110       3    1118    1473    +           0 1137.4  21.8  -
Thermoleophilaceae_Thermoleophilum               -          B2a_forward          -                7    1081      17    1088       7    1108    1494    +           0 1052.7  22.2  -
Alteromonadaceae_Marinobacter                    -          B2a_forward          -               16    1077      19    1088       3    1109    1478    +           0 1046.0  22.2  -
Microbulbiferaceae_Microbulbifer                 -          B2a_forward          -               64    1078      69    1096      45    1114    1480    +           0 1044.2  20.6  -
Alteromonadaceae_Marinobacterium                 -          B2a_forward          -               15    1079      18    1088       3    1109    1465    +           0 1038.8  22.3  -
Oceanospirillaceae_Marinomonas                   -          B2a_forward          -               19    1079      22    1088       4    1109    1467    +           0 1031.2  22.4  -
Cellvibrionaceae_Cellvibrio                      -          B2a_forward          -               35    1098      18    1096       3    1114    1505    +           0 1025.9  21.9  -
Oceanospirillaceae_Marinospirillum               -          B2a_forward          -               15    1071      18    1088       3    1109    1451    +           0 1025.4  21.7  -
Oceanospirillaceae_Oceanospirillum               -          B2a_forward          -               15    1078      18    1088       3    1109    1462    +    1.9e-306 1018.0  22.2  -
Oceanospirillaceae_Thalassolituus                -          B2a_forward          -               24    1101      20    1110       3    1117    1476    +    6.1e-306 1016.2  21.6  -
Alcanivoracaceae_Alcanivorax                     -          B2a_forward          -               34    1104      17    1096       3    1114    1505    +    9.5e-306 1015.5  21.9  -
Oceanospirillaceae_Amphritea                     -          B2a_forward          -               16    1077      19    1088       3    1109    1463    +      2e-304 1011.2  22.0  -
Alcanivoracaceae_Pseudohongiella                 -          B2a_forward          -               16    1077      19    1088       3    1109    1461    +    1.4e-302 1005.2  22.1  -
Cellvibrionaceae_Simiduia                        -          B2a_forward          -               18    1086      21    1099       3    1115    1463    +      3e-302 1004.0  21.6  -
Cellvibrionaceae_Umboniibacter                   -          B2a_forward          -               77    1053      70    1052      50    1084    1507    +    2.9e-301 1001.0  20.9  -
Oceanospirillaceae_Neptunomonas                  -          B2a_forward          -               17    1079      20    1088       4    1109    1484    +    1.4e-299  995.1  22.0  -
Cellvibrionaceae_Gilvimarinus                    -          B2a_forward          -               60    1074      69    1096      46    1114    1445    +    2.3e-299  994.4  20.6  -
Moraxellaceae_Acinetobacter                      -          B2a_forward          -               14    1071      21    1088       5    1108    1463    +      3e-299  994.2  22.1  -
Hahellaceae_Endozoicomonas                       -          B2a_forward          -               35    1080      18    1063       3    1108    1524    +      5e-299  993.4  22.2  -
Oceanospirillaceae_Neptuniibacter                -          B2a_forward          -               48    1104      24    1088       4    1109    1541    +    2.1e-298  991.1  21.8  -
Methylococcaceae_Methylococcus                   -          B2a_forward          -               70    1090      62    1096      38    1114    1482    +    8.8e-298  989.2  20.7  -
Spongiibacteraceae_Spongiibacter                 -          B2a_forward          -               69    1086      70    1104      50    1116    1441    +    5.2e-297  986.5  20.5  -
Halomonadaceae_Halomonas                         -          B2a_forward          -               14    1079      17    1089       3    1109    1463    +    1.4e-296  985.2  22.2  -
Hahellaceae_Kistimonas                           -          B2a_forward          -               35    1098      18    1088       3    1108    1506    +    2.3e-294  977.9  22.3  -
Hahellaceae_Hahella                              -          B2a_forward          -               92    1104      65    1089      43    1109    1539    +    2.4e-294  977.9  21.1  -
Halomonadaceae_Salinicola                        -          B2a_forward          -               15    1078      18    1089       3    1109    1471    +      5e-294  976.7  22.1  -
Halieaceae_Halioglobus                           -          B2a_forward          -               65    1083      69    1104      48    1115    1433    +      3e-293  974.3  20.7  -
Cellvibrionaceae_Eionea                          -          B2a_forward          -               69    1087      70    1104      46    1115    1469    +    4.4e-293  973.6  20.6  -
Halomonadaceae_Cobetia                           -          B2a_forward          -               83    1090      69    1089      45    1109    1516    +    1.6e-292  971.8  20.9  -
Moraxellaceae_Moraxella                          -          B2a_forward          -               15    1068      26    1097       8    1117    1446    +    3.8e-292  970.6  20.9  -
Oceanospirillaceae_Nitrincola                    -          B2a_forward          -               28    1084      21    1089       3    1109    1477    +    7.7e-292  969.5  22.1  -
Cellvibrionaceae_Pseudomaricurvus                -          B2a_forward          -               65    1082      70    1104      47    1115    1490    +      3e-291  967.4  20.7  -
Idiomarinaceae_Idiomarina                        -          B2a_forward          -               19    1050      17    1044       3    1070    1471    +    3.8e-291  967.0  22.1  -
Halieaceae_Haliea                                -          B2a_forward          -               87    1099      70    1096      49    1114    1500    +    1.9e-290  964.9  20.6  -
Cellvibrionaceae_Marinimicrobium                 -          B2a_forward          -               64    1083      69    1104      49    1115    1455    +    2.6e-290  964.4  20.7  -
Halomonadaceae_Kushneria                         -          B2a_forward          -               19    1089      18    1098       3    1112    1461    +    2.9e-290  964.2  22.2  -
Shewanellaceae_Shewanella                        -          B2a_forward          -               15    1046      18    1044       4    1079    1483    +    7.3e-290  963.0  22.0  -
Colwelliaceae_Colwellia                          -          B2a_forward          -               22    1078      25    1087       5    1108    1485    +    8.2e-290  962.8  21.9  -
Halieaceae_Parahaliea                            -          B2a_forward          -               24    1081      27    1099       6    1114    1498    +    1.7e-289  961.8  21.2  -
Saccharospirillaceae_Saccharospirillum           -          B2a_forward          -               17    1072      19    1088       3    1109    1459    +    4.1e-289  960.6  21.6  -
Hahellaceae_Zooshikella                          -          B2a_forward          -               20    1093      23    1110       3    1118    1483    +    4.3e-289  960.5  21.7  -
