# target name                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Dermabacteraceae                 -          LKAP-GUTHK2_H11_081_2017_1 -               18    1226       8    1215       2    1228    1470    +           0 1305.9  33.3  -
Dermacoccaceae                   -          LKAP-GUTHK2_H11_081_2017_1 -               21    1215      18    1215       2    1235    1454    +           0 1295.9  33.0  -
Cellulomonadaceae                -          LKAP-GUTHK2_H11_081_2017_1 -               16    1219       8    1212       2    1223    1461    +           0 1284.4  33.9  -
Dermatophilaceae                 -          LKAP-GUTHK2_H11_081_2017_1 -               16    1222       7    1214       2    1230    1481    +           0 1278.4  33.6  -
Bogoriellaceae                   -          LKAP-GUTHK2_H11_081_2017_1 -               26    1217      19    1205       2    1223    1472    +           0 1269.4  33.5  -
Kineosporiaceae                  -          LKAP-GUTHK2_H11_081_2017_1 -               19    1220       7    1212       2    1227    1463    +           0 1265.8  33.5  -
Sanguibacteraceae                -          LKAP-GUTHK2_H11_081_2017_1 -               29    1233       8    1212       2    1223    1483    +           0 1259.7  34.0  -
Demequinaceae                    -          LKAP-GUTHK2_H11_081_2017_1 -               12    1218       8    1213       3    1226    1480    +           0 1244.5  33.6  -
Unclassified_Micrococcales       -          LKAP-GUTHK2_H11_081_2017_1 -               11    1216       7    1214       3    1227    1475    +           0 1237.9  33.5  -
Beutenbergiaceae                 -          LKAP-GUTHK2_H11_081_2017_1 -               11    1222       7    1215       3    1228    1473    +           0 1232.6  33.5  -
Jonesiaceae                      -          LKAP-GUTHK2_H11_081_2017_1 -               31    1255       8    1215       2    1235    1513    +           0 1218.5  32.9  -
Ruaniaceae                       -          LKAP-GUTHK2_H11_081_2017_1 -               35    1252       7    1214       3    1235    1531    +           0 1215.1  32.9  -
Unclassified_Corynebacterineae   -          LKAP-GUTHK2_H11_081_2017_1 -               11    1218       7    1216       3    1237    1475    +           0 1193.9  32.9  -
Nakamurellaceae                  -          LKAP-GUTHK2_H11_081_2017_1 -               12    1212       8    1212       3    1223    1462    +           0 1179.2  33.6  -
Jiangellaceae                    -          LKAP-GUTHK2_H11_081_2017_1 -               19    1226       9    1215       2    1228    1501    +           0 1176.7  33.5  -
Frankiaceae                      -          LKAP-GUTHK2_H11_081_2017_1 -               33    1226       8    1213       3    1227    1499    +           0 1168.1  33.1  -
Rarobacteraceae                  -          LKAP-GUTHK2_H11_081_2017_1 -                3    1205      10    1215       8    1224    1464    +           0 1165.1  32.5  -
