# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Microbacteriaceae         -          LKAP-GUTHK2_G10_068_2017_1 -               22    1251      14    1227       1    1247    1464    +           0 1340.8  29.0  -
Intrasporangiaceae        -          LKAP-GUTHK2_G10_068_2017_1 -               20    1246      15    1224       1    1246    1461    +           0 1256.0  28.9  -
Cellulomonadaceae         -          LKAP-GUTHK2_G10_068_2017_1 -               26    1249      17    1227       1    1247    1465    +           0 1243.1  29.0  -
Micrococcaceae            -          LKAP-GUTHK2_G10_068_2017_1 -               29    1260      15    1227       1    1247    1476    +           0 1242.9  28.9  -
Dermacoccaceae            -          LKAP-GUTHK2_G10_068_2017_1 -               18    1218      16    1205       2    1226    1456    +           0 1235.6  28.5  -
Ruaniaceae                -          LKAP-GUTHK2_G10_068_2017_1 -               44    1249      15    1201       1    1221    1531    +           0 1235.4  28.6  -
Bogoriellaceae            -          LKAP-GUTHK2_G10_068_2017_1 -               20    1249      15    1227       1    1247    1470    +           0 1235.1  29.3  -
Promicromonosporaceae     -          LKAP-GUTHK2_G10_068_2017_1 -               19    1243      14    1227       1    1247    1462    +           0 1234.7  28.9  -
Sanguibacteraceae         -          LKAP-GUTHK2_G10_068_2017_1 -               37    1261      15    1227       1    1248    1483    +           0 1231.0  29.0  -
Beutenbergiaceae          -          LKAP-GUTHK2_G10_068_2017_1 -               18    1242      12    1223       1    1246    1472    +           0 1229.6  28.3  -
Brevibacteriaceae         -          LKAP-GUTHK2_G10_068_2017_1 -               36    1241      19    1206       1    1233    1487    +           0 1224.1  29.0  -
Demequinaceae             -          LKAP-GUTHK2_G10_068_2017_1 -               20    1244      15    1227       1    1245    1478    +           0 1218.3  29.0  -
Dermabacteraceae          -          LKAP-GUTHK2_G10_068_2017_1 -               28    1254      14    1228       1    1248    1470    +           0 1211.7  29.4  -
Kineosporiaceae           -          LKAP-GUTHK2_G10_068_2017_1 -               28    1248      15    1226       1    1247    1463    +           0 1207.6  29.1  -
Dermatophilaceae          -          LKAP-GUTHK2_G10_068_2017_1 -               25    1223      15    1205       1    1226    1480    +           0 1203.4  29.1  -
Micrococcales             -          LKAP-GUTHK2_G10_068_2017_1 -               20    1242      15    1227       1    1247    1475    +           0 1193.9  28.8  -
Jonesiaceae               -          LKAP-GUTHK2_G10_068_2017_1 -               44    1281      17    1227       1    1247    1514    +           0 1191.7  29.2  -
Actinomycetaceae          -          LKAP-GUTHK2_G10_068_2017_1 -               22    1252      17    1205       1    1225    1468    +           0 1179.0  29.0  -
Pseudonocardiaceae        -          LKAP-GUTHK2_G10_068_2017_1 -               26    1227      15    1206       1    1226    1475    +           0 1171.7  29.2  -
Streptomycetaceae         -          LKAP-GUTHK2_G10_068_2017_1 -               20    1248      15    1226       1    1246    1479    +           0 1156.1  29.6  -
Corynebacteriaceae        -          LKAP-GUTHK2_G10_068_2017_1 -               19    1227      15    1206       1    1233    1459    +           0 1149.9  29.2  -
Nocardioidaceae           -          LKAP-GUTHK2_G10_068_2017_1 -               20    1244      15    1227       1    1247    1455    +           0 1147.4  29.3  -
Geodermatophilaceae       -          LKAP-GUTHK2_G10_068_2017_1 -               32    1257      14    1227       1    1247    1479    +           0 1144.8  29.3  -
