# target name             accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          A0224_LKAP-FHGF1_C07_059 -               21     881       6     858       1     860    1474    +           0 1040.7  20.8  -
Enterobacteriaceae        -          A0224_LKAP-FHGF1_C07_059 -               21     870       6     857       1     860    1465    +    3.7e-279  924.6  20.9  -
Yersiniaceae              -          A0224_LKAP-FHGF1_C07_059 -               21     870       6     857       1     860    1473    +    5.7e-279  923.9  21.0  -
Erwiniaceae               -          A0224_LKAP-FHGF1_C07_059 -               16     865       6     857       1     860    1483    +    3.2e-277  918.1  20.9  -
Aeromonadaceae            -          A0224_LKAP-FHGF1_C07_059 -               33     884       6     857       1     860    1496    +    1.4e-275  912.4  20.8  -
Pectobacteriaceae         -          A0224_LKAP-FHGF1_C07_059 -               18     867       6     857       1     860    1477    +      1e-274  909.7  20.9  -
Alteromonadales           -          A0224_LKAP-FHGF1_C07_059 -               21     871       6     857       1     860    1468    +    6.7e-274  906.8  20.7  -
Hafniaceae                -          A0224_LKAP-FHGF1_C07_059 -               15     864       6     857       1     860    1459    +    3.4e-271  898.0  20.9  -
Ferrimonadaceae           -          A0224_LKAP-FHGF1_C07_059 -               21     880       6     857       1     860    1475    +    5.9e-271  897.1  20.8  -
Gammaproteobacteria       -          A0224_LKAP-FHGF1_C07_059 -               21     869       6     857       1     860    1481    +    2.7e-270  895.0  20.6  -
Morganellaceae            -          A0224_LKAP-FHGF1_C07_059 -               24     873       6     857       1     860    1487    +    8.2e-269  890.4  20.8  -
Shewanellaceae            -          A0224_LKAP-FHGF1_C07_059 -               21     872       6     857       1     860    1483    +    4.4e-268  887.8  20.7  -
Pseudoalteromonadaceae    -          A0224_LKAP-FHGF1_C07_059 -               21     866       6     857       1     860    1469    +    7.1e-268  887.0  19.9  -
Alteromonadaceae          -          A0224_LKAP-FHGF1_C07_059 -               21     869       6     857       1     860    1468    +    3.8e-267  884.6  20.9  -
Budviciaceae              -          A0224_LKAP-FHGF1_C07_059 -               11     860       6     857       1     860    1483    +    2.4e-266  882.0  21.0  -
Idiomarinaceae            -          A0224_LKAP-FHGF1_C07_059 -               21     871       6     857       1     860    1466    +    1.5e-264  875.9  20.8  -
Colwelliaceae             -          A0224_LKAP-FHGF1_C07_059 -               22     871       7     857       1     860    1467    +    2.7e-258  855.4  20.9  -
Oceanospirillaceae        -          A0224_LKAP-FHGF1_C07_059 -               21     871       6     857       1     860    1467    +      3e-257  851.8  20.5  -
Psychromonadaceae         -          A0224_LKAP-FHGF1_C07_059 -               21     870       6     857       1     860    1467    +    3.2e-257  851.9  20.7  -
Moritellaceae             -          A0224_LKAP-FHGF1_C07_059 -               37     887       7     857       1     860    1501    +    1.5e-256  849.5  20.7  -
Thorselliaceae            -          A0224_LKAP-FHGF1_C07_059 -                1     839      13     857      13     860    1419    +    3.6e-253  838.3  21.2  -
Oceanospirillales         -          A0224_LKAP-FHGF1_C07_059 -               27     875       6     857       1     860    1489    +    5.3e-252  834.3  20.8  -
Chromatiaceae             -          A0224_LKAP-FHGF1_C07_059 -               21     859       6     857       1     860    1455    +    7.8e-250  827.4  20.8  -
Cellvibrionaceae          -          A0224_LKAP-FHGF1_C07_059 -               21     870       6     858       1     860    1472    +    3.2e-249  825.3  20.6  -
Pseudomonadaceae          -          A0224_LKAP-FHGF1_C07_059 -               28     874       6     857       1     860    1491    +    2.2e-248  822.4  20.2  -
Piscirickettsiaceae       -          A0224_LKAP-FHGF1_C07_059 -               23     874       6     858       1     860    1466    +    4.3e-247  818.2  20.7  -
Pasteurellaceae           -          A0224_LKAP-FHGF1_C07_059 -               22     871       7     857       1     860    1422    +    1.9e-246  816.1  20.7  -
Alcanivoracaceae          -          A0224_LKAP-FHGF1_C07_059 -               41     889       6     857       1     860    1504    +    2.1e-246  815.8  20.5  -
Celerinatantimonadaceae   -          A0224_LKAP-FHGF1_C07_059 -               16     877       6     857       1     860    1433    +    5.4e-245  811.4  20.7  -
Lysobacteraceae           -          A0224_LKAP-FHGF1_C07_059 -               22     873       6     858       1     861    1484    +    2.1e-243  806.1  20.9  -
Orbaceae                  -          A0224_LKAP-FHGF1_C07_059 -               49     894       7     857       1     860    1539    +    1.3e-242  803.4  20.7  -
