# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Micrococcaceae            -          LKAP-GUTHK2_H11_081_2017_1 -               21    1246       8    1227       2    1239    1476    +           0 1363.9  32.5  -
Dermabacteraceae          -          LKAP-GUTHK2_H11_081_2017_1 -               20    1228       7    1215       2    1229    1470    +           0 1310.1  33.5  -
Intrasporangiaceae        -          LKAP-GUTHK2_H11_081_2017_1 -               12    1216       8    1206       2    1224    1461    +           0 1297.2  34.0  -
Dermacoccaceae            -          LKAP-GUTHK2_H11_081_2017_1 -                9    1217       8    1215       3    1235    1456    +           0 1296.1  33.3  -
Microbacteriaceae         -          LKAP-GUTHK2_H11_081_2017_1 -               15    1225       8    1214       2    1224    1464    +           0 1295.7  33.9  -
Cellulomonadaceae         -          LKAP-GUTHK2_H11_081_2017_1 -               16    1221       8    1212       2    1223    1465    +           0 1294.8  33.9  -
Brevibacteriaceae         -          LKAP-GUTHK2_H11_081_2017_1 -               22    1229       8    1204       2    1233    1487    +           0 1279.6  33.4  -
Promicromonosporaceae     -          LKAP-GUTHK2_H11_081_2017_1 -               12    1217       8    1214       2    1226    1462    +           0 1271.8  33.5  -
Bogoriellaceae            -          LKAP-GUTHK2_H11_081_2017_1 -               11    1215       7    1205       2    1223    1470    +           0 1271.6  33.9  -
Dermatophilaceae          -          LKAP-GUTHK2_H11_081_2017_1 -               16    1221       7    1214       3    1232    1480    +           0 1267.7  33.1  -
Kineosporiaceae           -          LKAP-GUTHK2_H11_081_2017_1 -               19    1221       7    1212       2    1227    1463    +           0 1264.3  33.9  -
Sanguibacteraceae         -          LKAP-GUTHK2_H11_081_2017_1 -               29    1233       8    1212       2    1223    1483    +           0 1258.3  34.1  -
Demequinaceae             -          LKAP-GUTHK2_H11_081_2017_1 -               12    1217       8    1213       3    1226    1478    +           0 1243.4  33.6  -
