# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Aeromonadaceae                   -          LKAP-GutHK_A03_031   -               22    1012       5     992       2     993    1496    +           0 1133.7  22.6  -
Ferrimonadaceae                  -          LKAP-GutHK_A03_031   -               10    1009       5     993       2     993    1475    +           0 1133.2  22.6  -
Unclassified_Alteromonadales     -          LKAP-GutHK_A03_031   -               10     999       5     993       2     993    1467    +           0 1105.3  22.8  -
Moritellaceae                    -          LKAP-GutHK_A03_031   -               25    1016       5     993       2     993    1501    +           0 1097.9  22.6  -
Colwelliaceae                    -          LKAP-GutHK_A03_031   -               10     998       5     993       2     993    1465    +           0 1036.6  22.7  -
Budviciaceae                     -          LKAP-GutHK_A03_031   -                2     988       7     992       6     993    1483    +           0 1031.6  22.4  -
Psychromonadaceae                -          LKAP-GutHK_A03_031   -               10     995       5     989       2     993    1467    +           0 1028.1  22.5  -
Spongiibacteraceae               -          LKAP-GutHK_A03_031   -               13     996       5     993       2     993    1462    +    7.3e-308 1018.7  22.6  -
Idiomarinaceae                   -          LKAP-GutHK_A03_031   -                9     999       4     992       2     993    1466    +    1.1e-306 1014.7  22.8  -
Unclassified_Oceanospirillales   -          LKAP-GutHK_A03_031   -               15     998       5     993       2     993    1483    +    2.5e-306 1013.6  22.7  -
Alcanivoracaceae                 -          LKAP-GutHK_A03_031   -               30    1018       5     993       2     993    1504    +    3.8e-304 1006.4  22.7  -
Hafniaceae                       -          LKAP-GutHK_A03_031   -                4     992       5     992       2     993    1459    +    4.5e-304 1006.2  22.5  -
Litoricolaceae                   -          LKAP-GutHK_A03_031   -               18    1005       5     993       2     993    1474    +    5.4e-303 1002.9  22.7  -
Celerinatantimonadaceae          -          LKAP-GutHK_A03_031   -                5    1006       5     993       2     993    1433    +    1.2e-301  998.4  22.7  -
Halieaceae                       -          LKAP-GutHK_A03_031   -               18     999       5     993       2     993    1484    +    1.5e-301  998.0  22.2  -
Thioalkalispiraceae              -          LKAP-GutHK_A03_031   -               25    1016       8     993       2     993    1478    +    1.4e-300  994.6  22.4  -
Microbulbiferaceae               -          LKAP-GutHK_A03_031   -               10     992       5     993       2     993    1478    +    2.5e-296  980.8  22.3  -
Succinivibrionaceae              -          LKAP-GutHK_A03_031   -               13     972       5     989       2     993    1474    +    1.2e-294  975.0  23.3  -
