# target name                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Listeriaceae                     -          LKAP-TSA1KG_A12_096_2018_1 -               15     625      16     622       9     622    1448    +    2.3e-191  632.3  14.2  -
Sporolactobacillaceae            -          LKAP-TSA1KG_A12_096_2018_1 -               28     636      16     622       9     622    1503    +    1.2e-186  616.4  14.2  -
Aerococcaceae                    -          LKAP-TSA1KG_A12_096_2018_1 -               29     642      17     622      10     622    1474    +    1.8e-185  612.6  14.2  -
Acidaminococcaceae               -          LKAP-TSA1KG_A12_096_2018_1 -               71     650      53     622      27     622    1506    +    1.2e-148  490.4  14.1  -
Heliobacteriaceae                -          LKAP-TSA1KG_A12_096_2018_1 -               46     626      17     621      11     622    1502    +    6.1e-147  484.9  15.2  -
Geobacteraceae                   -          LKAP-TSA1KG_A12_096_2018_1 -               37     650      17     622      11     622    1485    +    9.9e-147  484.1  14.3  -
Desulfuromonadaceae              -          LKAP-TSA1KG_A12_096_2018_1 -               47     661      17     622      11     622    1519    +    4.2e-142  468.8  14.3  -
Deferribacteraceae               -          LKAP-TSA1KG_A12_096_2018_1 -               36     639      17     622      11     622    1514    +    9.9e-141  464.2  14.3  -
Thermoleophilaceae               -          LKAP-TSA1KG_A12_096_2018_1 -               26     626      22     622      14     622    1486    +    1.2e-140  464.0  14.5  -
Rubrobacteraceae                 -          LKAP-TSA1KG_A12_096_2018_1 -               28     631      16     621       6     622    1494    +    2.5e-137  453.0  15.0  -
Symbiobacteriaceae               -          LKAP-TSA1KG_A12_096_2018_1 -               12     633       9     622       3     622    1487    +    2.6e-137  453.3  14.3  -
Desulfohalobiaceae               -          LKAP-TSA1KG_A12_096_2018_1 -               33     657      17     622      12     622    1510    +    6.6e-137  451.5  14.5  -
Natranaerobiaceae                -          LKAP-TSA1KG_A12_096_2018_1 -                7     603      17     622      11     622    1426    +    1.2e-136  450.7  15.1  -
Unclassified_Acidobacteria       -          LKAP-TSA1KG_A12_096_2018_1 -               49     659      17     621      12     622    1505    +    1.3e-136  451.1  14.3  -
Desulfonatronaceae               -          LKAP-TSA1KG_A12_096_2018_1 -               29     643      17     622      10     622    1495    +    2.2e-136  449.8  14.7  -
Unclassified_Deltaproteobacteria -          LKAP-TSA1KG_A12_096_2018_1 -               45     661      17     622      11     622    1518    +    5.6e-136  448.6  14.2  -
Bdellovibrionaceae               -          LKAP-TSA1KG_A12_096_2018_1 -               25     598      17     622      11     622    1430    +    1.5e-134  443.8  15.5  -
Halanaerobiaceae                 -          LKAP-TSA1KG_A12_096_2018_1 -               40     663      17     622      12     622    1506    +    3.2e-134  442.6  14.0  -
Entomoplasmataceae               -          LKAP-TSA1KG_A12_096_2018_1 -               36     628      17     620      11     622    1498    +    3.9e-134  442.7  14.8  -
Thermolithobacteraceae           -          LKAP-TSA1KG_A12_096_2018_1 -               49     674      17     622      11     622    1546    +    3.7e-132  435.6  14.3  -
Syntrophaceae                    -          LKAP-TSA1KG_A12_096_2018_1 -               46     660      17     622      13     622    1556    +    5.5e-132  435.2  14.2  -
Nitrospiraceae                   -          LKAP-TSA1KG_A12_096_2018_1 -               35     615      17     621      12     622    1480    +    1.1e-131  434.4  15.3  -
Desulfomicrobiaceae              -          LKAP-TSA1KG_A12_096_2018_1 -               39     646      17     621      11     622    1495    +    1.8e-131  433.6  14.1  -
Caldicoprobacteraceae            -          LKAP-TSA1KG_A12_096_2018_1 -               45     638      17     622      11     622    1531    +    2.3e-131  433.1  15.5  -
Desulfobulbaceae                 -          LKAP-TSA1KG_A12_096_2018_1 -               29     642      17     622      10     622    1482    +    2.5e-131  433.1  14.3  -
Bogoriellaceae                   -          LKAP-TSA1KG_A12_096_2018_1 -               29     615      17     622       7     622    1472    +    1.1e-130  430.9  15.3  -
Anaeroplasmataceae               -          LKAP-TSA1KG_A12_096_2018_1 -               56     631      17     622      11     622    1453    +    1.2e-130  430.9  14.8  -
Thermotogaceae                   -          LKAP-TSA1KG_A12_096_2018_1 -               47     647      17     619      11     621    1544    +      2e-130  430.2  14.3  -
Solirubrobacteraceae             -          LKAP-TSA1KG_A12_096_2018_1 -               12     617      16     622      10     622    1443    +    1.5e-129  427.2  14.5  -
Halothiobacillaceae              -          LKAP-TSA1KG_A12_096_2018_1 -               46     647      17     622       9     622    1501    +    4.9e-129  425.4  13.9  -
Leptospiraceae                   -          LKAP-TSA1KG_A12_096_2018_1 -               28     603      16     622      11     622    1433    +    5.4e-129  425.4  14.9  -
Patulibacteraceae                -          LKAP-TSA1KG_A12_096_2018_1 -               49     639      17     622      11     622    1494    +    8.7e-129  424.5  14.8  -
Parviterribacteraceae            -          LKAP-TSA1KG_A12_096_2018_1 -               29     618      17     621      10     622    1456    +      1e-128  424.5  14.2  -
Bacteriovoracaceae               -          LKAP-TSA1KG_A12_096_2018_1 -               29     632      17     617      11     622    1473    +      1e-128  424.4  13.5  -
Unclassified_Calditrichaeota     -          LKAP-TSA1KG_A12_096_2018_1 -               36     644      17     622      12     622    1483    +    1.1e-128  424.6  14.5  -
Sanguibacteraceae                -          LKAP-TSA1KG_A12_096_2018_1 -               45     625      16     622       9     622    1483    +    1.9e-128  423.6  15.4  -
Cellulomonadaceae                -          LKAP-TSA1KG_A12_096_2018_1 -               32     611      16     622       9     622    1461    +    5.4e-128  422.2  15.5  -
Kineosporiaceae                  -          LKAP-TSA1KG_A12_096_2018_1 -               37     611      17     622       9     622    1463    +    1.8e-127  420.5  15.6  -
Conexibacteraceae                -          LKAP-TSA1KG_A12_096_2018_1 -               49     654      17     622      10     622    1536    +    4.6e-127  418.7  14.8  -
