# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Alcaligenaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               25     919      19     918       6     918    1467    +           0 1063.1  17.9  -
Neisseriaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               41     937      21     918       9     918    1477    +    2.1e-289  958.6  18.2  -
Burkholderiaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               25     916      19     918       9     918    1482    +    1.8e-286  949.0  18.4  -
Sutterellaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               27     920      21     918       7     918    1487    +    2.6e-286  948.2  18.3  -
Oxalobacteraceae          -          LKAP-TSAKG2_D07_057_2018_2 -               24     918      18     918       7     918    1459    +    3.3e-284  941.5  18.5  -
Chromobacteriaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               24     915      19     918       6     918    1460    +    1.1e-282  936.5  18.0  -
Rhodocyclaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               27     920      21     918       8     918    1484    +    3.9e-281  931.2  18.3  -
Burkholderiales           -          LKAP-TSAKG2_D07_057_2018_2 -               26     917      20     918       8     918    1463    +    3.2e-279  924.9  18.3  -
Methylophilaceae          -          LKAP-TSAKG2_D07_057_2018_2 -                9     906      20     917      13     918    1431    +      1e-276  916.7  18.3  -
Sulfuricellaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               28     920      21     917       9     918    1463    +    1.2e-271  899.8  18.6  -
Comamonadaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               25     916      19     918       8     918    1466    +    2.7e-271  898.3  18.1  -
Gammaproteobacteria       -          LKAP-TSAKG2_D07_057_2018_2 -               26     916      20     912       8     917    1481    +    1.3e-268  889.5  18.2  -
Thiobacilliaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               46     937      21     918       8     918    1517    +    1.5e-265  879.6  18.8  -
Nitrosomonadaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               27     918      21     917       7     918    1461    +    1.7e-261  866.2  18.9  -
Hydrogenophilaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               26     918      20     918       9     918    1461    +    5.7e-260  861.2  17.8  -
Pseudomonadaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               32     923      19     914       9     918    1491    +    9.6e-260  860.2  18.2  -
Azonexaceae               -          LKAP-TSAKG2_D07_057_2018_2 -               27     922      20     918       9     918    1474    +      2e-259  859.4  18.2  -
Zoogloeaceae              -          LKAP-TSAKG2_D07_057_2018_2 -               34     925      21     918      10     918    1474    +    2.1e-259  859.1  18.3  -
Oceanospirillaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               26     918      20     912       9     917    1467    +    7.6e-258  853.9  18.3  -
Alteromonadaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               26     916      20     912       9     917    1468    +    3.9e-255  844.9  18.3  -
Moraxellaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               24     908      21     912       8     918    1468    +    9.4e-255  843.9  18.2  -
Lysobacteraceae           -          LKAP-TSAKG2_D07_057_2018_2 -               22     919      15     912       7     918    1484    +    2.7e-254  842.2  18.3  -
Thioalkalispiraceae       -          LKAP-TSAKG2_D07_057_2018_2 -               37     935      19     912       9     918    1479    +    1.4e-253  839.8  18.2  -
Halothiobacillaceae       -          LKAP-TSAKG2_D07_057_2018_2 -               44     935      21     912       8     918    1500    +    6.1e-252  834.4  18.4  -
Piscirickettsiaceae       -          LKAP-TSAKG2_D07_057_2018_2 -               29     920      21     912      10     917    1466    +    4.1e-251  831.6  18.4  -
Granulosicoccaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               27     918      21     912       9     918    1471    +    1.1e-250  830.4  18.3  -
Oceanospirillales         -          LKAP-TSAKG2_D07_057_2018_2 -               33     922      21     912      11     918    1489    +    1.2e-250  829.9  18.3  -
Chromatiaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               24     906      18     912       7     917    1455    +    1.3e-250  830.1  18.2  -
Cellvibrionaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               26     916      20     912      10     918    1472    +    1.9e-250  829.4  18.1  -
Shewanellaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               23     919      17     912       7     918    1483    +    4.7e-248  821.5  18.3  -
Aeromonadaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               38     931      20     912      10     918    1496    +    9.9e-248  820.2  18.3  -
Hahellaceae               -          LKAP-TSAKG2_D07_057_2018_2 -               26     915      20     912       9     918    1473    +    1.1e-247  820.4  18.0  -
Methylococcaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               40     924      20     912       9     917    1481    +    1.6e-245  813.1  18.0  -
Ectothiorhodospiraceae    -          LKAP-TSAKG2_D07_057_2018_2 -               30     923      17     912       8     918    1463    +    8.5e-245  810.8  17.8  -
Kangiellaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               36     929      21     912      10     918    1479    +    1.7e-244  809.7  18.2  -
Alcanivoracaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               46     936      20     912       9     918    1504    +    2.6e-243  805.7  18.4  -
Rhodanobacteraceae        -          LKAP-TSAKG2_D07_057_2018_2 -               25     919      18     912       8     918    1473    +    2.5e-242  802.6  18.1  -
Pseudoalteromonadaceae    -          LKAP-TSAKG2_D07_057_2018_2 -               26     913      20     912       9     918    1469    +    2.1e-241  799.4  17.5  -
Spongiibacteraceae        -          LKAP-TSAKG2_D07_057_2018_2 -               25     914      16     912       8     918    1462    +    1.8e-240  796.3  17.9  -
Vibrionaceae              -          LKAP-TSAKG2_D07_057_2018_2 -               25     927      19     912       9     918    1474    +    8.7e-240  794.0  18.3  -
Idiomarinaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               22     918      16     912       8     918    1466    +    2.9e-239  792.2  18.2  -
Litoricolaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               34     923      20     912      11     918    1474    +    3.4e-239  792.3  18.1  -
Ferrimonadaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               24     927      18     912       8     918    1475    +    5.9e-239  791.1  18.2  -
Halomonadaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               25     916      19     912       8     918    1466    +    6.8e-239  791.1  18.2  -
Alteromonadales           -          LKAP-TSAKG2_D07_057_2018_2 -               26     918      20     912       9     918    1468    +    2.3e-238  789.1  18.3  -
Morganellaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               29     920      20     912       9     918    1487    +      3e-237  785.8  18.3  -
Thiotrichaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               26     873      20     912       7     917    1421    +    4.3e-237  785.1  18.3  -
Cardiobacteriaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               35     921      21     912       9     918    1464    +    7.7e-237  784.7  18.2  -
Halieaceae                -          LKAP-TSAKG2_D07_057_2018_2 -               35     917      21     912      13     918    1484    +    1.3e-236  783.5  18.0  -
Colwelliaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               27     918      21     912      11     918    1467    +    4.2e-236  782.0  18.1  -
Erwiniaceae               -          LKAP-TSAKG2_D07_057_2018_2 -               19     912      18     912       8     918    1483    +    5.1e-236  781.7  18.3  -
Enterobacteriaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               24     917      18     912       8     918    1465    +    3.8e-235  778.8  18.2  -
Pectobacteriaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               22     914      19     912       8     918    1477    +      1e-234  777.2  18.3  -
Thermoleophilaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               20     918      21     912       9     917    1494    +    1.2e-234  777.0  18.2  -
Yersiniaceae              -          LKAP-TSAKG2_D07_057_2018_2 -               26     917      20     912      10     918    1473    +    8.1e-234  774.3  18.3  -
Acidiferrobacteraceae     -          LKAP-TSAKG2_D07_057_2018_2 -               27     908      21     912      12     918    1454    +      9e-232  767.6  18.1  -
Succinivibrionaceae       -          LKAP-TSAKG2_D07_057_2018_2 -               30     894      21     912      14     918    1473    +      1e-231  767.3  19.0  -
Hafniaceae                -          LKAP-TSAKG2_D07_057_2018_2 -               18     911      18     912       8     918    1459    +      3e-231  765.7  18.3  -
Microbulbiferaceae        -          LKAP-TSAKG2_D07_057_2018_2 -               27     910      21     912      10     918    1480    +    5.8e-231  765.0  17.9  -
Coxiellaceae              -          LKAP-TSAKG2_D07_057_2018_2 -               27     924      21     912      12     918    1475    +      3e-230  762.6  18.2  -
Moritellaceae             -          LKAP-TSAKG2_D07_057_2018_2 -               42     934      21     912       9     918    1501    +    5.5e-230  761.5  18.2  -
Budviciaceae              -          LKAP-TSAKG2_D07_057_2018_2 -               17     907      21     912      13     918    1483    +    1.3e-229  760.3  18.2  -
Spirillaceae              -          LKAP-TSAKG2_D07_057_2018_2 -               42     941      20     917      11     918    1447    +    2.1e-229  760.0  18.2  -
Wenzhouxiangellaceae      -          LKAP-TSAKG2_D07_057_2018_2 -               22     922      16     912       6     918    1472    +    2.7e-229  759.2  18.0  -
Pasteurellaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               27     918      21     912      11     918    1422    +    3.6e-228  755.6  18.2  -
Rhodospirillaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               26     865      18     912       8     918    1429    +    7.5e-228  754.7  17.6  -
Nevskiaceae               -          LKAP-TSAKG2_D07_057_2018_2 -               36     912      21     913      10     918    1470    +    1.3e-226  750.7  18.3  -
Arenicellaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               26     911      20     912      10     918    1488    +    6.1e-226  748.4  17.6  -
Saccharospirillaceae      -          LKAP-TSAKG2_D07_057_2018_2 -               26     910      19     912       8     918    1468    +    1.1e-224  744.0  18.1  -
Salinisphaeraceae         -          LKAP-TSAKG2_D07_057_2018_2 -               14     902      20     912      10     918    1429    +    3.4e-223  739.3  18.0  -
Legionellaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               23     915      21     912       7     918    1446    +    1.1e-222  737.6  18.3  -
Celerinatantimonadaceae   -          LKAP-TSAKG2_D07_057_2018_2 -               22     924      21     912      12     918    1433    +    2.2e-222  736.5  18.2  -
Hyphomicrobiaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               26     861      20     912       8     918    1427    +    8.2e-222  734.7  17.5  -
Psychromonadaceae         -          LKAP-TSAKG2_D07_057_2018_2 -               27     917      21     912       9     918    1467    +    2.5e-220  729.7  18.4  -
Thiotrichales             -          LKAP-TSAKG2_D07_057_2018_2 -               47     936      21     912      12     917    1519    +    6.6e-219  724.6  18.1  -
Acidithiobacillaceae      -          LKAP-TSAKG2_D07_057_2018_2 -               25     908      20     912      11     918    1457    +    1.2e-218  724.0  18.1  -
Orbaceae                  -          LKAP-TSAKG2_D07_057_2018_2 -               54     941      21     912      12     918    1539    +      1e-216  717.6  18.3  -
Thermithiobacillaceae     -          LKAP-TSAKG2_D07_057_2018_2 -               12     896      21     912      14     918    1419    +    1.4e-216  717.2  18.2  -
Acetobacteraceae          -          LKAP-TSAKG2_D07_057_2018_2 -               32     867      21     912      10     918    1438    +    7.8e-216  715.0  18.6  -
Rhodobiaceae              -          LKAP-TSAKG2_D07_057_2018_2 -               36     869      20     912       9     917    1440    +    4.7e-215  712.4  17.4  -
Sterolibacteriaceae       -          LKAP-TSAKG2_D07_057_2018_2 -               40     941      19     918       6     918    1531    +    7.7e-215  711.3  18.5  -
Clostridiaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               40     906      20     912       8     918    1485    +    2.8e-214  709.5  17.8  -
Alphaproteobacteria       -          LKAP-TSAKG2_D07_057_2018_2 -               25     859      19     912       9     917    1409    +    5.9e-214  708.8  18.0  -
Nautiliaceae              -          LKAP-TSAKG2_D07_057_2018_2 -               26     884      20     912       8     917    1431    +    1.3e-213  707.7  18.7  -
Hyphomonadaceae           -          LKAP-TSAKG2_D07_057_2018_2 -               25     859      19     912       8     918    1400    +    1.9e-212  703.8  17.6  -
Thorselliaceae            -          LKAP-TSAKG2_D07_057_2018_2 -                2     886      23     912      22     918    1419    +    5.9e-212  701.8  18.3  -
Eubacteriaceae            -          LKAP-TSAKG2_D07_057_2018_2 -               41     917      21     912      12     918    1485    +    2.4e-211  699.9  18.5  -
Clostridiales             -          LKAP-TSAKG2_D07_057_2018_2 -               34     910      21     912      10     917    1470    +      5e-211  698.8  18.2  -
Rhodobacteraceae          -          LKAP-TSAKG2_D07_057_2018_2 -               26     861      20     912       8     918    1402    +    6.1e-209  692.1  17.6  -
Methylocystaceae          -          LKAP-TSAKG2_D07_057_2018_2 -               38     872      21     913      13     918    1424    +    1.5e-208  690.8  17.4  -
