# target name             accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Staphylococcaceae         -          A0623_LKAP-FHGF1_B02_014 -               31    1059       9    1043       3    1047    1479    +           0 1215.1  12.9  -
Planococcaceae            -          A0623_LKAP-FHGF1_B02_014 -               29    1060       9    1043       3    1047    1491    +           0 1111.6  12.5  -
Bacillales                -          A0623_LKAP-FHGF1_B02_014 -               36    1072       9    1043       3    1047    1503    +           0 1099.8  12.6  -
Bacillaceae               -          A0623_LKAP-FHGF1_B02_014 -               26    1066       8    1043       2    1046    1493    +           0 1089.5  12.9  -
Listeriaceae              -          A0623_LKAP-FHGF1_B02_014 -               18    1043      11    1043       3    1047    1448    +           0 1084.0  12.7  -
Aerococcaceae             -          A0623_LKAP-FHGF1_B02_014 -               29    1059       9    1043       3    1046    1473    +           0 1069.5  12.8  -
Carnobacteriaceae         -          A0623_LKAP-FHGF1_B02_014 -               30    1060      10    1043       3    1046    1496    +           0 1069.4  12.7  -
Enterococcaceae           -          A0623_LKAP-FHGF1_B02_014 -               55    1065      30    1043       9    1047    1498    +           0 1057.5  12.3  -
Sporolactobacillaceae     -          A0623_LKAP-FHGF1_B02_014 -               30    1056      10    1043       3    1047    1503    +           0 1033.3  13.0  -
Lactobacillaceae          -          A0623_LKAP-FHGF1_B02_014 -               37    1088      13    1043       4    1046    1522    +           0 1029.2  12.6  -
Paenibacillaceae          -          A0623_LKAP-FHGF1_B02_014 -               30    1063       9    1043       3    1047    1493    +      1e-304 1009.6  12.6  -
Thermoactinomycetaceae    -          A0623_LKAP-FHGF1_B02_014 -               38    1059      10    1043       3    1047    1495    +    8.1e-302 1000.2  12.5  -
Leuconostocaceae          -          A0623_LKAP-FHGF1_B02_014 -               29    1061      12    1043       3    1046    1479    +    1.8e-293  972.4  12.8  -
Peptococcaceae            -          A0623_LKAP-FHGF1_B02_014 -               40    1039      12    1043       4    1046    1479    +    3.5e-289  957.9  13.2  -
Streptococcaceae          -          A0623_LKAP-FHGF1_B02_014 -               36    1066      10    1043       3    1046    1497    +    1.9e-285  945.7  12.6  -
Clostridiaceae            -          A0623_LKAP-FHGF1_B02_014 -               43    1040       9    1043       5    1046    1485    +    4.5e-285  944.3  12.6  -
Eubacteriaceae            -          A0623_LKAP-FHGF1_B02_014 -               43    1049       9    1043       5    1046    1485    +    3.3e-284  941.5  13.4  -
Alicyclobacillaceae       -          A0623_LKAP-FHGF1_B02_014 -               52    1063      11    1043       3    1046    1512    +    4.7e-278  921.5  13.0  -
Clostridiales             -          A0623_LKAP-FHGF1_B02_014 -               36    1043       9    1043       4    1046    1470    +    1.4e-277  919.6  13.3  -
Erysipelotrichaceae       -          A0623_LKAP-FHGF1_B02_014 -               36    1037      11    1043       4    1046    1466    +    1.7e-273  906.2  14.1  -
Peptostreptococcaceae     -          A0623_LKAP-FHGF1_B02_014 -               31    1024      11    1043       5    1046    1441    +    4.4e-272  901.2  13.1  -
Syntrophomonadaceae       -          A0623_LKAP-FHGF1_B02_014 -               50    1073      12    1043       5    1048    1515    +    1.3e-270  896.4  12.7  -
Thermoanaerobacteraceae   -          A0623_LKAP-FHGF1_B02_014 -               36    1058      10    1043       4    1047    1492    +    4.4e-267  884.6  13.0  -
Ruminococcaceae           -          A0623_LKAP-FHGF1_B02_014 -               33    1040      12    1043       5    1046    1457    +    4.5e-265  878.1  13.1  -
Heliobacteriaceae         -          A0623_LKAP-FHGF1_B02_014 -               46    1045       9    1043       4    1046    1500    +    4.8e-261  864.9  13.3  -
Thermoanaerobacterales    -          A0623_LKAP-FHGF1_B02_014 -               36    1054       8    1043       3    1046    1472    +    3.5e-258  855.3  13.4  -
Sporomusaceae             -          A0623_LKAP-FHGF1_B02_014 -               65    1079      32    1043      10    1046    1535    +    5.9e-257  851.0  13.2  -
Selenomonadaceae          -          A0623_LKAP-FHGF1_B02_014 -               50    1085      11    1043       4    1046    1531    +      2e-256  849.4  13.5  -
Halobacteroidaceae        -          A0623_LKAP-FHGF1_B02_014 -               76    1052      50    1043      30    1046    1478    +    6.8e-256  847.5  12.5  -
Mycoplasmataceae          -          A0623_LKAP-FHGF1_B02_014 -               29    1025      13    1043       4    1046    1467    +      3e-252  835.9  14.9  -
Desulfovibrionaceae       -          A0623_LKAP-FHGF1_B02_014 -               45    1071      10    1043       5    1046    1527    +      4e-252  835.3  13.0  -
