# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Shewanellaceae            -          LKAP-TSAKG2_E07_055_2018_2 -               27    1002      22     996       5    1000    1483    +           0 1209.1  20.3  -
Ferrimonadaceae           -          LKAP-TSAKG2_E07_055_2018_2 -               22    1009      18     995       6    1000    1475    +           0 1107.9  20.3  -
Aeromonadaceae            -          LKAP-TSAKG2_E07_055_2018_2 -               33    1012      17     994       7    1000    1496    +           0 1100.8  20.2  -
Moritellaceae             -          LKAP-TSAKG2_E07_055_2018_2 -               43    1016      23     995       6    1000    1501    +           0 1072.6  20.3  -
Pseudoalteromonadaceae    -          LKAP-TSAKG2_E07_055_2018_2 -               27     995      22     995       6    1000    1469    +           0 1061.3  19.6  -
Alteromonadales           -          LKAP-TSAKG2_E07_055_2018_2 -               27    1001      22     996       6    1000    1468    +           0 1059.9  20.3  -
Alteromonadaceae          -          LKAP-TSAKG2_E07_055_2018_2 -               27     998      22     995       7    1000    1468    +           0 1059.7  20.1  -
Gammaproteobacteria       -          LKAP-TSAKG2_E07_055_2018_2 -               27     998      22     995       7    1000    1481    +           0 1056.2  20.4  -
Vibrionaceae              -          LKAP-TSAKG2_E07_055_2018_2 -               25    1009      21     995       6    1000    1474    +           0 1053.2  20.3  -
Yersiniaceae              -          LKAP-TSAKG2_E07_055_2018_2 -               27    1000      22     996       6    1000    1473    +           0 1040.8  20.2  -
Oceanospirillaceae        -          LKAP-TSAKG2_E07_055_2018_2 -               27    1001      22     996       6    1000    1467    +           0 1037.1  20.5  -
Enterobacteriaceae        -          LKAP-TSAKG2_E07_055_2018_2 -               27     999      22     995       6    1000    1465    +           0 1031.0  20.1  -
Morganellaceae            -          LKAP-TSAKG2_E07_055_2018_2 -               26    1002      19     995       6    1000    1487    +           0 1027.1  20.3  -
Pectobacteriaceae         -          LKAP-TSAKG2_E07_055_2018_2 -               22     997      21     996       6    1000    1477    +           0 1024.2  20.2  -
Erwiniaceae               -          LKAP-TSAKG2_E07_055_2018_2 -               22     994      22     995       6    1000    1483    +    2.7e-308 1021.3  20.2  -
Hafniaceae                -          LKAP-TSAKG2_E07_055_2018_2 -               20     995      21     997       7    1000    1459    +    2.1e-307 1018.2  20.2  -
Budviciaceae              -          LKAP-TSAKG2_E07_055_2018_2 -               15     986      21     993       9    1000    1483    +    3.8e-305 1010.8  19.9  -
Idiomarinaceae            -          LKAP-TSAKG2_E07_055_2018_2 -               25    1000      20     995       5    1000    1466    +    1.8e-304 1008.4  20.3  -
Colwelliaceae             -          LKAP-TSAKG2_E07_055_2018_2 -               28    1001      23     996       7    1000    1467    +    3.3e-304 1007.8  20.3  -
Oceanospirillales         -          LKAP-TSAKG2_E07_055_2018_2 -               34    1006      23     997       7    1000    1489    +    4.3e-303 1003.9  20.3  -
Cellvibrionaceae          -          LKAP-TSAKG2_E07_055_2018_2 -               28     998      23     995       7    1000    1472    +      3e-302 1001.3  20.3  -
Psychromonadaceae         -          LKAP-TSAKG2_E07_055_2018_2 -               27     999      22     995       6    1000    1467    +    1.9e-301  998.7  20.3  -
Hahellaceae               -          LKAP-TSAKG2_E07_055_2018_2 -               20     997      16     995       5    1000    1473    +    1.9e-300  995.4  20.5  -
Spongiibacteraceae        -          LKAP-TSAKG2_E07_055_2018_2 -               28     998      20     997       6    1000    1462    +    1.5e-296  982.2  20.1  -
Chromatiaceae             -          LKAP-TSAKG2_E07_055_2018_2 -               27     987      22     994       7    1000    1455    +    2.7e-295  978.3  20.4  -
Alcanivoracaceae          -          LKAP-TSAKG2_E07_055_2018_2 -               41    1019      17     996       7    1000    1504    +    7.2e-294  973.3  20.3  -
Piscirickettsiaceae       -          LKAP-TSAKG2_E07_055_2018_2 -               30    1002      23     995       7    1000    1466    +    8.5e-294  973.2  20.2  -
Methylococcaceae          -          LKAP-TSAKG2_E07_055_2018_2 -               42    1006      23     995       9    1000    1481    +    2.2e-293  971.8  20.5  -
Halomonadaceae            -          LKAP-TSAKG2_E07_055_2018_2 -               27     998      22     995       6    1000    1466    +    2.7e-293  971.5  20.4  -
Celerinatantimonadaceae   -          LKAP-TSAKG2_E07_055_2018_2 -               22    1006      22     995       7    1000    1433    +    6.1e-292  967.2  20.5  -
Pseudomonadaceae          -          LKAP-TSAKG2_E07_055_2018_2 -               34    1004      22     996       7    1000    1491    +    7.2e-292  966.8  20.1  -
Litoricolaceae            -          LKAP-TSAKG2_E07_055_2018_2 -               35    1004      22     994       7    1000    1474    +    9.8e-292  966.5  20.3  -
Thioalkalispiraceae       -          LKAP-TSAKG2_E07_055_2018_2 -               39    1017      22     995       8    1000    1479    +    3.9e-288  954.4  20.1  -
Succinivibrionaceae       -          LKAP-TSAKG2_E07_055_2018_2 -               31     966      23     985       8     999    1473    +    9.6e-288  953.1  20.6  -
Halieaceae                -          LKAP-TSAKG2_E07_055_2018_2 -               36     999      23     995       8    1000    1484    +      7e-287  950.3  20.5  -
Moraxellaceae             -          LKAP-TSAKG2_E07_055_2018_2 -               24     990      22     995       6    1000    1468    +    1.8e-286  949.1  20.7  -
Pasteurellaceae           -          LKAP-TSAKG2_E07_055_2018_2 -               28    1000      23     995       7    1000    1422    +      2e-285  945.5  20.3  -
Ectothiorhodospiraceae    -          LKAP-TSAKG2_E07_055_2018_2 -               34    1005      22     995       8    1000    1463    +    8.6e-284  940.2  20.4  -
Kangiellaceae             -          LKAP-TSAKG2_E07_055_2018_2 -               37    1011      23     995      10    1000    1479    +      1e-281  933.2  19.8  -
Microbulbiferaceae        -          LKAP-TSAKG2_E07_055_2018_2 -               22     992      18     995       6    1000    1480    +    2.8e-280  928.6  20.5  -
Orbaceae                  -          LKAP-TSAKG2_E07_055_2018_2 -               55    1005      23     977       7     991    1539    +    1.3e-279  926.2  20.6  -
Lysobacteraceae           -          LKAP-TSAKG2_E07_055_2018_2 -               23    1001      18     995       6    1000    1484    +      1e-278  923.3  20.4  -
Chromobacteriaceae        -          LKAP-TSAKG2_E07_055_2018_2 -               23     991      19     995       5     999    1460    +    1.6e-278  922.8  20.9  -
Saccharospirillaceae      -          LKAP-TSAKG2_E07_055_2018_2 -               28     992      22     995       5    1000    1468    +    1.8e-277  919.1  19.9  -
Halothiobacillaceae       -          LKAP-TSAKG2_E07_055_2018_2 -               45    1017      23     995      11    1000    1500    +    1.4e-276  916.2  20.0  -
Thorselliaceae            -          LKAP-TSAKG2_E07_055_2018_2 -                2     959      24     986      23     997    1419    +    4.2e-275  911.2  20.2  -
Thermoleophilaceae        -          LKAP-TSAKG2_E07_055_2018_2 -               21    1004      23     999       7    1000    1494    +    2.5e-274  908.6  20.4  -
Thiotrichaceae            -          LKAP-TSAKG2_E07_055_2018_2 -               28     955      23     995       6    1000    1421    +    1.8e-270  895.9  19.9  -
Granulosicoccaceae        -          LKAP-TSAKG2_E07_055_2018_2 -               28    1000      23     995      12    1000    1471    +    8.6e-268  887.2  20.2  -
Rhodanobacteraceae        -          LKAP-TSAKG2_E07_055_2018_2 -               28     983      22     977       7     991    1473    +    7.1e-267  884.1  20.7  -
Neisseriaceae             -          LKAP-TSAKG2_E07_055_2018_2 -               41    1007      22     989       9     999    1477    +    1.6e-266  883.0  20.3  -
Rhodocyclaceae            -          LKAP-TSAKG2_E07_055_2018_2 -               27     987      22     986       8     998    1484    +    9.5e-266  880.3  20.6  -
Cardiobacteriaceae        -          LKAP-TSAKG2_E07_055_2018_2 -               36    1003      23     995       8    1000    1464    +    8.8e-262  867.5  19.8  -
Alcaligenaceae            -          LKAP-TSAKG2_E07_055_2018_2 -               25     985      20     985       8     997    1467    +    6.6e-261  864.4  20.4  -
Burkholderiaceae          -          LKAP-TSAKG2_E07_055_2018_2 -               24     980      19     983       8     997    1482    +    3.6e-259  858.6  20.8  -
Francisellaceae           -          LKAP-TSAKG2_E07_055_2018_2 -               38    1000      23     995       8    1000    1508    +    6.2e-258  854.5  20.7  -
Coxiellaceae              -          LKAP-TSAKG2_E07_055_2018_2 -               28     996      23     985      13     998    1475    +    1.7e-257  853.0  20.2  -
Methylophilaceae          -          LKAP-TSAKG2_E07_055_2018_2 -               10     965      22     977      15     996    1431    +    6.5e-257  851.1  20.3  -
Hydrogenophilaceae        -          LKAP-TSAKG2_E07_055_2018_2 -               27     987      22     988       9     999    1461    +    9.4e-257  850.7  20.4  -
Sulfuricellaceae          -          LKAP-TSAKG2_E07_055_2018_2 -               29     995      23     993      12     998    1463    +    9.7e-256  847.2  20.5  -
Legionellaceae            -          LKAP-TSAKG2_E07_055_2018_2 -               24     988      23     986       9    1000    1446    +    1.1e-255  847.0  20.1  -
Rhodospirillaceae         -          LKAP-TSAKG2_E07_055_2018_2 -               29     937      22     985       7     997    1429    +    1.4e-255  846.8  20.2  -
Burkholderiales           -          LKAP-TSAKG2_E07_055_2018_2 -               27     987      22     989       8     998    1463    +    3.6e-255  845.3  20.6  -
Wenzhouxiangellaceae      -          LKAP-TSAKG2_E07_055_2018_2 -               27    1006      22     997       6    1000    1472    +    4.1e-255  844.9  20.0  -
Arenicellaceae            -          LKAP-TSAKG2_E07_055_2018_2 -               28     985      23     987       8     999    1488    +    1.1e-252  837.1  20.3  -
