# target name                                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Pseudomonadaceae_Pseudomonas                     -          B2c_forward          -               78    1016      70    1013      50    1035    1502    +           0 1093.4  19.2  -
Pseudomonadaceae_Azotobacter                     -          B2c_forward          -               51    1033      47    1036      28    1056    1473    +           0 1084.6  23.0  -
Pseudomonadaceae_Azomonas                        -          B2c_forward          -               59    1012      73    1034      53    1054    1453    +           0 1049.2  18.6  -
Thermoleophilaceae_Thermoleophilum               -          B2c_forward          -               63    1008      71    1007      51    1035    1494    +    1.7e-299  994.9  18.9  -
Microbulbiferaceae_Microbulbifer                 -          B2c_forward          -               67    1004      70    1012      50    1035    1480    +    1.4e-297  988.7  19.1  -
Alteromonadaceae_Marinobacter                    -          B2c_forward          -               71    1011      69    1014      49    1035    1478    +      2e-293  974.8  19.4  -
Alteromonadaceae_Marinobacterium                 -          B2c_forward          -               72    1014      69    1015      49    1039    1465    +      3e-290  964.3  18.8  -
Oceanospirillaceae_Oceanospirillum               -          B2c_forward          -               72    1018      69    1021      49    1041    1462    +    2.6e-289  961.3  18.7  -
Alcanivoracaceae_Alcanivorax                     -          B2c_forward          -               91    1027      69    1009      49    1031    1505    +    2.1e-286  951.4  19.3  -
Cellvibrionaceae_Cellvibrio                      -          B2c_forward          -               88    1032      71    1021      51    1041    1505    +    2.2e-286  951.6  19.1  -
Oceanospirillaceae_Amphritea                     -          B2c_forward          -               71    1010      69    1013      49    1035    1463    +    3.3e-285  947.6  18.6  -
Oceanospirillaceae_Marinospirillum               -          B2c_forward          -               71    1006      69    1015      49    1035    1451    +    4.5e-285  947.2  18.3  -
Oceanospirillaceae_Marinomonas                   -          B2c_forward          -               73    1014      69    1015      49    1040    1467    +      2e-284  944.8  18.9  -
Halomonadaceae_Halomonas                         -          B2c_forward          -               71    1011      69    1013      49    1041    1463    +    5.5e-283  940.2  19.0  -
Spongiibacteraceae_Spongiibacter                 -          B2c_forward          -               70    1002      71    1008      51    1030    1441    +      2e-282  938.2  18.9  -
Methylococcaceae_Methylococcus                   -          B2c_forward          -               78    1023      70    1022      50    1043    1482    +    2.1e-282  938.3  19.5  -
Alcanivoracaceae_Pseudohongiella                 -          B2c_forward          -               71    1007      69    1010      49    1035    1461    +    2.6e-281  934.7  19.3  -
Oceanospirillaceae_Thalassolituus                -          B2c_forward          -               79    1013      70    1009      50    1035    1476    +    5.5e-281  933.5  18.5  -
Cellvibrionaceae_Umboniibacter                   -          B2c_forward          -               78    1021      71    1020      51    1041    1507    +    1.4e-280  932.4  19.2  -
Cellvibrionaceae_Gilvimarinus                    -          B2c_forward          -               63     996      70    1008      50    1030    1445    +    4.6e-280  930.5  19.0  -
Halomonadaceae_Cobetia                           -          B2c_forward          -               83    1028      69    1020      49    1041    1516    +    4.1e-279  927.3  18.9  -
Halomonadaceae_Salinicola                        -          B2c_forward          -               71    1013      69    1016      49    1041    1471    +    6.3e-279  926.7  19.1  -
Oceanospirillaceae_Neptuniibacter                -          B2c_forward          -              100    1039      71    1015      51    1040    1541    +    1.3e-278  925.5  18.5  -
Oceanospirillaceae_Neptunomonas                  -          B2c_forward          -               73    1019      69    1021      49    1041    1484    +    2.1e-278  925.0  18.8  -
Oceanospirillaceae_Nitrincola                    -          B2c_forward          -               78    1018      70    1015      50    1041    1477    +    1.2e-277  922.5  18.7  -
Hahellaceae_Endozoicomonas                       -          B2c_forward          -               91    1028      69    1008      49    1029    1524    +    1.9e-277  921.9  19.2  -
Cellvibrionaceae_Marinimicrobium                 -          B2c_forward          -               66    1004      71    1013      51    1035    1455    +    3.9e-276  917.4  18.6  -
Halieaceae_Parahaliea                            -          B2c_forward          -               66    1007      69    1015      49    1036    1498    +    7.5e-276  916.6  19.3  -
Cellvibrionaceae_Simiduia                        -          B2c_forward          -               71    1029      69    1035      49    1055    1463    +    1.1e-275  916.0  19.4  -
Halieaceae_Haliea                                -          B2c_forward          -               87    1021      70    1008      50    1030    1500    +    1.3e-275  915.9  19.2  -
Hahellaceae_Hahella                              -          B2c_forward          -               96    1042      69    1020      49    1041    1539    +    1.1e-274  912.8  19.9  -
Halomonadaceae_Kushneria                         -          B2c_forward          -               75    1013      69    1012      48    1043    1461    +    1.1e-274  912.6  19.9  -
Ectothiorhodospiraceae_Thioalkalivibrio          -          B2c_forward          -               35     995      41    1008      28    1028    1438    +    7.3e-274  909.8  21.8  -
Halieaceae_Halioglobus                           -          B2c_forward          -               67    1006      71    1015      51    1036    1433    +    3.7e-273  907.7  19.0  -
Shewanellaceae_Shewanella                        -          B2c_forward          -               75    1020      69    1020      49    1041    1483    +    4.4e-273  907.4  18.9  -
Cellvibrionaceae_Eionea                          -          B2c_forward          -               70    1009      71    1015      61    1041    1469    +    2.9e-272  904.6  18.6  -
Halomonadaceae_Chromohalobacter                  -          B2c_forward          -               71    1029      69    1035      49    1055    1480    +    1.4e-271  902.5  19.6  -
Hahellaceae_Kistimonas                           -          B2c_forward          -               91    1026      69    1008      49    1028    1506    +    4.1e-271  900.9  19.2  -
Cellvibrionaceae_Pseudomaricurvus                -          B2c_forward          -               66     998      71    1008      63    1028    1490    +    5.5e-271  900.3  18.7  -
Saccharospirillaceae_Saccharospirillum           -          B2c_forward          -               72    1001      69    1009      49    1034    1459    +    5.7e-271  900.5  18.2  -
Lysobacteraceae_Lysobacter                       -          B2c_forward          -               76    1011      69    1008      42    1029    1475    +    1.3e-270  899.3  20.4  -
Lysobacteraceae_Luteimonas                       -          B2c_forward          -               81    1013      72    1008      52    1029    1490    +    1.5e-270  898.9  18.9  -
Methylococcaceae_Methylomonas                    -          B2c_forward          -               85    1028      70    1020      50    1041    1475    +      3e-270  897.9  19.2  -
Lysobacteraceae_Arenimonas                       -          B2c_forward          -               74    1012      68    1008      41    1029    1490    +    5.9e-270  897.2  20.8  -
Ectothiorhodospiraceae_Thiohalospira             -          B2c_forward          -               34     967      70    1007      50    1028    1318    +    8.1e-270  896.7  19.0  -
Colwelliaceae_Colwellia                          -          B2c_forward          -               73    1013      69    1014      49    1035    1485    +      2e-269  895.3  18.6  -
Methylococcaceae_Methylocaldum                   -          B2c_forward          -               75    1026      55    1008      35    1030    1491    +    8.5e-269  893.4  22.5  -
Moraxellaceae_Moraxella                          -          B2c_forward          -               64     990      73    1009      53    1033    1446    +      9e-269  893.2  18.2  -
Methylococcaceae_Methylosarcina                  -          B2c_forward          -               80    1025      70    1021      50    1041    1515    +    2.6e-268  891.4  19.3  -
Halomonadaceae_Larsenimonas                      -          B2c_forward          -               92    1038      69    1021      49    1041    1495    +    7.7e-268  890.0  19.0  -
Spongiibacteraceae_Sinobacterium                 -          B2c_forward          -               92    1034      70    1015      50    1036    1504    +    8.1e-268  889.9  19.2  -
Moraxellaceae_Acinetobacter                      -          B2c_forward          -               65    1001      71    1010      51    1037    1463    +    1.4e-267  889.2  18.9  -
Thioalkalispiraceae_Thioprofundum                -          B2c_forward          -               93    1028      71    1007      50    1028    1537    +    2.8e-267  888.4  18.7  -
Methylococcaceae_Methylomicrobium                -          B2c_forward          -               86    1026      70    1015      49    1040    1467    +    5.1e-267  887.2  19.1  -
Vibrionaceae_Vibrio                              -          B2c_forward          -               73    1028      57    1020      36    1041    1466    +      7e-267  886.8  20.6  -
Idiomarinaceae_Idiomarina                        -          B2c_forward          -               79    1020      70    1015      50    1040    1471    +    9.8e-267  886.2  18.7  -
Oceanospirillaceae_Reinekea                      -          B2c_forward          -               81    1009      69    1008      49    1031    1512    +    2.3e-266  885.1  18.0  -
Idiomarinaceae_Aliidiomarina                     -          B2c_forward          -               48     992      71    1020      51    1041    1410    +    3.8e-266  884.2  18.6  -
Oceanospirillaceae_Oleispira                     -          B2c_forward          -               92    1026      70    1009      50    1035    1500    +    7.3e-266  883.4  18.6  -
Methylococcaceae_Methylobacter                   -          B2c_forward          -               86    1030      70    1020      50    1041    1500    +    1.1e-265  882.7  19.3  -
Gammaproteobacteria_Thiohalomonas                -          B2c_forward          -               59     999      63    1005      43    1026    1483    +    4.8e-265  880.5  19.4  -
Chromatiaceae_Rheinheimera                       -          B2c_forward          -               64     996      71    1008      50    1029    1472    +    9.9e-265  879.7  18.6  -
Lysobacteraceae_Silanimonas                      -          B2c_forward          -               60    1022      38    1008      18    1028    1493    +    2.7e-264  878.3  23.5  -
Ectothiorhodospiraceae_Ectothiorhodospira        -          B2c_forward          -               83    1002      70     991      50    1011    1490    +      3e-264  878.2  19.6  -
Hahellaceae_Zooshikella                          -          B2c_forward          -               69    1028      69    1035      49    1055    1483    +    8.1e-264  876.7  19.9  -
Colwelliaceae_Thalassomonas                      -          B2c_forward          -               71    1012      69    1015      49    1036    1462    +    1.1e-263  876.3  18.7  -
Colwelliaceae_Thalassotalea                      -          B2c_forward          -               71    1012      69    1015      49    1041    1463    +    1.7e-263  875.7  18.8  -
Moraxellaceae_Alkanindiges                       -          B2c_forward          -               57     991      72    1010      52    1034    1396    +    4.7e-263  874.2  18.6  -
Ferrimonadaceae_Ferrimonas                       -          B2c_forward          -               79    1024      63    1015      42    1040    1475    +    4.9e-263  873.9  19.7  -
Methylococcaceae_Methylovulum                    -          B2c_forward          -               72    1019      60    1012      40    1040    1492    +      2e-262  872.0  21.0  -
Chromobacteriaceae_Aquaspirillum                 -          B2c_forward          -               96    1010      78     996      56    1020    1488    +    1.4e-261  869.4  18.4  -
Gammaproteobacteria_Gallaecimonas                -          B2c_forward          -               94    1034      70    1015      50    1041    1506    +    4.4e-261  867.6  18.7  -
Aeromonadaceae_Oceanisphaera                     -          B2c_forward          -               73    1007      69    1009      49    1034    1464    +    9.9e-261  866.3  18.6  -
Legionellaceae_Legionella                        -          B2c_forward          -               72    1012      72    1015      52    1036    1446    +    1.3e-260  866.2  18.5  -
Aeromonadaceae_Aeromonas                         -          B2c_forward          -               94    1034      69    1015      50    1040    1503    +    1.3e-260  865.9  19.8  -
Chromatiaceae_Thiohalocapsa                      -          B2c_forward          -               78    1008      71    1009      51    1030    1436    +    2.5e-260  865.4  18.6  -
Lysobacteraceae_Thermomonas                      -          B2c_forward          -               77    1008      73    1008      53    1028    1488    +    4.8e-260  864.3  19.0  -
Gammaproteobacteria_Sedimenticola                -          B2c_forward          -               89    1052      71    1036      51    1056    1540    +      1e-259  863.0  18.8  -
Aeromonadaceae_Oceanimonas                       -          B2c_forward          -               72    1009      69    1011      49    1034    1483    +    1.5e-259  862.4  18.7  -
Piscirickettsiaceae_Methylophaga                 -          B2c_forward          -               70    1001      73    1008      54    1029    1487    +    3.2e-259  861.3  18.5  -
Thiotrichaceae_Leucothrix                        -          B2c_forward          -               66    1009      71    1020      50    1041    1445    +    4.4e-259  860.7  18.7  -
Lysobacteraceae_Pseudoxanthomonas                -          B2c_forward          -              101    1013      92    1008      65    1030    1484    +    7.3e-259  860.3  18.1  -
Moraxellaceae_Psychrobacter                      -          B2c_forward          -               71    1002      69    1007      49    1028    1491    +    5.2e-258  857.5  19.6  -
Vibrionaceae_Photobacterium                      -          B2c_forward          -               83    1028      69    1020      49    1041    1487    +      2e-257  855.4  19.5  -
Spongiibacteraceae_Zhongshania                   -          B2c_forward          -               89    1021      71    1008      51    1029    1501    +    4.6e-257  854.2  18.9  -
Alteromonadaceae_Alishewanella                   -          B2c_forward          -               66     998      71    1008      51    1036    1426    +    4.6e-256  851.0  18.3  -
Lysobacteraceae_Stenotrophomonas                 -          B2c_forward          -               96    1022      91    1024      69    1050    1484    +    4.9e-256  850.9  17.9  -
Rhodanobacteraceae_Dokdonella                    -          B2c_forward          -               61    1001      61    1007      39    1036    1480    +    5.6e-256  850.8  21.4  -
Aeromonadaceae_Tolumonas                         -          B2c_forward          -               85    1043      71    1036      51    1056    1514    +    7.2e-256  850.4  19.1  -
Chromatiaceae_Halochromatium                     -          B2c_forward          -               66     993      71    1008      51    1030    1451    +    7.4e-256  850.6  19.0  -
Lysobacteraceae_Vulcaniibacterium                -          B2c_forward          -              101    1035      70    1008      49    1033    1549    +    1.3e-255  849.5  19.7  -
Gammaproteobacteria_Plasticicumulans             -          B2c_forward          -               75    1010      70    1010      50    1031    1491    +      3e-255  848.3  19.9  -
Erwiniaceae_Erwinia                              -          B2c_forward          -               74    1007      70    1008      50    1029    1495    +      4e-255  848.0  19.4  -
Litoricolaceae_Litoricola                        -          B2c_forward          -               75    1018      67    1008      47    1028    1483    +    5.3e-255  847.7  18.4  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          B2c_forward          -               74    1008      70    1015      49    1036    1461    +    5.8e-255  847.2  18.0  -
Aeromonadaceae_Zobellella                        -          B2c_forward          -               81    1025      70    1020      50    1041    1478    +    8.1e-255  846.6  18.7  -
Granulosicoccaceae_Granulosicoccus               -          B2c_forward          -               75    1008      71    1008      51    1041    1471    +    1.5e-254  846.1  18.4  -
Thiotrichaceae_Thiothrix                         -          B2c_forward          -               60     959      68    1008      48    1029    1417    +    2.6e-253  841.9  19.6  -
Yersiniaceae_Serratia                            -          B2c_forward          -               77    1022      69    1020      49    1041    1491    +    2.6e-253  841.8  19.1  -
Kangiellaceae_Kangiella                          -          B2c_forward          -               83    1025      71    1015      51    1036    1478    +    4.6e-253  841.0  18.7  -
Erwiniaceae_Pantoea                              -          B2c_forward          -               12     951      71    1015      59    1041    1416    +    6.5e-253  840.6  18.9  -
Ectothiorhodospiraceae_Spiribacter               -          B2c_forward          -               95    1032      69    1008      48    1029    1544    +    6.8e-253  840.6  19.0  -
Gammaproteobacteria_Alkalimonas                  -          B2c_forward          -               89    1030      69    1015      49    1041    1502    +      7e-253  840.4  18.5  -
Moraxellaceae_Paraperlucidibaca                  -          B2c_forward          -               92    1011      94    1019      72    1041    1460    +    8.4e-253  840.1  17.2  -
Pseudoalteromonadaceae_Algicola                  -          B2c_forward          -               87    1031      70    1020      49    1041    1490    +      1e-252  839.8  18.7  -
Hahellaceae_Allohahella                          -          B2c_forward          -               85    1043      69    1035      49    1055    1485    +    1.5e-252  839.5  20.0  -
Chromatiaceae_Thiorhodococcus                    -          B2c_forward          -               42     974      71    1013      51    1041    1426    +    1.8e-252  839.2  18.9  -
Lysobacteraceae_Tahibacter                       -          B2c_forward          -               59    1007      61    1015      41    1040    1459    +    1.9e-252  839.0  20.8  -
Arenicellaceae_Arenicella                        -          B2c_forward          -               76    1007      71    1006      51    1028    1506    +    2.9e-252  838.6  18.8  -
Alteromonadaceae_Agarivorans                     -          B2c_forward          -               78    1037      69    1034      52    1054    1454    +    2.5e-251  835.4  18.7  -
Pectobacteriaceae_Brenneria                      -          B2c_forward          -               51     992      69    1015      49    1041    1457    +    5.1e-251  834.2  19.1  -
Moritellaceae_Paramoritella                      -          B2c_forward          -               71    1006      69    1009      49    1035    1512    +    9.6e-251  833.2  18.4  -
Enterobacteriaceae_Cedecea                       -          B2c_forward          -               13     940      87    1020      74    1041    1403    +    1.4e-250  832.9  16.5  -
Alteromonadaceae_Catenovulum                     -          B2c_forward          -               71    1011      69    1020      49    1041    1451    +    1.5e-250  832.6  18.4  -
Erwiniaceae_Tatumella                            -          B2c_forward          -               75    1018      71    1020      50    1041    1490    +    1.8e-250  832.5  18.8  -
Ectothiorhodospiraceae_Halorhodospira            -          B2c_forward          -               88    1027      62    1006      42    1028    1479    +    1.9e-250  832.6  19.8  -
Aeromonadaceae_Pseudaeromonas                    -          B2c_forward          -               57     998      70    1017      50    1040    1491    +    2.2e-250  832.0  20.0  -
Thiotrichaceae_Beggiatoa                         -          B2c_forward          -               82    1015      71    1009      51    1032    1491    +    2.8e-250  832.2  19.6  -
Ectothiorhodospiraceae_Alkalilimnicola           -          B2c_forward          -               81    1017      69    1008      49    1028    1472    +    4.9e-250  831.2  19.1  -
Ectothiorhodospiraceae_Aquisalimonas             -          B2c_forward          -               82    1024      65    1008      44    1028    1464    +    5.4e-250  831.0  19.4  -
Morganellaceae_Providencia                       -          B2c_forward          -               80    1024      70    1020      50    1041    1489    +    6.2e-250  830.6  18.7  -
Rhodanobacteraceae_Dyella                        -          B2c_forward          -               77    1016      72    1016      52    1040    1453    +    8.1e-250  830.4  19.4  -
Enterobacteriaceae_Enterobacter                  -          B2c_forward          -               69    1010      69    1015      49    1041    1476    +    8.8e-250  830.2  19.2  -
Lysobacteraceae_Xanthomonas                      -          B2c_forward          -              102    1010      96    1008      72    1028    1502    +    1.3e-249  829.6  17.0  -
Vibrionaceae_Aliivibrio                          -          B2c_forward          -               97    1042      69    1020      49    1041    1474    +    1.4e-249  829.8  19.1  -
Enterobacteriaceae_Citrobacter                   -          B2c_forward          -               90    1029      71    1015      51    1041    1517    +    1.6e-249  829.3  19.1  -
Enterobacteriaceae_Klebsiella                    -          B2c_forward          -               83    1024      69    1015      49    1041    1436    +    2.1e-249  829.0  19.2  -
Enterobacteriaceae_Salmonella                    -          B2c_forward          -               71    1008      71    1013      51    1040    1457    +    2.4e-249  828.8  19.4  -
Rhodanobacteraceae_Frateuria                     -          B2c_forward          -               82    1024      59    1003      39    1028    1542    +    2.8e-249  828.5  21.5  -
Psychromonadaceae_Psychromonas                   -          B2c_forward          -               75    1018      71    1020      53    1041    1467    +    4.3e-249  827.9  18.3  -
Pectobacteriaceae_Dickeya                        -          B2c_forward          -               70    1016      69    1021      49    1041    1421    +    5.4e-249  827.6  19.5  -
Enterobacteriaceae_Cronobacter                   -          B2c_forward          -               50     991      69    1015      49    1041    1422    +    1.1e-248  826.6  19.9  -
Vibrionaceae_Enterovibrio                        -          B2c_forward          -               77    1023      69    1021      49    1041    1499    +    1.6e-248  825.8  19.3  -
Halothiobacillaceae_Halothiobacillus             -          B2c_forward          -               95    1028      71    1008      51    1028    1505    +    2.4e-248  825.5  18.9  -
Pectobacteriaceae_Pectobacterium                 -          B2c_forward          -               81    1022      69    1015      49    1040    1499    +    3.8e-248  824.8  18.9  -
Chromatiaceae_Marichromatium                     -          B2c_forward          -               76    1004      71    1009      51    1030    1440    +    4.3e-248  824.9  18.4  -
Morganellaceae_Xenorhabdus                       -          B2c_forward          -               73    1015      69    1014      49    1040    1493    +    4.3e-248  824.7  19.2  -
Idiomarinaceae_Pseudidiomarina                   -          B2c_forward          -               73    1009      69    1009      50    1035    1499    +    4.9e-248  824.2  18.5  -
Chromatiaceae_Thiocystis                         -          B2c_forward          -               64     993      69    1008      49    1030    1451    +    5.7e-248  824.4  18.8  -
Nevskiaceae_Steroidobacter                       -          B2c_forward          -               75    1022      69    1021      50    1042    1500    +    5.7e-248  824.4  19.7  -
Cardiobacteriaceae_Cardiobacterium               -          B2c_forward          -               57     992      71    1013      51    1041    1493    +    6.2e-248  824.1  19.6  -
Pseudomonadaceae_Azorhizophilus                  -          B2c_forward          -                4     929     103    1036     100    1056    1384    +    6.7e-248  823.4  15.6  -
Morganellaceae_Morganella                        -          B2c_forward          -               21     965      70    1020      56    1041    1356    +    8.9e-248  823.7  18.6  -
Enterobacteriaceae_Kluyvera                      -          B2c_forward          -               61    1004      71    1020      51    1041    1455    +    2.1e-247  822.3  18.5  -
Hafniaceae_Edwardsiella                          -          B2c_forward          -               75    1009      69    1008      49    1034    1466    +    2.5e-247  822.0  19.0  -
Yersiniaceae_Yersinia                            -          B2c_forward          -               73    1007      69    1008      49    1035    1461    +    2.7e-247  822.0  18.6  -
Enterobacteriaceae_Escherichia                   -          B2c_forward          -               75    1010      71    1011      51    1040    1480    +    2.9e-247  821.9  19.2  -
Salinisphaeraceae_Salinisphaera                  -          B2c_forward          -               58     989      70    1005      49    1027    1429    +    3.3e-247  821.7  19.5  -
Nevskiaceae_Nevskia                              -          B2c_forward          -               83     995      90    1008      70    1030    1451    +      4e-247  821.7  18.0  -
Piscirickettsiaceae_Thiomicrospira               -          B2c_forward          -               75    1016      71    1014      51    1035    1466    +      5e-247  821.0  18.1  -
Enterobacteriaceae_Siccibacter                   -          B2c_forward          -              102    1031      71    1005      51    1027    1451    +      7e-247  820.7  19.1  -
Cardiobacteriaceae_Suttonella                    -          B2c_forward          -               75    1017      70    1020      50    1041    1486    +      1e-246  820.3  19.3  -
Methylothermaceae_Methylothermus                 -          B2c_forward          -               88    1054      69    1035      49    1055    1491    +    1.1e-246  819.9  19.7  -
Rhodanobacteraceae_Rhodanobacter                 -          B2c_forward          -               81    1013      71    1007      49    1036    1481    +    1.4e-246  819.6  19.8  -
Lysobacteraceae_Xylella                          -          B2c_forward          -              116    1030      92    1010      65    1035    1537    +    1.4e-246  819.7  18.2  -
Enterobacteriaceae_Franconibacter                -          B2c_forward          -               77    1009      69    1007      49    1035    1325    +      2e-246  819.3  19.1  -
Rhodanobacteraceae_Fulvimonas                    -          B2c_forward          -               80    1010      71    1005      51    1028    1484    +    2.3e-246  818.8  19.6  -
Oceanospirillales_Salicola                       -          B2c_forward          -               87    1018      69    1010      49    1031    1492    +    6.3e-246  817.3  19.5  -
Lysobacteraceae_Ignatzschineria                  -          B2c_forward          -               92    1030      71    1016      51    1040    1541    +    1.1e-245  816.6  19.0  -
Chromatiaceae_Lamprocystis                       -          B2c_forward          -               90     986      70     971      50    1000    1406    +    2.1e-245  815.9  19.2  -
Hafniaceae_Hafnia                                -          B2c_forward          -               73    1018      69    1020      49    1041    1463    +    2.5e-245  815.4  18.9  -
Enterobacteriaceae_Kosakonia                     -          B2c_forward          -               53     986      71    1009      51    1040    1422    +    2.5e-245  815.1  19.3  -
Chromatiaceae_Thiophaeococcus                    -          B2c_forward          -               57     996      71    1020      51    1041    1440    +    3.4e-245  815.2  18.5  -
Enterobacteriaceae_Trabulsiella                  -          B2c_forward          -               66    1001      69    1008      49    1029    1471    +    6.7e-245  814.2  20.2  -
Chromatiaceae_Allochromatium                     -          B2c_forward          -               74    1006      70    1010      49    1031    1462    +    7.7e-245  813.9  18.9  -
Moritellaceae_Moritella                          -          B2c_forward          -               94    1035      70    1014      53    1040    1506    +    1.1e-244  813.2  18.2  -
Enterobacteriaceae_Mangrovibacter                -          B2c_forward          -               20     965      69    1020      54    1041    1368    +    1.1e-244  813.3  19.7  -
Enterobacteriaceae_Raoultella                    -          B2c_forward          -               69    1014      69    1020      49    1041    1452    +    1.3e-244  813.1  18.8  -
Enterobacteriaceae_Gibbsiella                    -          B2c_forward          -               35     975      69    1014      43    1041    1396    +    3.8e-244  811.6  20.1  -
Lysobacteraceae_Wohlfahrtiimonas                 -          B2c_forward          -               75    1011      71    1011      51    1041    1448    +    4.2e-244  811.4  18.9  -
Rhodanobacteraceae_Luteibacter                   -          B2c_forward          -               82    1012      72    1006      52    1035    1457    +    6.3e-244  810.8  19.2  -
Lysobacteraceae_Oleiagrimonas                    -          B2c_forward          -               75    1009      71    1007      51    1028    1469    +    7.9e-244  810.4  18.9  -
Budviciaceae_Budvicia                            -          B2c_forward          -               95    1040      70    1021      50    1041    1536    +    1.8e-243  809.1  18.6  -
Enterobacteriaceae_Pluralibacter                 -          B2c_forward          -               95    1036      71    1015      59    1041    1532    +    4.7e-243  807.8  18.5  -
Chromatiaceae_Thiodictyon                        -          B2c_forward          -               69     997      72    1008      52    1030    1500    +    4.9e-243  808.1  18.7  -
Enterobacteriaceae_Shigella                      -          B2c_forward          -               83    1021      71    1014      52    1040    1488    +      7e-243  807.3  19.2  -
Yersiniaceae_Rahnella                            -          B2c_forward          -               12     935      87    1015      74    1041    1345    +    9.3e-243  806.9  16.6  -
Enterobacteriaceae_Pseudocitrobacter             -          B2c_forward          -               72    1006      71    1010      57    1040    1459    +    1.1e-242  806.7  19.0  -
Enterobacteriaceae_Buttiauxella                  -          B2c_forward          -               77    1018      69    1015      49    1040    1503    +    1.4e-242  806.3  19.2  -
Enterobacteriaceae_Shimwellia                    -          B2c_forward          -               52     994      70    1018      50    1041    1422    +    1.8e-242  806.1  19.5  -
Ectothiorhodospiraceae_Arhodomonas               -          B2c_forward          -               63    1006      63    1008      42    1028    1487    +      2e-242  806.0  19.4  -
Morganellaceae_Photorhabdus                      -          B2c_forward          -               75    1021      69    1019      49    1041    1478    +      5e-242  804.9  19.1  -
Chromatiaceae_Imhoffiella                        -          B2c_forward          -               74    1003      70    1009      51    1030    1484    +    7.3e-242  804.1  18.7  -
Wenzhouxiangellaceae_Wenzhouxiangella            -          B2c_forward          -               75    1012      71    1008      54    1028    1472    +    1.1e-241  803.3  18.5  -
Yersiniaceae_Rouxiella                           -          B2c_forward          -              102    1043      69    1015      49    1041    1551    +    2.1e-241  802.3  19.1  -
Chromatiaceae_Thiocapsa                          -          B2c_forward          -               82    1008      71    1007      51    1029    1459    +    3.4e-241  802.0  19.0  -
Morganellaceae_Proteus                           -          B2c_forward          -               84    1018      70    1009      58    1035    1494    +      6e-241  800.9  18.7  -
Vibrionaceae_Grimontia                           -          B2c_forward          -               77    1017      61    1008      41    1034    1493    +    7.5e-241  800.5  19.9  -
Enterobacteriaceae_Lelliottia                    -          B2c_forward          -               66    1007      69    1015      49    1041    1449    +    1.5e-240  799.6  19.0  -
Celerinatantimonadaceae_Celerinatantimonas       -          B2c_forward          -               70    1014      70    1008      54    1033    1433    +    1.6e-240  799.5  18.5  -
Nevskiaceae_Hydrocarboniphaga                    -          B2c_forward          -               97    1010      89    1008      69    1028    1487    +    4.8e-240  798.3  18.2  -
Alteromonadaceae_Paraglaciecola                  -          B2c_forward          -               84    1010      72    1009      58    1033    1495    +    7.3e-240  797.0  17.5  -
Pseudomonadaceae_Oblitimonas                     -          B2c_forward          -               73    1034      69    1034      49    1056    1469    +      9e-240  796.5  19.5  -
Nevskiaceae_Solimonas                            -          B2c_forward          -               70    1022      71    1030      51    1051    1476    +    2.4e-239  795.9  19.2  -
Pectobacteriaceae_Sodalis                        -          B2c_forward          -               69    1015      69    1021      49    1041    1511    +    3.7e-239  794.9  19.2  -
