# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Burkholderiaceae          -          LKAP-GUTHK2_G08_052_2017_1 -               11    1140       8    1147       2    1153    1482    +           0 1254.4  22.5  -
Oxalobacteraceae          -          LKAP-GUTHK2_G08_052_2017_1 -               11    1142       8    1147       2    1153    1459    +           0 1220.1  22.4  -
Alcaligenaceae            -          LKAP-GUTHK2_G08_052_2017_1 -               16    1143      12    1147       3    1153    1467    +           0 1196.9  22.0  -
Chromobacteriaceae        -          LKAP-GUTHK2_G08_052_2017_1 -               10    1144       8    1147       2    1153    1460    +           0 1185.3  22.4  -
Burkholderiales           -          LKAP-GUTHK2_G08_052_2017_1 -               11    1141       8    1147       2    1153    1463    +           0 1180.6  22.4  -
Sutterellaceae            -          LKAP-GUTHK2_G08_052_2017_1 -               11    1144       8    1147       2    1153    1487    +           0 1173.4  22.4  -
Rhodocyclaceae            -          LKAP-GUTHK2_G08_052_2017_1 -               11    1149       8    1147       2    1153    1484    +           0 1164.1  22.4  -
Comamonadaceae            -          LKAP-GUTHK2_G08_052_2017_1 -               11    1140       8    1147       2    1153    1466    +           0 1159.1  22.5  -
Neisseriaceae             -          LKAP-GUTHK2_G08_052_2017_1 -               25    1165       8    1148       2    1153    1477    +           0 1157.8  22.0  -
Thiobacilliaceae          -          LKAP-GUTHK2_G08_052_2017_1 -               40    1161      17    1147       3    1153    1517    +           0 1133.3  22.2  -
Methylophilaceae          -          LKAP-GUTHK2_G08_052_2017_1 -                9    1137      21    1147      14    1153    1431    +           0 1130.1  21.5  -
Sulfuricellaceae          -          LKAP-GUTHK2_G08_052_2017_1 -               20    1150      15    1147       4    1153    1463    +           0 1113.8  22.0  -
Nitrosomonadaceae         -          LKAP-GUTHK2_G08_052_2017_1 -               11    1148       8    1147       2    1153    1461    +           0 1110.6  22.4  -
Zoogloeaceae              -          LKAP-GUTHK2_G08_052_2017_1 -               18    1154       8    1147       3    1153    1474    +           0 1109.4  22.8  -
Azonexaceae               -          LKAP-GUTHK2_G08_052_2017_1 -               12    1151       8    1147       2    1153    1474    +           0 1086.0  22.4  -
Hydrogenophilaceae        -          LKAP-GUTHK2_G08_052_2017_1 -               11    1147       8    1147       3    1153    1461    +           0 1084.0  22.2  -
Gammaproteobacteria       -          LKAP-GUTHK2_G08_052_2017_1 -               10    1150       7    1146       2    1153    1481    +           0 1059.7  22.3  -
Lysobacteraceae           -          LKAP-GUTHK2_G08_052_2017_1 -               10    1154       6    1147       1    1153    1484    +           0 1045.0  22.1  -
Pseudomonadaceae          -          LKAP-GUTHK2_G08_052_2017_1 -               17    1156       7    1147       2    1153    1491    +           0 1027.9  22.0  -
Rhodanobacteraceae        -          LKAP-GUTHK2_G08_052_2017_1 -               11    1154       7    1147       2    1153    1473    +    1.9e-307 1018.7  21.4  -
Halothiobacillaceae       -          LKAP-GUTHK2_G08_052_2017_1 -               26    1169       6    1147       2    1153    1500    +    9.1e-305 1009.8  21.9  -
Alteromonadaceae          -          LKAP-GUTHK2_G08_052_2017_1 -                9    1150       6    1147       2    1153    1468    +    5.4e-303 1003.9  21.4  -
Moraxellaceae             -          LKAP-GUTHK2_G08_052_2017_1 -                6    1133       6    1138       2    1153    1468    +    6.5e-301  997.2  22.0  -
Chromatiaceae             -          LKAP-GUTHK2_G08_052_2017_1 -               11    1140       8    1146       2    1153    1455    +    7.9e-301  996.8  21.9  -
Methylococcaceae          -          LKAP-GUTHK2_G08_052_2017_1 -               25    1159       8    1147       3    1153    1481    +      1e-300  996.4  22.1  -
Piscirickettsiaceae       -          LKAP-GUTHK2_G08_052_2017_1 -               12    1151       7    1145       2    1153    1466    +    1.5e-299  992.5  21.9  -
